"ea_id","lat_modified","lon_modified"
10101016,-9.80998039245605,33.3872985839844
10101204,-9.89498043060303,33.3810005187988
10101215,-9.50446033477783,33.2302017211914
10101219,-9.5946102142334,33.4040985107422
10101355,-9.73456954956055,33.4071998596191
10101374,-9.58701992034912,33.2181015014648
10101470,-9.66271018981934,33.2523994445801
10101562,-9.66792011260986,33.3936996459961
10101568,-9.73770999908447,33.260799407959
10101706,-9.53645992279053,33.3866004943848
10102004,-9.74822998046875,33.5035018920898
10102379,-9.5815896987915,33.5918998718262
10102621,-9.71323013305664,33.4519996643066
10103414,-9.97159957885742,33.3739013671875
10103452,-10.0370998382568,33.4541015625
10103681,-10.2009000778198,33.5987014770508
10104150,-10.1988000869751,33.663501739502
10104351,-10.2587995529175,33.6116981506348
10104440,-10.4098997116089,33.6377983093262
10105352,-9.59447956085205,33.0885009765625
10105511,-9.40349006652832,32.9793014526367
10105513,-9.5072603225708,33.1186981201172
10120286,-9.70903015136719,33.2831993103027
10120288,-9.69013023376465,33.2899017333984
10201137,-9.76809978485107,33.8950996398926
10201210,-9.78425025939941,33.8302001953125
10201247,-9.79563999176025,33.8455009460449
10201442,-9.71230030059814,33.9271011352539
10201688,-9.84482955932617,33.8736991882324
10202195,-9.6637601852417,33.6730003356934
10202514,-9.6814603805542,33.8498001098633
10203013,-10.0022001266479,33.6684989929199
10203085,-9.91359996795654,33.9174003601074
10203176,-9.87304973602295,33.6206016540527
10203221,-9.93924045562744,33.8608016967773
10203623,-10.170000076294,33.8033981323242
10203744,-10.0404996871948,33.9086990356445
10204101,-10.447099685669,34.2148017883301
10204322,-10.4462003707886,34.1193008422852
10204453,-10.357500076294,34.1277008056641
10204586,-10.4162998199463,34.2318000793457
10204723,-10.556300163269,34.1873016357422
10205202,-10.2562999725342,34.1190986633301
10205507,-10.3122997283936,34.0707015991211
10220027,-9.93589973449707,33.9151992797852
10220103,-9.9753999710083,33.9259986877441
10220521,-9.94851970672607,33.8963012695312
10220705,-9.9312801361084,33.9323997497559
10301026,-11.6552000045776,33.761100769043
10301306,-11.4949998855591,33.9723014831543
10301347,-11.7131004333496,33.937801361084
10301663,-11.6477003097534,34.125
10301741,-11.6375999450684,34.0964012145996
10302010,-11.96399974823,34.0768013000488
10303454,-11.8910999298096,34.111499786377
