"ea_id","FS_year","FNID","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car","number_celphones","floor_cement","floor_tile","floor_dirt_sand_dung","roof_natural","roof_iron","roof_other","cell_phone","hhsize","FS_month","dist_road","dist_popcenter","dist_admarc","ag_percent","elevation","rCSI","HDDS","FCS","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","asset_index","rural","clust_maize_price","clust_rice_price","clust_nuts_price","clust_beans_price","clust_maize_mktthin","clust_rice_mktthin","clust_nuts_mktthin","clust_beans_mktthin","lhz_maize_price","lhz_rice_price","lhz_nuts_price","lhz_beans_price","lhz_maize_mktthin","lhz_rice_mktthin","lhz_nuts_mktthin","lhz_beans_mktthin","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","heatdays","floodmax","lhz_floodmax"
"10101016",2010,"MW2012C3010102",0,0.4375,0,0.375,0,0,0.4375,0.0625,0,0,0.875,0.125,0,0.25,5.9375,4,2.656875,62.40687475,12.0162500125,20.875,1295.3125,3.625,5.375,39.96875,0,0,0,-1.09791836140576,1,44.2825,247.276,235.426,187.412,0.2,0,0,0,51.1440943886568,194.816928548717,233.930245669118,167.089217178926,0.4,0.4,0.4,0.4,1031.63497140034,38,97,36,213,21.3952828743089,1127.99811366612,50,0,1018.11788623267,0
"10101016",2013,"MW2012C3010102",0,0.4375,0,0.3125,0,0,0.25,0.0625,0,0,0.9375,0.0625,0,0.25,6.1875,4,2.25,62.5625,12.6875,23.25,1296.25,12.3125,4.6875,57.5625,0,0,0,-1.2728513114681,1,117.495,338.092613882338,260.726300759091,169.705690660263,0.5,1,1,1,145.347004840884,390.687643774799,237.30603824697,271.791314173588,0.5,1,1,1,1108.58604110008,31,110,31,213,21.9841908056412,1160.83778911635,74,0,1204.79622168919,0
"10101204",2010,"MW2012C3010102",0,0.4375,0,0.5,0,0,0.25,0.125,0,0,0.8125,0.1875,0,0.25,5.4375,8,0.5137500161875,58.4668745,10.821875025,48.6875,1403.25,2.6875,4.9375,32.09375,0,0,0,-0.993364907323742,1,31.591,176.821,180.817,167.261,0,0,0,0,30.0826757923249,141.357511145721,92.3993325574299,144.797614668142,1,1,0.8,1,1109.10985533309,38,99,36,213,21.3952828743089,1127.99811366612,50,0,1039.56755315164,0
"10101204",2010,"MW2012C3010508",0,0.4375,0,0.5,0,0,0.25,0.125,0,0,0.8125,0.1875,0,0.25,5.4375,8,0.5137500161875,58.4668745,10.821875025,48.6875,1403.25,2.6875,4.9375,32.09375,0,0,0,-0.993364907323742,1,31.591,176.821,180.817,167.261,0,0,0,0,30.0826757923249,141.357511145721,92.3993325574299,144.797614668142,1,1,0.8,1,1109.10985533309,38,99,37,213,22.4000715730336,1134.10969596811,54,0,1039.56755315164,0
"10101204",2013,"MW2012C3010102",0.0588235294117647,0.352941176470588,0.117647058823529,0.352941176470588,0,0,0.647058823529412,0.176470588235294,0,0,0.647058823529412,0.352941176470588,0,0.411764705882353,5.52941176470588,5.05882352941176,0.529411764705882,56.5294117647059,11.4117647058824,45.7647058823529,1380.58823529412,4.47058823529412,5.05882352941176,68.2647058823529,0,0.0588235294117647,0,-0.301646629652874,0.941176470588235,119.627401960784,400.96908042616,379.379586095013,347.946195868542,0,1,1,1,96.7065350806038,257.53382705922,244.449981205136,231.704855740932,0.627450980392157,1,1,1,1179.87326778844,30,115,31,213,21.9841908056412,1160.83778911635,74,0,1233.9988190437,0
"10101204",2013,"MW2012C3010508",0.0588235294117647,0.352941176470588,0.117647058823529,0.352941176470588,0,0,0.647058823529412,0.176470588235294,0,0,0.647058823529412,0.352941176470588,0,0.411764705882353,5.52941176470588,5.05882352941176,0.529411764705882,56.5294117647059,11.4117647058824,45.7647058823529,1380.58823529412,4.47058823529412,5.05882352941176,68.2647058823529,0,0.0588235294117647,0,-0.301646629652874,0.941176470588235,119.627401960784,400.96908042616,379.379586095013,347.946195868542,0,1,1,1,96.7065350806038,257.53382705922,244.449981205136,231.704855740932,0.627450980392157,1,1,1,1179.87326778844,30,115,51,213,21.8768613251163,974.352538033768,72,0,1233.9988190437,0
"10101215",2010,"MW2012C3010102",0,0.3125,0,0.4375,0,0,0.375,0,0,0,0.875,0.125,0,0.25,4.625,5,9.27533334375,91.712667,4.2413334,34.933333375,1271.3333375,2.4375,5.0625,36.65625,0,0,0,-1.20020680257983,1,43.0571428571429,173.021538461538,159.524615384615,174.04,0.548387096774194,0.161290322580645,0.161290322580645,0.290322580645161,41.4084885748342,162.573854533173,174.754329938631,149.471212746764,0.612903225806452,0.419354838709677,0.419354838709677,0.419354838709677,1017.86193273503,37,99,36,213,21.3952828743089,1127.99811366612,50,0,1295.0078089667,0
"10101215",2010,"MW2012C3010201",0,0.3125,0,0.4375,0,0,0.375,0,0,0,0.875,0.125,0,0.25,4.625,5,9.27533334375,91.712667,4.2413334,34.933333375,1271.3333375,2.4375,5.0625,36.65625,0,0,0,-1.20020680257983,1,43.0571428571429,173.021538461538,159.524615384615,174.04,0.548387096774194,0.161290322580645,0.161290322580645,0.290322580645161,41.4084885748342,162.573854533173,174.754329938631,149.471212746764,0.612903225806452,0.419354838709677,0.419354838709677,0.419354838709677,1017.86193273503,37,99,40,213,24.4448882841728,965.461065256596,77,0,1295.0078089667,0
"10101215",2010,"MW2012C3010210",0,0.3125,0,0.4375,0,0,0.375,0,0,0,0.875,0.125,0,0.25,4.625,5,9.27533334375,91.712667,4.2413334,34.933333375,1271.3333375,2.4375,5.0625,36.65625,0,0,0,-1.20020680257983,1,43.0571428571429,173.021538461538,159.524615384615,174.04,0.548387096774194,0.161290322580645,0.161290322580645,0.290322580645161,41.4084885748342,162.573854533173,174.754329938631,149.471212746764,0.612903225806452,0.419354838709677,0.419354838709677,0.419354838709677,1017.86193273503,37,99,40,213,25.1850754142368,1185.74998764753,75,0,1295.0078089667,0
"10101215",2010,"MW2012C3010508",0,0.3125,0,0.4375,0,0,0.375,0,0,0,0.875,0.125,0,0.25,4.625,5,9.27533334375,91.712667,4.2413334,34.933333375,1271.3333375,2.4375,5.0625,36.65625,0,0,0,-1.20020680257983,1,43.0571428571429,173.021538461538,159.524615384615,174.04,0.548387096774194,0.161290322580645,0.161290322580645,0.290322580645161,41.4084885748342,162.573854533173,174.754329938631,149.471212746764,0.612903225806452,0.419354838709677,0.419354838709677,0.419354838709677,1017.86193273503,37,99,37,213,22.4000715730336,1134.10969596811,54,0,1295.0078089667,0
