"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
30,135,"MWI","Malawi",4,"Chiradzulu",30,"TA Nkalo","",NA,"","Traditional Authority","Traditional Authority","",""
31,135,"MWI","Malawi",5,"Chitipa",31,"Chitipa Boma","",NA,"","Boma","Headquarter","",""
32,135,"MWI","Malawi",5,"Chitipa",32,"Nyika N.P. - Chitipa","",NA,"","National Park","National Park","",""
33,135,"MWI","Malawi",5,"Chitipa",33,"TA Kameme","",NA,"","Traditional Authority","Traditional Authority","",""
34,135,"MWI","Malawi",5,"Chitipa",34,"TA Mwabulambya","",NA,"","Traditional Authority","Traditional Authority","",""
35,135,"MWI","Malawi",5,"Chitipa",35,"TA Mwenemisuku","",NA,"","Traditional Authority","Traditional Authority","",""
36,135,"MWI","Malawi",5,"Chitipa",36,"TA Mwenewenya","",NA,"","Traditional Authority","Traditional Authority","",""
37,135,"MWI","Malawi",5,"Chitipa",37,"TA Nthalire","",NA,"","Traditional Authority","Traditional Authority","",""
38,135,"MWI","Malawi",6,"Dedza",38,"Dedza Boma","",NA,"","Boma","Headquarter","",""
39,135,"MWI","Malawi",6,"Dedza",39,"Lake Malawi","",NA,"","Water body","Water body","",""
40,135,"MWI","Malawi",6,"Dedza",40,"SC Chauma","",NA,"","Sub-chief","Sub-chief","",""
41,135,"MWI","Malawi",6,"Dedza",41,"SC Chilikumwendo","",NA,"","Sub-chief","Sub-chief","",""
42,135,"MWI","Malawi",6,"Dedza",42,"SC Kamenya Gwaza","",NA,"","Sub-chief","Sub-chief","",""
43,135,"MWI","Malawi",6,"Dedza",43,"TA Kachindamoto","",NA,"","Traditional Authority","Traditional Authority","",""
44,135,"MWI","Malawi",6,"Dedza",44,"TA Kaphuka","",NA,"","Traditional Authority","Traditional Authority","",""
45,135,"MWI","Malawi",6,"Dedza",45,"TA Kasumbu","",NA,"","Traditional Authority","Traditional Authority","",""
