"","mkt","2008-01-01","2008-01-08","2008-01-15","2008-01-22","2008-01-29","2008-02-05","2008-02-12","2008-02-19","2008-02-26","2008-03-04","2008-03-11","2008-03-18","2008-03-25","2008-04-01","2008-04-08","2008-04-15","2008-04-22","2008-04-29","2008-05-06","2008-05-13","2008-05-20","2008-05-25","2008-06-03","2008-06-10","2008-06-17","2008-06-24","2008-07-01","2008-07-08","2008-07-15","2008-07-22","2008-07-29","2008-08-05","2008-08-12","2008-08-19","2008-08-26","2008-09-02","2008-09-09","2008-09-16","2008-09-23","2008-09-30","2008-10-07","2008-10-14","2008-10-21","2008-10-28","2008-11-04","2008-11-11","2008-11-18","2008-11-25","2008-12-02","2008-12-09","2008-12-16","2008-12-23","2008-12-30","2009-01-06","2009-01-13","2009-01-20","2009-01-27","2009-02-03","2009-02-10","2009-02-17","2009-02-24","2009-03-03","2009-03-10","2009-03-17","2009-03-24","2009-03-31","2009-04-07","2009-04-14","2009-04-21","2009-04-26","2009-05-05","2009-05-12","2009-05-19","2009-05-26","2009-06-03","2009-06-10","2009-06-17","2009-06-24","2009-06-30","2009-07-07","2009-07-14","2009-07-21","2009-07-28","2009-08-04","2009-08-11","2009-08-18","2009-08-25","2009-09-01","2009-09-08","2009-09-15","2009-09-22","2009-09-29","2009-10-06","2009-10-13","2009-10-20","2009-10-27","2009-11-03","2009-11-10","2009-11-17","2009-11-24","2009-12-01","2009-12-08","2009-12-13","2009-12-20","2009-12-27","2010-01-05","2010-01-12","2010-01-19","2010-01-26","2010-02-02","2010-02-09","2010-02-16","2010-02-23","2010-03-02","2010-03-09","2010-03-16","2010-03-23","2010-03-30","2010-04-06","2010-04-13","2010-04-20","2010-04-25","2010-05-04","2010-05-11","2010-05-18","2010-05-25","2010-06-01","2010-06-08","2010-06-15","2010-06-22","2010-06-29","2010-07-06","2010-07-13","2010-07-20","2010-07-27","2010-08-03","2010-08-10","2010-08-17","2010-08-24","2010-08-31","2010-09-07","2010-09-14","2010-09-21","2010-09-26","2010-10-05","2010-10-12","2010-10-19","2010-10-26","2010-11-02","2010-11-09","2010-11-16","2010-11-23","2010-11-30","2010-12-07","2010-12-14","2010-09-19","2010-12-28","2011-01-04","2011-01-11","2011-01-18","2011-01-25","2011-02-01","2011-02-08","2011-02-15","2011-02-22","2011-02-27","2011-03-06","2011-03-13","2011-03-20","2011-03-27","2011-04-05","2011-04-12","2011-04-19","2011-04-26","2015-11-29","2015-12-06","2015-12-13","2015-12-20","2015-12-27","2015-11-01","2015-11-08","2015-11-15","2015-11-22","2016-04-03","2016-04-10","2016-04-17","2016-04-24","2016-01-31","2016-02-07","2016-02-14","2016-02-21","2016-01-03","2016-01-10","2016-01-17","2016-01-24","2016-07-03","2016-07-10","2016-07-17","2016-07-24","2016-05-29","2016-06-05","2016-06-12","2016-06-19","2016-06-26","2016-02-28","2016-03-06","2016-03-13","2016-03-20","2016-03-27","2016-05-01","2016-05-08","2016-05-15","2016-05-22","2016-07-31","2016-08-07","2016-08-14","2016-08-21","2016-10-02","2016-10-09","2016-10-16","2016-09-04","2016-09-11","2016-09-18","2016-12-04","2016-12-11","2016-12-18","2016-12-25","2017-04-02","2017-04-09","2017-04-16","2017-01-29","2017-02-05","2017-02-12","2017-02-19","2017-01-01","2017-01-08","2017-01-15","2017-01-22","2017-02-26","2017-03-05","2017-03-12","2017-03-19","2017-04-30","2017-05-07","2017-05-14","2017-05-21"
"11","JENDA",NA,NA,"15",NA,NA,NA,NA,"19",NA,NA,"183.15","180.00","180.00",NA,NA,"180.00","180.00",NA,NA,NA,NA,NA,NA,"10","17",NA,"185.00","190.00","190.00","22","190.00","190.00","12",NA,NA,NA,NA,"16",NA,"30",NA,NA,NA,NA,NA,"11",NA,"25",NA,NA,"16","12","12",NA,"13",NA,NA,NA,"10",NA,NA,NA,"10","17","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,"18",NA,NA,NA,"15","22",NA,NA,"10","20",NA,"11","10","11",NA,NA,"12",NA,NA,NA,NA,"12",NA,"26",NA,NA,"16",NA,NA,NA,"16","23",NA,NA,"13","20",NA,NA,NA,"18","25",NA,NA,NA,"22","29",NA,"13",NA,"27",NA,"10",NA,"24","31",NA,"14","21",NA,"150.00","150.00","150.41","26","11","11","11","23",NA,NA,NA,NA,"12",NA,"11",NA,"25",NA,NA,"199.67","190.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"519.31","559.71","569.07","583.72",NA,"431.13","11","15","531.59","748.38","742.63","731.58","730.98","597.23","668.06","719.01","739.08","588.71","564.89","573.34",NA,"681.01","658.81","17","661.92","644.71","651.28","658.13","660.05","26",NA,"741.32","752.83","769.59","27","724.38","701.34","695.31","651.19","662.31","671.03","672.56","693.43","671.82","672.59","677.49","693.49","694.51","689.13","706.57","12","715.13","721.51","728.81","727.02","721.24","746.83","745.96","746.21","741.93","726.81","726.81","742.01","744.89","738.28",NA,"743.95","739.84","720.68","722.62","702.17","731.94"
"12","MPAMBA"," 89.41"," 89.41","136.05","136.05",NA,NA,NA,NA,"117.24",NA,"261.11","261.11","219.00","189.14","220.97","220.97","220.97","220.97",NA,NA,NA,NA,NA," 67.98"," 67.98"," 67.98"," 67.98"," 97.50","108.11","149.92","159.83","134.83",NA,"136.83","134.83","131.62","131.62","130.89","130.89","132.86","133.60","146.11","154.66","141.14","149.82",NA,"132.50","25","136.17","136.17","136.17",NA,NA,"193.17","208.81","205.75","205.75","199.17","199.17","187.16","24","190.24","190.43","190.43","189.83","189.63","187.66","187.66","191.66",NA,"197.16","189.63","189.63","173.40","162.79","159.71","158.83","129.63","151.62","149.65","106.29","101.82","168.75","163.17","166.22","167.16","171.43","176.46","176.27","177.33","178.93","181.61","10","10","20","192.83","188.41","183.59","180.97","182.81","178.49","177.61",NA,NA,NA,"178.19","176.19","179.54","26","183.22","189.71","192.64","198.17","194.16","197.81","190.43","187.72","132.88","181.74","13","192.58",NA,"193.17","189.58","172.15","169.83","161.70","158.78","142.76","141.16","139.82",NA,NA,"20",NA,NA,NA,"146.87","141.04","131.16","148.99",NA,"21",NA,"159.19","161.76","163.44","10",NA,"166.16","176.83","11","129.36","12","14",NA,"12","176.46","123.82","178.93",NA,"181.99",NA,"147.57","148.17",NA,NA,NA,NA,NA,"141.72","143.61","141.16","140.18",NA,NA,"13",NA,NA,"11",NA,"15",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"24",NA,NA,NA,NA,"26",NA,NA,NA,"20","27",NA,NA,NA,NA,NA,NA,NA,NA,"10","10","10",NA,"11","18","479.56","479.57","479.58","12",NA,NA,"16",NA,NA,NA,"19","480.07","480.09","480.09","480.18",NA,NA,"12",NA,NA,NA,NA,"21"
"13","NKHATABAY"," 95.53","101.33"," 77.23"," 91.17"," 98.12",NA,NA,NA," 90.84"," 91.21","100.33"," 91.17"," 91.17","166.33","166.33","174.86","174.86","174.86","144.80","144.80","112.00",NA,"113.43",NA,"113.86","113.86","113.86","121.33"," 94.56","136.66","148.20","164.24","173.43","186.17","143.74","144.18","144.18","149.70","149.70","151.22","169.36","158.96","169.61","154.12","159.32","155.27","184.12","25","162.29","155.45","143.85","165.12","174.40",NA,"140.55","150.00","145.33","176.84","183.12","215.21","195.30","186.17","210.25","190.28","210.00","195.25","215.83","190.85","186.54",NA,"165.43","168.25","170.82","111.11","133.30","120.14","125.87","121.48","120.15","125.83","115.27","124.57","128.53","128.55","120.12","132.18","120.84","128.31","124.48","136.12"," 96.47",NA,"129.52","110.59","124.47","121.54","124.68","129.68","134.87","143.38","148.36","152.35",NA,NA,NA,"157.18","12","185.62",NA,"158.71","168.69","173.84","176.52","174.56","179.11","184.81",NA,"153.74","178.66","13","20",NA,"165.25","159.83","136.68","128.61","115.42","112.52"," 98.74"," 95.12"," 86.25",NA,NA,"20",NA,NA,NA,"124.33","125.13","124.87",NA,"14","21",NA,"10","122.47","125.72","129.72","11","11","11","11","141.12",NA,"12",NA,NA,"128.31","11","18",NA,NA,"148.12","145.14","148.33",NA,NA,NA,NA,NA,NA,"12","19","140.12","295.08",NA,"702.40",NA,NA,"11",NA,"290.20","11","808.18","812.44","814.20","810.02","716.49","720.25","715.16","719.18",NA,"10","712.13",NA,NA,"762.20","17","738.10","779.75","776.42","789.16","759.22","760.25","722.48","802.21","805.22",NA,"807.70","812.70","782.41","787.32","772.49","735.22","736.42","780.45","753.25","775.60","779.48","780.41","766.05","762.29","772.29","12","12","12","12",NA,NA,"16","789.39",NA,NA,"19","789.35","786.47","790.93","792.08",NA,"821.22","810.05",NA,NA,NA,NA,"997.28"
"14","CHINTHECHE",NA,"131.15","132.18","130.80",NA,"130.48","130.48","130.48","134.38","134.74","134.74","134.74","135.30","135.50","135.20","137.40","146.67","146.60","146.27","146.27","146.17",NA,"144.86","144.27","144.80","144.65","144.75","146.00","146.40","146.89","147.05","148.60","149.85","149.80","149.35","149.86","148.98","148.95","148.65","148.42","148.78","147.15","146.50","146.45","146.07","146.95","146.80","146.75","145.89","145.65","146.70","146.70","146.70","210.52","210.70","209.58","212.82","212.71","213.08","213.05","213.45","214.10","214.45","215.60","215.95","215.40","216.70","215.55","216.45",NA,"217.50","217.50","224.70",NA,NA,"220.17","220.35","219.05","219.15","217.49","216.70","215.87","215.72","213.70","214.65","214.12","213.70","210.35","215.75","215.70","215.65","215.65","215.55","215.50","215.65","215.55","215.30","115.20","11","214.85","214.75","12",NA,NA,NA,"213.76","213.55","213.55","213.45","214.20","214.15","215.05","215.45","215.40","214.35","214.80","214.75","214.75","214.70","13","213.85",NA,"213.80","213.82","213.82","212.60","212.65",NA,NA,"212.40","212.35",NA,NA,"212.35","212.45",NA,"212.60","212.60","212.50","212.55","211.78",NA,"211.90",NA,NA,"10",NA,"213.45","233.60","233.65","218.35","217.85","245.60",NA,NA,NA,NA,"210.35","218.80","218.68","218.73","219.49","219.40"," 27.74"," 35.53",NA,NA,NA,NA,NA,"221.55","223.60","224.44","223.59","619.78","619.81","627.46","12","689.48","11",NA,"15",NA,NA,NA,"740.99",NA,NA,NA,NA,NA,NA,"691.14","699.08",NA,"689.93","670.19","691.12","671.83","722.17",NA,NA,"682.41","689.18","749.42","749.18","13","743.19","740.01","736.19",NA,"732.73","22",NA,"674.19","686.72","21","694.73","695.53","10",NA,NA,"698.64","12","12","12","12",NA,NA,"16",NA,"780.45","781.17",NA,NA,NA,NA,"22",NA,NA,NA,"19",NA,NA,"14","699.36"
"15","DWANGWA"," 80.00"," 80.00","15"," 80.00"," 80.00"," 90.00","120.00","140.00","140.00","140.00","150.00","150.00","150.00","150.00","150.00","150.00","150.00","150.00","150.00","150.00","150.00",NA,NA,"100.00","120.00","120.00","120.00","120.00","120.00","130.00","130.00","130.00","140.00","140.00","150.00","150.00","150.00","150.00","150.00","150.00","150.00","190.00","190.00","190.00","200.00","200.00","200.00","200.00","200.00","200.00","200.00","200.00","12","200.00","200.00","200.00","200.00","200.00","200.00","200.00","200.00","200.00","10","200.00","200.00","200.00","200.00","200.00","200.00",NA,"200.00","200.00","200.00","200.00","200.00","130.00","120.00","120.00","120.00","100.00","140.00","100.00","100.00","100.00","100.00",NA,"25","100.00","130.00","130.75","130.64","140.15","140.17","140.19","140.27","140.23","140.73","140.68","140.75","150.31","140.00","140.00",NA,NA,NA,"150.27","150.27","150.29","150.31","150.33","150.45","150.49","150.53","150.63","160.67","150.71","150.63","150.73","150.77","150.81","150.85",NA,"150.61","150.55","150.31","150.25","150.15","130.89","130.81","130.69","150.17","150.63","150.49","150.41","150.25","140.49","140.43","140.37","140.47","150.27","150.31","150.33","150.45",NA,"150.61","180.73","150.56","10","260.33","260.65","140.81","140.27","214.75","150.47","150.51",NA,"150.87","100.00","150.77","150.86","160.17","160.35","160.41","160.53","160.67",NA,NA,NA,NA,NA,NA,"180.51","180.64","181.67","11","500.00",NA,"500.00",NA,NA,"500.00","15","11",NA,NA,NA,NA,"650.00","650.00","650.00","602.10","500.00","500.00","550.00",NA,NA,"10",NA,"24",NA,NA,NA,NA,NA,NA,NA,"13","20",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,"10","10",NA,"11","18","800.00","800.00","800.00","800.00","700.00","700.00","700.00",NA,NA,"12",NA,"800.00","800.00",NA,"22",NA,NA,"12","19","700.00","800.00","700.00","700.00"
"16","NKHOTAKOTA",NA,NA," 95.00"," 95.00",NA,NA,"150.00","150.00","150.00","150.00","150.00","180.00","180.00","180.00","200.00","200.00","180.00","170.00","165.00"," 95.00","110.00",NA,"100.00",NA,"17",NA,"120.00","120.00","130.00","140.00","140.00","150.00","150.00","150.00","155.00","155.00","155.00","150.00","150.00",NA,"150.00","150.00","150.00","180.00","155.00","150.00","170.00","25","170.00","163.33",NA,"180.00","12","190.00","185.00","185.00","185.00","185.00","190.00","190.00","24","180.00","180.00","180.00","24","180.00","180.00","200.00","180.00",NA,"180.00","150.00","120.00",NA,"100.00","100.00","17","100.00","100.00",NA,"100.00",NA,"100.00","100.00",NA,"100.00","100.00","110.00","110.00","110.00","120.00","120.00","120.00","130.00","130.00","120.00","140.00","130.00","110.00","140.00",NA,"140.00",NA,NA,NA,NA,"140.00","140.00",NA,NA,NA,"140.00","140.00","140.00","140.00","16","140.00","140.00","180.00",NA,"180.00",NA,"165.00","165.00","140.00","140.00","140.00","130.00",NA,"120.00","29",NA,NA,"122.23","120.00","120.00","120.00","120.00","120.00","127.00","120.00",NA,"120.00",NA,NA,"120.00","19","120.00",NA,NA,"11",NA,"333.33","12","14",NA,"12","110.00","130.00","129.98","130.13",NA,NA,"140.00","140.00",NA,NA,NA,NA,NA,"180.43","147.92","150.91","140.95",NA,NA,"12",NA,NA,"420.00","420.00","450.00","450.00",NA,NA,NA,NA,NA,NA,"14",NA,"420.00","450.97",NA,"500.00",NA,NA,NA,"24","585.00","585.00","550.00","550.00",NA,NA,NA,"13","20",NA,NA,NA,"15","22",NA,NA,"14",NA,NA,NA,"10",NA,NA,"18",NA,"11","18","12",NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,"19",NA,NA,"14",NA
"17","MWANSAMBO"," 90.00"," 90.00",NA," 95.00","110.00","110.00","110.00","110.00","110.00","110.00","110.00","110.00","110.00","110.00","110.00","125.00","150.00","150.00","150.00","150.00",NA,NA,NA,"150.00",NA,"150.00","150.00","134.17",NA,"170.00","29","170.00","165.00","165.00",NA,"170.00","170.00","170.00","23","170.00","200.00","200.00","200.00","200.00","200.00","200.00","200.00","182.50","200.00","195.00","195.45","12","12","195.45","195.45","195.45","200.00","200.00","200.00","200.00","190.00","190.00","180.00","180.00","180.00","180.00",NA,"180.00","160.00",NA,"160.00",NA,"160.00","160.00","120.00","120.00","120.00",NA,"30","150.00","150.00","150.00",NA,NA,NA," 80.00","120.00","120.00","120.00","120.00","144.44","144.44","144.44","164.67","164.67","164.67","160.00","205.88","205.88","203.92","202.94","208.82",NA,NA,NA,"187.50",NA,"198.09","26","198.09","198.09","202.86","202.86","205.88","205.88","16","23","205.88","188.89","13",NA,NA,NA,NA,NA,"25",NA,NA,NA,"22",NA,NA,NA,"20",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA," 80.00",NA,NA,NA,NA,"120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"155.00","152.00",NA,"152.50","500.00","12","500.00",NA,NA,"11",NA,NA,NA,"700.00",NA,"700.00","650.00",NA,"550.00","14","600.00","500.00","550.00","550.00",NA,"600.00","600.00",NA,"600.00",NA,"600.00",NA,"19","600.00","650.00",NA,"13","650.00","700.00",NA,"650.00",NA,"650.00",NA,"625.00","14","650.00","700.00",NA,"700.00",NA,"700.00","700.00","12","750.00","750.00","750.00",NA,NA,"750.00","750.00",NA,"750.00","750.00",NA,NA,"750.00","22",NA,NA,NA,"19",NA,NA,"14",NA
"18","SALIMA",NA,"100.00","120.00","120.00",NA,NA,"12","120.00","100.00","120.00","126.67","126.67","126.67","120.00","130.00","15",NA,"150.00","140.00",NA,"130.00",NA,"140.00",NA,"17",NA,"120.00",NA,"15","22",NA,NA,"120.00","140.00",NA,"140.00","140.00","140.00","140.00","150.00","150.00",NA,"160.00","150.00","11",NA,"11","165.00","170.00","12","12","193.33","12",NA,"193.33","190.00",NA,"195.00","198.00","199.60",NA,NA,NA,"205.00","24",NA,NA,NA,"180.00",NA,"170.00","150.00","19",NA,"140.00","10","140.00","24","30","152.94","152.94",NA,NA,NA,"11","18",NA,NA,NA,NA,"22",NA,NA,"140.00","145.00","27","145.00","11","145.00","148.00","150.00","148.00",NA,NA,NA,"145.15",NA,"148.17","149.15","149.75",NA,"149.50","162.01","159.02","150.00","157.70",NA,"162.00",NA,"162.50",NA,NA,NA,"160.00","155.50","150.50","157.80","148.62",NA,"138.90",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,"170.00","170.00","26","206.33","206.32","11","11",NA,NA,NA,NA,NA,NA,"165.30","165.35","165.44",NA,"165.50","165.85","165.80",NA,NA,NA,NA,NA,"167.50","167.65","167.90","160.84","423.64","12",NA,"12",NA,"11",NA,"11","415.65","551.00","551.20","550.90","550.91",NA,NA,"14",NA,NA,"10",NA,NA,"582.98","583.86","583.24","583.32",NA,"577.40","580.00","582.33","26","550.96","552.22","552.40",NA,NA,"550.24","564.80","570.04","22",NA,NA,"14",NA,"750.00","750.00","750.00",NA,NA,NA,"850.50","850.00","861.50",NA,"700.00","650.00","650.00",NA,"870.00","744.44","750.00","822.22","850.00","844.44","850.00","750.00","722.22","720.00","780.00","600.00","520.00","500.00",NA
"19","DOWA"," 100.00","  80.00"," 100.00"," 100.00",NA,NA," 100.00"," 120.00"," 120.00"," 150.00"," 140.00","18"," 140.00"," 150.00"," 140.00"," 150.00"," 140.00"," 140.00"," 140.00"," 150.00"," 150.00",NA,NA," 150.00"," 150.00"," 150.00"," 150.00"," 150.00"," 150.00"," 150.00"," 160.00"," 155.00"," 165.00"," 165.00"," 165.00"," 165.00"," 165.00"," 165.00"," 165.00"," 165.00"," 165.00"," 180.00"," 180.00"," 180.00"," 180.00"," 150.00"," 180.00"," 185.00"," 180.00"," 180.00"," 180.00"," 220.00"," 180.00"," 180.00","13"," 180.00"," 180.00"," 180.00"," 180.00"," 180.00"," 180.00"," 180.00"," 180.00"," 180.00"," 180.00"," 180.00"," 180.00"," 180.00","21",NA," 180.00","12"," 180.00"," 180.00"," 187.55"," 185.50","17",NA,"30",NA,NA,NA,NA,NA,"11","18",NA,NA,NA,"15",NA,NA,NA,"13","20","27",NA,"11","17","11","12","12",NA,NA,NA,NA,"12","19","26",NA,NA,"16",NA," 180.00",NA,"16","23",NA,NA,NA,"20",NA,NA,NA,"18","25",NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,"10",NA,"24",NA,NA,NA,"21",NA,NA,"12","19",NA,NA,"11","16",NA,NA,"12","14",NA,NA,NA,"11","18"," 193.74"," 193.47",NA,"15"," 200.02",NA,NA,NA,NA,NA," 189.99"," 180.85"," 200.05","26","29",NA,"13","12",NA,"11",NA,"15",NA,NA,"10","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"24",NA,NA,"12",NA,NA,"28"," 450.00"," 475.00"," 500.00"," 500.00",NA,NA,"15",NA,NA,NA,NA,"21",NA,NA,"16",NA,NA,"18","12","12","12",NA,"1000.00",NA," 800.50",NA,NA,"12","19"," 850.00"," 875.00"," 900.00"," 950.00"," 900.00"," 950.00","12"," 950.00",NA," 800.00"," 800.00",NA
"20","NTCHISI","100.00","100.00","100.00","100.00","100.00","120.00","120.00","110.00","130.00","130.00","130.00","150.00","140.00","150.00","150.00","150.00","150.00","160.00","130.00","130.00","140.00",NA,"140.00","140.00","150.00","150.00","153.33","153.33","160.00","153.33","160.00","160.00","160.00","19","26","170.00","170.00","180.00","180.00","180.00","180.00","180.00","200.00","200.00","11","11","11","200.00","200.00","200.00","200.00",NA,NA,"250.00","250.00","250.00","250.00","240.00","240.00",NA,"226.67","240.00","240.00","240.00","220.00","200.00","200.00","200.00","200.00",NA,NA,"12","180.00","160.00",NA,"10","160.00","173.00","173.00","173.00","173.00","165.00",NA,"160.00","160.00","150.00","139.53","172.00","172.00","173.00","173.00","165.00","168.00","168.00","167.89","165.55","168.09","168.09","11","174.63","180.00","180.00",NA,NA,NA,"181.69","181.69","180.00","181.96","180.00","180.00","178.57","180.00",NA,"180.00","180.00","190.00","200.00","200.00","13",NA,NA,"200.00","200.00","200.00","200.00","180.00","180.00","180.00","180.00",NA,"178.46","13",NA,"160.74","160.00","160.00",NA,"155.00","153.92","160.12",NA,"170.00",NA,"175.00","10","175.00","180.00","129.37","140.00","170.00","170.00","140.00","170.00","170.00",NA,NA,"170.00","180.00","180.00","180.00",NA,NA,"190.00","190.00",NA,NA,NA,NA,NA,"190.00","200.00","190.00","200.00","29","12",NA,"12",NA,NA,"11","15",NA,NA,"10","17",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,"24",NA,NA,"12","19","26",NA,NA,"13","20",NA,NA,NA,"15","22",NA,NA,NA,NA,NA,NA,"16",NA,NA,"700.00","700.00","700.00","700.00",NA,"700.00","700.00","700.00",NA,NA,"12","19",NA,NA,NA,"22","750.00","750.00","750.00","700.00","700.00","700.00","700.00","700.00"
"21","MALOMO","105.00","100.00","103.00","105.00","100.00","100.00","12",NA,NA,"105.00","120.00","120.00","120.00","120.00","120.00","118.76","118.76","135.00","133.00","120.00","140.00",NA,"135.00","130.00","134.50","135.00","135.00","140.00","140.00","145.00","146.00","145.00","145.00",NA,NA,"148.00","150.00","156.70","155.00","170.00","174.00","175.00","170.00","190.00","195.00","190.00","195.00","200.00","200.00","197.00","200.00",NA,NA,"190.00","185.00","180.00","180.00","180.00","170.00","185.00","176.60",NA,"176.00","17","170.00","165.00","150.00","165.00","160.00",NA,"165.00","165.00","170.00",NA,"150.00","125.00","120.00","150.40","137.50","137.50","135.14","137.50","122.50","116.85","120.35","18","120.05","127.50","132.50","137.50","172.50","132.50","134.60","137.50","136.50","131.12","135.50","134.10","137.50","137.50","137.50","137.50",NA,NA,NA,"137.50","136.50","137.50","136.00","136.00","137.00","177.60","137.50","137.00","137.00","137.50","137.50","137.50","136.50",NA,"137.50",NA,"145.00","142.00","144.50","143.03","147.50","140.50","147.50","148.00","29","148.00","145.00","150.00","152.50","148.50","10","150.50","151.33","142.46","148.50",NA,"149.00",NA,"150.00","148.50","147.50","147.00",NA,NA,"16","11","11","12","150.00",NA,"12","127.50",NA,"149.00","149.00","149.00",NA,NA,"150.50",NA,NA,NA,NA,NA,"165.00",NA,"166.50","170.00","500.00","500.00","500.00","500.00",NA,NA,"475.00","475.00",NA,"700.00","700.00","700.00","600.00",NA,NA,NA,NA,"500.00","500.00","500.00",NA,"675.00","675.00",NA,"700.00","700.00","700.00","675.00","19","26",NA,NA,"690.00","20",NA,"650.00","700.00","650.00","700.00","700.00","700.00","700.00","700.00","10",NA,"700.00",NA,NA,"700.00","700.00","700.00","700.00","725.00","725.00","725.00","725.00",NA,NA,"12","19",NA,NA,NA,NA,"725.00","725.00","725.00","725.00","725.00","725.00","725.00","725.00"
"22","MPONELA",NA,"100.00","100.00","110.00",NA,"110.00","130.00",NA,NA,"130.00","130.00","130.00","130.00","130.00","150.00","150.00","150.00","150.00",NA,"150.00","150.00",NA,"150.00","150.00","17","150.00","150.00","150.00","150.00","150.00","160.00","160.00","160.00","150.00",NA,"160.00","150.00","170.00","170.00","180.00","180.00","180.00","190.00","190.00","190.00","11","190.00","25","190.00","190.00","190.00","190.00","190.00","190.00","195.45",NA,"190.00","190.00","190.00","190.00",NA,NA,NA,"17",NA,NA,NA,NA,"21",NA,NA,"12","19",NA,NA,"10",NA,NA,NA,"140.04","141.67","156.67",NA,NA,"156.57","18",NA,"173.33",NA,"176.42","173.30","175.40","173.33","175.84","176.42","175.87","173.33","176.42","174.60","175.87","176.42","183.33",NA,NA,NA,"175.87",NA,"176.42","175.84","175.00","183.33","183.43","183.33","183.33","180.00","183.33","183.43","190.00","183.33","183.33","183.33",NA,"183.33","181.60","181.60","183.33","184.35",NA,"183.33","165.00","165.00","165.00","183.00",NA,"183.33","163.33","165.00","173.33","176.67","173.33","176.67","176.67","173.33",NA,"167.57","176.67",NA,"26","150.00","250.00","16","11","176.88",NA,NA,NA,"180.00","173.33",NA,"180.00","180.00","183.33","183.33","183.33","183.33",NA,NA,NA,NA,NA,"183.33","183.33","183.33","183.33","475.00","475.00",NA,"12",NA,NA,"11",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,"550.00","550.00","550.00",NA,NA,NA,NA,"650.00",NA,NA,"12","19","650.00",NA,NA,NA,NA,"27",NA,NA,"650.00",NA,NA,"650.00","14","21",NA,NA,"16",NA,"700.00","18","12","12","18",NA,NA,NA,"16","700.00",NA,"12",NA,NA,NA,NA,NA,"700.00","700.00","700.00",NA,NA,"700.00","14","21"
"23","MADISI","110.00","100.00","105.00","105.00",NA,NA,"12","19","110.00","110.00","100.00","110.00","110.00",NA,"120.00","120.00","120.00","120.00","120.00",NA,NA,NA,NA,"160.00","160.00",NA,"150.00","150.00","180.00",NA,"170.00","180.00",NA,NA,NA,NA,NA,"16","23","180.00","180.00","190.00","190.00",NA,"190.00","180.00",NA,"25",NA,"200.00","16",NA,NA,NA,"13",NA,"27","220.00","220.00","220.00","24",NA,"10",NA,NA,NA,"220.00",NA,NA,NA,NA,NA,"19","200.00","200.00",NA,NA,NA,NA,NA,"14","150.00",NA,"150.10",NA,"149.61","25","130.79",NA,"147.99","145.16",NA,NA,NA,"20",NA,NA,"10","11","24","190.61","100.00",NA,NA,NA,NA,"12","19","26",NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,"13","20",NA,NA,NA,"18","25",NA,NA,NA,NA,"29","200.00",NA,NA,NA,NA,"10",NA,"24","31",NA,NA,"21",NA,NA,"12","19","26","11",NA,"11","11","127.75","12","14",NA,"12","130.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200.00",NA,NA,NA,"29",NA,"13",NA,NA,NA,NA,"15",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,"12",NA,"26","28",NA,"13","20","27",NA,NA,"15",NA,NA,NA,"14",NA,NA,NA,"16",NA,NA,NA,"12","12","18",NA,NA,NA,"16",NA,NA,"12",NA,NA,NA,NA,"22",NA,NA,NA,"19",NA,NA,"14","21"
