"","mkt","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01"
"1","Arusha",38464.29,34833.33,31000,20545.45,18461.54,18166.67,18333.33,17000,15000,15700,16200,17580,20100,21400,19600,17500,17100,27978,13800,15300,17300,17800,20400,24500,32400,35600,29600,31400,29500,33500,30545.4545,30000,30000,25000,34091,39000,39000,45000,45000,41000,42357.1429,39000,39000,38000,38000,40000,42000,44000,43000,45000,38000,33000,34000,25000,26000,25000,26625,26769,29200,30857,31083,29178,36566.6,40000,43000,50500,49636,43778,43167,40250,39846,42000,44500,41654,45278,51727,58885,51000,54000,53350,54000,56700,61833,67944.4444,70050,71409.0909,69750,67916.75,56333.4,47194.3333,49750.25,51222.1667,50791.75,52021,50916.75,51937.5,50208.25,50250,49750,50400,53653.85,49166.75,45227,40458,38577,36250,35712,36521,35500,40167,52909,52563,55083,58964,71455,67402,60883,66731,69600,70515,66277.7778,59908,54612,47955,50972,52188,49625,51514,59674,67389,77381
"2","Babati",36562.5,32375,23541.67,15050,12625,17916.67,16733.33,11950,12000,11800,12480,13100,12500,10900,10700,9700,10900,10623,11700,12700,16000,14300,18800,20800,31500,30100,29200,27000,23200,27955,26425,28000,26944,29500,29545,35500,36000,42000,42000,37700,37714.2857,38833.3333,39000,33500,39000,39000,38000,42000,42000,45000,45000,36000,29000,25000,22000,22500,26786,31500,31500,30857,28364,31800,35500,37500,42000,42000,30100,37136,39000,40375,38192,36214,44308,44192,46500,51759,56846,46500,49208,50950,56500,57000,58583,69666.6667,75250,75000,75000,75000,64666.6,44833.3333,45666.75,48888.8333,43666.75,47250,46750,47979.25,47291.75,47292,41458,45300,47230.77,46458.25,40000,39333,46000,45286,32846,31000,33000,38250,50450,48000,51000,52872,61692,69000,70469,69306,67909,66708,66000,65875,59133,51975,44417,48417,46635,47931,64864,66000,74521
"3","Bukoba",27693.75,32025,31545.83,31209.09,27965.38,25247,26338.38,26000,26500,26870,26990,26730,32000,30500,25500,25100,20500,19250,18600,20000,19900,19850,21000,21000,27400,29100,23800,22100,20400,26865,29020,31800,28990,38000,31818,40000,40000,43000,42000,42750,43125,41083.3333,38800,42000,45000,43000,51000,54000,52000,33500,31000,27000,29000,25885,23000,26231,29000,26308,38333,40000,35521,43600,40600,41227,55000,60000,61273,57500,56000,54333,57769,57571,58077,51750,48333,50000,50000,65600,63846,65700,62500,70400,63000,60888.8889,68722.2222,85272.7273,62166.75,58250,53350,49444.3333,54333.25,55250,54291.75,63500,67791.75,70000,62500,62500,51500,49722,47227.27,56250,55000,50500,50538,46821,48192,46773,41000,42842,49273,55333,51333,56577,50556,52500,52500,73929,77000,79875,80166.6667,52500,59167,53500,57313,61071,62313,69688,71000,93875,85300
"4","Dar Es Salaam",38742.86,31375,29375,27727.27,24846.15,17750,18750,16000,14785.71,14800,15000,15200,16300,16100,15000,13600,12900,12600,12700,13400,18200,20800,23200,25300,36100,42300,35200,33500,30200,33229,30754.5455,29000,28883,37692,36114,40000,40000,40000,48000,40800,38187.5,40750,39000,47000,45000,45000,42000,48000,50000,45500,33000,35000,31000,28269,29438,28981,29964,31083,32950,32214,35479,39000,39400,42800,36000,50000,50313,51778,48194,47896,46904,44929,48052,46808,45611,51773,63308,56475,60692,60250,60000,65500,75667,80125,84900,90454.5455,82791.75,79312.5,73033.4,62111.3333,59166.5,58250,59583.25,57833.5,50041.75,53187.5,54791.75,54792,57750,56000,57788.46,55104.125,49700,42398.3333,34211.5,35107,39452,36136,37444,41850,52636,51333,53813,58730.3333,59115,58872,62456.5,67325.3333,65027,64942.3333,67097.6852,64428,42883.3333,58881.3333,59974.3333,60000,58840.3333,59701.6667,65309.6667,74566,92193.3333
"5","Dodoma",36107.14,36541.67,32375,24727.27,20907.69,21166.67,19500,17550,14687.5,15430,15875,16130,14500,14000,13700,13600,12200,12100,12500,12800,15200,18200,20700,24700,37300,36400,35200,36600,32700,30000,29659.0909,30000,30000,32500,33909,42000,42000,45000,43000,39500,40500,39333.3333,38800,40000,42000,45000,45000,54000,55000,55000,55000,42000,45000,32308,30545,33042,32500,33308,31800,33786,28000,37625,40416.6,38182,42000,44000,45591,42375,43286,42000,42000,42000,44808,45462,48188,50909,60000,63600,52462,54000,56250,54500,70417,86000,90000,90000,87000,83000,77600,58666.6667,58125,60000,60000,59000,54000,56500,60000,60000,60000,60000,58173.08,55750,50727,47750,46808,37250,44038,40500,42167,50833,51364,57583,51117,53595,56067,58222,66573,67038,66432,75660,69750,73019,73176,69889,55042,63141,64965,66530,68695,69093,82367
"6","Iringa",24444.44,26111.11,33958.33,34750,32083.33,27750,26136.36,23076.92,19181.82,20000,18800,16500,11800,10100,13100,13400,12300,12250,10100,10600,13200,14300,18500,20300,29600,28000,31200,34200,25900,28250,30000,30000,22929,24300,26045,35000,35000,35000,35000,29700,32812.5,29666.6667,38800,28000,31000,35000,32000,35000,35000,40000,40000,40000,34000,26885,25000,25769,25786,24769,24000,26500,41333,30500,33000,34091,36000,35000,35000,32500,30000,30417,35038,38000,33077,32642,32833,35727,49538,39000,38077,35111.1111,36875,46100,56417,64777.7778,68750,75454.5455,76000,67500,67000,50000,38468.75,39305.5,39625,36916.75,37500,38416.75,38500,38500,44208,38900,39576.92,37625,33955,33333,28692,25964,26269,27318,27000,32833,40909,38208,40389,42593,43233,46688,49111,53591,57000,58636,60800,61000,58648,52100,49833,60000,48833,47500,48000,52917,70357
"7","Kigoma",31210,36387.27,39679.17,33262.5,30875,27825,26663.64,26423.08,26508.33,26350,25687.5,25371.43,26100,24500,24000,22800,21300,19500,22400,21900,25100,25700,29000,29700,35900,35200,58200,33800,25400,28367,27044.4444,30500,30000,37414,37318,38000,36000,36000,36000,29950,27250,29666.6667,38800,41700,41600,36990,35425,33800,55500,52700,52700,44000,33300,31054,33300,33292,35286,39415,38800,38800,39792,38800,44213.4,45695,41600,47200,46123,45100,46354,48500,45500,44000,46923,46385,46667,47909,47715,46676,47192,49100,63312.5,76800,68167,75500,78666.6667,81818.1818,80550,60883.5,52410,49125,45000,52666.6667,66000,66225,62958.5,60000,62250,62250,48050,51600,64653.85,46250,47727,41610,44747,44038,42592,41700,41627,41833,43745,43633,41600,48429,55556,56500,59500,68350,67642,72094,75381.4444,69468,45733,39160,48668,47750,54779,59827,69250,74050,83396
"8","Lindi",37250,37181.82,36375,36833.33,23636.36,19333.33,14950,10961.54,17500,18428.57,19388.89,34428.57,23700,22500,22200,20000,16200,15500,18400,20700,20800,22600,23900,26500,38600,43600,27200,23400,31400,25600,31636.3636,35000,35000,37000,40000,45000,45000,45000,47000,40437.5,35437.5,43000,39000,40000,45000,45000,50000,55000,55000,57000,57000,48000,23000,23808,30100,30077,30000,32577,32500,34286,32229,42500,45000,45000,29000,30000,35625,39583,39167,40833,42500,44643,50000,50000,50000,46591,43654,63000,86364,52000,50625,59000,59167,74444.4444,77050,84083.3333,76363.75,75000,53250,44583.3333,50250,55000,60000,62500,58750,62083.25,64583.25,64583,62917,61750,45769.23,43125,52727,55000,54385,44643,52500,58409,57917,60000,59091,56250,55000,70714,68833,72500,54875,52091,60500,66833,66100,72500,57500,70556,70000,95000,60000,59333,80000,91667,153571
"9","Mbeya",22950,25386.36,28886.36,25937.5,22354.17,17291.67,14113.64,17019.23,17250,17312.5,13525,12400,15600,12200,11600,11800,10700,10700,12700,15600,17000,15400,19600,20900,26000,27000,30700,28300,24100,23167,24250,27000,24844,25442,28545,30000,30000,35000,28000,29600,28500,28125,39000,28000,28000,32600,36000,37000,37500,35000,37500,37000,26000,23135,24708,29442,30357,28333,29100,30938,40125,32639,37806.6,36350,36500,33000,37227,37636,37944,61458,40346,40643,40500,40423,41111,39909,45654,44100,45000,46750,51000,52400,57750,65944.4444,73750,70727.2727,72208.25,73000,53566.6,45955.6667,44250,48333.3333,47916.75,46500,48000,45812.5,44416.75,44625,47458,41850,39923.08,44208.5,40364,34958,36615,39714,33538,32727,32625,32000,39955,44667,44667,42238,46676,49667,51100,57208,61091,63000,67600,60400,53875,53400,50923,48708,49038,49833,53364,59583,62800
"10","Morogoro",33033.33,32625,40208.33,36743.75,34404.17,28825,20600,21271.43,17975,18250,9955.56,10485.71,16400,15500,14800,15300,15500,14400,14100,15600,18800,21500,23900,26000,38100,37800,37900,36700,31400,30829,29577.7778,31700,30508,31804,36750,44000,44500,45000,45000,42730,43437.5,41491.6667,39000,40000,40300,41500,45000,45500,53100,53000,41000,35000,30900,34038,31583,32613,30407,29733,32100,38729,43875,39806,63120,43883,41000,42400,41413,40332,38597,40107,38214,38786,41336,41659,43747,47551,57349,48940,44774,43474.8,49647.875,57718,69083,78539.4444,79590,80096.5455,76363.75,72672.5,59480.8,48931,48133,48849.8333,53100,48083.25,53791.75,55000,57083.25,57000,47233,48275,53223.08,69665.75,33795,30683,33754,34229,34369,34280,33238,39500,49182,52208,55889,55231,49850,56500,59770,78000,70455,68000,57350,64333,61614,59122,60500,57667,60000,59333,77844,85425,104000
