"","mkt","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01"
"11","Moshi",65500,72954.55,84333.33,69875,64000,43500,45800,48272.73,48875,49625,51025,53312.5,62800,49100,48500,51400,49200,57100,44600,53300,55100,47900,50000,65800,87500,82800,77800,87500,85800,119444.4444,101000,110000,107500,107885,104000,120000,120000,130000,130000,124500,121875,118333.3333,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136000,150000,150000,105722,120000,50000,135455,132500,144231,150000,150000,NA,148769,157692,155556,190000,183571,182000,168462,152000,146500,148000,154167,177777.7778,185000,172727.2727,157500,160000,141000,183333.3333,112000,120000,137291.75,128333.25,137500,149166.75,147500.25,148333,170000,166667,164875,160000,156000,147500,150769,166429,156923,164091,163333,161818,170000,175000,180000,180000,187143,178750,181667,185455,177273,185417,159750,158095,152361,154583,162833,151333,133636,133733,162222,158167,165625
"12","Mtwara",72250,74000,81388.89,67812.5,61458.33,51791.67,53541.67,55461.54,60208.33,69125,69050,70375,76700,70200,65600,64100,59900,64000,61400,60100,61500,63400,65200,64200,103700,104000,101200,73800,66600,79500,83000,90000,110000,110000,110000,120000,120000,120000,120000,101000,89375,88333.3333,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117917,145000,159000,128000,112083,120000,121538,124375,126667,121250,139231,NA,143462,130000,125000,108636,123077,118000,130000,120000,120000,122500,145000,155000,169000,146363.6364,130000,136875,138541.75,140500,144999.75,143611.1667,137500,141666.75,136874.75,129479.25,130208.5,130417,128125,130000,126730.77,145416.75,148955,146000,149885,148393,152885,154773,149792,156667,163864,166042,175000,171923,190385,175000,175000,182692,176818,188636,194545.4545,179444,173333,175000,175000,175000,175000,170909,170556,172083,175000
"13","Musoma",59000,67500,69375,75000,68583.33,50625,45250,46730.77,51458.33,60937.5,70000,59500,57800,54700,50700,52100,49200,53600,53500,58300,62800,68200,68300,68200,77300,72800,70600,80900,74500,90350,85000,87500,117500,116923,104950,90000,1e+05,1e+05,98000,84250,83125,82083.3333,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131538,126250,126000,130000,130500,117917,137500,132500,135000,132917,135000,NA,138462,120000,130000,125455,129231,124000,116923,125600,122000,130600,152083,157222.2222,137500,127000,110000,122500,128516.6,128333.3333,127833.5,125000,125000,125000,129666.75,130000,131000,131000,130000,141111,150000,147500,140000,147083,150000,150000,140000,169091,163333,173182,179091,180000,180000,180900,178333,181250,225000,132500,143250,177500,162222.2222,144000,160000,168333,165000,170000,170000,167250,169000,175000,175000
"14","Mwanza",54150,64954.55,66833.33,69625,68833.33,57000,99818.18,56538.46,58541.67,63750,67750,76071.43,65400,53500,54000,57600,58900,63300,71200,69200,74800,83900,83200,75600,90600,79900,71500,74500,75400,92250,90500,95000,1e+05,105000,112500,85000,85000,110000,1e+05,86500,85000,89166.6667,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89636,136450,122300,40125,130000,145000,121250,127045,126111,125000,127308,NA,129615,114654,121667,115682,119962,145500,169077,163300,133125,135000,137083,132857.1429,142500,130000,142500,136875,155000,155000,170000,166111.1667,160000,160000,145833.25,145000,142500,142500,130000,122000,148846.15,145000,145455,145000,145000,148571,165000,161364,150455,145000,153182,175000,175000,170000,169286,170000,192500,195909,196818,2e+05,193888.8889,140833,155000,155000,155000,175625,177500,163500,185000,2e+05,184063
"15","Shinyanga",47150,60363.64,69041.67,70375,57416.67,50041.67,50954.55,46791.67,55833.33,55714.29,53900,59937.5,50500,41000,44600,54300,39400,46300,51400,52400,59000,71500,65000,64100,78900,68900,71600,60500,72100,76750,76950,99250,107500,107885,82500,76500,78000,80000,78000,73300,71285.7143,70916.6667,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102708,102250,116500,32639,30000,150000,106250,124375,117778,120833,120615,NA,105192,100192,117222,124682,132167,126000,115000,128500,126562.5,129500,126917,140357.1429,101388.8889,128954.5455,134750,132500,134166.6,128889,133750,149166.6667,135000,140000,142500,137125,141666.75,140833,141875,149500,147884.62,142083.25,119773,119583,143462,142500,136923,135000,137273,148182,169091,153542,155000,163182,158750,146111,181250,184000,175909,177917,166500,180357,176042,166042,145455,135700,149500,145625,154792,161500,150000
"16","Singida",59950,64200,67500,69687.5,63541.67,50208.33,46409.09,49892.86,52363.64,58166.67,57222.22,56250,57300,48600,44800,46300,44100,46200,50000,50000,53500,61800,66200,74800,93500,87500,74400,71500,72700,87750,92250,120000,103500,106125,102250,95000,1e+05,1e+05,1e+05,103777.7778,95500,113583.3333,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116818,118500,111700,39000,35200,40625,127273,122500,127500,125000,135769,NA,113769,111615,111700,119636,123077,130833,122949,129000,138812.5,150000,111083,142222.2222,147000,155681.8182,140625,136458.25,129466.8,130833.3333,131875,137222.1667,144791.75,147083.25,145000,144791.75,145416.75,144583,140000,135000,144583.33,145000,146818,149583,147692,141857,150000,137318,145909,156250,165455,167917,179444,180455,160313,155500,165000,188077,191818,189167,156590.9091,155556,150000,156000,163000,162500,157083,158864,166458,167273,177857
"17","Songea",52833.33,60863.64,63250,69875,64000,43500,45800,48272.73,48875,49625,51025,53312.5,53400,43100,38400,44000,42600,41400,37400,39900,44000,44700,49100,60200,85000,76400,48700,46700,44100,53666.6667,57777.7778,80000,117500,116923,85375,79500,80000,60000,55000,52300,52312.5,56916.6667,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113250,96389,77366.6,105722,120000,50000,71542,75682,80625,83292,90731,NA,102692,83692,63611,63136,74769,76900,71615,75200,81250,86500,105250,145937.5,86500,67500,86041.75,62625,68000,110000,76250,79833.3333,83875,87250,93958.25,110833.5,128958.25,128333,106818,119250,125769.23,123333.5,85000,95417,94808,112143,121538,139545,132917,135833,114091,99375,122778,151000,171667,160000,155000,165833,169500,186667,197000,151786,129444,127000,122917,114000,110938,112500,128056,163889,160000
"18","Sumbawanga",61025,54818.18,39625,67812.5,61458.33,51791.67,53541.67,55461.54,60208.33,69125,69050,70375,58300,54300,33500,33700,37700,42700,47000,49500,62000,68400,64200,64100,68200,67800,55100,49800,52000,57111.1111,59454.5455,77500,110000,110000,85375,55000,65000,36000,65000,43900,44000,44916.6667,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109625,165000,76916.6,128000,112083,120000,92692,102500,108200,113333,115769,NA,108654,99231,75833,70318,1e+05,115625,87269,92400,95000,111500,129000,88944.4444,127500,165500,90208.5,79791.75,74333.2,110208.6667,117791.5,112500,119583.25,131666.75,135000,135000,135000,135000,131875,112000,111346.15,112916.75,112250,110625,112692,119286,135769,177500,161458,120909,102273,108333,104444,100500,115500,109688,129375,127222,140000,130000,224000,155000,101007,103333,106500,112045,107917,105682,115250,155455,178929
"19","Tabora",67600,65318.18,75158.33,75750,69954.55,51875,61666.67,55166.67,60833.33,72187.5,73500,74285.71,69600,61900,59400,61400,58700,61900,58200,68900,75200,80100,83000,88800,102000,103000,66100,73700,72700,84500,86227.2727,60500,95000,98000,99500,95000,1e+05,1e+05,1e+05,84250,81875,85833.3333,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154833,100750,120550,101042,37000,45600,110000,124375,124792,131250,147083,NA,126731,116923,118056,140000,142692,140000,132308,131000,147500,159000,135000,152777.7778,220000,95227.2727,122916.75,135000,141000,133750,132500,115000,115000,115000,149166.75,145000,145000,145000,153750,139000,135576.92,126250,123182,125417,125000,141071,145000,145000,145417,146667,146591,160000,170000,160000,153403,155000,157857,170000,170000,165000,164250,162685,154924,146364,150000,140909,143077,160000,160000,160000,176667
"20","Tanga",63450,68363.64,79333.33,69875,64000,43500,45800,48272.73,48875,49625,51025,53312.5,54500,55600,55900,55700,53000,54500,52700,50500,50500,52700,58400,68300,91200,94700,86700,74700,66100,86750,75750,60000,110000,110000,101136,120000,125000,120000,1e+05,80500,80562.5,86250,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152083,125000,120250,105722,120000,50000,93846,75682,110000,114375,90731,NA,129442,125385,63611,120455,124808,133250,122692,122250,123125,128000,136250,129166.6667,141500,136136.3636,124375,121458.25,131666.6,114722.3333,117708.5,112083.3333,117291.75,121875.25,125208.25,130333.25,139791.75,138542,151458,142750,148653.85,136666.75,120750,123958,124423,127857,144231,142955,145625,144167,145682,167500,183611,153333,151795,156833,161250,168301,167727,171100,166000,150383,149865,157431,160005,159486,157513,164069,168639,172841,179062
