,model,precision,recall,fscore,support,accuracy,
0,mw_FCS,0.24,0.30,0.23,199.00,0.60,
1,mw_rCSI,0.59,0.43,0.41,266.33,0.67,
2,tz_FCS,0.32,0.23,0.25,155.67,0.77,
3,tz_rCSI,0.49,0.44,0.46,334.67,0.59,
4,ug_FCS,0.33,0.26,0.28,137.33,0.50,
,,,,,,,
