,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.00,0.00,0.00,7.00,0.60
1,mw_rCSI,0.00,0.00,0.00,3.50,0.67
2,tz_FCS,0.00,0.00,0.00,13.00,0.77
3,tz_rCSI,0.14,0.20,0.16,16.00,0.59
4,ug_FCS,0.06,0.32,0.08,17.67,0.50
,,,,,,
,,,,,,
,,,,,,
