,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.00,0.00,0.00,14.00,0.79
1,mw_rCSI,0.00,0.00,0.00,3.50,0.67
2,tz_FCS,0.00,0.00,0.00,13.00,0.82
3,tz_rCSI,0.00,0.00,0.00,16.00,0.55
4,ug_FCS,0.00,0.00,0.00,17.67,0.66
