,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.63,0.26,0.22,199.00,0.75
1,mw_rCSI,0.47,0.41,0.32,266.33,0.52
2,tz_FCS,0.67,0.16,0.24,155.67,0.84
3,tz_rCSI,0.57,0.43,0.45,334.67,0.63
4,ug_FCS,0.50,0.18,0.26,137.33,0.68
