,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.00,0.00,0.00,7.00,0.69
1,mw_rCSI,0.00,0.00,0.00,3.50,0.56
2,tz_FCS,0.19,0.43,0.25,13.00,0.74
3,tz_rCSI,0.00,0.00,0.00,16.00,0.55
4,ug_FCS,0.11,0.26,0.15,17.67,0.62
