,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.12,0.10,0.11,199.00,0.75
1,mw_rCSI,0.47,0.10,0.16,266.33,0.65
2,tz_FCS,0.33,0.01,0.02,155.67,0.83
3,tz_rCSI,0.30,0.15,0.18,334.67,0.59
4,ug_FCS,0.00,0.00,0.00,137.33,0.66
