,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.00,0.00,0.00,7.00,0.74
1,mw_rCSI,0.00,0.00,0.00,3.50,0.63
2,tz_FCS,0.07,0.06,0.06,13.00,0.83
3,tz_rCSI,0.02,0.07,0.03,16.00,0.60
4,ug_FCS,0.20,0.50,0.27,17.67,0.66
