,model,precision,recall,fscore,support,accuracy,
0,mw_FCS,0.00,0.00,0.00,7.00,0.76,
1,mw_rCSI,0.00,0.00,0.00,3.50,0.56,
2,tz_FCS,0.00,0.00,0.00,13.00,0.84,
3,tz_rCSI,0.00,0.00,0.00,16.00,0.60,
4,ug_FCS,0.26,0.18,0.20,17.67,0.66,
,,,,,,,
,,,,,,,
