,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.43,0.54,0.44,199.00,0.69
1,mw_rCSI,0.35,0.34,0.29,266.33,0.56
2,tz_FCS,0.23,0.24,0.23,155.67,0.74
3,tz_rCSI,0.44,0.33,0.37,334.67,0.55
4,ug_FCS,0.47,0.20,0.24,137.33,0.62
,,,,,,
