,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.6331753994797473,0.25143332906576327,0.23660662070556063,199.0,0.7458091624452416
1,mw_rCSI,0.5050171147732123,0.45092714867693484,0.43172823605073213,266.3333333333333,0.6074956868999569
2,tz_FCS,0.5855311355311356,0.1580867203539643,0.23017134884064858,155.66666666666666,0.8301709715556647
3,tz_rCSI,0.5403862288940676,0.47813650327013996,0.474973229940627,334.6666666666667,0.6138636390184928
4,ug_FCS,0.5167500124396676,0.22864736584144704,0.30747777102256885,137.33333333333334,0.6808759234132369
