,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.00,0.00,0.00,7.00,0.75
1,mw_rCSI,0.00,0.00,0.00,3.50,0.66
2,tz_FCS,0.03,0.01,0.02,13.00,0.83
3,tz_rCSI,0.06,0.14,0.08,16.00,0.61
4,ug_FCS,0.17,0.57,0.24,17.67,0.65
