,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.33,0.15,0.14,199.00,0.73
1,mw_rCSI,0.30,0.33,0.28,266.33,0.57
2,tz_FCS,0.52,0.07,0.12,155.67,0.83
3,tz_rCSI,0.49,0.19,0.21,334.67,0.58
4,ug_FCS,0.31,0.20,0.24,137.33,0.66
