,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.55,0.32,0.34,199.00,0.79
1,mw_rCSI,0.47,0.18,0.25,266.33,0.66
2,tz_FCS,0.48,0.07,0.12,155.67,0.82
3,tz_rCSI,0.47,0.45,0.38,334.67,0.55
4,ug_FCS,0.48,0.18,0.25,137.33,0.66
,,,,,,
