,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.63,0.24,0.21,199.00,0.74
1,mw_rCSI,0.46,0.57,0.50,266.33,0.63
2,tz_FCS,0.58,0.13,0.20,155.67,0.83
3,tz_rCSI,0.52,0.36,0.41,334.67,0.60
4,ug_FCS,0.72,0.10,0.15,137.33,0.66
