"","id","cropyear","value","FS_year"
"127","TZ2009L156","2009",0,"2009"
"128","TZ2009L158","2009",0,"2009"
"129","TZ2009L160","2009",0,"2009"
"130","TZ2009L161","2009",0,"2009"
"131","TZ2009L162","2009",0,"2009"
"132","TZ2009L163","2009",0,"2009"
"133","TZ2009L164","2009",0,"2009"
"134","TZ2009L165","2009",0,"2009"
"135","TZ2009L166","2009",0,"2009"
"136","TZ2009L167","2009",0,"2009"
"137","TZ2009L168","2009",0,"2009"
"138","TZ2009L169","2009",0,"2009"
"139","TZ2009L170","2009",0,"2009"
"140","TZ2009L171","2009",0,"2009"
"141","TZ2009L173","2009",0,"2009"
"142","TZ2009L174","2009",0,"2009"
"143","TZ2009L175","2009",0,"2009"
"144","TZ2009L176","2009",0,"2009"
"145","TZ2009L177","2009",0,"2009"
"146","TZ2009L178","2009",0,"2009"
"147","TZ2009L198","2009",0,"2009"
"148","TZ2009L199","2009",0,"2009"
"149","TZ2009L101","2010",0,"2010"
"150","TZ2009L102","2010",0,"2010"
"151","TZ2009L103","2010",0,"2010"
"152","TZ2009L104","2010",0,"2010"
"153","TZ2009L105","2010",0,"2010"
"154","TZ2009L107","2010",0,"2010"
"155","TZ2009L108","2010",0,"2010"
"156","TZ2009L109","2010",0,"2010"
"157","TZ2009L110","2010",0,"2010"
"158","TZ2009L112","2010",0,"2010"
"159","TZ2009L113","2010",0,"2010"
"160","TZ2009L114","2010",0,"2010"
"161","TZ2009L115","2010",0,"2010"
"162","TZ2009L116","2010",0,"2010"
"163","TZ2009L117","2010",0,"2010"
"164","TZ2009L118","2010",0,"2010"
"165","TZ2009L119","2010",0,"2010"
"166","TZ2009L120","2010",0,"2010"
"167","TZ2009L121","2010",0,"2010"
"168","TZ2009L122","2010",0,"2010"
"169","TZ2009L123","2010",0,"2010"
"170","TZ2009L124","2010",0,"2010"
"171","TZ2009L125","2010",0,"2010"
"172","TZ2009L126","2010",0,"2010"
"173","TZ2009L127","2010",0,"2010"
"174","TZ2009L128","2010",0,"2010"
"175","TZ2009L129","2010",0,"2010"
"176","TZ2009L130","2010",0,"2010"
"177","TZ2009L131","2010",0,"2010"
"178","TZ2009L132","2010",0,"2010"
"179","TZ2009L133","2010",0,"2010"
"180","TZ2009L134","2010",0,"2010"
"181","TZ2009L135","2010",0,"2010"
"182","TZ2009L136","2010",0,"2010"
"183","TZ2009L137","2010",0,"2010"
"184","TZ2009L138","2010",0,"2010"
"185","TZ2009L139","2010",0,"2010"
"186","TZ2009L140","2010",0,"2010"
"187","TZ2009L141","2010",0,"2010"
"188","TZ2009L142","2010",0,"2010"
"189","TZ2009L143","2010",0,"2010"
"190","TZ2009L144","2010",0,"2010"
"191","TZ2009L145","2010",0,"2010"
"192","TZ2009L146","2010",0,"2010"
"193","TZ2009L147","2010",0,"2010"
"194","TZ2009L148","2010",0,"2010"
"195","TZ2009L149","2010",0,"2010"
"196","TZ2009L150","2010",0,"2010"
"197","TZ2009L151","2010",0,"2010"
"198","TZ2009L152","2010",0,"2010"
"199","TZ2009L153","2010",0,"2010"
"200","TZ2009L155","2010",0,"2010"
"201","TZ2009L156","2010",0,"2010"
"202","TZ2009L158","2010",0,"2010"
"203","TZ2009L160","2010",0,"2010"
"204","TZ2009L161","2010",0,"2010"
"205","TZ2009L162","2010",0,"2010"
"206","TZ2009L163","2010",0,"2010"
"207","TZ2009L164","2010",0,"2010"
"208","TZ2009L165","2010",0,"2010"
"209","TZ2009L166","2010",0,"2010"
"210","TZ2009L167","2010",0,"2010"
"211","TZ2009L168","2010",0,"2010"
"212","TZ2009L169","2010",0,"2010"
"213","TZ2009L170","2010",0,"2010"
"214","TZ2009L171","2010",0,"2010"
"215","TZ2009L173","2010",0,"2010"
"216","TZ2009L174","2010",0,"2010"
"217","TZ2009L175","2010",0,"2010"
"218","TZ2009L176","2010",0,"2010"
"219","TZ2009L177","2010",0,"2010"
"220","TZ2009L178","2010",0,"2010"
"221","TZ2009L198","2010",0,"2010"
"222","TZ2009L199","2010",0,"2010"
"223","TZ2009L101","2011",0,"2011"
"224","TZ2009L102","2011",0,"2011"
"225","TZ2009L103","2011",0,"2011"
"226","TZ2009L104","2011",0,"2011"
"227","TZ2009L105","2011",0,"2011"
"228","TZ2009L107","2011",0,"2011"
"229","TZ2009L108","2011",0,"2011"
"230","TZ2009L109","2011",0,"2011"
"231","TZ2009L110","2011",0,"2011"
"232","TZ2009L112","2011",0,"2011"
"233","TZ2009L113","2011",0,"2011"
"234","TZ2009L114","2011",0,"2011"
"235","TZ2009L115","2011",0,"2011"
"236","TZ2009L116","2011",0,"2011"
"237","TZ2009L117","2011",0,"2011"
"238","TZ2009L118","2011",0,"2011"
"239","TZ2009L119","2011",0,"2011"
"240","TZ2009L120","2011",0,"2011"
"241","TZ2009L121","2011",0,"2011"
"242","TZ2009L122","2011",0,"2011"
"243","TZ2009L123","2011",0,"2011"
"244","TZ2009L124","2011",0,"2011"
"245","TZ2009L125","2011",0,"2011"
"246","TZ2009L126","2011",0,"2011"
"247","TZ2009L127","2011",0,"2011"
"248","TZ2009L128","2011",0,"2011"
"249","TZ2009L129","2011",0,"2011"
"250","TZ2009L130","2011",0,"2011"
"251","TZ2009L131","2011",0,"2011"
"252","TZ2009L132","2011",0,"2011"
"253","TZ2009L133","2011",0,"2011"
"254","TZ2009L134","2011",0,"2011"
"255","TZ2009L135","2011",0,"2011"
"256","TZ2009L136","2011",0,"2011"
"257","TZ2009L137","2011",0,"2011"
"258","TZ2009L138","2011",0,"2011"
"259","TZ2009L139","2011",0,"2011"
"260","TZ2009L140","2011",0,"2011"
"261","TZ2009L141","2011",0,"2011"
"262","TZ2009L142","2011",0,"2011"
"263","TZ2009L143","2011",0,"2011"
"264","TZ2009L144","2011",0,"2011"
"265","TZ2009L145","2011",0,"2011"
"266","TZ2009L146","2011",0,"2011"
"267","TZ2009L147","2011",0,"2011"
"268","TZ2009L148","2011",0,"2011"
"269","TZ2009L149","2011",0,"2011"
"270","TZ2009L150","2011",0,"2011"
"271","TZ2009L151","2011",0,"2011"
"272","TZ2009L152","2011",0,"2011"
"273","TZ2009L153","2011",0,"2011"
"274","TZ2009L155","2011",0,"2011"
"275","TZ2009L156","2011",0,"2011"
"276","TZ2009L158","2011",0,"2011"
"277","TZ2009L160","2011",0,"2011"
"278","TZ2009L161","2011",0,"2011"
"279","TZ2009L162","2011",0,"2011"
"280","TZ2009L163","2011",0,"2011"
"281","TZ2009L164","2011",0,"2011"
"282","TZ2009L165","2011",0,"2011"
"283","TZ2009L166","2011",0,"2011"
"284","TZ2009L167","2011",0,"2011"
"285","TZ2009L168","2011",0,"2011"
"286","TZ2009L169","2011",0,"2011"
"287","TZ2009L170","2011",0,"2011"
"288","TZ2009L171","2011",0,"2011"
"289","TZ2009L173","2011",0,"2011"
"290","TZ2009L174","2011",0,"2011"
"291","TZ2009L175","2011",0,"2011"
"292","TZ2009L176","2011",0,"2011"
"293","TZ2009L177","2011",0,"2011"
"294","TZ2009L178","2011",0,"2011"
"295","TZ2009L198","2011",0,"2011"
"296","TZ2009L199","2011",0,"2011"
"297","TZ2009L101","2012",0,"2012"
"298","TZ2009L102","2012",0,"2012"
"299","TZ2009L103","2012",0,"2012"
"300","TZ2009L104","2012",0,"2012"
"301","TZ2009L105","2012",0,"2012"
"302","TZ2009L107","2012",0,"2012"
"303","TZ2009L108","2012",0,"2012"
"304","TZ2009L109","2012",0,"2012"
"305","TZ2009L110","2012",0,"2012"
"306","TZ2009L112","2012",0,"2012"
"307","TZ2009L113","2012",0,"2012"
"308","TZ2009L114","2012",0,"2012"
"309","TZ2009L115","2012",0,"2012"
"310","TZ2009L116","2012",0,"2012"
"311","TZ2009L117","2012",0,"2012"
"312","TZ2009L118","2012",0,"2012"
"313","TZ2009L119","2012",0,"2012"
"314","TZ2009L120","2012",0,"2012"
"315","TZ2009L121","2012",0,"2012"
"316","TZ2009L122","2012",0,"2012"
"317","TZ2009L123","2012",0,"2012"
"318","TZ2009L124","2012",0,"2012"
"319","TZ2009L125","2012",0,"2012"
"320","TZ2009L126","2012",0,"2012"
"321","TZ2009L127","2012",0,"2012"
"322","TZ2009L128","2012",0,"2012"
"323","TZ2009L129","2012",0,"2012"
"324","TZ2009L130","2012",0,"2012"
"325","TZ2009L131","2012",0,"2012"
"326","TZ2009L132","2012",0,"2012"
"327","TZ2009L133","2012",0,"2012"
"328","TZ2009L134","2012",0,"2012"
"329","TZ2009L135","2012",0,"2012"
"330","TZ2009L136","2012",0,"2012"
"331","TZ2009L137","2012",0,"2012"
"332","TZ2009L138","2012",0,"2012"
"333","TZ2009L139","2012",0,"2012"
"334","TZ2009L140","2012",0,"2012"
"335","TZ2009L141","2012",0,"2012"
"336","TZ2009L142","2012",0,"2012"
"337","TZ2009L143","2012",0,"2012"
"338","TZ2009L144","2012",0,"2012"
"339","TZ2009L145","2012",0,"2012"
"340","TZ2009L146","2012",0,"2012"
"341","TZ2009L147","2012",0,"2012"
"342","TZ2009L148","2012",0,"2012"
"343","TZ2009L149","2012",0,"2012"
"344","TZ2009L150","2012",0,"2012"
"345","TZ2009L151","2012",0,"2012"
"346","TZ2009L152","2012",0,"2012"
"347","TZ2009L153","2012",0,"2012"
"348","TZ2009L155","2012",0,"2012"
"349","TZ2009L156","2012",0,"2012"
"350","TZ2009L158","2012",0,"2012"
"351","TZ2009L160","2012",0,"2012"
"352","TZ2009L161","2012",0,"2012"
"353","TZ2009L162","2012",0,"2012"
"354","TZ2009L163","2012",0,"2012"
"355","TZ2009L164","2012",0,"2012"
"356","TZ2009L165","2012",0,"2012"
"357","TZ2009L166","2012",0,"2012"
"358","TZ2009L167","2012",0,"2012"
"359","TZ2009L168","2012",0,"2012"
"360","TZ2009L169","2012",0,"2012"
"361","TZ2009L170","2012",0,"2012"
"362","TZ2009L171","2012",0,"2012"
"363","TZ2009L173","2012",0,"2012"
"364","TZ2009L174","2012",0,"2012"
"365","TZ2009L175","2012",0,"2012"
"366","TZ2009L176","2012",0,"2012"
"367","TZ2009L177","2012",0,"2012"
"368","TZ2009L178","2012",0,"2012"
"369","TZ2009L198","2012",0,"2012"
"370","TZ2009L199","2012",0,"2012"
"371","TZ2009L101","2013",0,"2013"
"372","TZ2009L102","2013",0,"2013"
"373","TZ2009L103","2013",0,"2013"
"374","TZ2009L104","2013",0,"2013"
"375","TZ2009L105","2013",0,"2013"
"376","TZ2009L107","2013",0,"2013"
"377","TZ2009L108","2013",0,"2013"
"378","TZ2009L109","2013",0,"2013"
"379","TZ2009L110","2013",0,"2013"
"380","TZ2009L112","2013",0,"2013"
"381","TZ2009L113","2013",0,"2013"
"382","TZ2009L114","2013",0,"2013"
"383","TZ2009L115","2013",0,"2013"
"384","TZ2009L116","2013",0,"2013"
"385","TZ2009L117","2013",0,"2013"
"386","TZ2009L118","2013",0,"2013"
"387","TZ2009L119","2013",0,"2013"
"388","TZ2009L120","2013",0,"2013"
"389","TZ2009L121","2013",0,"2013"
"390","TZ2009L122","2013",0,"2013"
"391","TZ2009L123","2013",0,"2013"
"392","TZ2009L124","2013",0,"2013"
"393","TZ2009L125","2013",0,"2013"
"394","TZ2009L126","2013",0,"2013"
"395","TZ2009L127","2013",0,"2013"
"396","TZ2009L128","2013",0,"2013"
"397","TZ2009L129","2013",0,"2013"
"398","TZ2009L130","2013",0,"2013"
"399","TZ2009L131","2013",0,"2013"
"400","TZ2009L132","2013",0,"2013"
"401","TZ2009L133","2013",0,"2013"
"402","TZ2009L134","2013",0,"2013"
"403","TZ2009L135","2013",0,"2013"
"404","TZ2009L136","2013",0,"2013"
"405","TZ2009L137","2013",0,"2013"
"406","TZ2009L138","2013",0,"2013"
"407","TZ2009L139","2013",0,"2013"
"408","TZ2009L140","2013",0,"2013"
"409","TZ2009L141","2013",0,"2013"
"410","TZ2009L142","2013",0,"2013"
"411","TZ2009L143","2013",0,"2013"
"412","TZ2009L144","2013",0,"2013"
"413","TZ2009L145","2013",0,"2013"
"414","TZ2009L146","2013",0,"2013"
"415","TZ2009L147","2013",0,"2013"
"416","TZ2009L148","2013",0,"2013"
"417","TZ2009L149","2013",0,"2013"
"418","TZ2009L150","2013",0,"2013"
"419","TZ2009L151","2013",0,"2013"
"420","TZ2009L152","2013",0,"2013"
"421","TZ2009L153","2013",0,"2013"
"422","TZ2009L155","2013",0,"2013"
"423","TZ2009L156","2013",0,"2013"
"424","TZ2009L158","2013",0,"2013"
"425","TZ2009L160","2013",0,"2013"
"426","TZ2009L161","2013",0,"2013"
"427","TZ2009L162","2013",0,"2013"
"428","TZ2009L163","2013",0,"2013"
"429","TZ2009L164","2013",0,"2013"
"430","TZ2009L165","2013",0,"2013"
"431","TZ2009L166","2013",0,"2013"
"432","TZ2009L167","2013",0,"2013"
"433","TZ2009L168","2013",0,"2013"
"434","TZ2009L169","2013",0,"2013"
"435","TZ2009L170","2013",0,"2013"
"436","TZ2009L171","2013",0,"2013"
"437","TZ2009L173","2013",0,"2013"
"438","TZ2009L174","2013",0,"2013"
"439","TZ2009L175","2013",0,"2013"
"440","TZ2009L176","2013",0,"2013"
"441","TZ2009L177","2013",0,"2013"
"442","TZ2009L178","2013",0,"2013"
"443","TZ2009L198","2013",0,"2013"
"444","TZ2009L199","2013",0,"2013"
"445","TZ2009L101","2014",0,"2014"
"446","TZ2009L102","2014",0,"2014"
"447","TZ2009L103","2014",0,"2014"
