"","id","cropyear","value","FS_year"
"1","230322101007","2008",926.463972693,"2008"
"2","2211303","2008",491.5294141,"2008"
"3","2224305","2008",526.280892,"2008"
"4","2401001","2008",420.8078667,"2008"
"5","3112002","2008",724.1437582,"2008"
"6","3204003","2008",541.8738574,"2008"
"7","3314001","2008",447.19410683,"2008"
"8","3402001","2008",698.6719785,"2008"
"9","4115002","2008",480.89634715,"2008"
"10","4127004","2008",504.66236919,"2008"
"11","4309003","2008",704.156720864,"2008"
"12","4334001","2008",720.50761993,"2008"
"13","4510004","2008",733.76751473,"2008"
"14","4603001","2008",660.47762532,"2008"
"15","4617003","2008",603.136144781,"2008"
"16","6112001","2008",632.2809892,"2008"
"17","6512004","2008",717.520559,"2008"
"18","6512302","2008",751.2299858,"2008"
"19","7104024","2008",658.7579215,"2008"
"20","7122050","2008",658.7579215,"2008"
"21","7202001","2008",770.6378597,"2008"
"22","7209001","2008",759.4504625,"2008"
"23","7317120","2008",677.7832339,"2008"
"24","7321156","2008",751.4962091,"2008"
"25","9201360","2008",962.185114193,"2008"
"26","9312005","2008",821.15362991,"2008"
"27","9407003","2008",898.86092738,"2008"
"28","11412003","2008",866.9335092,"2008"
"29","17712001","2008",799.87290272,"2008"
"30","19420004","2008",966.62074671,"2008"
"31","21408330","2008",342.156026,"2008"
"32","7107052","2008",733.7503416,"2008"
"33","7206012","2008",737.1547368,"2008"
"34","9503001","2008",778.8829491,"2008"
"35","230316101003","2008",1025.342294739,"2008"
"36","40133103003","2008",468.25631178,"2008"
"37","30403102003","2008",660.1464788,"2008"
"38","230322101007","2009",789.854902436,"2009"
"39","2211303","2009",835.1188088,"2009"
"40","2224305","2009",790.7690688,"2009"
"41","2401001","2009",607.1223418,"2009"
"42","3112002","2009",1173.8403527,"2009"
"43","3204003","2009",1022.9193997,"2009"
"44","3314001","2009",729.21697662,"2009"
"45","3402001","2009",1181.0491611,"2009"
"46","4115002","2009",627.40150868,"2009"
"47","4127004","2009",723.09271561,"2009"
"48","4309003","2009",733.931905373,"2009"
"49","4334001","2009",641.539846859,"2009"
"50","4510004","2009",828.97588961,"2009"
"51","4603001","2009",801.34206301,"2009"
"52","4617003","2009",604.75706493,"2009"
"53","6112001","2009",742.9678457,"2009"
"54","6512004","2009",984.9672428,"2009"
"55","6512302","2009",1009.1143254,"2009"
"56","7104024","2009",705.5048058,"2009"
"57","7122050","2009",705.5048058,"2009"
"58","7202001","2009",789.8195544,"2009"
"59","7209001","2009",780.3944017,"2009"
"60","7317120","2009",694.6488453,"2009"
"61","7321156","2009",751.6762093,"2009"
"62","9201360","2009",1262.255516897,"2009"
"63","9312005","2009",1004.74316985,"2009"
"64","9407003","2009",1140.45881895,"2009"
"65","11412003","2009",867.322431305,"2009"
"66","17712001","2009",783.74191862,"2009"
"67","19420004","2009",944.07961098,"2009"
"68","21408330","2009",587.8613188,"2009"
"69","7107052","2009",755.6442684,"2009"
"70","7206012","2009",747.2742576,"2009"
"71","9503001","2009",1036.679554,"2009"
"72","230316101003","2009",782.400708279,"2009"
"73","40133103003","2009",733.28197856,"2009"
"74","30403102003","2009",1154.7892489,"2009"
"75","230322101007","2010",758.305270197,"2010"
"76","2211303","2010",465.4326847,"2010"
"77","2224305","2010",487.365537,"2010"
"78","2401001","2010",438.0302636,"2010"
"79","3112002","2010",727.0302468,"2010"
"80","3204003","2010",535.208289,"2010"
"81","3314001","2010",500.92401254,"2010"
"82","3402001","2010",732.4605803,"2010"
"83","4115002","2010",504.54166825,"2010"
"84","4127004","2010",485.64926639,"2010"
"85","4309003","2010",665.638460404,"2010"
"86","4334001","2010",578.901171931,"2010"
"87","4510004","2010",662.21818323,"2010"
"88","4603001","2010",692.88476106,"2010"
"89","4617003","2010",593.19591874,"2010"
"90","6112001","2010",670.2924412,"2010"
"91","6512004","2010",906.2101846,"2010"
"92","6512302","2010",915.1662196,"2010"
"93","7104024","2010",635.2427159,"2010"
"94","7122050","2010",635.2427159,"2010"
"95","7202001","2010",775.2674855,"2010"
"96","7209001","2010",748.2188859,"2010"
"97","7317120","2010",618.2832348,"2010"
"98","7321156","2010",697.112224,"2010"
"99","9201360","2010",1247.211846858,"2010"
"100","9312005","2010",1102.63891534,"2010"
"101","9407003","2010",1087.4427508,"2010"
"102","11412003","2010",860.310775481,"2010"
"103","17712001","2010",642.63330392,"2010"
"104","19420004","2010",741.77887664,"2010"
"105","21408330","2010",339.3395884,"2010"
"106","7107052","2010",712.4319239,"2010"
"107","7206012","2010",671.7774297,"2010"
"108","9503001","2010",844.69064,"2010"
"109","230316101003","2010",775.052421122,"2010"
"110","40133103003","2010",506.69036841,"2010"
"111","30403102003","2010",716.6073233,"2010"
"112","230322101007","2011",794.582104061,"2011"
"113","2211303","2011",643.6367416,"2011"
"114","2224305","2011",733.7998424,"2011"
"115","2401001","2011",648.0924195,"2011"
"116","3112002","2011",966.174698,"2011"
"117","3204003","2011",719.5151688,"2011"
"118","3314001","2011",663.80880413,"2011"
"119","3402001","2011",915.8687888,"2011"
"120","4115002","2011",571.28585524,"2011"
"121","4127004","2011",687.16919655,"2011"
