"","cropyear","value","FS_year","FNID"
"213","2011",0,"2011",NA
"214","2011",0,"2011",NA
"215","2011",0,"2011",NA
"216","2011",0,"2011",NA
"217","2011",0,"2011",NA
"218","2011",0,"2011",NA
"219","2011",0,"2011",NA
"220","2011",0,"2011",NA
"221","2011",0,"2011",NA
"222","2011",0,"2011",NA
"223","2011",0,"2011",NA
"224","2011",0,"2011",NA
"225","2011",0,"2011",NA
"226","2011",0,"2011",NA
"227","2011",0,"2011",NA
"228","2011",0,"2011",NA
"229","2011",0,"2011",NA
"230","2011",0,"2011",NA
"231","2011",0,"2011",NA
"232","2011",0,"2011",NA
"233","2011",0,"2011",NA
"234","2011",0,"2011",NA
"235","2011",0,"2011",NA
"236","2011",0,"2011",NA
"237","2011",0,"2011",NA
"238","2011",0,"2011",NA
"239","2011",0,"2011",NA
"240","2011",0,"2011",NA
"241","2012",0,"2012",NA
"242","2012",0,"2012",NA
"243","2012",0,"2012",NA
"244","2012",0,"2012",NA
"245","2012",0,"2012",NA
"246","2012",0,"2012",NA
"247","2012",0,"2012",NA
"248","2012",0,"2012",NA
"249","2012",0,"2012",NA
"250","2012",0,"2012",NA
"251","2012",0,"2012",NA
"252","2012",0,"2012",NA
"253","2012",0,"2012",NA
"254","2012",0,"2012",NA
"255","2012",0,"2012",NA
"256","2012",0,"2012",NA
"257","2012",0,"2012",NA
"258","2012",0,"2012",NA
"259","2012",0,"2012",NA
"260","2012",0,"2012",NA
"261","2012",0,"2012",NA
"262","2012",0,"2012",NA
"263","2012",0,"2012",NA
"264","2012",0,"2012",NA
"265","2012",0,"2012",NA
"266","2012",0,"2012",NA
"267","2012",0,"2012",NA
"268","2012",0,"2012",NA
"269","2012",0,"2012",NA
"270","2012",0,"2012",NA
"271","2012",0,"2012",NA
"272","2012",0,"2012",NA
"273","2012",0,"2012",NA
"274","2012",0,"2012",NA
"275","2012",0,"2012",NA
"276","2012",0,"2012",NA
"277","2012",0,"2012",NA
"278","2012",0,"2012",NA
"279","2012",0,"2012",NA
"280","2012",0,"2012",NA
"281","2012",0,"2012",NA
"282","2012",0,"2012",NA
"283","2012",0,"2012",NA
"284","2012",0,"2012",NA
"285","2012",0,"2012",NA
"286","2012",0,"2012",NA
"287","2012",0,"2012",NA
"288","2012",0,"2012",NA
"289","2012",0,"2012",NA
"290","2012",0,"2012",NA
"291","2012",0,"2012",NA
"292","2012",0,"2012",NA
"293","2012",0,"2012",NA
"294","2012",0,"2012",NA
"295","2012",0,"2012",NA
"296","2012",0,"2012",NA
"297","2012",0,"2012",NA
"298","2012",0,"2012",NA
"299","2012",0,"2012",NA
"300","2012",0,"2012",NA
"301","2013",0,"2013",NA
"302","2013",0,"2013",NA
"303","2013",0,"2013",NA
"304","2013",0,"2013",NA
"305","2013",0,"2013",NA
"306","2013",0,"2013",NA
"307","2013",0,"2013",NA
"308","2013",0,"2013",NA
"309","2013",0,"2013",NA
"310","2013",0,"2013",NA
"311","2013",0,"2013",NA
"312","2013",0,"2013",NA
"313","2013",0,"2013",NA
"314","2013",0,"2013",NA
"315","2013",0,"2013",NA
"316","2013",0,"2013",NA
"317","2013",0,"2013",NA
"318","2013",0,"2013",NA
"319","2013",0,"2013",NA
"320","2013",0,"2013",NA
"321","2013",0,"2013",NA
"322","2013",0,"2013",NA
"323","2013",0,"2013",NA
"324","2013",0,"2013",NA
"325","2013",0,"2013",NA
"326","2013",0,"2013",NA
"327","2013",0,"2013",NA
"328","2013",0,"2013",NA
"329","2013",0,"2013",NA
"330","2013",0,"2013",NA
"331","2013",0,"2013",NA
"332","2013",0,"2013",NA
"333","2013",0,"2013",NA
"334","2013",0,"2013",NA
"335","2013",0,"2013",NA
"336","2013",0,"2013",NA
"337","2013",0,"2013",NA
"338","2013",0,"2013",NA
"339","2013",0,"2013",NA
"340","2013",0,"2013",NA
"341","2013",0,"2013",NA
"342","2013",0,"2013",NA
"343","2013",0,"2013",NA
"344","2013",0,"2013",NA
"345","2013",0,"2013",NA
"346","2013",0,"2013",NA
"347","2013",0,"2013",NA
"348","2013",0,"2013",NA
"349","2013",0,"2013",NA
"350","2013",0,"2013",NA
"351","2013",0,"2013",NA
"352","2013",0,"2013",NA
"353","2013",0,"2013",NA
"354","2013",0,"2013",NA
"355","2013",0,"2013",NA
"356","2013",0,"2013",NA
"357","2013",0,"2013",NA
"358","2013",0,"2013",NA
"359","2013",0,"2013",NA
"360","2013",0,"2013",NA
"361","2014",0,"2014",NA
"362","2014",0,"2014",NA
"363","2014",0,"2014",NA
"364","2014",0,"2014",NA
"365","2014",0,"2014",NA
"366","2014",0,"2014",NA
"367","2014",0,"2014",NA
"368","2014",0,"2014",NA
"369","2014",0,"2014",NA
"370","2014",0,"2014",NA
"371","2014",0,"2014",NA
"372","2014",0,"2014",NA
"373","2014",0,"2014",NA
"374","2014",0,"2014",NA
"375","2014",0,"2014",NA
"376","2014",0,"2014",NA
"377","2014",0,"2014",NA
"378","2014",0,"2014",NA
"379","2014",0,"2014",NA
"380","2014",0,"2014",NA
"381","2014",0,"2014",NA
"382","2014",0,"2014",NA
"383","2014",0,"2014",NA
"384","2014",0,"2014",NA
"385","2014",0,"2014",NA
"386","2014",0,"2014",NA
"387","2014",0,"2014",NA
"388","2014",0,"2014",NA
"389","2014",0,"2014",NA
"390","2014",0,"2014",NA
"391","2014",0,"2014",NA
"392","2014",0,"2014",NA
"393","2014",0,"2014",NA
"394","2014",0,"2014",NA
"395","2014",0,"2014",NA
"396","2014",0,"2014",NA
"397","2014",0,"2014",NA
"398","2014",0,"2014",NA
"399","2014",0,"2014",NA
"400","2014",0,"2014",NA
"401","2014",0,"2014",NA
"402","2014",0,"2014",NA
"403","2014",0,"2014",NA
"404","2014",0,"2014",NA
"405","2014",0,"2014",NA
"406","2014",0,"2014",NA
"407","2014",0,"2014",NA
"408","2014",0,"2014",NA
"409","2014",0,"2014",NA
"410","2014",0,"2014",NA
"411","2014",0,"2014",NA
"412","2014",0,"2014",NA
"413","2014",0,"2014",NA
"414","2014",0,"2014",NA
"415","2014",0,"2014",NA
"416","2014",0,"2014",NA
"417","2014",0,"2014",NA
"418","2014",0,"2014",NA
"419","2014",0,"2014",NA
"420","2014",0,"2014",NA
"421","2015",0,"2015",NA
"422","2015",0,"2015",NA
"423","2015",0,"2015",NA
"424","2015",0,"2015",NA
"425","2015",0,"2015",NA
"426","2015",0,"2015",NA
"427","2015",0,"2015",NA
"428","2015",0,"2015",NA
"429","2015",0,"2015",NA
"430","2015",0,"2015",NA
"431","2015",0,"2015",NA
"432","2015",0,"2015",NA
"433","2015",0,"2015",NA
"434","2015",0,"2015",NA
"435","2015",0,"2015",NA
"436","2015",0,"2015",NA
"437","2015",0,"2015",NA
"438","2015",0,"2015",NA
"439","2015",0,"2015",NA
"440","2015",0,"2015",NA
"441","2015",0,"2015",NA
"442","2015",0,"2015",NA
"443","2015",0,"2015",NA
"444","2015",0,"2015",NA
"445","2015",0,"2015",NA
"446","2015",0,"2015",NA
"447","2015",0,"2015",NA
"448","2015",0,"2015",NA
"449","2015",0,"2015",NA
"450","2015",0,"2015",NA
"451","2015",0,"2015",NA
"452","2015",0,"2015",NA
"453","2015",0,"2015",NA
"454","2015",0,"2015",NA
"455","2015",0,"2015",NA
"456","2015",0,"2015",NA
"457","2015",0,"2015",NA
"458","2015",0,"2015",NA
"459","2015",0,"2015",NA
"460","2015",0,"2015",NA
"461","2015",0,"2015",NA
"462","2015",0,"2015",NA
"463","2015",0,"2015",NA
"464","2015",0,"2015",NA
"465","2015",0,"2015",NA
"466","2015",0,"2015",NA
"467","2015",0,"2015",NA
"468","2015",0,"2015",NA
"469","2015",0,"2015",NA
"470","2015",0,"2015",NA
"471","2015",0,"2015",NA
"472","2015",0,"2015",NA
"473","2015",0,"2015",NA
"474","2015",0,"2015",NA
"475","2015",0,"2015",NA
"476","2015",0,"2015",NA
"477","2015",0,"2015",NA
"478","2015",0,"2015",NA
"479","2015",0,"2015",NA
"480","2015",0,"2015",NA
