"","cropyear","TZ2009L101","TZ2009L102","TZ2009L103","TZ2009L104","TZ2009L105","TZ2009L106","TZ2009L107","TZ2009L108","TZ2009L109","TZ2009L110","TZ2009L111","TZ2009L112","TZ2009L113","TZ2009L114","TZ2009L115","TZ2009L116","TZ2009L117","TZ2009L118","TZ2009L119","TZ2009L120","TZ2009L121","TZ2009L122","TZ2009L123","TZ2009L124","TZ2009L125","TZ2009L126","TZ2009L127","TZ2009L128","TZ2009L129","TZ2009L130","TZ2009L131","TZ2009L132","TZ2009L133","TZ2009L134","TZ2009L135","TZ2009L136","TZ2009L137","TZ2009L138","TZ2009L139","TZ2009L140","TZ2009L141","TZ2009L142","TZ2009L143","TZ2009L144","TZ2009L145","TZ2009L146","TZ2009L147","TZ2009L148","TZ2009L149","TZ2009L150","TZ2009L151","TZ2009L152","TZ2009L153","TZ2009L154","TZ2009L155","TZ2009L156","TZ2009L157","TZ2009L158","TZ2009L159","TZ2009L160","TZ2009L161","TZ2009L162","TZ2009L163","TZ2009L164","TZ2009L165","TZ2009L166","TZ2009L167","TZ2009L168","TZ2009L169","TZ2009L170","TZ2009L171","TZ2009L172","TZ2009L173","TZ2009L174","TZ2009L175","TZ2009L176","TZ2009L177","TZ2009L178","TZ2009L198","TZ2009L199"
"1",2008,23.9989601552595,25.4827985768135,26.4190331955587,25.5945734408179,24.2775451072018,25.8906862679162,27.7202478533912,27.1513758935931,24.2301774338493,18.3380046571395,21.2084368477096,22.0508480022081,24.8781039209837,24.3648524593524,21.7789359525464,24.0575623693071,23.0057518456518,23.174038452728,25.3543880815875,24.2310512217494,25.2812374823563,24.1042639256793,24.0879436406131,23.4144661259251,22.7332202700982,24.0234286731927,23.334802890736,22.4212129628473,23.5880770463641,22.0470670447898,23.7901714565348,23.7976009599793,22.6454782569738,23.5114214304881,24.5630893226984,23.5081364798049,23.209723069882,23.6204689223982,23.9288397201542,23.9442744304309,27.711165311261,25.812039112103,26.381861832818,25.6576294549636,24.7604290454556,27.4891793582302,24.4861006256057,23.5535540373258,26.2887859197281,27.6075672158384,26.8953992503746,26.5908326391701,26.6503872737074,27.6960608590449,24.2416360705908,24.0295022707612,21.9811716663718,21.839945734454,24.4671247449673,21.3759624123625,20.9504077886251,21.4469087593017,23.744562126756,23.036162134974,22.2142497784988,22.6300016197874,24.0556167663311,24.6418744663325,23.5685862658377,23.8992997624884,21.4693102588092,25.5724946353599,20.7498593968328,20.4873172228284,22.9884046965596,26.3590663000615,22.4538438218654,19.6960366114192,23.9988221948752,24.3064763610493
"2",2009,23.5922878863833,25.2314750292633,26.4307701789416,25.5817033375547,24.2284607495379,25.8721956572653,27.7626323752271,27.2498716127496,23.6104249287522,18.0188665116739,20.7168839581724,21.0027608948981,24.2585498894124,23.5788375172955,20.7325929311964,23.1557672911,22.5904425095285,22.0778337651482,24.1968401549736,23.5229246339431,24.7527759565164,23.1813586228878,23.5245109996724,22.7484404138403,21.8244097928619,23.3787378517306,23.1502630961992,22.2532176430779,22.9914046070739,21.9329645431494,23.05050992307,23.5068363529214,22.4958093381263,23.1916872422589,23.6842766834069,23.1675689973037,23.2305764250291,23.3010171996656,23.6014398279509,23.7248871007075,27.8149168935403,25.8303199455583,26.2797027719939,25.6768806968076,24.7979130844951,27.6299739690523,24.5180741281466,23.4991575284533,26.1509862381152,27.4864321287293,26.9310567106753,26.5269336612722,26.4745969673395,27.7972698981679,23.7221720668779,23.6215126132483,21.5771013206868,21.4918864777128,24.2295902428097,21.1304167849582,20.6727205372158,21.1903837195756,23.4629529796848,22.7114323052398,21.8989151749865,22.2867254549483,24.007128848985,24.4588392359609,23.4500309907167,23.7250907196362,21.3137262179797,25.2168469640681,20.5055053645098,20.293749864147,22.7557726216953,26.1938359060079,22.0497670994838,19.3825969647504,23.7515678350766,24.0051349672514
"3",2010,23.6726376385521,25.3597742933282,26.5845126167428,26.3000065621583,24.8176975571707,26.4664047882692,27.9889159666578,27.9544654150946,23.6946940612126,18.5073268555862,20.73332605769,20.9549980904554,24.0482735967238,23.5027794367218,20.6785345889053,23.2172666597918,22.439158906959,21.9590034997781,23.8935868384674,23.2995795184988,24.6091838041842,23.0495603052488,23.2655089766964,22.3950390784084,21.575814123828,22.6377682607947,22.5357583487337,21.5702555268053,22.3982421151736,21.1021668200227,22.694190269779,22.6311723462689,22.1576060353577,22.8042599130973,23.5284436836505,22.7664032902754,22.4040916183179,23.0760123340055,22.6393688516106,23.5336844774095,28.2249450381559,26.1180742712561,26.1270142830209,26.209583282515,25.5117124294784,27.2575156959315,25.1437984170876,23.8911429264222,26.1842387272043,27.2817018745018,26.6486346688385,26.4576039841361,26.5431804646759,27.1947605893651,23.5362022393171,23.4623532448101,20.6305515265977,20.842258518066,23.5066888874432,20.3996111686837,19.8181875694588,20.6290179170136,22.666206123068,22.3571721125748,21.1834203832897,21.7297363393596,23.3017226246003,24.203862479174,22.9221541853057,23.414705504541,20.9857072367397,25.1175494262489,19.6797215859063,19.8657126892597,22.2981632027674,25.9912244762973,21.4752162338162,18.8704960468836,22.7852113385701,23.6673319549326
"4",2011,24.5959819814583,26.1823127526261,27.4236946732637,26.7390342408492,25.5319080832944,26.9901510020592,28.4081915793304,28.3327494506411,24.4878411494767,19.6144490023346,21.8498521195256,22.2988852664665,25.2024712610521,24.5706984289262,21.7005740675864,24.2715266862862,23.3374619441317,23.0658254193031,24.7849087137048,24.0642288365477,25.7321002561259,23.7976180866378,24.2083657112926,23.2720896376221,22.5318866391089,23.1462891415359,22.8989551149615,21.8594317244273,22.8902550673675,21.3766655891602,23.3012119060665,23.0322635258214,22.4709039264372,23.1621267897189,24.1831630004591,23.1982171516135,22.4052173157562,23.2844627568374,22.9587429909026,24.2195100781384,28.9066275241515,26.7682724992462,26.7511017394873,26.9697525768602,26.2639852767195,28.0452770826415,25.9426666952838,24.4158546526623,26.8420266371279,27.7822611234935,27.3660217651561,27.1407450683182,27.1562859760245,27.9415469105718,24.4824711871064,24.3801204443788,20.7369930047338,20.9689729418074,23.7382511876584,20.6160815749215,20.0106593329777,20.8257097428349,22.9322199184379,22.6885199445201,21.4537884408519,21.9759247739596,23.769023174509,24.9382915462914,23.3503418683667,23.981917299723,21.4270236773807,25.9090124101225,19.8936379626146,20.1931294725071,22.8044725370326,26.7878909656168,21.8850312163466,19.0708374366167,22.9518427145269,24.2246633447128
"5",2012,23.7367048412412,25.1752220803312,26.6804776846153,25.8836656976587,25.5139200834819,26.844246887192,27.8344194862371,26.8836550666084,23.4327145059251,21.0936489036046,21.5735894240082,21.5129569891074,23.3557448257143,22.6977348957289,21.6393504820675,22.9142204810685,22.6017051805805,22.039511006482,22.6793798013434,23.4939671038407,24.3011904299803,23.1645412619617,23.4774757658394,22.7142488757818,21.7473357781355,22.1548042700929,21.7667555692617,21.0148449574052,21.9965813000673,21.010347809066,22.6290785400369,22.0729668701374,21.0310707217799,22.7595788177821,23.3524113385951,22.8935365619844,21.3594584798984,22.8269607658334,21.9372254541847,23.3958621891773,27.3071972694136,25.6828287461845,25.1683886323245,25.5176384709797,25.8243871559823,27.1211801710136,25.5628554162609,23.7613518076594,26.1763760079603,27.5152168667562,26.8910077449396,26.3033581980779,26.830467126348,27.1265193454256,23.5064682626598,23.846248235237,21.4784849092806,21.6508847341454,22.41855641303,20.5926581571658,19.8903909316837,20.8419204831108,21.0918318611145,22.2328854441576,21.3268866493887,21.8880844825215,22.5618919271521,23.898464913411,21.8433340145806,22.8265224230899,21.158505006707,24.8136514013177,19.9307574987511,19.9353653323885,21.8990404325573,25.6367343607587,22.1572779245581,20.7261507862426,21.9034910029306,23.4251012235039
"6",2013,23.359794765173,24.8875570392364,25.8641621256946,25.1739290639124,24.0125676550213,25.4882887108602,26.7836412951609,26.4975450310906,23.5719284878845,18.1455298647007,20.6268444105535,21.1431203296719,24.058356446889,23.555850380748,20.8529158662348,23.2816458886824,22.2354723615499,22.1920897823412,24.2197769770173,23.4418175427822,24.6992843549879,23.2064677510127,23.367783840486,22.5726383361904,21.769982749858,22.910520369361,22.8102686199898,21.7225041097203,22.6355335042703,21.2918878676387,22.9078511698971,22.9745055555623,22.2602158377463,22.8375629202613,23.6902624042719,22.8048336029099,22.3975147609746,23.0318546934474,22.7954594590185,23.2270805959664,26.8178793627555,25.3432715200714,25.6030073241905,25.2803683272717,24.3830490336396,26.0908978114222,24.1538309679715,23.0590596695294,25.5044794079265,26.2053853186528,25.5552334140373,25.4663428841337,25.8229037276871,26.4477048887019,23.5045552573127,23.3609623891992,20.8039322929655,20.9340687911955,23.3607299003828,20.2672339140512,19.7436418553761,20.4814266866171,22.6227885237502,22.2765628710672,21.1648820931664,21.6727807214407,23.1264948476206,23.7404651675631,22.6890227965385,23.074112891215,20.6204108070914,24.8998009172774,19.5630534769332,19.557724618645,22.0809741058724,25.4833342941009,21.5227558837306,18.9059698326695,22.8373560254549,23.434617054256
"7",2014,25.1614961057568,26.4272890835266,27.2992902797586,27.126057766384,26.2756434338982,27.1504264139075,28.3007473512303,28.6814320854612,25.3587754038782,22.4342270773969,23.7383720508268,23.9751391146741,25.6113523403959,25.1922488826556,23.1956363968039,24.5813801575026,24.1239208834694,23.9736456192919,24.8686663699943,24.6360564115711,26.0295283219851,24.4097111145266,25.3053432491806,24.0056614516112,23.253951737733,24.510636153352,23.9601264779545,23.2506315936991,24.1351027495288,22.7414090687024,24.3294472680242,24.3904228939261,23.4695109543704,24.0431043564445,24.900801985758,24.0323398065777,23.879037366995,24.2130740226542,24.3848573786006,25.1621692248733,29.0639932333517,27.1785487798828,27.1991374523408,27.1574246485786,27.5773613958975,28.4491207113466,27.1764950318525,25.5381099936831,27.5907301016233,27.737609086209,28.1797070062434,27.8358837714464,27.6852616660089,28.4060972551708,25.1594503078725,25.4706713020724,21.8494311019722,21.8807982020856,23.5621435543565,21.8711262060153,21.4534422439279,22.1681320836587,23.3597315968961,23.2103593900987,22.5681629242172,22.9659114685886,24.978207644247,25.6235391005135,24.7624824165401,24.7463660870556,22.7304788910591,26.5686040734706,21.4193120271753,21.4419814524298,23.9015254661588,27.4104645725462,22.9778745976766,20.51706857351,24.3331038995369,25.1562169558328
"8",2015,26.1727742627879,27.3868415858956,27.8226176048239,27.619400337504,26.8249766835582,27.5185005736052,28.700177087079,29.1588919023336,26.6960157422925,23.4724577685784,25.1737525640588,25.5041380702605,27.0972110932684,26.714357187425,24.6006599070121,25.8102977713749,25.2338876114071,25.4826553443259,26.5567354833638,26.1821045866662,27.2889294254579,25.9235460143385,26.7330584808713,25.5834054673118,24.7884897576555,26.5364760083378,25.7092164939143,25.084580061868,26.0662233627441,24.6548621161535,26.1709581361506,26.3483240275911,25.1902055184073,25.8359643723923,26.5464103568843,25.8507543237077,25.7566289047368,25.9177262442371,26.3038230109449,26.3069369981276,29.5766597852908,27.7534513555655,28.0722839481423,27.7212880695459,28.0196563364312,29.1304833726095,27.6319802840182,26.2430304731227,28.1918197995744,28.0088611063705,28.578182535149,28.4047957001435,28.1552860452248,29.0330845545865,26.3606548978863,26.5401735181036,24.2105072844045,24.1009090500942,25.3398713692373,23.6832952559958,23.3803834210709,23.8072429403608,25.2065731980195,24.7953114128366,24.31545274113,24.6514018711479,26.4921499556211,26.7952477114551,26.5203525522397,26.1923161489716,24.0642746484749,27.5828603532619,23.3199988111159,22.9779259333872,25.3371749700585,28.1716962552334,24.7992570398465,22.5625178624634,26.2922578090668,26.4724226797034
