ea_id,fs_month,fs_year,yearmon,cellphone,number_celphones,rcsi,logFCS,hdds,asset_index,housing_index,nutri_reten_constrained,nutri_avail_constrained,dist_km,maize_price,maize_mktthin,rice_price,rice_mktthin,tmean,floodmax,raincytot,day1rain,maxdaysnorain
1114002,12,2010,Dec 2010,.5,.625,1.875,4.1049085,5.625,-.39868098,1.0790704,1,1,68.351639,31309.334,0,107381,0,25.6760730179651,0,694.3630365999999,35,153
1114002,12,2012,Dec 2012,1,2,0,3.5263605,3,,-.88582069,1,1,68.351639,73152.781,0,181291.67,0,26.26387413487395,0,634.3034703,52,156
1114002,1,2011,Jan 2011,1,2,0,4.1351666,7,-.39868104,-.88582069,1,1,68.351639,30735.666,0,110601,0,25.3968589676243,0,577.0691450200001,64,160
1114002,11,2012,Nov 2012,.80000001,1.2,11,2.6033206,1.8,,.37170622,1,1,68.351639,64277.668,0,179166.33,0,26.26387413487396,0,634.3034703,52,156
1203003,7,2011,Jul 2011,.125,.125,3.5,4.1442909,6.625,-.39868069,-.09987174,1,1,101.88775,41413,0,111042,0,24.324371094737,0,679.0961406299998,64,157
1203003,7,2013,Jul 2013,.25,.25,2.375,2.2457247,1.875,,.29311079,1,1,101.88775,48133,0,121875,0,24.05967182578008,0,641.8083996200002,69,165
1203003,6,2013,Jun 2013,1,1,0,2.7725887,3,,-.88582069,1,1,101.88775,48931,0,125000,0,24.0596718257801,0,641.8083996200002,69,165
1203003,11,2011,Nov 2011,0,0,0,4.4716387,5,-.39868098,-.88583499,1,1,101.88775,38214,0,129615,0,24.324371094737,0,679.0961406300002,64,157
1203003,10,2013,Oct 2013,1,1,10,1.7917595,1,,-.88583499,1,1,101.88775,48083.25,0,102500,0,24.0596718257801,0,641.8083996200002,69,165
1217003,12,2010,Dec 2010,.25,.25,4.75,4.0104165,4.625,-.39868101,1.0790704,1,1,85.40641,33393,0,119035.5,0,25.11020823929041,0,584.68785741,36,146
1217003,12,2012,Dec 2012,.5,.5,4.25,2.2944071,1.875,,1.4720494,1,1,85.40641,84531.25,0,198052.06,0,25.6913695133866,0,599.5079809000009,44,149
1217003,1,2011,Jan 2011,1,1,0,4.2972856,7,-.39868096,-.88583499,1,1,85.40641,29869.75,0,92948,0,24.84833730144525,0,548.2943639599999,64,154
1217003,10,2013,Oct 2013,1,3,7,2.7725887,2,,-.88582069,1,1,85.40641,58708.375,0,139114.5,0,24.86144267579705,0,525.23006763,68,162
1313004,4,2013,Apr 2013,.5714286,.71428573,3.2857144,2.3014691,1.7142857,,-.43671212,1,1,56.884155,81770.836,0,179583.33,0,25.31382421683671,0,520.9794941299999,69,159
1313004,6,2013,Jun 2013,1,2,8,2.6390574,3,,-.88582069,1,1,56.884155,59814.891,0,156944.44,0,25.3138242168367,0,520.97949413,69,159
1313004,5,2011,May 2011,.25,.25,.5,4.1034207,5.875,-.39868101,-.88583499,1,1,56.884155,40000,0,133333.33,0,25.39685896762428,0,538.0979871900006,66,157
1313301,4,2013,Apr 2013,1,2,0,0,1,,-.88583499,1,1,61.438313,82078.125,0,182187.5,0,24.40978453808464,0,526.5067808100001,69,160
1313301,12,2010,Dec 2010,.40000001,.5,9.5,4.0174208,5,-.39868072,.057321627,1,1,61.438313,33393,0,119035.5,0,24.64752951515293,0,611.2165677500011,36,149
1313301,12,2012,Dec 2012,1,3,5.5,2.3810868,2,,-.88582069,1,1,61.438313,84531.25,0,198052.06,0,25.28840340462654,0,637.4463227699999,66,149
1313301,5,2013,May 2013,0,0,5,2.3025851,1,,2.2580109,1,1,61.438313,76458.352,0,178687.45,0,24.40978453808463,0,526.5067808100001,69,160
1313301,11,2012,Nov 2012,.40000001,.5,5.1999998,2.4434402,1.6,,.057321627,1,1,61.438313,71729.5,0,185833.5,0,25.28840340462651,0,637.4463227700019,66,149
1417304,4,2011,Apr 2011,.11111111,.22222222,5.6666665,4.0194011,5.3333335,-.39868101,.51143301,1,1,28.666489,38182,0,120000,0,23.4623532448101,0,503.308448656,65,165
1417304,4,2013,Apr 2013,.53846157,.92307693,3.5384614,2.653398,2.1538463,,.081506595,1,1,28.666489,83000,0,190000,0,23.846248235237,0,469.849520062,69,168
1417304,11,2011,Nov 2011,1,1,0,2.8903718,2,-.39868098,-.88582069,1,1,28.666489,42000,0,163750,0,23.4623532448101,0,503.308448656,65,165
1417304,10,2011,Oct 2011,1,1,0,4.2626801,5,-.39868104,2.2580109,1,1,28.666489,42000,0,148100,0,23.4623532448101,0,503.308448656,65,165
1431001,4,2013,Apr 2013,1,1,0,3.0445225,2,,-.88583499,1,1,19.80728,82262.5,0,183750,0,25.4837142031253,0,470.595429289,89,164
1431001,1,2011,Jan 2011,.30000001,.5,6,4.0246458,4.9000001,-.10801987,1.31486,1,1,19.80728,29495.801,0,92533.398,0,25.35993447037079,0,488.0446449610006,65,163
1431001,1,2013,Jan 2013,.5,1.125,3.625,2.3924806,2.375,,.68609512,1,1,19.80728,88980,0,225110,0,25.48371420312528,0,470.5954292889995,89,164
1431001,3,2011,Mar 2011,1,2,0,3.9415817,6,-.39868104,-.88583499,1,1,19.80728,40213.281,0,151650,0,25.3599344703708,0,488.044644961,65,163
1438003,7,2011,Jul 2011,.22222222,.22222222,2,4.0565248,5.1111112,-.39868098,2.2580109,1,1,61.060646,45591,0,140000,0,,,,,
1438003,7,2013,Jul 2013,.2,.2,.40000001,2.8810289,2.5999999,,1.9436263,1,1,61.060646,58125,0,152083.2,0,,,,,
1509003,12,2010,Dec 2010,.25,.375,9.75,4.1662798,5.75,-.39868098,.4849484,1,1,23.532375,33786,0,125857,0,23.62151261324829,0,716.21755888,35,157
1509003,12,2012,Dec 2012,.5,.83333331,9.833333,2.6224575,2.3333333,,-.36185831,1,1,23.532375,86000,0,201111.09,0,24.3801204443788,0,760.8546117799998,65,147
1510004,4,2011,Apr 2011,0,0,16,3.8525376,4,-.39868098,2.2580109,1,1,34.58548,39607.25,0,117500,0,,,,,
1510004,4,2013,Apr 2013,.5,.5,16.625,3.0036337,2.5,,1.865032,1,1,34.58548,80418.125,0,179557.3,0,,,,,
1510004,11,2013,Nov 2013,1,1,4,2.8332133,2,,-.88583499,1,1,34.58548,53947.938,0,131614.63,0,,,,,
1529002,12,2010,Dec 2010,0,0,6.125,4.0150781,5.25,-.39868098,1.865032,1,1,41.823093,33786,0,125857,0,,,,,
1529002,12,2012,Dec 2012,.25,.33333334,5.25,2.3899167,1.6666666,,1.2100623,1,1,41.823093,86000,0,201111.09,0,,,,,
1529002,2,2013,Feb 2013,1,1,1,1.3862944,1,,2.2580109,1,1,41.823093,90000,0,158909.09,0,,,,,
2110001,4,2011,Apr 2011,0,0,18,3.831645,6,-.39868096,2.2580109,1,1,87.188705,39166.668,0,125666.66,0,23.5027794367218,0,539.1646730000001,45,166
2110001,2,2011,Feb 2011,.5,.83333331,9.333333,4.0523014,5.6666665,-.39868098,1.2100639,1,1,87.188705,30052,0,112133.34,0,23.50277943672181,0,539.164673,45,166
2110001,1,2013,Jan 2013,.5714286,.71428573,6.4285712,2.2713687,1.8571428,,.91064835,1,1,87.188705,71783.336,0,183916.67,0,22.6977348957289,0,843.0063625999997,28,166
