"","cellphone","number_celphones","rcsi","logFCS","hdds","housing_index","nutri_reten_constrained","nutri_avail_constrained","dist_km","maize_price","maize_mktthin","rice_price","rice_mktthin","tmean","floodmax","raincytot","day1rain","maxdaysnorain"
"94",0.8888889,1.5555556,2.8888888,4.2059674,6.6666665,-0.88582706,1,1,31.860773,28630,0,101550,0,24.2018026055457,535.208289000001,1022.9193997,12,162
"97",0.66666669,1.1111112,6.1111112,4.2643518,6.4444447,-0.88582706,1,1,55.838081,58000,0,150000,0,NA,NA,NA,NA,NA
"100",0.66666669,0.8888889,3.7777777,4.2251859,6.3333335,-0.53651559,1,1,93.831749,27733.334,0,103666.66,0,23.2945398077188,500.92401254,729.21697662,34,152
"102",1,2.375,0.125,4.3470802,7.375,-0.88582605,1,1,64.381454,41774.5,0.5,128347,0.5,25.2492836305514,0,398.049566599999,32,164
"104",1,2,0,4.4716387,6,-0.88582069,1,1,64.381454,44221,0,152884.5,0,25.2492836305514,0,398.0495666,32,164
"106",0.75,1.375,2.875,4.2732983,7.125,-0.88582605,1,1,33.761322,29657.4,0,111743,0,23.6457668122511,732.460580300001,1181.0491611,12,123
"107",1,1,0,3.2771447,4,-0.88582069,1,1,33.761322,36445,0,120060,0,23.4766668868602,915.8687888,732.4605803,31,151
"109",1,1,11,4.388257,5,-0.88583499,1,1,33.761322,38133.32,0,144450,0,23.4766668868602,915.8687888,732.4605803,31,151
"113",1,3,0,4.5163388,8,-0.88582069,1,1,5.6503172,41070.75,0.5,122277.5,0.5,NA,NA,NA,NA,NA
"116",0.875,1.375,2.5,3.983736,6.625,-0.88582069,1,1,5.6503172,49625,0,128750,0,NA,NA,NA,NA,NA
"117",1,2,0,4.3757572,6,-0.88582069,1,1,12.730642,43050,0,125000,0,NA,NA,NA,NA,NA
"118",0.8888889,1.4444444,0.55555558,4.3046093,7.6666665,-0.88582385,1,1,12.730642,29643,0,103482.25,0,NA,NA,NA,NA,NA
"122",0.8888889,1.6666666,4.4444447,4.2100062,7.2222223,-0.88582546,1,1,16.365112,47227.602,0.40000001,129816,0.40000001,NA,NA,NA,NA,NA
"126",1,1,0,4.1190372,8,-0.88582069,1,1,21.352201,40000,0,130000,0,NA,NA,NA,NA,NA
"128",0.55555558,1.1111112,6.7777777,4.1673565,5.8888888,1.2100638,1,1,21.352201,30000,0,120000,0,NA,NA,NA,NA,NA
"131",0.89999998,2.2,2.4000001,4.1903701,7.0999999,-0.88582069,1,1,29.649576,31771,1,123750,1,NA,NA,NA,NA,NA
"133",1,2,0,4.4778051,7,-0.88582069,1,1,29.649576,41538,0,150000,0,NA,NA,NA,NA,NA
"135",1,2,0,4.3757572,6,-0.88582069,1,1,29.649576,42909,0,150000,0,NA,NA,NA,NA,NA
"138",0.625,1.125,2.75,4.1540031,6.25,0.68608975,1,1,35.299133,30060.5,0,91192,0,26.7510848131588,504.54166825,627.401508679999,37,146
"142",1,5,0,4.6101575,8,-0.88582069,1,1,63.3461,39252.371,0,118095.23,0,23.3179837125342,687.16919655,485.64926639,64,156
"143",0.33333334,0.66666669,1.3333334,4.1825047,6.3333335,-0.88583022,1,1,63.3461,29114.285,0,1e+05,0,23.1990456208765,485.649266389999,723.092715609997,36,169
"148",0.33333334,0.33333334,5.3333335,3.9584413,5.3333335,0.86074603,1,1,46.739754,50600,0,104000,0.60000002,NA,NA,NA,NA,NA
"150",1,2,2,4.1470251,6,-0.88582069,1,1,46.739754,39858.398,0,139408.2,0,NA,NA,NA,NA,NA
"154",0.66666669,1,0.22222222,4.0908842,6.7777777,-0.5365172,1,1,70.667084,38167,0,127222,0,NA,NA,NA,NA,NA
"156",1,3,3,4.4067192,5,-0.88582069,0,0,45.720798,37581.668,0,104722.34,0,NA,NA,NA,NA,NA
"158",0.25,0.25,0.25,4.2463994,6.75,-0.099873528,1,1,45.720798,31783.334,0,94250,0,NA,NA,NA,NA,NA
"159",1,3,0,4.59512,8,-0.88582069,0,0,45.720798,39852.668,0,153077,0,NA,NA,NA,NA,NA
"162",0.80000001,1.2,1.9,4.3385248,7.5999999,-0.88583499,1,1,33.295078,50500,0,112000,0.40000001,24.2695131035974,767.167305665997,665.638460404002,32,165
"165",1,3,0,4.2696977,6,-0.88582069,1,1,33.295078,41008.398,0,142174.8,0,24.2695131035974,767.167305666,665.638460404,32,165
"166",1,3,0,4.5108595,8,-0.88582069,1,1,49.018848,46025,0,127500,0,26.6360530704683,696.24742403,578.901171931,32,159
"168",1,1,4,4.2696977,7,-0.88583499,1,1,49.018848,36243.5,0,103010.5,0,26.6360530704683,696.24742403,578.901171931,32,159
"169",0.55555558,0.77777779,4.4444447,4.1373158,6.2222223,1.2100654,1,1,49.018848,31962.5,0,94750,0,26.551051954811,578.901171931,641.539846858999,13,155
"173",0.625,1,3.25,4.1927271,6.75,1.4720511,0.375,0.375,14.149822,41031.855,0,127428.29,0,27.6232158312946,0,531.860413839999,25,168
"174",1,2,14,4.4308167,5,-0.88583499,1,1,56.310783,38513,0,107907.34,0,23.4297060067707,0,798.03846277,48,90
"176",0.71428573,1,5.1428571,3.8493693,6.2857141,0.012416899,1,1,56.310783,28803,0,89519,0,23.5726146699887,0,952.34457754,34,91
"179",1,1,0,4.2121277,6,2.2580109,1,1,63.599037,36327,0,151731,0,26.0408842366199,930.18004688,662.21818323,40,176
"182",0.66666669,1,2,4.0206642,6,1.9086946,1,1,63.599037,38167,0,127222,0,26.0408842366199,930.180046880003,662.218183229998,40,176
"185",0,0,0,4.388257,7,0.64888436,1,1,89.850739,37667.168,0,134666.67,0,26.6746423487863,824.92825387,692.88476106,64,166
"187",0.33333334,0.33333334,2.5555556,3.8904998,5.7777777,1.5593785,1,1,89.850739,39909.832,0,122857.5,0,26.6746423487863,824.928253870003,692.884761060002,64,166
"189",0.2857143,0.42857143,6.7142859,3.8952765,6.2857141,1.3597713,1,1,78.414612,51000,0,90000,1,26.3832056752137,698.586509289999,593.19591874,64,176
"192",1,1,0,4.5485997,8,-0.88582069,1,1,89.737251,37581.668,0,104722.34,0,26.7787611290449,0,507.27554306,47,166
"194",0.625,0.875,2.875,4.205883,6.5,-0.49285248,1,1,89.737251,29719.666,0,91974,0,26.6058386533035,0,620.609310127001,21,166
"196",0.54545456,0.81818181,4,4.08957,6.181818,1.1147941,1,1,141.18356,29733,0,87914,0,24.540430433004,0,663.230941297,21,143
"199",0.625,0.75,1.75,4.1020637,6.375,1.8650302,1,1,63.878548,41413,0,111042,0,NA,NA,NA,NA,NA
"202",0,0,3.25,4.057579,5.875,1.4720494,1,1,80.978134,43875,0,1e+05,0,24.324371094737,0,868.074231929999,42,144
"205",1,1.5,11.5,4.0475326,6,-0.88582069,1,1,80.978134,41000,0,120000,0,24.324371094737,0,868.07423193,42,144
"207",0.375,0.5,0.25,3.952826,6.125,0.293109,1,1,15.578173,45440,0,119000,0,NA,NA,NA,NA,NA
"210",1,2,10.5,4.2506332,7.5,-0.88582784,0.5,0.5,15.578173,43222.602,0,126083.4,0,NA,NA,NA,NA,NA
"212",1,1.3333334,6.1666665,4.2531543,6.8333335,-0.88582307,1,1,70.163345,34750,0,107039,0,26.6922649894762,0,1118.43766249,66,134
"214",1,1.75,0,4.4252672,7.75,-0.88582426,1,1,70.163345,38406,0,95708.5,0,26.6922649894762,0,1118.43766249,66,134
"218",0.625,1,6.5,4.1574759,7,0.293109,1,1,108.02531,32500,0,99375,0,NA,NA,NA,NA,NA
"220",0,0,0,4.2121277,5,2.2580109,1,1,108.02531,30417,0,129375,0,NA,NA,NA,NA,NA
"222",1,1,0,4.1271343,7,-0.88582069,1,1,100.65281,37522.145,0,109285.71,0,25.4780300947337,0,1845.0500203,65,122
"225",0.75,1.375,1.125,4.1220856,6.875,-0.88582784,1,1,100.65281,39633.715,0,95178.57,0,25.4780300947337,0,1845.0500203,65,122
"227",1,3,22,4.1026435,7,-0.88582069,0,0,100.65281,37197.629,0,123547.6,0,25.4780300947337,0,1845.0500203,65,122
"231",0.125,0.25,0.25,4.1498494,6.875,0.293109,1,1,147.24648,34458,0,101354.25,0,26.1225442771385,0,1743.6918418,64,119
"234",1,3,5,4.0430512,6,-0.88582069,1,1,22.358713,45005.332,0,113333.34,0,25.0660273076055,0,613.8374393,66,143
"237",1,3,0,3.7256935,6,-0.88582069,1,1,22.358713,40254,0,109816.66,0,25.0660273076055,0,613.8374393,66,143
"238",0.85714287,1.5714285,2.7142856,4.330071,7.1428571,-0.88582069,1,1,22.358713,39281.168,0,96722.164,0,25.0660273076055,0,613.837439299999,66,143
"240",0.22222222,0.22222222,2.2222223,4.0867119,6.1111112,-0.88583338,1,1,9.1446953,41413,0,111042,0,NA,NA,NA,NA,NA
"243",0.71428573,1.2857143,7,4.2062902,6.8571429,-0.66657913,1,1,9.6219559,38729,0,95714,0,NA,NA,NA,NA,NA
"247",0.625,1.375,2.5,4.2442389,6.75,-0.88582426,1,1,13.128747,41450,0,115000,0,26.9162669509827,0,497.9124824,64,151
"250",0.14285715,0.14285715,3.7142856,4.203701,6.4285712,1.808892,1,1,68.764008,43875,0,1e+05,0,26.1638287768856,0,738.740397179999,12,141
"253",1,1,7,4.1588831,6,2.2580109,1,1,68.764008,41000,0,120000,0,26.1638287768855,0,738.74039718,12,141
"254",0.2857143,0.2857143,1.1428572,4.2536197,7.2857141,1.3597692,1,1,95.673981,41413,0,111042,0,NA,NA,NA,NA,NA
"257",0,0,7,4.0775375,6,-0.88583499,1,1,95.673981,40107,0,115417,0,NA,NA,NA,NA,NA
"258",0,0,8.1111107,3.91695,6.2222223,1.5593785,1,1,38.893166,43875,0,1e+05,0,25.1437984170876,0,820.54374185,64,148
"262",0.5,2,3.5,4.1069617,6,-0.88582784,0.5,0.5,35.730312,44654.125,0,137395.63,0,26.2176801124113,0,639.268547,26,161
"264",0.89999998,2.3,2.0999999,4.2630405,6.5999999,-0.5714404,0.89999998,0.89999998,35.730312,44173.25,0,122715.88,0,26.2176801124115,0,639.268547000005,26,161
"266",1,1,0,4.051785,5,-0.88582069,1,1,65.174675,43018.855,0,118571.43,0,25.4052622639258,814.6961567,670.2924412,64,156
"269",1,3,5,4.2121277,8,-0.88582069,1,1,65.174675,52604.285,0,140595.2,0,25.4052622639258,814.6961567,670.2924412,64,156
"271",0.72727275,1.9090909,9.545455,4.1804709,6.3636365,-0.8858285,1,1,65.174675,29530.428,0,91335.43,0,25.3872582735883,670.292441199999,742.967845700001,67,163
"272",1,2,0,4.2626801,8,-0.88583499,1,1,65.174675,42732.715,0,127976.29,0,25.4052622639258,814.6961567,670.2924412,64,156
"275",0.66666669,0.66666669,5.2222223,4.2524266,6.6666665,-0.88583183,1,1,56.569244,50313,0,124583,0,27.2575156959315,0,680.1033208,41,155
"278",1,2,0,4.1431346,5,-0.88582069,1,1,56.569244,47896,0,142083,0,27.2575156959315,0,680.1033208,41,155
"280",1,1,14,4.1510401,8,-0.88582069,1,1,56.886745,39400,0,218250,0,NA,NA,NA,NA,NA
"281",0.625,1,9.25,4.1084104,6.125,-0.099868163,1,1,56.886745,31083,0,88846,0,NA,NA,NA,NA,NA
"288",0.83333331,1.1666666,1.3333334,4.0296979,6,-0.36185116,1,1,53.92828,47896,0,142083,0,27.2575156959315,0,795.2178173,95,157
"291",0.625,0.625,6.25,4.0380459,5.75,0.293109,1,1,53.92828,48194,0,127944,0,27.2575156959315,0,795.217817299999,95,157
"293",0,0,3,4.0342407,5,2.2580214,1,1,75.9701,35479,0,99167,0,27.2261381426483,1021.9056526,906.2101846,96,163
"294",1,1,0,4.4006028,7,2.2580214,1,1,75.9701,50000,0,125000,0,27.2261381426483,1021.9056526,906.2101846,96,163
"296",0.5714286,0.71428573,7.1428571,3.8644545,5.1428571,2.258019,1,1,75.9701,31083,0,88846,0,27.7136219336101,906.2101846,984.967242799999,22,160
"299",0.625,1,8,4.4471893,7.125,0.68609154,1,1,146.14426,50000,0,125000,0,27.1947605893651,1033.6135798,915.1662196,95,164
"303",0.5,1.5,1.8333334,4.3595037,6.1666665,0.6860975,0,0,149.12968,32214,0,98571,0,NA,NA,NA,NA,NA
"304",1,3,22,4.4067192,5,2.2580252,0,0,149.12968,32950,0,92750,0,NA,NA,NA,NA,NA
"307",1,1.625,3.75,4.1105132,6.5,-0.69398075,0.125,0.125,30.489969,31119,0,93184.398,0,25.1599824439462,0,759.764139100002,35,158
"309",1,1.6,6.8000002,4.2147074,6.8000002,-0.57887679,0,0,7.719327,51778,0,132944,0,27.2575156959315,0,719.7032512,131,167
"311",1,2,0,4.5798526,8,-0.88582069,1,1,7.719327,48194,0,127944,0,27.2575156959315,0,719.7032512,131,167
"312",1,3.5999999,0,4.2951574,7,-0.88582355,1,1,12.585749,42720.5,0,118585.66,0,26.2693255459508,931.674190799998,635.242715900001,134,173
"316",0,0,0,4.051785,4,-0.88583499,1,1,12.585749,40796.168,0,142019,0,26.2693255459508,931.6741908,635.2427159,134,173
"317",1,7,0,4.4543471,8,-0.88582069,1,1,12.585749,41768.832,0,128007,0,26.2693255459508,931.6741908,635.2427159,134,173
"321",0.75,1.75,13.5,3.9137135,6.375,-0.88582247,0.875,0.875,3.3422613,31083,0,88846,0,NA,NA,NA,NA,NA
"324",1,1,0,4.3944492,7,-0.88582069,1,1,15.796395,51274.57,0,128320.29,0,24.8344381397352,0,635.2427159,134,173
"327",1,1.75,7.375,4.1936517,6.875,-0.88582247,1,1,15.796395,38928.57,0,122857.14,0,24.8344381397352,0,635.242715900004,134,173
"330",1,2,0,4.3694477,8,-0.88582069,1,1,15.796395,49352.57,0,143835.86,0,24.8344381397352,0,635.2427159,134,173
"333",1,2,0,4.0943446,7,-0.88582069,1,1,20.651403,34117.57,0,101313.57,0,NA,NA,NA,NA,NA
"334",1,1.5,0,4.1879587,6.5,-0.88582069,1,1,20.651403,32835.715,0,89935.711,0,NA,NA,NA,NA,NA
"336",1,1.8888888,5.6666665,4.2425032,6.3333335,-0.88582069,1,1,20.651403,30845,0,98186.711,0,NA,NA,NA,NA,NA
"340",1,1,0,4.051785,5,-0.88582069,0,0,3.4584658,50313,0,124583,0,27.2575156959315,0,583.9410688,134,174
"341",1,1,0,3.3672957,6,-0.88582069,1,1,3.4584658,50000,0,125000,0,27.2575156959315,0,583.9410688,134,174
"342",1,2.3333333,0,4.1415734,6.6666665,-0.63003653,0,0,3.4584658,36000,0,120000,0,27.2575156959315,0,583.9410688,134,174
"345",1,2,0,4.4485164,6,-0.88582069,0,0,11.858602,42800,0,130000,0,27.2575156959315,0,790.1654391,23,161
"349",1,3.5555556,4.5555553,4.0575786,6.5555553,-0.37424758,0.22222222,0.22222222,11.858602,39400,0,218250,0,27.2575156959315,0,790.1654391,23,161
"355",1,2.3333333,7.7777777,4.3026934,6.2222223,-0.71529788,0.11111111,0.11111111,6.0766034,38750,0,123750,0,27.6232158312946,0,542.621665074,25,167
"360",1,5,0,4.5695429,7,-0.88582069,1,1,13.545733,38866.648,0,165052.08,0,24.7254779763962,988.8483234,712.4319239,23,168
"362",0.85714287,3.1428571,1.5714285,4.3923659,7.1428571,0.21040742,0,0,13.545733,31300,0,92937.5,0.125,24.8898803232922,712.431923900003,755.644268400004,21,162
"363",1,2,0,4.4006028,8,0.64889866,0,0,13.545733,29514.375,0,93552.75,0.125,24.8898803232921,712.4319239,755.6442684,21,162
"365",1,1,11,4.1026435,6,-0.88582069,0,0,8.1306496,50313,0,124583,0,27.2575156959315,0,719.7032512,131,167
"367",1,3.2,5.4000001,4.2486205,7.4000001,-0.88582069,0.2,0.2,8.1306496,50000,0,125000,0,27.2575156959315,0,719.7032512,131,167
"369",1,3,9,4.4942389,7,0.64889866,0,0,8.1306496,36000,0,120000,0,27.2575156959315,0,719.7032512,131,167
"374",1,2.1428571,9.2857141,4.344173,7.1428571,-0.88582069,0.2857143,0.2857143,6.5115929,31083,0,88846,0,27.6299739690523,0,773.3540801,22,166
"376",1,1,13,4.0253515,5,-0.88583499,0,0,4.671186,42266.668,0,130000,0,27.2696087852167,0,723.2249328,131,168
"378",1,2,4.8333335,4.1474118,6.3333335,-0.63003653,0,0,4.671186,52088.867,0,183055.53,0,27.2696087852166,0,723.2249328,131,168
"380",1,4,0,4.1588831,7,-0.88582069,0,0,4.671186,44514,0,141527.67,0,27.2696087852167,0,723.2249328,131,168
"382",1,2.7777777,7.8888888,3.9564674,6.2222223,-0.8858223,0.8888889,0.8888889,12.030807,31083,0,88846,0,27.6299739690523,0,754.5638706,22,167
"386",1,2.4285715,3.7142856,4.2634807,6.7142859,-0.88582069,1,1,25.417114,37404,0,100694.66,0,25.8623085608602,0,635.242715900001,134,173
"389",1,1,0,4.1896548,7,-0.88582069,1,1,14.359507,52139.668,0,124052.5,0,NA,NA,NA,NA,NA
"390",1,2.4285715,1.4285715,4.3676748,7.1428571,-0.66657507,0.85714287,0.85714287,14.359507,51666.668,0,125833.34,0,NA,NA,NA,NA,NA
"394",1,1,0,4.6539602,8,-0.88583499,1,1,14.359507,48968.832,0,142791.33,0,NA,NA,NA,NA,NA
"396",1,3,0,4.2556129,6,-0.88582069,1,1,14.42299,51778,0,132944,0,NA,NA,NA,NA,NA
"398",1,2.5999999,7.5999999,4.2271152,6.1999998,-0.57887679,1,1,14.42299,50000,0,125000,0,NA,NA,NA,NA,NA
"400",1,2,4,4.3502779,7,-0.88582069,1,1,14.42299,47896,0,142083,0,NA,NA,NA,NA,NA
"401",1,2.5999999,12.2,3.8772423,6.5999999,-0.88582426,1,1,8.5769501,32214,0,98571,0,NA,NA,NA,NA,NA
"405",1,2,0,4.2904596,7,-0.88582069,1,1,8.5769501,39400,0,218250,0,NA,NA,NA,NA,NA
"408",1,2.1666667,2.1666667,4.0817704,5.5,-0.88582546,0.83333331,0.83333331,7.6968637,39400,0,218250,0,NA,NA,NA,NA,NA
"412",1,1.5,8.75,4.1073256,7,-0.88582069,1,1,6.4459457,35479,0,99167,0,NA,NA,NA,NA,NA
"413",0.83333331,2.1666667,9.5,4.1645055,6,-0.88582069,1,1,15.075484,32214,0,98571,0,27.6299739690523,0,705.5048058,22,171
"417",1,1.8333334,3.8333333,4.1719332,6.1666665,-0.88582307,1,1,65.069817,45000,0,120000,0,NA,NA,NA,NA,NA
"419",0,0,13,4.2413268,6,-0.88582069,1,1,65.069817,42948.668,0,150512.67,0,NA,NA,NA,NA,NA
"421",1,3,0,4.5108595,7,-0.88582069,1,1,17.142286,47910.273,0,124158.91,0,23.2625093160185,0,607.572098299999,33,163
"425",1,5.4000001,9,4.2608442,6.5999999,0.035010923,0.2,0.2,17.142286,44004.836,0,168712.11,0,23.2625093160185,0,607.572098300004,33,163
"428",0.5,0.5,11,4.0959048,7,-0.88582784,1,1,17.142286,45514.453,0,154349.45,0,23.2625093160185,0,607.572098299999,33,163
"429",1,4,0,4.356709,7,-0.88582069,1,1,17.142286,50178.547,0.18181819,137382.45,0.18181819,23.2625093160185,0,607.572098299999,33,163
"431",1,3.125,2.625,4.2096567,6.25,-0.88582247,0,0,14.520513,34160.5,0,93928.25,0,25.3901185326258,0,1673.10622059,0,86
"433",1,2,0,4.4006028,8,-0.88582069,1,1,14.520513,40150,0,107725,0,24.8966370223326,0,1273.3680306,1,97
"434",1,3,0,4.3372908,7,-0.88582069,0,0,14.520513,35489.5,0,105000.25,0,24.8966370223326,0,1273.3680306,1,97
"439",0.8888889,1.8888888,9.5555553,4.1090908,6.4444447,-0.71529788,0,0,22.027121,39640,0,196426.69,0,24.8966370223326,0,573.5440189,131,171
"443",1,1,8,4.2413268,6,-0.88582069,1,1,46.043056,48786.375,0,121067.5,0,24.1669781719959,0,618.5136384,33,163
"445",0.8888889,1.4444444,7.5555553,4.2140145,6.2222223,-0.36598328,1,1,46.043056,48175,0,121875,0,24.166978171996,0,618.513638400004,33,163
"449",0.875,1.25,10.375,3.7590258,5.375,-0.88582426,1,1,15.471095,39000,0,111300,0,27.2575156959315,0,587.01119736,33,164
"454",1,1.5,0,3.5259278,6,-0.88582069,1,1,32.807865,30930,0,95050,0,NA,NA,NA,NA,NA
"456",1,1.5,5.25,4.3683062,7.5,-0.88582069,1,1,32.807865,30265.199,0,92076.797,0,NA,NA,NA,NA,NA
"458",1,2.3333333,4.5,4.2152076,7.1666665,-0.88582069,1,1,18.10984,50313,0,124583,0,NA,NA,NA,NA,NA
"460",1,2,0,4.2341065,7,-0.88582069,1,1,18.10984,50000,0,125000,0,NA,NA,NA,NA,NA
"462",1,1.6666666,9.666667,3.6579001,4,-0.88582069,0.66666669,0.66666669,18.10984,48194,0,127944,0,NA,NA,NA,NA,NA
"466",1,3.6666667,15.666667,4.3455935,7.1666665,-0.88582069,1,1,24.413219,46351.855,0,120499,0,26.094932178539,0,635.242715900001,134,173
"468",1,2,0,3.8815639,6,-0.88582069,1,1,24.413219,42910.145,0,147719.58,0,26.0949321785391,0,635.2427159,134,173
"469",1,2,4,4.3107991,8,-0.88582069,1,1,24.413219,43756.855,0,133827.28,0,26.0949321785391,0,635.2427159,134,173
"470",1,2,8,4.4248466,5,-0.88582069,1,1,24.413219,44019.57,0,119946.29,0,26.0949321785391,0,635.2427159,134,173
"472",1,1,0,4.1972017,7,-0.88583499,1,1,13.017284,44910.398,0,117552.8,0,NA,NA,NA,NA,NA
"473",1,3.125,2.5,4.243032,7,-0.88582069,1,1,13.017284,39483.602,0,104880,0,NA,NA,NA,NA,NA
"478",1,1,5,3.9796817,4,-0.88582069,1,1,13.017284,43222.602,0,126083.4,0,NA,NA,NA,NA,NA
"480",1,3.375,5.25,4.2326474,6.5,-0.88582069,0.875,0.875,28.272852,40550,0,125636.37,0,23.7280590364015,931.674190799997,635.242715900005,134,173
"488",1,3,0,4.1026435,5,-0.88582069,1,1,28.272852,43601.453,0,156300.55,0,23.7280590364014,931.6741908,635.2427159,134,173
"490",1,3,0,4.59512,8,-0.88582069,1,1,28.272852,46784.184,0.090909094,141999.73,0.090909094,23.7280590364014,931.6741908,635.2427159,134,173
