"","FNID","ea_id","yearmon","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","slope","ag_percent","dist_road","dist_popcenter","dist_agmkt","dist_headquater","elevation","FS_month","FS_year","rCSI","HDDS","FCS","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","lhz_growingdays","lhz_day1rain","tmean","lhz_raincytot","lhz_maxdaysnorain","lhz_floodmax","floodmax","raincytot","day1rain","maxdaysnorain","dist_km","date","maize_price","maize_mktthin","rice_price","rice_mktthin","lhz_maize_price","lhz_maize_mktthin","lhz_rice_price","lhz_rice_mktthin"
"4732","TZ2009L199","16308306","Aug 2011",0.5,0.5,0.9,0.1,1.39999997615814,11,0.31000000834465,0.7,138.290000915527,159.860000610352,1079.9,8,2011,9.6,6.9,75.45,0,0,1,213,64,23.6673319549326,465.550975003914,150,0,0,815.51784777,35,132,157.875881186185,NA,45100,0,120625,0,43475.2579472939,0.0219844108669921,122573.829327033,0.0219844108669921
"4733","TZ2009L199","16308306","Aug 2013",0.555555555555556,0.444444444444444,0.777777777777778,0.222222222222222,1.40993166666667,8.66666666666667,0.511111111111111,0.544444444444444,138.477777777778,159.044444444444,1081.55555555556,8,2013,10.3333333333333,2.22222222222222,20.9444444444444,0,0,1,213,28,23.4251012235039,435.494007693716,153,0,0,965.3074639,23,111,157.875881186185,NA,52666.67,0,106111.2,0,51739.6858477307,0,122602.861724033,0
"4734","TZ2009L199","16308306","Sep 2013",0,1,1,0,1.396354,10,0.8,0.9,138.8,159.4,1082,9,2013,13,1,14,0,0,1,213,28,23.4251012235039,435.494007693716,153,0,0,965.3074639,23,111,157.875881186185,NA,66000,0,110000,0,55451.6024283213,0,121006.80009714,0
"4735","TZ2009L199","16311001","Apr 2011",0.5,0.5,1,0,5.25,9,5.39999985694886,4.14999997615814,4.90000009536743,4.14999997615814,806,4,2011,3.5,5.5,42.5,0,1,0,213,64,23.6673319549326,465.550975003914,150,0,0,974.19157799,9,78,58.0031353543478,NA,43960.3333333333,0,128333.333333333,0,43311.2616564642,0,122939.033914995,0
"4736","TZ2009L199","16311001","Apr 2013",0,1,0,1,1.605841,8,57.4,83.8,83.3,224.3,776,4,2013,13,2,28,0,1,0,213,28,23.4251012235039,435.494007693716,153,0,0,1119.89176936,23,66,58.0031353543478,NA,67641.0833333333,0,146458.333333333,0,68380.3717937794,0,151363.221163568,0
"4737","TZ2009L199","16311001","Feb 2011",0,1,0,1,13.4750001430512,3,99.7250003814698,127.912503242493,127.625,127.912503242493,782.125,2,2011,20.375,6,57.625,0,0,0.25,213,64,23.6673319549326,465.550975003914,150,0,0,974.19157799,9,78,58.0031353543478,NA,38637.5,0,107457.333333333,0,38658.4821578422,0,105085.157697932,0
"4738","TZ2009L199","16311001","Jan 2013",0.0909090909090909,0.909090909090909,0.0909090909090909,0.909090909090909,12.1841736363636,3.45454545454545,91.3454545454545,117.163636363636,116.981818181818,139.245454545455,716.181818181818,1,2013,26.4545454545455,2.72727272727273,18.5,0,0,0.181818181818182,213,28,23.4251012235039,435.494007693716,153,0,0,1119.89176936,23,66,58.0031353543478,NA,81594.4466666667,0.666666666666667,183332.4,0.666666666666667,78177.9965992163,0.209586574581619,186834.013141023,0.209586574581619
"4739","TZ2009L199","16311001","Mar 2011",0.5,0.5,0.5,0.5,3.24999994039536,21,32.1499996185302,72.1999988555908,147.299999237061,291.599998474121,964,3,2011,4,6.5,78.25,0,0.5,0.5,213,64,23.6673319549326,465.550975003914,150,0,0,974.19157799,9,78,58.0031353543478,NA,42778.3666666667,0,131763.8,0,42278.0119724808,0,138704.122829425,0
"4740","TZ2009L199","16311001","Mar 2013",0.666666666666667,0.333333333333333,1,0,5.124124,12.6666666666667,5.1,3.56666666666667,4.26666666666667,4.26666666666667,794.333333333333,3,2013,3.33333333333333,2.33333333333333,17.3333333333333,0,1,0,213,28,23.4251012235039,435.494007693716,153,0,0,1119.89176936,23,66,58.0031353543478,NA,81998.625,0,158159.766666667,0,76274.8065426476,0.00254332387349767,168624.300219729,0
"4741","TZ2009L199","16311001","Nov 2013",1,0,1,0,1.291615,0,0.4,2.2,82.4,373.7,1116,11,2013,0,1,3,0,0,0,213,28,23.4251012235039,435.494007693716,153,0,0,1119.89176936,23,66,58.0031353543478,NA,59312.625,0,114131.958333333,0,53623.6555330218,0,120600.076046155,0
"4742","TZ2009L199","16311001","Sep 2013",0,1,0.5,0.5,4.2262515,5,26.1,40.8,41,41,794.5,9,2013,2,1.5,14.75,0,0,0,213,28,23.4251012235039,435.494007693716,153,0,0,1119.89176936,23,66,58.0031353543478,NA,63930.5416666667,0,120937.5,0,55451.6024283213,0,121006.80009714,0
"4743","TZ2009L199","17808305","Aug 2011",1,0,1,0,0,38,0.200000002980232,2.5,78.9000015258789,653.599975585938,13,8,2011,0,7,78,0,0,1,213,64,23.6673319549326,465.550975003914,150,0,0,577.5726399,47,142,45.9302183870719,NA,49073.1428571429,0,132124.785714286,0,43475.2579472939,0.0219844108669921,122573.829327033,0.0219844108669921
"4744","TZ2009L199","17808305","Aug 2013",0,1,0.666666666666667,0.333333333333333,1.5826036,3.33333333333333,9.13333333333333,19.5,21.7333333333333,309.1,1135.66666666667,8,2013,3.66666666666667,1.66666666666667,13.6666666666667,0,0,1,213,28,23.4251012235039,435.494007693716,153,0,0,770.242873,26,141,45.9302183870719,NA,55615.0714285714,0,112005.95,0,51739.6858477307,0,122602.861724033,0
"4745","TZ2009L199","17808305","Jul 2013",1,0,1,0,4.575953,71,0.5,2.9,2.4,55.2,1323,7,2013,0,3,21,0,1,0,213,28,23.4251012235039,435.494007693716,153,0,0,770.242873,26,141,45.9302183870719,NA,52080.3392857143,0,115267.835714286,0,49914.3985285809,0,130142.829760682,0
"4746","TZ2009L199","17808305","Jun 2013",1,0,1,0,2.129678,23.5,9.05,12.05,42.3,193.55,581.5,6,2013,0,2,13.25,0,0,0.5,213,28,23.4251012235039,435.494007693716,153,0,0,770.242873,26,141,45.9302183870719,NA,50683.2828571429,0,114742.069285714,0,51406.286430997,0,133063.985025905,0
"4747","TZ2009L199","17808305","May 2011",0.8,0.2,0.8,0.2,2.45999999046326,0.2,0.249999998509884,37.9800002098083,37.9999998092651,12.4199998378754,1140.2,5,2011,7.1,6.3,63.55,0,0,0,213,64,23.6673319549326,465.550975003914,150,0,0,577.5726399,47,142,45.9302183870719,NA,48250,0,134642.857142857,0,41099.1712185598,0,125455.522275357,0
"4748","TZ2009L199","17808305","May 2013",0.916666666666667,0.0833333333333333,0.916666666666667,0,2.39302358333333,0.166666666666667,0.183333333333333,38.7333333333333,38.775,274.966666666667,1139.41666666667,5,2013,2.83333333333333,2.66666666666667,20.2083333333333,0,0,0,213,28,23.4251012235039,435.494007693716,153,0,0,770.242873,26,141,45.9302183870719,NA,55195.2857142857,0,121195.214285714,0,59465.6236545581,0,138028.929920031,0
"4749","TZ2009L199","17808305","Sep 2011",1,0,1,0,3.59999990463257,56.5,7.65000009536745,9.20000004768372,9.14999985694886,255.699996948242,1233.5,9,2011,0,6.5,69.25,0,0.5,0,213,64,23.6673319549326,465.550975003914,150,0,0,577.5726399,47,142,45.9302183870719,NA,48530.5,0,128202.428571429,0,43525.426083392,0.209586574581619,123184.899221106,0.209586574581619
"4750","TZ2009L199","17808305","Sep 2013",0.6,0.4,0.8,0.2,4.4405346,27.4,21.98,44.38,88.64,206.08,1183.6,9,2013,5.6,2.6,19.8,0,0,0.2,213,28,23.4251012235039,435.494007693716,153,0,0,770.242873,26,141,45.9302183870719,NA,54991.0178571429,0,110574.446428571,0,55451.6024283213,0,121006.80009714,0
"4751","TZ2009L199","2510001","Feb 2011",0,0.888888888888889,0,1,15.2888889312744,49.7777777777778,9.87777794731988,121.055555555556,121.411110772027,11.5111111534966,2356.55555555556,2,2011,7.44444444444444,4.77777777777778,63,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.775406300607,NA,31800,0,117500,0,38658.4821578422,0,105085.157697932,0
