"case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","FNID"
1013000201,0,1,1,0,0,0,1,0,0,0,0,0,40.4345,65.5281,65.5281,25.7498,0,5.415806,1134,"Rural","10130002","KALANGALA","MAZINGA",2,2012,4,48.5,"February",0,0,0,Feb 2012,0.318289331045606,"UG2011L137"
1013000201,0,1,1,0,0,0,1,0,0,0,0,0,40.4345,65.5281,65.5281,25.7498,0,5.415806,1134,"Rural","10130002","KALANGALA","MAZINGA",2,2012,4,48.5,"February",0,0,0,Feb 2012,0.318289331045606,"UG2011L140"
1013000201,0,1,1,0,0,0,1,0,0,0,0,0,40.4345,65.5281,65.5281,25.7498,0,5.415806,1134,"Rural","10130002","KALANGALA","MAZINGA",2,2012,4,48.5,"February",0,0,0,Feb 2012,0.318289331045606,"UG2011L141"
1013000202,1,0,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,"Rural","10130002","KALANGALA","MAZINGA",3,2012,4,30,"March",NA,0,0,Mar 2012,1.95204410575873,"UG2011L137"
1013000202,1,0,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,"Rural","10130002","KALANGALA","MAZINGA",3,2012,4,30,"March",NA,0,0,Mar 2012,1.95204410575873,"UG2011L140"
1013000202,1,0,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,"Rural","10130002","KALANGALA","MAZINGA",3,2012,4,30,"March",NA,0,0,Mar 2012,1.95204410575873,"UG2011L141"
1013000204,0,1,1,0,0,1,0,0,0,0,1,1,40.4835,65.554,65.554,25.8308,0,5.415806,1134,"Rural","10130002","KALANGALA","MAZINGA",3,2012,6,44.5,"March",0,0,0,Mar 2012,0.391734914449985,"UG2011L137"
1013000204,0,1,1,0,0,1,0,0,0,0,1,1,40.4835,65.554,65.554,25.8308,0,5.415806,1134,"Rural","10130002","KALANGALA","MAZINGA",3,2012,6,44.5,"March",0,0,0,Mar 2012,0.391734914449985,"UG2011L140"
1013000204,0,1,1,0,0,1,0,0,0,0,1,1,40.4835,65.554,65.554,25.8308,0,5.415806,1134,"Rural","10130002","KALANGALA","MAZINGA",3,2012,6,44.5,"March",0,0,0,Mar 2012,0.391734914449985,"UG2011L141"
1013000206,1,0,1,0,0,1,0,0,1,0,1,1,0.8136,4.0912,4.0912,4.0912,22,4.890816,1186,"Rural","10130002","KAMPALA","RUBAGA DIVISION",9,2012,6,44.5,"September",0,0,1,Sep 2012,3.01188079216291,"UG2011L137"
1013000206,1,0,1,0,0,1,0,0,1,0,1,1,0.8136,4.0912,4.0912,4.0912,22,4.890816,1186,"Rural","10130002","KAMPALA","RUBAGA DIVISION",9,2012,6,44.5,"September",0,0,1,Sep 2012,3.01188079216291,"UG2011L140"
1013000206,1,0,1,0,0,1,0,0,1,0,1,1,0.8136,4.0912,4.0912,4.0912,22,4.890816,1186,"Rural","10130002","KAMPALA","RUBAGA DIVISION",9,2012,6,44.5,"September",0,0,1,Sep 2012,3.01188079216291,"UG2011L141"
1013000210,0,1,1,0,0,1,0,0,0,0,1,1,41.3587,66.6363,66.6363,26.0381,9,6.238901,1144,"Rural","10130002","KALANGALA","MAZINGA",2,2012,4,37,"February",0,0,0,Feb 2012,0.391734914449985,"UG2011L137"
1013000210,0,1,1,0,0,1,0,0,0,0,1,1,41.3587,66.6363,66.6363,26.0381,9,6.238901,1144,"Rural","10130002","KALANGALA","MAZINGA",2,2012,4,37,"February",0,0,0,Feb 2012,0.391734914449985,"UG2011L140"
1013000210,0,1,1,0,0,1,0,0,0,0,1,1,41.3587,66.6363,66.6363,26.0381,9,6.238901,1144,"Rural","10130002","KALANGALA","MAZINGA",2,2012,4,37,"February",0,0,0,Feb 2012,0.391734914449985,"UG2011L141"
1013000212,0,1,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Rural","10130002","KYEGEGWA","HAPUYO",3,2012,1,0,"March",NA,0,0,Mar 2012,-0.585999877525919,"UG2011L137"
1013000212,0,1,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Rural","10130002","KYEGEGWA","HAPUYO",3,2012,1,0,"March",NA,0,0,Mar 2012,-0.585999877525919,"UG2011L140"
1013000212,0,1,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Rural","10130002","KYEGEGWA","HAPUYO",3,2012,1,0,"March",NA,0,0,Mar 2012,-0.585999877525919,"UG2011L141"
101300021302,0,1,1,0,0,0,0,0,0,0,1,1,0.1043,42.7763,42.7763,47.3164,68,4.750865,1191,"Rural","10130002","MPIGI","NKOZI",4,2012,5,74.5,"April",0,1,0,Apr 2012,-0.0676303406827704,"UG2011L137"
101300021302,0,1,1,0,0,0,0,0,0,0,1,1,0.1043,42.7763,42.7763,47.3164,68,4.750865,1191,"Rural","10130002","MPIGI","NKOZI",4,2012,5,74.5,"April",0,1,0,Apr 2012,-0.0676303406827704,"UG2011L140"
101300021302,0,1,1,0,0,0,0,0,0,0,1,1,0.1043,42.7763,42.7763,47.3164,68,4.750865,1191,"Rural","10130002","MPIGI","NKOZI",4,2012,5,74.5,"April",0,1,0,Apr 2012,-0.0676303406827704,"UG2011L141"
1021000102,1,0,1,0,0,1,1,0,0,1,1,5,1.1306,0.8804,0.8804,0.8804,0,9.100713,1207,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,7,92,"June",0,0,1,Jun 2012,4.63319817411011,"UG2011L140"
1021000108,1,0,1,0,0,1,1,0,0,1,1,5,1.0973,0.8722,0.8722,0.8722,0,9.100713,1206,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,6,79,"June",0,0,1,Jun 2012,4.63319817411011,"UG2011L140"
1021000111,1,0,1,0,0,1,1,1,0,0,1,7,1.139,0.8115,0.8115,0.8115,0,9.100713,1200,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,7,65,"June",0,0,1,Jun 2012,3.46811570892324,"UG2011L140"
1021000113,1,0,1,0,0,1,1,0,0,1,1,8,1.1269,0.8459,0.8459,0.8459,0,9.100713,1207,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,6,54,"June",0,0,1,Jun 2012,4.63319817411011,"UG2011L140"
1021000201,1,0,1,0,0,1,1,0,0,0,1,1,1.4203,1.5445,1.5445,1.5445,2,6.904994,1164,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",12,2011,7,75,"December",0,0,1,Dec 2011,3.46850235361017,"UG2011L140"
1021000203,1,0,1,0,0,1,0,0,0,0,0,0,1.344,1.5936,1.5936,1.5936,4,6.904994,1167,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",12,2011,6,41.5,"December",0,0,1,Dec 2011,1.74023603990117,"UG2011L140"
1021000204,0,1,1,0,0,0,0,0,0,0,0,0,1.3611,1.5799,1.5799,1.5799,4,6.904994,1168,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",7,2012,1,8,"July",0,0,1,Jul 2012,-0.738803661673084,"UG2011L140"
1021000207,0,1,1,0,0,0,0,0,0,0,0,0,1.4802,1.6065,1.6065,1.6065,12,9.171108,1176,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",12,2011,6,69,"December",0,0,1,Dec 2011,-0.738803661673084,"UG2011L140"
1021000212,1,0,1,0,0,1,1,0,0,0,1,1,1.4074,1.5642,1.5642,1.5642,2,6.904994,1164,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",7,2012,6,42,"July",0,0,1,Jul 2012,3.46850235361017,"UG2011L140"
1021000213,1,0,1,0,0,1,1,0,0,0,1,3,1.4433,1.5182,1.5182,1.5182,2,6.904994,1161,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",7,2012,6,52,"July",0,0,1,Jul 2012,3.46850235361017,"UG2011L140"
1021000312,1,0,1,0,0,1,1,1,0,0,1,1,1.8695,0.0807,0.0807,0.0807,0,7.378636,1189,"Urban","10210003","KAMPALA","KAMPALA CENTRAL",1,2012,6,78,"January",0,0,1,Jan 2012,3.46811570892324,"UG2011L140"
1021000402,1,0,1,0,0,1,1,0,0,0,1,4,0.0683,4.0583,4.0583,4.0583,0,3.876571,1173,"Urban","10210004","KAMPALA","KAWEMPE DIVISION",2,2012,7,55,"February",0,0,1,Feb 2012,3.46850235361017,"UG2011L140"
1021000405,1,0,1,0,0,1,0,0,0,0,1,1,0.0558,3.9988,3.9988,3.9988,0,3.876571,1173,"Urban","10210004","KAMPALA","KAWEMPE DIVISION",2,2012,7,63,"February",0,0,1,Feb 2012,2.41140936089148,"UG2011L140"
102100040502,1,0,1,0,0,0,1,0,0,0,1,2,1.2323,2.5357,5.9156,8.3616,12,10.82816,1234,"Urban","10210004","WAKISO","NANSANA TOWN COUNCIL",8,2012,7,55.5,"August",0,0,1,Aug 2012,3.00913709847742,"UG2011L140"
1021000406,1,0,1,0,0,1,1,1,0,0,1,2,0.0146,3.9812,3.9812,3.9812,0,3.876571,1170,"Urban","10210004","KAMPALA","KAWEMPE DIVISION",8,2012,7,47,"August",0,0,1,Aug 2012,3.46811570892324,"UG2011L140"
1021000503,0,0,1,0,0,1,1,0,0,0,1,2,0.2583,5.8982,5.8982,5.8982,6,9.664136,1212,"Urban","10210005","KAMPALA","KAWEMPE DIVISION",3,2012,5,72,"March",0,0,1,Mar 2012,2.46165309423671,"UG2011L140"
1021000504,1,0,1,0,0,0,0,0,0,0,0,0,0.1458,5.7432,5.7432,5.7432,8,9.664136,1200,"Urban","10210005","KAMPALA","KAWEMPE DIVISION",3,2012,5,34,"March",0,0,1,Mar 2012,1.28087078476841,"UG2011L140"
1021000506,1,0,1,0,0,1,1,0,0,0,1,3,0.1981,5.7134,5.7134,5.7134,8,9.664136,1197,"Urban","10210005","KAMPALA","KAWEMPE DIVISION",3,2012,5,54,"March",0,0,1,Mar 2012,3.46850235361017,"UG2011L140"
1021000604,1,0,1,0,0,1,1,1,1,0,1,3,0.7341,4.4388,5.961,5.961,2,8.080942,1245,"Urban","10210006","KAMPALA","KAWEMPE DIVISION",10,2012,5,31,"October",0,0,1,Oct 2012,4.06858714019466,"UG2011L140"
1021000607,1,0,1,0,0,1,1,0,0,1,1,8,0.8683,4.5855,5.9495,5.9495,2,8.080942,1228,"Urban","10210006","KAMPALA","KAWEMPE DIVISION",4,2012,7,73,"April",0,0,1,Apr 2012,4.63319817411011,"UG2011L140"
1021000608,1,0,1,0,0,1,1,0,1,0,1,2,0.6805,4.9556,5.799,5.799,0,5.941095,1201,"Urban","10210006","KAMPALA","KAWEMPE",11,2012,7,84,"November",0,0,1,Nov 2012,4.0689737848816,"UG2011L140"
1021000610,1,0,1,0,0,0,1,0,0,0,1,2,0.7552,4.445,5.9966,5.9966,2,8.080942,1241,"Urban","10210006","KAMPALA","KAWEMPE DIVISION",4,2012,5,49.5,"April",0,0,1,Apr 2012,3.00913709847742,"UG2011L140"
1021000612,1,0,1,0,0,1,1,0,0,0,1,5,0.8855,4.6069,5.9399,5.9399,2,8.080942,1228,"Urban","10210006","KAMPALA","KAWEMPE DIVISION",4,2012,7,66,"April",0,0,1,Apr 2012,3.46850235361017,"UG2011L140"
1021000701,0,0,1,0,0,1,1,1,0,0,1,3,2.1203,5.4432,5.4964,5.4964,33,5.52084,1190,"Urban","10210007","KAMPALA","KAWEMPE DIVISION",5,2012,7,100,"May",0,0,1,May 2012,2.46126644954977,"UG2011L140"
