"","ea_id","lat_modified","lon_modified"
"1",10101016,-9.80998039245605,33.3872985839844
"2",10101204,-9.89498043060303,33.3810005187988
"3",10101215,-9.50446033477783,33.2302017211914
"4",10101219,-9.5946102142334,33.4040985107422
"5",10101355,-9.73456954956055,33.4071998596191
"6",10101374,-9.58701992034912,33.2181015014648
"7",10101470,-9.66271018981934,33.2523994445801
"8",10101562,-9.66792011260986,33.3936996459961
"9",10101568,-9.73770999908447,33.260799407959
"10",10101706,-9.53645992279053,33.3866004943848
"11",10102004,-9.74822998046875,33.5035018920898
"12",10102379,-9.5815896987915,33.5918998718262
"13",10102621,-9.71323013305664,33.4519996643066
"14",10103414,-9.97159957885742,33.3739013671875
"15",10103452,-10.0370998382568,33.4541015625
"16",10103681,-10.2009000778198,33.5987014770508
"17",10104150,-10.1988000869751,33.663501739502
"18",10104351,-10.2587995529175,33.6116981506348
"19",10104440,-10.4098997116089,33.6377983093262
"20",10105352,-9.59447956085205,33.0885009765625
"21",10105511,-9.40349006652832,32.9793014526367
"22",10105513,-9.5072603225708,33.1186981201172
"23",10120286,-9.70903015136719,33.2831993103027
"24",10120288,-9.69013023376465,33.2899017333984
"25",10201137,-9.76809978485107,33.8950996398926
"26",10201210,-9.78425025939941,33.8302001953125
"27",10201247,-9.79563999176025,33.8455009460449
"28",10201442,-9.71230030059814,33.9271011352539
"29",10201688,-9.84482955932617,33.8736991882324
"30",10202195,-9.6637601852417,33.6730003356934
"31",10202514,-9.6814603805542,33.8498001098633
"32",10203013,-10.0022001266479,33.6684989929199
"33",10203085,-9.91359996795654,33.9174003601074
"34",10203176,-9.87304973602295,33.6206016540527
"35",10203221,-9.93924045562744,33.8608016967773
"36",10203623,-10.170000076294,33.8033981323242
"37",10203744,-10.0404996871948,33.9086990356445
"38",10204101,-10.447099685669,34.2148017883301
"39",10204322,-10.4462003707886,34.1193008422852
"40",10204453,-10.357500076294,34.1277008056641
"41",10204586,-10.4162998199463,34.2318000793457
"42",10204723,-10.556300163269,34.1873016357422
"43",10205202,-10.2562999725342,34.1190986633301
"44",10205507,-10.3122997283936,34.0707015991211
"45",10220027,-9.93589973449707,33.9151992797852
"46",10220103,-9.9753999710083,33.9259986877441
"47",10220521,-9.94851970672607,33.8963012695312
"48",10220705,-9.9312801361084,33.9323997497559
"49",10301026,-11.6552000045776,33.761100769043
"50",10301306,-11.4949998855591,33.9723014831543
"51",10301347,-11.7131004333496,33.937801361084
"52",10301663,-11.6477003097534,34.125
"53",10301741,-11.6375999450684,34.0964012145996
"54",10302010,-11.96399974823,34.0768013000488
"55",10303454,-11.8910999298096,34.111499786377
"56",10304012,-11.836199760437,34.1621017456055
"57",10304360,-11.8374004364014,34.1483001708984
"58",10304625,-11.7659997940063,34.1557998657227
"59",10305446,-12.1525001525879,34.0251007080078
"60",10306417,-11.6674995422363,34.2550010681152
"61",10306431,-11.6583003997803,34.3036003112793
"62",10307413,-11.7643003463745,34.1954002380371
"63",10308129,-11.657600402832,34.2490005493164
"64",10308636,-11.5363998413086,34.2779998779297
"65",10309273,-11.2735996246338,34.1397018432617
"66",10309281,-11.305700302124,34.192699432373
"67",10310469,-11.3823003768921,34.0550994873047
"68",10312048,-11.5334997177124,34.128101348877
"69",10312078,-11.6051998138428,34.2014999389648
"70",10312187,-11.472900390625,34.1657981872559
"71",10312600,-11.6218996047974,34.1769981384277
"72",10320227,-11.6153001785278,34.288200378418
"73",10401140,-10.9995002746582,33.7092018127441
"74",10401212,-10.862099647522,33.7639007568359
"75",10401424,-11.0164003372192,33.7354011535645
"76",10401502,-10.9368000030518,33.9123992919922
"77",10401522,-11.0516996383667,33.6870994567871
"78",10401541,-10.9731998443603,33.6501007080078
"79",10401604,-10.9492998123169,33.55419921875
"80",10401635,-10.9764995574951,33.7962989807129
"81",10401742,-10.9075002670288,33.6501007080078
"82",10402537,-10.7908000946045,34.1952018737793
"83",10403332,-10.9069995880127,33.9705009460449
"84",10403488,-10.8442001342773,34.0348014831543
"85",10404186,-10.6386995315552,34.1823997497559
"86",10404707,-10.7149000167847,34.1180992126465
"87",10405213,-10.6794004440308,34.0774993896484
"88",10405404,-10.6082000732422,34.1108016967773
"89",10407068,-11.0241003036499,34.0392990112305
"90",10407194,-10.9601001739502,34.0000991821289
"91",10407628,-10.9278001785278,34.0750007629395
"92",10408441,-10.8036003112793,33.5424995422363
"93",10409468,-10.8626003265381,33.5009002685547
"94",10420001,-11.0222997665405,33.8824996948242
"95",10420035,-11.0195999145508,33.8438987731934
"96",10420080,-11.0249996185303,33.8452987670898
"97",10501055,-11.941499710083,33.4580993652344
"98",10501216,-11.8392000198364,33.3823013305664
"99",10501505,-12.211199760437,33.3270988464355
"100",10501709,-11.9792003631592,33.4991989135742
"101",10502043,-11.0909004211426,33.8821983337402
"102",10502268,-11.2849998474121,33.7784996032715
"103",10502439,-11.5345001220703,33.6711006164551
"104",10502593,-11.3927001953125,33.6487998962402
"105",10502730,-11.1663999557495,33.780101776123
"106",10503211,-11.455400466919,33.7661018371582
"107",10503367,-11.870400428772,33.6791000366211
"108",10505136,-11.7313003540039,33.5341987609863
"109",10505151,-11.5846004486084,33.4720001220703
"110",10505231,-11.4441995620728,33.4104995727539
"111",10505310,-11.3125,33.4799003601074
"112",10505508,-11.7819004058838,33.5
"113",10506127,-12.3555002212524,33.5508995056152
"114",10506548,-12.2002000808716,33.6539001464844
"115",10507175,-12.6591997146606,33.6304016113281
"116",10507344,-12.5305995941162,33.6026992797852
"117",10508369,-12.4919004440308,33.8322982788086
