"","clust_L12raincytot","clust_L12day1rain","clust_L12maxdays","clust_floodmax","clust_cells_own","clust_price","clust_thinn","clust_roof","clust_hhsize","clust_hh_age","clust_hh_gender","clust_asset","clust_dist_road","clust_dist_admarc","clust_percent_ag","clust_nutri_reten_constrained","clust_elevation","logFCS","RCSI","HDDS","ipc_lag1","ipc_lag12"
"29",1143.0583,40,17,0,0.35294119,4.3323112,0.25,0.47058824,4.8235292,43.823528,1.1764706,-0.30081618,2.5882354,8.9411764,0,0,493.52942,3.9512436,1,6,1,1
"30",1143.0583,40,17,0,0.35294119,4.3323112,0.25,0.47058824,4.8235292,43.823528,1.1764706,-0.30081618,2.5882354,8.9411764,0,0,493.52942,3.5263605,2,5,1,1
"31",1143.0583,40,17,0,0.35294119,4.3323112,0.25,0.47058824,4.8235292,43.823528,1.1764706,-0.30081618,2.5882354,8.9411764,0,0,493.52942,3.9702919,0,7,1,1
"32",1143.0583,40,17,0,0.35294119,4.3323112,0.25,0.47058824,4.8235292,43.823528,1.1764706,-0.30081618,2.5882354,8.9411764,0,0,493.52942,3.2188759,0,3,1,1
"33",1143.0583,40,17,0,0.35294119,4.3323112,0.25,0.47058824,4.8235292,43.823528,1.1764706,-0.30081618,2.5882354,8.9411764,0,0,493.52942,3.1570003,28,4,1,1
"34",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,2.9704144,10,4,1,1
"35",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.8394523,8,5,1,1
"36",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.7954891,11,5,NA,NA
"37",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,4.2626801,2,7,1,1
"38",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.7612002,0,7,1,1
"39",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.6763008,8,5,1,1
"40",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,4.1743875,4,7,1,1
"41",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,4.1588831,2,7,1,1
"42",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.8918202,2,6,1,1
"43",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.3141861,30,4,2,1
"44",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.583519,4,6,NA,1
"45",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,2.7725887,29,2,1,1
"46",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.5695326,0,6,1,1
"47",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.9120231,1,7,1,1
"48",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,4.0943446,4,7,1,1
"49",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.4965076,7,5,1,1
"50",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,4.2341065,0,7,1,1
"51",1527.7244,58,30,0,1.8,4.5772476,0.27714285,0.68000001,6.8400002,41.599998,1.36,0.13409947,0.72000003,15.04,0,0.83999997,651.59998,3.8394523,5,6,1,1
"52",1193.8994,57,22,0,1.1904762,4.8613195,0.03809524,0.19047619,7.1904764,47.095238,1.2380953,-0.30081612,9.8095236,10,0,0.85714287,1511.4286,4.1896548,11,5,1,1
"53",1193.8994,57,22,0,1.1904762,4.8613195,0.03809524,0.19047619,7.1904764,47.095238,1.2380953,-0.30081612,9.8095236,10,0,0.85714287,1511.4286,3.5973122,2,5,1,1
"54",1193.8994,57,22,0,1.1904762,4.8613195,0.03809524,0.19047619,7.1904764,47.095238,1.2380953,-0.30081612,9.8095236,10,0,0.85714287,1511.4286,3.8066626,21,5,1,1
