case_id,clust_num,clust,district,reside,hhsize,hh_a10a,month,year,dist_road,dist_admarc,dist_agmrkt,popdensity,fsrad3_agpct,elevation,srtm_mwi_5_15,nutri_avail,nutri_retention,LAT_DD_MOD,LON_DD_MOD,RCSI,HDDS,FCS,Refrigerator,Radio,Television,Bicycle,Motorcycle,Car,cells_own,cell_cost,hh_age,hh_gender,LT_15,GT_64,floor_cement,floor_dirt_sand_dung,floor_tile,roof_natural,roof_iron,roof_other,region,cell_phone,panelweight,qx_type,TA,fnid,yearmo,flood_maxprecip,L12day1rain,L12maxdays,L12rain_cytot,ipczone_thinn,ipczone_lag_thinn,ipczone_price,ipczone_lag_price,ipc2,ipc_lag1,ipc_lag12,near_mkt,near_dist,mkt_thinness,Lmkt_thinn,price,lnprice_impu,Lprice,Llnprice_impu,case_id_num,percent_ag,asset_index2,logFCS,roof,nutri_reten1,nutri_reten2,nutri_reten3,nutri_reten4,nutri_reten5,nutri_avail1,nutri_avail2,nutri_avail3,nutri_avail4,nutri_avail5,nutri_reten_constrained,nutri_avail_constrained,ipczone,ipczone_floodmax,ipczone_floor,ipczone_roof,ipczone_cell,ipczone_hhsize,ipczone_hh_age,ipczone_hh_gender,ipczone_asset,ipczone_dist_road,ipczone_dist_admarc,ipczone_percent_ag,ipczone_nutri_reten_constrained,ipczone_nutri_avail_constrained,ipczone_elevation,ipczone_cells_own,TA_floodmax,TA_floor,TA_roof,TA_cell,TA_hhsize,TA_hh_age,TA_hh_gender,TA_asset,TA_dist_road,TA_dist_admarc,TA_percent_ag,TA_nutri_reten_constrained,TA_nutri_avail_constrained,TA_elevation,TA_cells_own,clust_floodmax,clust_floor,clust_roof,clust_cell,clust_hhsize,clust_hh_age,clust_hh_gender,clust_asset,clust_dist_road,clust_dist_admarc,clust_percent_ag,clust_nutri_reten_constrained,clust_nutri_avail_constrained,clust_elevation,clust_cells_own,TA_lag_price,TA_lag_thinn,TA_price,TA_thinn,clust_lag_price,clust_lag_thinn,clust_price,clust_thinn,ipczone_L12raincytot,ipczone_L12day1rain,ipczone_L12maxdays,clust_L12raincytot,clust_L12day1rain,clust_L12maxdays,TA_L12raincytot,TA_L12day1rain,TA_L12maxdays,clust_logFCS,clust_RCSI,clust_HDDS,clust1,clust2,clust3,clust4,clust5,clust6,clust7,clust8,clust9,clust10,clust11,clust12,clust13,clust14,clust15,clust16,clust17,clust18,clust19,clust20,clust21,clust22,clust23,clust24,clust25,clust26,clust27,clust28,clust29,clust30,clust31,clust32,clust33,clust34,clust35,clust36,clust37,clust38,clust39,clust40,clust41,clust42,clust43,clust44,clust45,clust46,clust47,clust48,clust49,clust50,clust51,clust52,clust53,clust54,clust55,clust56,clust57,clust58,clust59,clust60,clust61,clust62,clust63,clust64,clust65,clust66,clust67,clust68,clust69,clust70,clust71,clust72,clust73,clust74,clust75,clust76,clust77,clust78,clust79,clust80,clust81,clust82,clust83,clust84,clust85,clust86,clust87,clust88,clust89,clust90,clust91,clust92,clust93,clust94,clust95,clust96,clust97,clust98,clust99,clust100,clust101,clust102,clust103,clust104,clust105,clust106,clust107,clust108,clust109,clust110,clust111,clust112,clust113,clust114,clust115,clust116,clust117,clust118,clust119,clust120,clust121,clust122,clust123,clust124,clust125,clust126,clust127,clust128,clust129,clust130,clust131,clust132,clust133,clust134,clust135,clust136,clust137,clust138,clust139,clust140,clust141,clust142,clust143,clust144,clust145,clust146,clust147,clust148,clust149,clust150,clust151,clust152,clust153,clust154,clust155,clust156,clust157,clust158,clust159,clust160,clust161,clust162,clust163,clust164,clust165,clust166,clust167,clust168,clust169,clust170,clust171,clust172,clust173,clust174,clust175,clust176,clust177,clust178,clust179,clust180,clust181,clust182,clust183,clust184,clust185,clust186,clust187,clust188,clust189,clust190,clust191,clust192,clust193,clust194,clust195,clust196,clust197,clust198,clust199,clust200,clust201,clust202,clust203,clust204,month4,month5,month6,month7
1170-001,20603090,20603090,Lilongwe,rural,8,3,MAY,2013,17,0,30,100-200,2,1160,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-14.26,33.7983,24,3,33,0,0,0,0,0,0,0,,20,1,3,0,0,1,0,1,0,0,2,0,702.2558,PANEL B,CHISEKA,MW2012C3020603,201305,0,32,13,957.92847,.1822817,.48215154,4.4433188,4.6567535,1,1,1,MITUNDU,3.8772256,0,.5,79.385002,4.3743095,80.489998,4.388133,1170-001,0,-.30081591,3.4965076,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020603,0,.6982097,.45524296,.48593351,4.8721228,42.37532,1.2159383,-.04127619,6.8772378,6.1023016,.12020461,.15345268,.16624041,1131.4066,.86700767,0,.5945946,.51351351,.48648649,5.0540543,40.405407,1.2432432,-.00695471,17.243244,1.5945946,.016216217,.37837839,.37837839,1191.8918,.86486489,0,.85000002,.30000001,.25,5.4499998,42.599998,1.2,-.3008163,17.450001,1.85,0,.25,.25,1176,.44999999,4.5074682,.36872587,4.5268793,.17297298,4.4116611,.48214287,4.4129362,.12857144,957.92847,32,13,924.35632,53,14,908.57861,51.108109,15.054054,3.5496531,8.6499996,4.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1224-003,20607260,20607260,Lilongwe,rural,3,7,MAY,2013,1,10,15,300-400,33,1130,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,-13.8674,33.8281,0,6,41,0,0,0,0,0,0,0,,28,1,1,0,0,1,0,1,0,0,2,0,205.77498,PANEL B,CHIMUTU,MW2012C3020603,201305,0,32,13,957.92847,.1822817,.48215154,4.4433188,4.6567535,1,1,1,MCHINJI,2.1736186,.75,.5,98.129997,4.5862932,114,4.7361984,1224-003,0,-.30081591,3.713572,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020603,0,.6982097,.45524296,.48593351,4.8721228,42.37532,1.2159383,-.04127619,6.8772378,6.1023016,.12020461,.15345268,.16624041,1131.4066,.86700767,0,.62790698,.55813956,.53488374,4.5813951,44.11628,1.1395348,-.13224471,.62790698,10.023255,.20465116,0,0,1162.7906,.76744187,0,.56521738,.73913044,.65217394,4.869565,38.434784,1.1304348,.014339105,.65217394,10.391304,.29565218,.043478262,.043478262,1099.5652,1.1304348,4.6764922,.7139535,4.7141595,.44916943,4.6862774,.53695655,4.6064339,.63105589,957.92847,32,13,865.17688,33,24,994.64917,22.372093,25.744186,3.9362974,4.4347825,5.9130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1336-001,20615735,20615735,Lilongwe,rural,4,15,MAY,2013,13,1,31,200-300,35,1170,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-13.9347,33.494,0,5,39,0,1,0,1,0,0,1,3000,31,1,2,0,0,1,0,1,0,0,2,1,965.96344,PANEL B,KABUDULA,MW2012C3020603,201305,0,32,13,957.92847,.1822817,.48215154,4.4433188,4.6567535,1,1,1,NSUNDWE,12.567025,0,0,63.215,4.1465416,87.315002,4.4695225,1336-001,0,-.30081713,3.6635616,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020603,0,.6982097,.45524296,.48593351,4.8721228,42.37532,1.2159383,-.04127619,6.8772378,6.1023016,.12020461,.15345268,.16624041,1131.4066,.86700767,0,.91891891,.32432431,.2972973,5.6756759,43.777779,1.25,-.30081633,18,2.4054055,.027027028,0,0,1167.2972,.5945946,0,.77777779,.33333334,.5,5.8333335,41,1.2941177,-.30081657,13.333333,2.6666667,0,.055555556,.055555556,1156.6666,.77777779,4.6807809,.372973,4.4435668,.59845561,4.4903202,.06666667,4.2347846,.13492064,957.92847,32,13,905.79358,53,14,1018.1354,45.702702,17.864864,3.7444925,4.3888888,5.1666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1409-001,20706163,20706163,Mchinji,rural,8,6,MAY,2013,35,19,44,100-200,26,1120,High-altitude Plains,Moderate Constraint,Moderate Constraint,-13.5486,33.1745,0,6,33,0,1,0,0,0,0,2,2000,45,1,1,1,0,1,0,1,0,0,2,1,1249.7506,PANEL A,DAMBE,MW2012C3020703,201305,0,33,14,908.61011,.8247878,.85206151,4.2849703,4.4790835,1,1,1,BALAKA,15.173476,0,1,78.260002,4.3600368,81.769997,4.4039106,1409-001,0,-.3008166,3.4965076,0,0,1,0,0,0,0,1,0,0,0,1,1,MW2012C3020703,0,.81521738,.27173913,.39130434,5.0326085,40.923912,1.1521739,-.26142192,18.923914,8.684783,.017391305,.84782606,.88043481,1087.5,.55434781,0,.59090906,.5,.59090906,6.181818,40.5,1.0909091,.028664343,32.409092,15.318182,0,1,1,1088.6364,1.0909091,0,.70833331,.375,.54166669,6.125,39.041668,1.125,-.30081627,31.583334,16.916666,0,.91666669,1,1085,.91666669,4.4093146,.90681821,4.4012432,.090909094,4.4206829,.89999998,4.4242377,.16071428,908.61011,33,14,811.13507,33,25,839.16559,37.727272,23.90909,3.5289705,4.4583335,5.1666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1462-001,20803156,20803156,Dedza,rural,3,3,MAY,2013,3,4,51,200-300,8,1260,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,-14.2992,34.1126,0,3,23,0,0,0,0,0,0,0,,66,2,0,2,0,1,0,0,1,0,2,0,1512.6469,PANEL B,KAPHUKA,MW2012C3020803,201305,0,33,24,1014.7139,.16527106,.19046125,4.4606142,4.660953,1,1,1,BEMBEKE_TURNOFF,29.999063,.25,0,80,4.3820267,110,4.7004805,1462-001,0,-.30081591,3.1354942,1,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020803,0,.87671232,.26027396,.29452056,4.9041095,44.280823,1.2465754,-.27599216,12.260274,5.0136986,.017808219,.10958904,.12328767,1308.0137,.4041096,0,.94999999,.44999999,.34999999,5.5999999,45.299999,1.3,-.30081609,3.05,5.8000002,.079999998,0,0,1263,.55000001,0,1,.33333334,.2,5.8666668,49.266666,1.3333334,-.30081627,3.2,4.6666665,.10666667,0,0,1255.3334,.2,4.7272296,.15000001,4.4886703,.38,4.7004805,0,4.3820267,.25,1014.7139,33,24,955.71313,51,14,918.33954,52.400002,15.9,3.5693336,1.6666666,4.7333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1457-001,20804405,20804405,Dedza,rural,5,4,MAY,2013,19,7,38,100-200,55,1230,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,-14.0261,34.26,9,3,35.5,0,0,0,0,0,0,0,,28,1,3,0,0,1,0,1,0,0,2,0,2005.1498,PANEL A,TAMBALA,MW2012C3020803,201305,0,33,24,1014.7139,.16527106,.19046125,4.4606142,4.660953,1,1,1,BEMBEKE_TURNOFF,32.122314,.25,0,86.779999,4.463376,91.004997,4.5109143,1457-001,0,-.30081591,3.5695326,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020803,0,.87671232,.26027396,.29452056,4.9041095,44.280823,1.2465754,-.27599216,12.260274,5.0136986,.017808219,.10958904,.12328767,1308.0137,.4041096,0,.84375,.1875,.3125,5.71875,46.46875,1.3125,-.30081585,17.125,4.34375,0,0,0,1338.75,.40625,0,.625,.4375,.4375,5.25,44.6875,1.125,-.30081555,18.0625,6.9375,0,0,0,1231.25,.6875,4.4820137,.125,4.4836955,.14687499,4.516849,.053571429,4.4782109,.34375,1014.7139,33,24,953.08887,53,24,942.77252,53,23.46875,3.6268327,5.75,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1468-001,20804768,20804768,Dedza,rural,5,4,MAY,2013,15,2,44,100-200,41,1430,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,-14.1078,34.2701,0,5,38.5,0,1,0,0,0,0,1,500,33,1,3,0,0,1,0,1,0,0,2,1,830.43988,PANEL B,TAMBALA,MW2012C3020803,201305,0,33,24,1014.7139,.16527106,.19046125,4.4606142,4.660953,1,1,1,MTAKATAKA,22.400488,.25,0,86.779999,4.463376,91.004997,4.5109143,1468-001,0,-.3008166,3.6506581,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020803,0,.87671232,.26027396,.29452056,4.9041095,44.280823,1.2465754,-.27599216,12.260274,5.0136986,.017808219,.10958904,.12328767,1308.0137,.4041096,0,.84375,.1875,.3125,5.71875,46.46875,1.3125,-.30081585,17.125,4.34375,0,0,0,1338.75,.40625,0,.89999998,.050000001,.30000001,5.5500002,42.700001,1.35,-.30081585,14.2,2.4000001,0,0,0,1433,.34999999,4.4820137,.125,4.4836955,.14687499,4.4892216,.2375,4.5019898,.1,1014.7139,33,24,937.95844,53,23,942.77252,53,23.46875,3.4981892,11.85,4.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1559-001,20906524,20906524,Ntcheu,rural,5,6,MAY,2013,7,8,8,200-300,8,1020,Mid-altitude Plateaus,Moderate Constraint,Moderate Constraint,-14.7689,34.6461,11,4,40.5,0,0,0,1,0,0,1,550,75,2,2,1,1,0,0,0,1,0,2,1,1600.4102,PANEL A,NJOLOMOLE,MW2012C3020913,201305,0,53,30,978.68469,.31895718,.69095749,4.3392267,4.3794284,1,1,1,LILONGWE,11.565894,0,.25,73.974998,4.3037271,87.739998,4.4743781,1559-001,0,-.30081642,3.7013021,1,0,1,0,0,0,0,1,0,0,0,1,1,MW2012C3020913,0,.74820143,.33812949,.42446044,5.1582732,43.333332,1.2826087,-.14437185,4.0215826,4.6474819,.041726619,.35971224,.35971224,807.9137,.71942449,0,.77777779,.30555555,.33333334,5.0833335,47.42857,1.4857143,-.30081612,7.25,6.4166665,.061111111,.83333331,.83333331,984.16669,.47222221,0,.69999999,.40000001,.25,5.3000002,45.700001,1.5,-.30081594,6.3000002,7.25,0,.89999998,.89999998,1016,.30000001,4.3319578,.068055555,4.4209204,.045238096,4.3531475,.0625,4.4279413,.041428573,978.68469,53,30,940.49207,50,24,921.39264,49.444443,23.861111,3.6486998,2.75,4.8499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1654-001,21037030,21037030,Lilongwe City,urban,1,37,MAY,2013,1,2,2,>5000,0,1040,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-13.9896,33.7772,0,7,97,0,1,1,0,0,1,2,28000,30,1,0,0,1,0,0,0,1,0,2,1,90.311058,PANEL B,AREA 7,MW2012C3020619,201305,0,33,13,906.65155,0,.25466055,4.7003055,4.8675346,1,1,1,MANGOCHI,16.266127,1,0,110,4.7004805,130,4.8675346,1654-001,0,-.30080944,4.5747108,1,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020619,0,.25367647,.81985295,.84558821,5.0698528,40.683823,1.2095588,.61858171,2.9485295,5.4963236,.031617649,.0625,.0625,1060.5883,2.0992646,0,0,.71428573,.85714287,5,37.57143,1.1428572,1.2524498,1.7142857,2.2857144,.14285715,0,0,1058.5714,2.4285715,0,.10526316,.84210527,1,5,41.263157,1.2105263,.46219379,2,3.8421052,0,0,0,1070,2.4210527,4.8675346,.53571427,4.7004805,.2857143,4.7496295,.15789473,4.6433558,.75,906.65155,33,13,875.67847,33,14,875.67847,33,14,4.1787114,2.7894738,6.3157897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1637-001,21037536,21037536,Lilongwe City,urban,8,37,MAY,2013,2,4,4,>5000,0,1080,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,-13.9917,33.7789,3,6,61,0,1,0,0,0,0,3,1000,47,1,4,0,0,1,0,0,1,0,2,1,238.49417,PANEL A,TSABANGO,MW2012C3020619,201305,0,33,13,906.65155,0,.25466055,4.7003055,4.8675346,1,1,1,LUCHENZA,4.5715342,0,.75,110,4.7004805,130,4.8675346,1637-001,0,-.3008166,4.1108737,1,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020619,0,.25367647,.81985295,.84558821,5.0698528,40.683823,1.2095588,.61858171,2.9485295,5.4963236,.031617649,.0625,.0625,1060.5883,2.0992646,.56079459,.17142858,.9285714,.9285714,5.0999999,39.357143,1.1428572,.63114524,2.0714285,3.4571428,.017142858,0,0,1077.8572,2.3714285,0,.21428572,.8214286,.85714287,4.7142859,39.214287,1.1428572,.4758178,3.1785715,4.0714288,.035714287,.035714287,.035714287,1035.7142,1.75,4.734179,.33000001,4.6728868,.3767347,4.7722101,.64821428,4.6767697,.086904764,906.65155,33,13,875.67847,33,14,934.65271,42.785713,18.728571,4.0011086,1.3214285,6.2142859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1712-001,21053745,21053745,Lilongwe City,urban,4,53,MAY,2013,4,6,6,>5000,4,1130,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-14.0073,33.8244,0,7,94,1,1,1,0,0,1,3,18000,38,1,2,0,1,0,0,0,1,0,2,1,420.96951,PANEL B,AREA 23,MW2012C3020619,201305,0,33,13,906.65155,0,.25466055,4.7003055,4.8675346,1,1,1,LIWONDE,1.818512,.25,.25,79.449997,4.3751278,81.400002,4.3993754,1712-001,0,3.3234727,4.5432949,1,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020619,0,.25367647,.81985295,.84558821,5.0698528,40.683823,1.2095588,.61858171,2.9485295,5.4963236,.031617649,.0625,.0625,1060.5883,2.0992646,0,0,1,1,2.8333333,30,1.5,.90728271,3.8333333,5.3333335,0,0,0,1125,1.6666666,0,.090909094,.95454544,1,5.1363635,36.863636,1.1818181,1.1818482,3.5,5.2272725,.045454547,.045454547,.045454547,1075.4546,2.6363637,4.6157761,.51071429,4.6328516,.5,4.4353404,.31818181,4.4337826,.24090908,906.65155,33,13,879.00073,53,24,907.88037,49.666668,23.5,4.2960067,.90909094,6.818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
