clust_logFCS,clust_logFCS_predict
3.6660154,3.5077033
3.7188785,3.7343471
3.7998304,4.2514892
3.8448913,3.6379807
3.6879361,3.7052391
3.7841516,4.0069971
3.8374259,3.6790857
3.8953035,3.785145
3.8047087,3.5609944
3.6172888,3.7338541
3.6439795,3.7055848
3.4990628,3.6866884
3.4933577,3.7004755
3.6403515,3.6672809
3.6665723,3.9068971
3.84376,3.7924519
4.0433965,3.9912796
3.7008128,3.7570782
3.7441485,3.847888
3.6215286,3.7291834
3.862515,3.7198188
3.9374404,3.7357738
3.8079872,3.7273858
3.9977124,3.8598785
3.8358147,3.8394024
3.7830768,3.5510385
3.8918312,4.0392947
3.7758429,3.9936903
4.1514988,4.1151628
3.8444798,4.0185728
3.8362947,3.6580799
3.6930976,3.636158
3.6518881,3.6749051
3.7350838,3.684449
3.9886575,3.9954076
3.7446616,4.2027936
3.93312,3.901978
3.7440948,3.9122179
3.7857857,3.6444144
3.7116849,3.6048937
3.8871653,3.703465
3.9496818,3.627619
4.2388158,3.9541774
3.9722149,4.1921849
3.8195713,3.9296088
3.7748787,3.7670069
3.9916737,3.7222033
3.8403809,3.8077366
3.8244824,3.798018
3.8742146,3.7569234
3.7777686,3.6366687
3.9021387,3.7433975
3.7166927,3.5300899
3.5496531,3.6015894
3.9362974,3.8490472
3.7444925,3.6768343
3.5289705,3.6333959
3.5693336,3.6252677
3.6268327,3.7079635
3.4981892,3.583564
3.6486998,3.7034192
4.1787114,4.0317535
4.0011086,3.9478061
4.2960067,4.1602244
4.1393027,4.1347227
4.1048226,4.0802937
3.8897817,3.7955287
4.4301381,4.515306
3.8571975,3.8111668
4.1035881,3.922514
3.9184604,3.7941577
3.6246924,3.6986945
3.6686556,3.7429686
3.6704962,3.703728
3.7689302,3.7309871
3.7852209,3.6475947
3.7130654,3.6524236
4.0658445,4.0590892
4.0676599,3.8016796
4.0440907,3.8021495
3.7745514,3.787287
3.8609583,3.7645509
3.9285622,3.858505
3.7701697,3.7305079
3.7868888,3.6182969
3.9609897,4.052896
3.7418106,3.3975229
3.7601032,3.8368056
3.7442036,3.8133986
3.6866508,3.8707418
3.8576705,3.8264282
4.307807,4.1178584
4.0041785,3.7807634
4.1439509,4.07933
4.1076107,3.9020178
4.0758004,4.149857
3.9102142,4.0299692
4.0183487,3.9809499
3.8182402,3.6534083
3.9712291,3.7042322
3.7441885,3.7006211
3.9448898,3.9335916
3.745857,3.7440093
3.7006366,3.985831
3.7242777,4.0614133
3.6038883,3.9969203
4.0880117,3.6051812
3.8565178,3.7294524
3.8771565,3.5541975
3.8044646,3.6452804
4.4177699,4.3970242
3.9529483,3.7808967
3.9882655,3.7326515
3.782285,3.6943481
3.9465747,3.7154198
3.8390801,3.5802312
3.9228625,3.9934824
4.0240684,3.8437741
3.9198496,3.8359118
3.6902764,3.5579352
3.4244342,3.5441968
3.6624522,3.5835872
3.6410766,3.6393504
3.6560838,3.5701587
3.8188958,3.6703918
3.6584873,3.5436194
3.6556187,3.6792138
3.6803482,3.7505836
4.0570364,4.0099492
4.0009079,3.9025564
3.933511,3.679574
3.9245605,3.7153912
3.888823,3.7099349
3.9735847,3.8287022
3.7099979,3.7365596
3.8880391,3.505873
3.7848067,3.8126671
3.7995741,3.6458576
3.8336868,3.8482907
4.070292,4.0867205
3.8762567,3.8871605
3.9872594,4.0078197
3.8244545,3.5312068
3.7324572,3.3399956
3.8186865,3.377584
3.9912584,3.8693564
3.8286057,3.7581494
3.8511894,3.8909547
3.7493882,3.7471316
4.1048164,3.9331131
4.1718726,4.1417789
3.9400933,4.0029721
4.0186462,3.9480927
4.0405884,4.0522842
4.1376033,4.1288915
4.3435025,4.4804368
