"","clust_L12raincytot","clust_L12day1rain","clust_L12maxdays","clust_floodmax","clust_cells_own","clust_price","clust_thinn","clust_roof","clust_hhsize","clust_hh_age","clust_hh_gender","clust_asset","clust_dist_road","clust_dist_admarc","clust_percent_ag","clust_nutri_reten_constrained","clust_elevation","clust_logFCS","clust_RCSI","clust_HDDS","ipc_lag1","ipc_lag12"
"18",689.29626,77,14,0,1.9375,3.8331962,1,1,4.9375,36.5,1.25,0.1728614,1.1849999,2.795625,0,0,1062.1875,4.056335,2.75,6.1875,1,NA
"19",675.68274,57,14,0,2.125,3.8331962,1,0.875,6.6875,41.3125,1.1875,0.42313752,4.8931251,5.4087501,0,0,1075.25,4.1141901,4.3125,6.375,1,NA
"20",684.78137,74,19,0,0.25,3.948355,0.5,0.1875,5.3125,41.875,1.125,-0.452824,5.4831252,8.9137497,0.26250002,0,482.6875,3.7509558,5.3125,4.625,1,NA
"21",974.48456,57,22,0,1,3.5847962,0.77499998,0.3125,4.5625,39.0625,1.3125,-0.20254871,14.813334,18.820667,0.52500004,1,830.53333,3.9544127,2.3125,5.125,1,NA
"22",924.40497,58,20,0,0.1875,NA,0.5,0,4.625,41.875,1.1875,-0.32768622,37.415333,15.398,0.60000002,0.0625,520.46667,3.4640996,3.9375,3.9375,1,NA
"23",833.37885,49,13,0,0.375,3.8381612,0.75,0.375,4.6875,38.125,1.25,-0.077410996,44.618752,7.9506249,0.375,0,654.5625,3.8305004,1.8125,4.625,1,NA
"24",750.48511,74,15,0,0.4375,3.805258,0.75,0.1875,4.1875,46.6875,1.1875,-0.077410996,5.4356251,9.305625,0.30000001,0,918.75,3.7226665,10.6875,5.5625,1,NA
"25",1008.4205,50,18,0,0.5625,3.7530272,0.25,0.5625,4.3125,46.875,1.3125,-0.20254846,0.72187501,7.7206249,0.5625,0,799.5,3.9133904,4.5625,5.75,1,NA
"26",759.26544,73,8,0,0.5625,3.8600979,0.5,0.1875,4.875,44.125,1.3125,-0.20254904,5.9324999,9.3968754,0.45000002,0,929.0625,3.4325225,9,4.8125,1,NA
"27",613.24939,77,10,0,0.5625,3.8477097,0.3125,0.125,3.625,38.875,1.125,0.54827493,13.499375,1.498125,0.60000002,0,705.3125,3.802505,5.375,5.75,1,NA
"28",667.24237,74,16,0,0.1875,3.5644493,0.25,0.0625,4.125,47.625,1.4375,-0.57796144,11.893125,13.071875,0.26250002,1,579.75,3.6186366,10.3125,5,1,NA
"29",806.32227,36,17,0,0.375,3.8214417,0.75,0.5625,5.375,47.125,1.375,-0.077411562,9.5906248,5.2756248,0.625,0,665.75,3.6536345,14.5,4.5,1,NA
"30",750.55145,79,16,0,0.25,3.867712,0.75,0.375,3.625,42.8125,1.0625,-0.45282456,6.4593749,4.0481248,0.60000002,0,617,3.4416749,11.25,4.0625,1,NA
"31",885.69635,36,17,0,0.5625,3.8214417,0.75,0.625,4.5625,54.5625,1.5,-0.70309836,1.815625,14.894375,0.60000002,0,733.0625,3.4244187,10.375,4.3125,1,NA
"32",699.02991,73,8,0,0.4375,3.8214417,0.75,0.3125,3.75,41.875,1.5,-0.32768595,9.7133331,7.1186666,0.60000002,0,713.86664,3.5672846,7.0625,4.9375,1,NA
"33",596.04852,75,16,94.559349,1,3.6595888,0.75,0.4375,4.25,35.25,1.25,-0.077411279,0.235,1.9450001,0.1125,0,69.75,3.6617692,6.25,5.375,2,NA
"34",730.50354,36,16,85.696136,0.3125,3.6770599,0.75,0.6875,5.5,45.8125,1.25,0.047725908,15.006875,4.2075,0.625,0,61.75,3.4894772,16.125,4.875,2,NA
"35",600.88806,74,13,0,0.4375,3.8009796,0.5,0.125,5.625,43.875,1.3125,0.047726773,7.5500002,7.5139999,0.1125,0,584.46667,3.4249651,11.8125,4.1875,1,NA
"36",577.12152,74,16,0,0.4375,3.5506256,0.375,0.125,4.1875,39.0625,1.3125,0.047724769,0.84625,5.8631248,0.22500001,1,519.4375,3.5588963,9,4.75,1,NA
"37",1074.5536,56,15,0,0.4375,3.4852321,0.5,0.125,5.9375,45.375,1.1875,-0.07741157,2.6568749,12.01625,0.22500001,0.375,1295.3125,3.7201955,3.625,5.375,1,NA
"38",1452.726,55,16,0,0.3125,3.7888379,0.5,0.25,4.9375,41.75,1.125,0.54827553,3.264375,8.8512497,0.52500004,0,493.4375,3.6980464,4.4375,5.25,1,NA
"39",1136.3416,54,15,0,0.25,3.7888379,0.5,0.125,4.75,40.375,1.25,-0.32768708,8.5318747,17.16375,0,0,1008.25,3.4935284,0.8125,4.4375,1,NA
"40",1181.6378,55,18,0,0.1875,2.9368789,0.03125,0.125,4.25,44.625,1.3125,-0.20254904,4.2581248,23.737499,0.1125,0,1092.0625,3.6852272,3.4375,5.0625,1,NA
"41",1038.0796,57,24,0,1.125,3.7232621,0.48750001,0.75,4.75,39.375,1.0625,0.29800057,0.156875,1.58375,0.60000002,0,486.9375,3.8726916,1.6875,5.6875,1,NA
"42",848.43262,68,15,0,0.4375,4.015121,0.75,0.1875,6,39.4375,1.3125,-0.077412106,4.2259998,15.978,0.48750001,0,1131.9333,3.5647881,7.5,4.4375,1,NA
"43",862.06921,56,19,0,0.4375,4.015121,0.75,0.4375,6.6875,44.5,1.1875,0.17286366,4.98875,1.92,0.60000002,1,1257.5625,3.8937764,7.5,5.8125,1,NA
"44",719.63171,54,14,0,0.1875,3.8317258,0.71249998,0.1875,5.125,48.5,1.0625,-0.32768652,11.063334,14.496,0.60000002,1,1330.1333,3.3334043,3.6875,4.375,1,NA
"45",933.77173,53,29,0,1.5,3.5553482,0.75,0.75,4.4375,39.875,1.25,0.54827356,0.55400002,16.927334,0.60000002,1,1258.8,3.8579462,2.75,6.125,1,NA
"46",916.90045,53,29,0,1.5,3.5553482,0.75,0.625,4.4375,43.5,1.1875,0.29799941,1.9133333,15.372,0.60000002,1,1274.8,3.7823746,3.375,5.5625,1,NA
"47",832.9408,53,15,0,1.1875,3.5553482,0.75,0.5,5.5,40.75,1.0625,0.42313725,1.9875,14.324375,0.60000002,1,1290.0625,3.7619298,2.1875,5.6875,1,NA
"48",749.25867,54,36,0,0.25,3.5553482,0.75,0.1875,5.375,42.8125,1.125,-0.32768622,6.7737498,8.6906252,0.60000002,1,1228.6875,3.9067309,4.125,5.375,1,NA
"49",1348.9376,57,37,0,0.5,3.4725873,0.75,0.125,6.125,43.1875,1.25,-0.45282227,2.6781249,4.5031252,0.60000002,1,511.625,3.7413042,5.5625,4.875,1,NA
"50",966.22363,58,40,0,0.25,3.7400477,0.75,0.125,4.8125,38,1.125,0.29800114,16.178749,2.4312501,0.45000002,0,633.125,3.8115263,3.8125,5.4375,1,NA
"51",908.41064,57,48,0,0.5,3.8336289,0.75,0.1875,5.5625,36.9375,1.1875,0.29800057,4.3559999,3.9886668,0,0,1447.1333,3.839591,5.5,5.25,1,NA
"52",657.46667,58,37,0,0.1875,3.5488987,0.5,0.0625,4.9375,50.375,1.25,-0.4528237,3.315625,5.4156251,0.5625,0,1264.5,3.6871529,6.5,4.4375,1,NA
"53",875.04529,58,37,0,0.4375,3.5488987,1,0.0625,4.9375,48.75,1.125,-0.45282397,0.65357143,14.067142,0.1125,0,929.35712,3.8193817,4,4.875,1,NA
"54",759.25793,73,47,0,0.25,3.6195295,0.75,0,4.75,43.75,1.125,-0.57796061,3.835,4.0500002,0,0,497.5625,3.7284017,10.5625,5.125,1,NA
"55",696.74371,77,13,41.39851,0.625,3.5192769,0.61874998,0.3125,5.625,42.0625,1.4375,0.17286253,0.81874996,18.905624,0.60000002,0,507.5625,3.9368215,2.1875,5.5,1,NA
"56",809.99017,58,48,0,0.75,3.7400477,0.75,0.375,4.6875,40.8125,1.1875,0.29800057,0.25874999,12.2375,0.60000002,0.0625,540.625,3.8563216,4.25,5.3125,1,NA
"57",698.80957,58,36,0,0.3125,3.5488987,1,0.125,6.1875,48.3125,1.1875,-0.20254904,22.44375,2.5518751,0,0,1175.3125,3.7820923,6.625,5.375,1,NA
"58",769.97821,39,13,0,0.3125,3.2107425,0.53750002,0.3125,5.1875,42.375,1.1875,-0.077410713,0.58187503,5.2168751,0.41250002,1,1080.625,3.6836264,3.875,4.6875,1,NA
"59",730.15558,40,13,0,1.125,2.9957323,0.75,0.375,6.6875,41,1.1875,-0.32768565,34.047501,17.403749,0.60000002,1,1124.3125,3.8792534,1.875,5.3125,1,NA
"60",628.22388,33,13,0,0.625,3.6340697,0.48750001,0.375,4.625,40.375,1.375,-0.32768682,0.52750003,6.5793748,0.1125,1,672.4375,3.8400826,3.4375,5.375,1,NA
"61",680.21088,77,13,0,0.9375,3.9120231,0.75,0.5,5.125,43.0625,1.25,0.29800147,0.96785712,1.155,0.375,0,617.14288,3.6248128,6,5.1875,1,NA
"62",698.39868,77,14,0,2.4375,3.5094538,1,0.9375,5.375,38.875,1.125,0.42313582,1.685625,2.288125,0,0,1037,4.3169565,0.8125,6.75,1,NA
