"ea_id","mkt","dist_km","X","X2006.01.01","X2006.02.01","X2006.03.01","X2006.04.01","X2006.05.01","X2006.06.01","X2006.07.01","X2006.08.01","X2006.09.01","X2006.10.01","X2006.11.01","X2006.12.01","X2007.01.01","X2007.02.01","X2007.03.01","X2007.04.01","X2007.05.01","X2007.06.01","X2007.07.01","X2007.08.01","X2007.09.01","X2007.10.01","X2007.11.01","X2007.12.01","X2008.01.01","X2008.02.01","X2008.03.01","X2008.04.01","X2008.05.01","X2008.06.01","X2008.07.01","X2008.08.01","X2008.09.01","X2008.10.01","X2008.11.01","X2008.12.01","X2009.01.01","X2009.02.01","X2009.03.01","X2009.04.01","X2009.05.01","X2009.06.01","X2009.07.01","X2009.08.01","X2009.09.01","X2009.10.01","X2009.11.01","X2009.12.01","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
120720224001,"Mbeya",97.5247530830579,9,58681.82,65181.82,67884.62,82125,89625,69187.5,68568.18,65892.31,70583.33,71531.25,71260,75187.5,74600,64200,60100,60200,55300,55800,52400,50200,54000,57200,60800,62000,77700,61700,89300,86500,77500,72167,78750,80000,82031,91962,96295,120000,125000,120000,120000,104400,101250,97750,115000,90000,105000,1e+05,105000,115000,110000,1e+05,97500,95000,95000,80692,77396,79000,77857,81481,89850,99893,101042,105722,113000,120000,1e+05,115000,108500,109591,116389,142625,175846,166571,183500,202615,209444,216000,182308,179450,188808,190250,180000,188800,199000,215833.3,229250,196545.5,181625,129083.2,127416.6,126666.67,129791.8,110416.7,100833.5,100833.25,110000,109062.5,114166.8,114167,128750,139000,139038.5,122708.5,117591,107292,104423,116786,134731,126818,139375,143333,154182,136792,139833,134792,136167,133954,149200,151125,161909,162500,193250,171000,163333,154250,136346,135375,138846,136250,140000,140000,140000
530102304303,"Dar Es Salaam",71.8821595615092,4,64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.73,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.33,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.8,158750,144749.8,144166.67,146666.8,134444.5,134375,137708.25,134791.75,139375,144166.8,143958,148042,143625,146931.1,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.7,166562.7,162969,170312.5,183194.3,190580.7,193321.7,192569.4,191493,178208.5,173143.7,162884.3,164730,163770,161635,163928.7,162866.3,163115
530104104001,"Dar Es Salaam",79.5042069814374,4,64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.73,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.33,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.8,158750,144749.8,144166.67,146666.8,134444.5,134375,137708.25,134791.75,139375,144166.8,143958,148042,143625,146931.1,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.7,166562.7,162969,170312.5,183194.3,190580.7,193321.7,192569.4,191493,178208.5,173143.7,162884.3,164730,163770,161635,163928.7,162866.3,163115
530109303302,"Dar Es Salaam",71.2513397262016,4,64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.73,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.33,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.8,158750,144749.8,144166.67,146666.8,134444.5,134375,137708.25,134791.75,139375,144166.8,143958,148042,143625,146931.1,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.7,166562.7,162969,170312.5,183194.3,190580.7,193321.7,192569.4,191493,178208.5,173143.7,162884.3,164730,163770,161635,163928.7,162866.3,163115
530111103002,"Dar Es Salaam",73.8667872721626,4,64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.73,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.33,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.8,158750,144749.8,144166.67,146666.8,134444.5,134375,137708.25,134791.75,139375,144166.8,143958,148042,143625,146931.1,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.7,166562.7,162969,170312.5,183194.3,190580.7,193321.7,192569.4,191493,178208.5,173143.7,162884.3,164730,163770,161635,163928.7,162866.3,163115
530122201005,"Dar Es Salaam",67.5348501867196,4,64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.73,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.33,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.8,158750,144749.8,144166.67,146666.8,134444.5,134375,137708.25,134791.75,139375,144166.8,143958,148042,143625,146931.1,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.7,166562.7,162969,170312.5,183194.3,190580.7,193321.7,192569.4,191493,178208.5,173143.7,162884.3,164730,163770,161635,163928.7,162866.3,163115
530123303303,"Dar Es Salaam",69.9035797636192,4,64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.73,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.33,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.8,158750,144749.8,144166.67,146666.8,134444.5,134375,137708.25,134791.75,139375,144166.8,143958,148042,143625,146931.1,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.7,166562.7,162969,170312.5,183194.3,190580.7,193321.7,192569.4,191493,178208.5,173143.7,162884.3,164730,163770,161635,163928.7,162866.3,163115
530124205009,"Dar Es Salaam",68.9158366380399,4,64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.73,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.33,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.8,158750,144749.8,144166.67,146666.8,134444.5,134375,137708.25,134791.75,139375,144166.8,143958,148042,143625,146931.1,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.7,166562.7,162969,170312.5,183194.3,190580.7,193321.7,192569.4,191493,178208.5,173143.7,162884.3,164730,163770,161635,163928.7,162866.3,163115
530126303302,"Dar Es Salaam",73.6525312891502,4,64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.73,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.33,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.8,158750,144749.8,144166.67,146666.8,134444.5,134375,137708.25,134791.75,139375,144166.8,143958,148042,143625,146931.1,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.7,166562.7,162969,170312.5,183194.3,190580.7,193321.7,192569.4,191493,178208.5,173143.7,162884.3,164730,163770,161635,163928.7,162866.3,163115
530128301303,"Dar Es Salaam",65.6013376665966,4,64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.73,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.33,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.8,158750,144749.8,144166.67,146666.8,134444.5,134375,137708.25,134791.75,139375,144166.8,143958,148042,143625,146931.1,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.7,166562.7,162969,170312.5,183194.3,190580.7,193321.7,192569.4,191493,178208.5,173143.7,162884.3,164730,163770,161635,163928.7,162866.3,163115
