case_id,cellphone,number_celphones,slope,ag_percent,elevation,terrain_rough,ea_id,lat_modified,lon_modified,reside,region,hh_a01,ward,FS_month,FS_year,survey_round,rCSI,HDDS,FCS,country,asset_index,distance_index,housing_index,nutri_reten_constrained,nutri_avail_constrained
0102017003024601,1,1,4.599999904632568,53,918,Low plateaus,1217003,-6.614009857177734,36.50865936279297,rural,1,2,171,12,2010,Tanzania NPS 2010/2011,21,4,51,Tanzania,-.39868104,1.7095873,2.2580109,1,1
0103013004016101,0,0,4.5,12,1177,Mid-altitude plateaus,1313004,-6.177249908447266,36.47574996948242,rural,1,3,133,5,2011,Tanzania NPS 2010/2011,0,5,54,Tanzania,-.39868104,-.076547541,-.88583499,1,1
0103013004021901,0,0,2.400000095367432,0,1093,High-altitude plains,1313004,-6.177249908447266,36.47574996948242,rural,1,3,133,5,2011,Tanzania NPS 2010/2011,0,6,65,Tanzania,-.39868096,-.19793621,-.88583499,1,1
0103013004025901,0,0,4.5,2,1169,Mid-altitude plateaus,1313004,-6.177249908447266,36.47574996948242,rural,1,3,133,5,2011,Tanzania NPS 2010/2011,0,6,63,Tanzania,-.39868104,-.080882721,-.88583499,1,1
0103013004034601,0,0,4.5,8,1168,Mid-altitude plateaus,1313004,-6.177249908447266,36.47574996948242,rural,1,3,133,5,2011,Tanzania NPS 2010/2011,0,6,50,Tanzania,-.39868104,-.085218124,-.88583499,1,1
0103013004046801,0,0,9.600000381469727,14,1190,Mid-altitude plateaus,1313004,-6.177249908447266,36.47574996948242,urban,1,3,133,5,2011,Tanzania NPS 2010/2011,4,7,65,Tanzania,-.39868104,-.046200186,-.88583499,1,1
0103013004068501,0,0,15.30000019073486,12,1162,Mid-altitude plateaus,1313004,-6.177249908447266,36.47574996948242,rural,1,3,133,5,2011,Tanzania NPS 2010/2011,0,5,64,Tanzania,-.39868104,-.10255957,-.88583499,1,1
0103013004073901,1,1,15.30000019073486,12,1162,Mid-altitude plateaus,1313004,-6.177249908447266,36.47574996948242,rural,1,3,133,5,2011,Tanzania NPS 2010/2011,0,7,69.5,Tanzania,-.39868098,-.10255957,-.88583499,1,1
0103013004074501,1,1,19.5,14,1184,Mid altitude mountains,1313004,-6.177249908447266,36.47574996948242,urban,1,3,133,5,2011,Tanzania NPS 2010/2011,0,5,56.5,Tanzania,-.39868098,-.067876868,-.88583499,1,1
0103013301006801,0,0,2.299999952316284,0,1036,High-altitude plains,1313301,-6.229619979858398,36.413330078125,rural,1,3,133,12,2010,Tanzania NPS 2010/2011,20,3,49,Tanzania,-.39868096,-.22828408,-.88583499,1,1
0103013301009201,0,0,2.5,0,1041,High-altitude plains,1313301,-6.229619979858398,36.413330078125,rural,1,3,133,12,2010,Tanzania NPS 2010/2011,25,3,37,Tanzania,-.39868096,-.2239487,2.2580109,1,1
0103013301017501,0,0,2.299999952316284,0,1064,High-altitude plains,1313301,-6.229619979858398,36.413330078125,rural,1,3,133,12,2010,Tanzania NPS 2010/2011,11,4,56,Tanzania,-.39868096,-.20660722,2.2580109,1,1
0103013301018801,1,2,2.200000047683716,0,1057,High-altitude plains,1313301,-6.229619979858398,36.413330078125,rural,1,3,133,12,2010,Tanzania NPS 2010/2011,9,5,61.5,Tanzania,-.39868104,-.2456248,-.88583499,1,1
0103013301018803,0,0,2.400000095367432,0,1058,High-altitude plains,1313301,-6.229619979858398,36.413330078125,rural,1,3,133,12,2010,Tanzania NPS 2010/2011,0,5,67.5,Tanzania,-.39868096,-.30631793,-.88583499,1,1
0103013301030001,0,0,2.200000047683716,0,1014,High-altitude plains,1313301,-6.229619979858398,36.413330078125,urban,1,3,13,12,2010,Tanzania NPS 2010/2011,8,7,72.5,Tanzania,-.39868104,-.21961378,-.88583499,1,1
0103013301032201,1,1,2.200000047683716,0,1016,High-altitude plains,1313301,-6.229619979858398,36.413330078125,urban,1,3,13,12,2010,Tanzania NPS 2010/2011,0,5,52.5,Tanzania,-.39868104,-.20660792,-.88582069,1,1
0103013301041101,1,1,2,0,1011,High-altitude plains,1313301,-6.229619979858398,36.413330078125,urban,1,3,13,12,2010,Tanzania NPS 2010/2011,0,7,73,Tanzania,-.39868104,-.21094327,-.88583499,1,1
0103013301041102,1,1,2,2,1025,High-altitude plains,1313301,-6.229619979858398,36.413330078125,urban,1,3,13,12,2010,Tanzania NPS 2010/2011,0,7,72.5,Tanzania,-.39867809,-.18059637,-.88582069,1,1
0103013301065201,0,0,1.700000047683716,6,1009,High-altitude plains,1313301,-6.229619979858398,36.413330078125,rural,1,3,133,12,2010,Tanzania NPS 2010/2011,22,4,33,Tanzania,-.39868104,-.28030789,2.2580109,1,1
0104017304000401,0,0,1.799999952316284,6,1048,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,urban,1,4,173,4,2011,Tanzania NPS 2010/2011,14,7,52.5,Tanzania,-.39868104,-.1762742,-.88583499,1,1
0104017304001701,0,0,1.799999952316284,6,1048,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,urban,1,4,173,4,2011,Tanzania NPS 2010/2011,0,5,50,Tanzania,-.39868098,-.18060946,2.2580109,1,1
0104017304002201,0,0,1.799999952316284,6,1048,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,urban,1,4,173,4,2011,Tanzania NPS 2010/2011,16,3,50.5,Tanzania,-.39868096,-.18494478,2.2580109,1,1
