"","mkt","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01"
"1","Gulu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1533.3333,1666.6667,1650,1650,1579,1500,1213,1325,1500,1354,1267,1384,1575,1663,1750,1633,1367,967,954,1075,1184,1250,1250,1350,1267,1444.3,1350,1358.2,1308.33,1300,1372,1659,1484,1433,1425,1463,1530,1525,1733,1766.6667,1525,1387.5,2500,1987.5,2000,1200,2000,2000,2000,2000,2500,3250,3000,2500,2000,2500,3000,2500,1500,2500,2500,1833,1500,2000,2167,2500,1867,2500,2500
"2","Iganga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,1300,1200,1200,1315,1250,1224,1268,1150,1450,1550,1550,1692,1800,1900,1750,1600,1484,1308,1263,1475,1500,1500,1566.6,1708.3,1816.8,1566.6,1440,1433.5,1700,1907,1725,1634,1522,1500,1638,1800,1788,1700,1690,1512.5,1687.5,1550,1500,1500,1450,1500,2000,2000,1800,1800,1500,1525,1600,1600,1600,1733,1800,1800,1725,1675,1600,1525,1600,1600,1650,1800,2267,2000
"3","Jinja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,1300,1150,1200,1397,1200,1148,1320,1287,1325,1375,1254,1371,1829,1800,2009,2500,2450,2444,1717,1967,1700,1800,1600,1704.3,1793.8,1600,1500,1500,1700,1960,1700,1917,1956,1800,1984,2150,2463,2067,1630,1500,1400,1463,1400,1200,1450,1500,1450,1533,1500,1500,1500,1350,1375,1433,1400,1400,1375,1450,1200,1300,1400,1300,1400,1775,1750,1900,2000,2400
"4","Kapchorwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,1200,1000,1200,1125,1000,1057,1127,1167,1200,1250,1300,1375,1700,1750,1900,1525,913,1135,1200,1200,1200,1200,1116.6,1400,1400,1400,1400,1500,1500,1500,1400,1400,1511,1500,1700,1700,1700,1700,1700,1325,1425,1275,1700,1200,1450,1500,1450,1533,1500,1500,1500,1350,1375,1433,1400,1400,1375,1450,1200,1300,1400,1300,1400,1775,1750,1900,2000,2400
"5","Kiboga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,1300,1300,1300,1402,1300,1300,1258,1267,1300,1334,1509,1650,1700,1800,1800,2000,2063,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1400,2350,2200,1375,1504,1400,1675,1917,1980,1975,2000,1983,1987.5,2000,1450,1500,2000,2000,2667,2000,2000,2000,2000,2000,2000,2125,2000,2000,2000,2000,2000,2000,2000,2250,2125,2175,2267,2267
"6","Lira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,1133.3333,1000,1100,1211,1000,1057,1127,1167,1200,1250,1300,1375,1700,1750,1900,1525,913,1135,1200,1200,1200,1200,1116.6,1450,1296.8,1116.6,1273.4,1266.75,1417,1407,1400,1400,1511,1500,1425,1590,1663,1600,1450,1325,1425,1275,1212.5,1200,1250,1350,1200,1400,1500,1433,1325,1225,1175,1500,1400,1200,1275,1225,1200,1300,1400,1300,1400,1600,1467,1900,1675,1975
"7","Mbarara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,1833.3333,1500,1775,1650,1600,1471,1630,1867,1818,1834,1729,2009,2050,2300,2246,2334,2800,2777,2767,2700,2533,2450,2180,2166.8,2121.5,2180,2060,2366.75,2500,2493,2483,2584,2000,1950,1988,1960,2100,2050,2230,2475,1387.5,2500,1700,1200,1900,2000,2000,2000,2000,2000,1850,1825,2000,2200,2350,3000,1933,2900,2975,3000,3000,3000,3000,3000,3000,3000,2800,2800
"8","Owino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1075,1100,1150,1215,1350,1231,1240,1267,1219,1367,1421,1621,1733,1800,1975,2000,1650,1397,1425,1367,1300,1350,1483.3,1693.8,1511.8,1483.3,1403.4,1508.25,1467,1459,1400,1400,1361,1375,1504,1620,1675,1917,1980,1975,2000,1983,1987.5,2000,1450,1500,2000,2000,2667,2000,2000,2000,2000,2000,2000,2125,2000,2000,2000,2000,2000,2000,2000,2250,2125,2175,2267,2267
