"","mkt","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01"
"1","Gulu",2625,2275,1825,2100,1975,1700,1700,1725,1600,1633.3333,1300,1600,2000,1700,1900,2466.6667,2466.6667,2400,2000,1558,1500,1328,1599,2000,1972,1734,1780,1925,1817,1900,2067,1833,1600,1475,1433,2317,1950,1900,2000,2067,2033.3,2000,2010,2122.33,2366.5,2047,2967,2584,2700,2250,2283,2440,2200,2100,2283.3333,2000,1937.5,1483,1012.5,1000,1900,2500,3667,3500,2000,3500,3000,3667,2500,2000,1500,4000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
"2","Iganga",1037.5,1038,1000,950,725,650,633.3333,650,487.5,400,400,400,450,470,635,850,987.5,900,1000,904,900,872,957,1000,1000,1200,1200,1225,1296,1300,1375,1400,1400,1400,1400,1400,1200,1350,1250,1200,1200,1250,820,1000,1083.5,1107,1150,1125,1000,1034,1100,1100,1188,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1200,1000,875,1000,1000,1000,1100,1200,1200,1200,1200,1375,1325,1300,1325,1450,1450,1350,1350,1500,1400
"3","Jinja",1000,800,825,825,1060,837.5,766.6667,575,550,633.3333,750,800,833.3333,900,900,1000,1000,600,700,601,650,589,580,290,264,307,304,362,373,413,348,455,473,440,542,700,485,836,1420,1020.8,500,1420,1300,1500,1875,1440,1200,2050,1300,1200,1500,1150,1375,1183,850,850,900,900,900,1625,1300,1500,1200,1333,1500,1500,1500,1500,1375,1500,1500,1625,1500,1500,1500,1450,1500,2000,1500,1500,1500,1500,1500,1500
"4","Kapchorwa",1000,1000,1000,1000,1000,1000,833.3333,875,900,900,1000,700,1000,1000,1000,1000,1000,1000,1000,724,1000,948,1200,1333,1313,1034,984,883,1200,1200,1188,1200,975,937,1167,1100,1200,1200,1200,1000,1000,1000,1000,1500,1500,1500,1200,1200,1200,1200,1500,1640,1800,1800,1800,1400,1425,1463,1800,1625,1300,1500,1200,1333,1500,1500,1500,1500,1375,1500,1500,1625,1500,1500,1500,1450,1500,2000,1500,1500,1500,1500,1500,1500
"5","Kiboga",1200,1200,1300,1300,1300,1300,1200,1175,1000,1000,950,900,1267,933,950,950,950,950,1200,1095,1200,1043,1118,1233,1400,1417,1200,1200,1200,1200,1233,1200,1200,1200,1200,1200,1250,1250,1283,1300,1300,1283,1300,1300,1300,1275,1100,1267,1300,809,929,1413,1000,967,960,1000,1000,1000,1012.5,1000,1000,1000,1000,1200,1200,1200,1200,1225,1200,1267,1300,1413,1500,1425,1400,1400,1444,1458,1500,1500,1500,1500,1500,1566
"6","Lira",925,840,900,950,1000,1000,1800,562.5,900,833.3333,750,700,700,700,700,900,1100,1000,925,938,1000,948,1200,1333,1313,1034,984,883,1200,1200,1188,1200,975,937,1167,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1225,1200,1238,1350,1390,1400,1425,1463,1525,1625,1500,1250,700,1500,1150,1000,1000,1000,1075,1500,1333,1500,1425,1750,1500,1450,1500,2000,1500,1500,1567,1500,1525,1500
"7","Mbarara",1150,1000,1000,1025,800,800,866.6667,787.5,825,800,1100,1600,1050,900,1050,1200,1200,1217,1125,1138,1500,1132,1348,1567,1413,1383,1450,1600,1583,1650,1734,1500,1700,1513,1425,1567,1600,1750,1700,1700,1663.3,1700,1606.8,1616.75,1700,1660,1700,1700,1589,1500,1604,1580,1563,1517,1500,1500,1937.5,1483,1800,1625,1900,2150,2225,2350,2475,2300,2450,2450,1500,1500,1500,4000,1267,1250,1800,1867,2000,1900,2000,2000,2000,2000,1900,2000
"8","Owino",975,663,662.5,700,550,475,566.6667,500,633.3333,600,600,900,500,500,650,750,1000,650,1000,933,1100,1019,1128,1233,1167,1034,1100,1225,1275,1300,1458,1500,1467,1375,1234,1300,1300,1300,1183.3,1279.3,1154.3,1183.3,928.4,1075,983.5,1000,1100,1017,967,809,929,1000,1000,967,960,1000,1000,1000,1012.5,1000,1000,1000,1000,1200,1200,1200,1200,1225,1200,1267,1300,1413,1500,1425,1400,1400,1444,1458,1500,1500,1500,1500,1500,1566
