year,month,market,maize_price,missing
2008,2,TSANGANO,38.56666666666667,0
2008,2,ZOMBA,37.23333333333333,0
2008,3,BALAKA,38.504999999999995,0
2008,3,BANGULA,29.46,0
2008,3,BEMBEKE,50.0,0
2008,3,BOWE,32.5,0
2008,3,BVUMBWE,45.0,0
2008,3,CHAMAMA,35.082499999999996,1
2008,3,CHATOLOMA,55.0,0
2008,3,CHIKWAWA,33.72,0
2008,3,CHILINGA,35.082499999999996,1
2008,3,CHILUMBA,37.1775,0
2008,3,CHIMBIYA,40.75,0
2008,3,CHINTHECHE,35.71666666666667,0
2008,3,CHIRADZULU,41.0,0
2008,3,CHITIPA,66.7275,0
2008,3,DOWA,50.0,0
2008,3,DWANGWA,56.015,0
2008,3,EMBANGWENI,61.166666666666664,1
2008,3,HEWE,57.057500000000005,0
2008,3,JALI,32.18,0
2008,3,JENDA,61.166666666666664,0
2008,3,KARONGA,55.77,0
2008,3,KASIYA,34.25,1
2008,3,KASUNGU,45.1875,0
2008,3,LILONGWE,60.0,0
2008,3,LIMBE,44.115,0
2008,3,LIWONDE,40.0,0
2008,3,LIZULU,40.254999999999995,0
2008,3,LUCHENZA,28.833333333333332,0
2008,3,LUNZU,35.0,0
2008,3,MADISI,35.0,0
2008,3,MALOMO,55.2675,0
2008,3,MANGOCHI,38.1275,0
2008,3,MAYAKA,32.0,0
2008,3,MCHINJI,31.95,0
2008,3,MIGOWI,35.082499999999996,1
2008,3,MISUKU,29.75,0
2008,3,MITUNDU,35.332499999999996,0
2008,3,MKANDA,31.95,1
2008,3,MONKEY BAY,47.230000000000004,0
2008,3,MPAMBA,28.013333333333335,0
2008,3,MPONELA,56.162499999999994,0
2008,3,MTAKATAKA,47.833333333333336,0
2008,3,MULOZA,35.082499999999996,0
2008,3,MWANSAMBO,62.2525,0
2008,3,MWANZA,34.58,0
2008,3,MZIMBA,62.32666666666666,0
2008,3,MZUZU,44.370000000000005,0
2008,3,NAMBUMA,36.792500000000004,0
2008,3,NAMWERA,31.25,0
2008,3,NANJIRI,39.69,0
2008,3,NCHALO,27.7225,0
2008,3,NENO,35.082499999999996,1
2008,3,NGABU,30.5,0
2008,3,NKHAMENYA,41.25,0
2008,3,NKHATABAY,48.612500000000004,0
2008,3,NKHOMA,35.3,0
2008,3,NKHOTAKOTA,53.125,0
2008,3,NSANJE,27.959999999999997,0
2008,3,NSUNDWE,51.125,0
2008,3,NTAJA,36.0,0
2008,3,NTCHEU,44.825,0
2008,3,NTCHISI,67.91,0
2008,3,NTHALIRE,56.75,0
2008,3,NTONDA,40.0,1
2008,3,PHALOMBE,35.724999999999994,0
2008,3,RUMPHI,89.33,0
2008,3,SALIMA,31.765,0
2008,3,SANTHE,34.25,0
2008,3,SHARPEVALEY,49.795,0
2008,3,THETE,53.75,0
2008,3,THONDWE,39.0,0
2008,3,TSANGANO,41.77666666666667,0
2008,3,ZOMBA,38.6,0
2008,4,BALAKA,32.38,0
2008,4,BANGULA,30.284000000000002,0
2008,4,BEMBEKE,39.417500000000004,0
2008,4,BOWE,25.8,0
2008,4,BVUMBWE,37.5,0
2008,4,CHAMAMA,28.766,1
2008,4,CHATOLOMA,27.05,0
2008,4,CHIKWAWA,29.429999999999996,0
2008,4,CHILINGA,28.766,1
2008,4,CHILUMBA,32.6,0
2008,4,CHIMBIYA,35.832499999999996,0
2008,4,CHINTHECHE,36.138,0
2008,4,CHIRADZULU,30.0,0
2008,4,CHITIPA,44.65,0
2008,4,DOWA,43.0,0
2008,4,DWANGWA,39.205000000000005,0
2008,4,EMBANGWENI,40.0,1
2008,4,HEWE,37.53399999999999,0
2008,4,JALI,29.926,0
2008,4,JENDA,40.0,0
2008,4,KARONGA,31.044,0
2008,4,KASIYA,45.7,0
2008,4,KASUNGU,39.558,0
2008,4,LILONGWE,44.74,0
2008,4,LIMBE,45.225,0
2008,4,LIWONDE,40.0,0
2008,4,LIZULU,37.734,0
2008,4,LUCHENZA,28.0,0
2008,4,LUNZU,31.0,0
2008,4,MADISI,30.0,0
2008,4,MALOMO,39.082,0
2008,4,MANGOCHI,32.356,0
2008,4,MAYAKA,32.0,0
2008,4,MCHINJI,30.21,0
2008,4,MIGOWI,28.766,1
2008,4,MISUKU,20.336000000000002,0
2008,4,MITUNDU,31.375999999999998,0
2008,4,MKANDA,25.0,0
2008,4,MONKEY BAY,30.846000000000004,0
2008,4,MPAMBA,24.455999999999996,0
2008,4,MPONELA,49.738,0
2008,4,MTAKATAKA,34.125,0
2008,4,MULOZA,28.766,0
2008,4,MWANSAMBO,37.402,0
2008,4,MWANZA,31.272,0
2008,4,MZIMBA,44.865,0
2008,4,MZUZU,52.263999999999996,0
2008,4,NAMBUMA,40.4,0
2008,4,NAMWERA,29.41,0
2008,4,NANJIRI,34.426,0
2008,4,NCHALO,24.356,0
2008,4,NENO,28.766,1
2008,4,NGABU,25.2,0
2008,4,NKHAMENYA,36.875,0
2008,4,NKHATABAY,40.46999999999999,0
2008,4,NKHOMA,32.9775,0
2008,4,NKHOTAKOTA,30.24,0
2008,4,NSANJE,21.804000000000002,0
2008,4,NSUNDWE,40.546,0
2008,4,NTAJA,24.4,0
2008,4,NTCHEU,36.17,0
2008,4,NTCHISI,58.44199999999999,0
2008,4,NTHALIRE,43.60333333333333,0
2008,4,NTONDA,40.0,1
2008,4,PHALOMBE,26.926,0
2008,4,RUMPHI,48.20399999999999,0
2008,4,SALIMA,29.0,0
2008,4,SANTHE,34.2,0
2008,4,SHARPEVALEY,36.17,1
2008,4,THETE,27.0,0
2008,4,THONDWE,28.8,0
2008,4,TSANGANO,30.932,0
2008,4,ZOMBA,33.6,0
2008,5,BALAKA,34.34,0
2008,5,BANGULA,41.666666666666664,0
2008,5,BEMBEKE,36.89,0
2008,5,BOWE,29.0,0
