,OBJECTID,seqID,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD,split_id,OBJECTID_1,Id,Input_FID,FID_,Name,Latitude,Longitude,Shape_Leng,Shape_Area,area,pop,pop.sum,weights
1,1,V145,MW2012C3020913,2012,MW,Malawi,Central,Ntcheu,NA,MW13,Rift Valley Escarpment,10922213,3,28,35,0,0,0,BALAKA,-14.987605,34.956175,180841.2962,1767006200,259574155.8,60617.82405,316780.9743,0.191355634
2,1,V191,MW2012C3030112,2012,MW,Malawi,Southern,Mangochi,NA,MW12,Phirilongwe Hills,10921312,3,38,35,0,0,0,BALAKA,-14.987605,34.956175,180841.2962,1767006200,105123600.1,9655.755051,316780.9743,0.030480855
3,1,V215,MW2012C3030606,2012,MW,Malawi,Southern,Mwanza,NA,MW06,Middle Shire Valley,10921606,3,43,35,0,0,0,BALAKA,-14.987605,34.956175,180841.2962,1767006200,2028172.742,449.4255736,316780.9743,0.001418727
4,1,V173,MW2012C3031213,2012,MW,Malawi,Southern,Balaka,NA,MW13,Rift Valley Escarpment,10920113,3,34,35,0,0,0,BALAKA,-14.987605,34.956175,180841.2962,1767006200,1008815047,199667.8334,316780.9743,0.630302479
5,1,V180,MW2012C3031206,2012,MW,Malawi,Southern,Balaka,NA,MW06,Middle Shire Valley,10920106,3,35,35,0,0,0,BALAKA,-14.987605,34.956175,180841.2962,1767006200,264274415.5,46390.13629,316780.9743,0.146442306
6,10,V190,MW2012C3030112,2012,MW,Malawi,Southern,Mangochi,NA,MW12,Phirilongwe Hills,10921312,3,38,34,0,9,9,LIWONDE,-15.066667,35.233333,183587.9016,1738171064,4592125.177,929.0227817,266316.1143,0.003488421
7,10,V179,MW2012C3031206,2012,MW,Malawi,Southern,Balaka,NA,MW06,Middle Shire Valley,10920106,3,35,34,0,9,9,LIWONDE,-15.066667,35.233333,183587.9016,1738171064,773737381.2,149546.8062,266316.1143,0.561538706
8,10,V249,MW2012C3030214,2012,MW,Malawi,Southern,Machinga,NA,MW14,Shire Highlands,10921214,3,51,34,0,9,9,LIWONDE,-15.066667,35.233333,183587.9016,1738171064,337400680.8,56359.56027,266316.1143,0.211626549
9,10,V254,MW2012C3030204,2012,MW,Malawi,Southern,Machinga,NA,MW04,Lake Chilwa - Phalombe Plain,10921204,3,52,34,0,9,9,LIWONDE,-15.066667,35.233333,183587.9016,1738171064,61428896.28,4988.347278,266316.1143,0.018730925
10,10,V225,MW2012C3030306,2012,MW,Malawi,Southern,Zomba,NA,MW06,Middle Shire Valley,10922806,3,47,34,0,9,9,LIWONDE,-15.066667,35.233333,183587.9016,1738171064,26511025.85,4467.644723,266316.1143,0.016775721
11,10,V182,MW2012C3030206,2012,MW,Malawi,Southern,Machinga,NA,MW06,Middle Shire Valley,10921206,3,36,34,0,9,9,LIWONDE,-15.066667,35.233333,183587.9016,1738171064,194799476.4,47006.73726,266316.1143,0.176507296
12,10,V16,MW2012C3999918,2012,MW,Malawi,NA,NA,NA,MW18,National Parks and Reserves,0,3,1,34,0,9,9,LIWONDE,-15.066667,35.233333,183587.9016,1738171064,189270544.9,389.7636831,266316.1143,0.001463538
13,10,V172,MW2012C3031213,2012,MW,Malawi,Southern,Balaka,NA,MW13,Rift Valley Escarpment,10920113,3,34,34,0,9,9,LIWONDE,-15.066667,35.233333,183587.9016,1738171064,5916962.003,1197.938273,266316.1143,0.004498182
14,10,V281,MW2012C3030314,2012,MW,Malawi,Southern,Zomba,NA,MW14,Shire Highlands,10922814,3,59,34,0,9,9,LIWONDE,-15.066667,35.233333,183587.9016,1738171064,5477722.006,1430.293838,266316.1143,0.005370662
15,11,V256,MW2012C3030804,2012,MW,Malawi,Southern,Mulanje,NA,MW04,Lake Chilwa - Phalombe Plain,10921504,3,53,21,0,10,10,LUCHENZA,-16.016667,35.3,178004.4648,1682576924,632723768.8,288993.7938,724525.0061,0.398873457
16,11,V275,MW2012C3030714,2012,MW,Malawi,Southern,Thyolo,NA,MW14,Shire Highlands,10922714,3,58,21,0,10,10,LUCHENZA,-16.016667,35.3,178004.4648,1682576924,154975082,88668.67446,724525.0061,0.1223818
17,11,V102,MW2012C3030816,2012,MW,Malawi,Southern,Mulanje,NA,MW16,Thyolo Mulunje Tea Estates,10921516,3,17,21,0,10,10,LUCHENZA,-16.016667,35.3,178004.4648,1682576924,110468045.1,81582.84033,724525.0061,0.112601828
18,11,V47,MW2012C3030404,2012,MW,Malawi,Southern,Chiradzulu,NA,MW04,Lake Chilwa - Phalombe Plain,10920404,3,5,21,0,10,10,LUCHENZA,-16.016667,35.3,178004.4648,1682576924,123204146.9,54037.06081,724525.0061,0.074582741
19,11,V233,MW2012C3030414,2012,MW,Malawi,Southern,Chiradzulu,NA,MW14,Shire Highlands,10920414,3,49,21,0,10,10,LUCHENZA,-16.016667,35.3,178004.4648,1682576924,995558.567,373.7028384,724525.0061,0.00051579
20,11,V169,MW2012C3030716,2012,MW,Malawi,Southern,Thyolo,NA,MW16,Thyolo Mulunje Tea Estates,10922716,3,32,21,0,10,10,LUCHENZA,-16.016667,35.3,178004.4648,1682576924,522894147.3,210868.9338,724525.0061,0.291044384
21,12,V181,MW2012C3031206,2012,MW,Malawi,Southern,Balaka,NA,MW06,Middle Shire Valley,10920106,3,35,51,0,11,11,MANGOCHI,-14.486173,35.253304,192404.957,2439365986,124523.7721,554.5083585,317950.7476,0.001744007
22,12,V174,MW2012C3031213,2012,MW,Malawi,Southern,Balaka,NA,MW13,Rift Valley Escarpment,10920113,3,34,51,0,11,11,MANGOCHI,-14.486173,35.253304,192404.957,2439365986,17204031.54,4312.550711,317950.7476,0.013563581
23,12,V198,MW2012C3030114,2012,MW,Malawi,Southern,Mangochi,NA,MW14,Shire Highlands,10921314,3,39,51,0,11,11,MANGOCHI,-14.486173,35.253304,192404.957,2439365986,389161043.5,59272.68587,317950.7476,0.186420967
24,12,V194,MW2012C3030112,2012,MW,Malawi,Southern,Mangochi,NA,MW12,Phirilongwe Hills,10921312,3,38,51,0,11,11,MANGOCHI,-14.486173,35.253304,192404.957,2439365986,900293582.7,167079.5986,317950.7476,0.525488932
25,12,V19,MW2012C3999918,2012,MW,Malawi,NA,NA,NA,MW18,National Parks and Reserves,0,3,1,51,0,11,11,MANGOCHI,-14.486173,35.253304,192404.957,2439365986,85864799.8,10467.01444,317950.7476,0.032920239
26,12,V187,MW2012C3030115,2012,MW,Malawi,Southern,Mangochi,NA,MW15,Southern Lakeshore,10921315,3,37,51,0,11,11,MANGOCHI,-14.486173,35.253304,192404.957,2439365986,300369064,76264.38952,317950.7476,0.239862275
27,13,V99,MW2012C3020703,2012,MW,Malawi,Central,Mchinji,NA,MW03,Kasungu Lilongwe Plain,10921403,3,16,43,0,12,12,MCHINJI,-13.800006,32.893044,203670.9801,1162658849,1080865165,NA,0,NA
28,14,V188,MW2012C3030112,2012,MW,Malawi,Southern,Mangochi,NA,MW12,Phirilongwe Hills,10921312,3,38,11,0,13,13,MONKEY BAY,-14.083333,34.916667,247398.5617,4079800480,304192443.2,22093.14271,29622.21161,0.745830291
29,14,V7,MW2012C3999918,2012,MW,Malawi,NA,NA,NA,MW18,National Parks and Reserves,0,3,1,11,0,13,13,MONKEY BAY,-14.083333,34.916667,247398.5617,4079800480,72926817.94,NA,29622.21161,NA
30,14,V184,MW2012C3030115,2012,MW,Malawi,Southern,Mangochi,NA,MW15,Southern Lakeshore,10921315,3,37,11,0,13,13,MONKEY BAY,-14.083333,34.916667,247398.5617,4079800480,1063944342,NA,29622.21161,NA
31,14,V196,MW2012C3030114,2012,MW,Malawi,Southern,Mangochi,NA,MW14,Shire Highlands,10921314,3,39,11,0,13,13,MONKEY BAY,-14.083333,34.916667,247398.5617,4079800480,154760456.5,7529.068896,29622.21161,0.254169709
32,15,V150,MW2012C3020303,2012,MW,Malawi,Central,Ntchisi,NA,MW03,Kasungu Lilongwe Plain,10922303,3,29,42,0,14,14,MPONELA,-13.531997,33.735008,101324.9268,643985987.3,67617723.47,15746.50647,143723.1467,0.109561381
33,15,V66,MW2012C3020403,2012,MW,Malawi,Central,Dowa,NA,MW03,Kasungu Lilongwe Plain,10920703,3,10,42,0,14,14,MPONELA,-13.531997,33.735008,101324.9268,643985987.3,534572212.3,126578.9697,143723.1467,0.880713876
34,15,V242,MW2012C3020603,2012,MW,Malawi,Central,Lilongwe,NA,MW03,Kasungu Lilongwe Plain,10921103,3,50,42,0,14,14,MPONELA,-13.531997,33.735008,101324.9268,643985987.3,2560569.043,1397.670566,143723.1467,0.009724742
35,16,V214,MW2012C3030606,2012,MW,Malawi,Southern,Mwanza,NA,MW06,Middle Shire Valley,10921606,3,43,33,0,15,15,MWANZA,-15.609722,34.5225,198424.535,1035937158,62765641.82,7917.781122,26352.55679,0.300455898
36,16,V116,MW2012C3031313,2012,MW,Malawi,Southern,Neno,NA,MW13,Rift Valley Escarpment,10921813,3,20,33,0,15,15,MWANZA,-15.609722,34.5225,198424.535,1035937158,203030500.2,13882.13418,26352.55679,0.526785097
37,16,V106,MW2012C3030613,2012,MW,Malawi,Southern,Mwanza,NA,MW13,Rift Valley Escarpment,10921613,3,18,33,0,15,15,MWANZA,-15.609722,34.5225,198424.535,1035937158,635046451.7,NA,26352.55679,NA
38,16,V44,MW2012C3031005,2012,MW,Malawi,Southern,Chikwawa,NA,MW05,Lower Shire,10920305,3,4,33,0,15,15,MWANZA,-15.609722,34.5225,198424.535,1035937158,47152411.15,4552.641487,26352.55679,0.172759005
39,17,V133,MW2012C3020209,2012,MW,Malawi,Central,Nkhotakota,NA,MW09,Nkhata Bay Cassava,10922009,3,24,4,0,16,16,MZIMBA,-11.9,33.6,238467.4299,3421637198,530533.682,0.949281995,264191.1844,3.59E-06
40,17,V216,MW2012C3010517,2012,MW,Malawi,Northern,Mzimba,NA,MW17,Western Rumphi & Mumba,10921717,3,44,4,0,16,16,MZIMBA,-11.9,33.6,238467.4299,3421637198,75660698.4,5983.609969,264191.1844,0.022648787
41,17,V107,MW2012C3010508,2012,MW,Malawi,Northern,Mzimba,NA,MW08,Mzimba Self Sufficient,10921708,3,19,4,0,16,16,MZIMBA,-11.9,33.6,238467.4299,3421637198,2551093547,241828.5983,264191.1844,0.915354533
42,17,V121,MW2012C3010309,2012,MW,Malawi,Northern,Nkhata Bay,NA,MW09,Nkhata Bay Cassava,10921909,3,22,4,0,16,16,MZIMBA,-11.9,33.6,238467.4299,3421637198,623383636.3,16378.02687,264191.1844,0.061993086
43,18,V125,MW2012C3010309,2012,MW,Malawi,Northern,Nkhata Bay,NA,MW09,Nkhata Bay Cassava,10921909,3,22,66,0,17,17,MZUZU,-11.45807,34.015131,170576.5677,2055372642,740460167.6,63651.59537,239888.5255,0.265338224
44,18,V111,MW2012C3010508,2012,MW,Malawi,Northern,Mzimba,NA,MW08,Mzimba Self Sufficient,10921708,3,19,66,0,17,17,MZUZU,-11.45807,34.015131,170576.5677,2055372642,1218117555,176012.0173,239888.5255,0.733724203
45,18,V218,MW2012C3010517,2012,MW,Malawi,Northern,Mzimba,NA,MW17,Western Rumphi & Mumba,10921717,3,44,66,0,17,17,MZUZU,-11.45807,34.015131,170576.5677,2055372642,2042969.181,224.9128357,239888.5255,0.000937572
46,19,V134,MW2012C3020209,2012,MW,Malawi,Central,Nkhotakota,NA,MW09,Nkhata Bay Cassava,10922009,3,24,9,0,18,18,NKHOTAKOTA,-12.931686,34.281054,275697.9068,4505463746,34856293.71,13748.90068,60249.09504,0.228200949
47,19,V262,MW2012C3010503,2012,MW,Malawi,Northern,Mzimba,NA,MW03,Kasungu Lilongwe Plain,10921703,3,54,9,0,18,18,NKHOTAKOTA,-12.931686,34.281054,275697.9068,4505463746,27342651.09,3074.193956,60249.09504,0.051024732
48,19,V5,MW2012C3999918,2012,MW,Malawi,NA,NA,NA,MW18,National Parks and Reserves,0,3,1,9,0,18,18,NKHOTAKOTA,-12.931686,34.281054,275697.9068,4505463746,837563338,31743.14188,60249.09504,0.52686504
49,19,V137,MW2012C3020213,2012,MW,Malawi,Central,Nkhotakota,NA,MW13,Rift Valley Escarpment,10922013,3,25,9,0,18,18,NKHOTAKOTA,-12.931686,34.281054,275697.9068,4505463746,174418219.9,11682.85852,60249.09504,0.193909278
50,19,V129,MW2012C3020211,2012,MW,Malawi,Central,Nkhotakota,NA,MW11,Northern Lakeshore,10922011,3,23,9,0,18,18,NKHOTAKOTA,-12.931686,34.281054,275697.9068,4505463746,673840908.5,NA,60249.09504,NA
51,2,V42,MW2012C3031005,2012,MW,Malawi,Southern,Chikwawa,NA,MW05,Lower Shire,10920305,3,4,20,0,1,1,LIMBE,-15.80837,35.057442,111227.9214,564958566,8862798.652,1700.810998,879900.1834,0.001932959
52,2,V30,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,NA,MW19,Blantyre,10920219,3,2,20,0,1,1,LIMBE,-15.80837,35.057442,111227.9214,564958566,135074981.1,497164.5354,879900.1834,0.565023789
53,2,V228,MW2012C3030514,2012,MW,Malawi,Southern,Blantyre,NA,MW14,Shire Highlands,10920214,3,48,20,0,1,1,LIMBE,-15.80837,35.057442,111227.9214,564958566,252375367,318743.3267,879900.1834,0.362249415
54,2,V274,MW2012C3030714,2012,MW,Malawi,Southern,Thyolo,NA,MW14,Shire Highlands,10922714,3,58,20,0,1,1,LIMBE,-15.80837,35.057442,111227.9214,564958566,458217.1597,86.37496155,879900.1834,9.82E-05
55,2,V34,MW2012C3030506,2012,MW,Malawi,Southern,Blantyre,NA,MW06,Middle Shire Valley,10920206,3,3,20,0,1,1,LIMBE,-15.80837,35.057442,111227.9214,564958566,26462764.86,1950.550426,879900.1834,0.002216786
56,2,V46,MW2012C3030404,2012,MW,Malawi,Southern,Chiradzulu,NA,MW04,Lake Chilwa - Phalombe Plain,10920404,3,5,20,0,1,1,LIMBE,-15.80837,35.057442,111227.9214,564958566,10998029.79,7259.528576,879900.1834,0.0082504
57,2,V232,MW2012C3030414,2012,MW,Malawi,Southern,Chiradzulu,NA,MW14,Shire Highlands,10920414,3,49,20,0,1,1,LIMBE,-15.80837,35.057442,111227.9214,564958566,86053109.38,52995.05637,879900.1834,0.060228487
58,20,V11,MW2012C3999918,2012,MW,Malawi,NA,NA,NA,MW18,National Parks and Reserves,0,3,1,18,0,19,19,NSANJE,-16.916667,35.266667,185088.8896,901131110.1,20254891.23,354.0748651,156270.0492,0.002265788
59,20,V269,MW2012C3031105,2012,MW,Malawi,Southern,Nsanje,NA,MW05,Lower Shire,10922105,3,56,18,0,19,19,NSANJE,-16.916667,35.266667,185088.8896,901131110.1,790782621.5,155915.9743,156270.0492,0.997734212
60,21,V144,MW2012C3020913,2012,MW,Malawi,Central,Ntcheu,NA,MW13,Rift Valley Escarpment,10922213,3,28,32,0,20,20,NTCHEU,-14.821976,34.63587,120128.3177,621621072.2,577512602.1,150737.5897,150737.5897,1
