"HHID","case_id","FCS","HDDS","rCSI","ea_id","region_north","region_central","rural","FS_month","FS_year","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car"
"ba1006ed75a5442ca5e1e2aa1bd0b5d1","310047500075",28.5,4,30,"31004750",0,0,1,10,2016,-16.04697,34.910217,6,3,32,39,0,0,0,0,65,0,1,0,0,0,0,0,0,0,0,0,0
"ba119824b7d8485cbdee12078fbba373","301075370213",33,4,13,"30107537",0,0,1,3,2017,-14.213324,35.407836,17,22,33,2,0,1,0,0,27,1,1,0,0,0,0,0,1,0,0,0,0
"ba129c5277dd429a89407de7bc27feb2","207024140374",36,4,23,"20702414",0,1,1,10,2016,-13.871693,33.228082,4,4,60,2,0,1,0,0,37,0,1,1,1,0,0,0,0,0,1,0,0
"ba134ca37f1e4262a6a65fe7bd21d6e8","101011000087",27,3,14,"10101100",1,0,1,4,2016,-9.507538,33.259649,10,6,90,33,0,0,0,0,78,1,1,0,0,1,1,0,0,0,0,0,0
"ba182e2819c54eac8846286c52b045ba","105072130918",72,6,0,"10507213",1,0,1,6,2016,-12.35673,33.55738,0,7,52,39,0,1,0,0,72,0,0,1,4,1,1,0,1,0,1,0,0
"ba1cba4b97514d8d9fb1f888b37ef85e","303015690107",35,4,24,"30301569",0,0,1,5,2016,-15.389976,35.363563,2,7,8,57,0,0,0,0,42,0,1,0,0,0,0,0,1,0,1,0,0
"ba23e57e6009440291a89bfc39916608","207034220165",43,4,8,"20703422",0,1,1,9,2016,-13.772572,33.014152,3,13,82,4,0,1,0,0,41,0,0,1,2,0,0,0,1,0,1,0,0
"ba33004995054d06a5c0566aaacbd594","206033850292",35,4,14,"20603385",0,1,1,6,2016,-14.260532,33.774799,19,3,32,8,1,0,0,0,36,0,1,0,0,0,0,0,0,0,1,0,0
"ba33b88aefa34e57bc08f568fc79b11f","208044470180",39,4,21,"20804447",0,1,1,3,2017,-14.005091,34.196053,20,12,37,39,0,0,0,0,55,1,1,0,0,0,0,0,0,0,0,0,0
"ba33cc1f4c744902bd64777007d15c6c","310037490205",23,2,42,"31003749",0,0,1,1,2017,-16.177162,34.678861,17,1,52,55,0,0,0,0,50,1,1,0,0,0,0,0,0,0,0,0,0
"ba34aae8a15e41019b095d3ac1020532","102051420134",21,2,21,"10205142",1,0,1,4,2017,-10.282045,34.059226,4,7,40,60,0,0,0,0,24,0,1,1,1,1,1,0,0,0,0,0,0
"ba3df76ec5684b44ad507069c612cf3d","203023050068",25,3,0,"20302305",0,1,1,2,2017,-13.423027,34.097944,14,11,56,16,0,0,0,0,57,0,1,1,2,0,0,0,0,0,0,0,0
"ba43ad1463ee41b19e7a0891d1093ab2","105022010220",37.5,5,7,"10502201",1,0,1,6,2016,-11.240231,33.864865,1,8,25,55,0,1,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0
"ba45d53cd5794986b20937e91f082f07","208074560058",36,5,18,"20807456",0,1,1,7,2016,-14.230789,34.513181,0,0,26,53,0,0,0,0,26,0,1,0,0,0,0,0,1,0,0,0,0
"ba46957686794c10828ef7689b9400b5","104081920166",45.5,4,19,"10408192",1,0,1,3,2017,-10.852595,33.531056,2,4,87,18,0,1,0,0,32,1,1,0,0,0,0,0,0,0,0,0,0
"ba47bb5e6fb44c5b91a3f65014cd9257","306026490011",21.5,4,3,"30602649",0,0,1,9,2016,-15.451516,34.464556,12,11,70,33,0,1,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0
"ba505816c6474c4fa72e2e61a05c9a58","309027280073",31,3,0,"30902728",0,0,1,4,2017,-15.804177,35.793425,31,4,70,60,0,0,0,0,38,0,1,1,1,0,0,0,1,0,1,0,0
"ba50d1604fdd4fdfb4853d51ded744ef","309017230234",27.5,4,17,"30901723",0,0,1,9,2016,-15.73134,35.566626,30,5,53,16,0,0,0,0,40,0,1,1,1,1,1,0,1,0,1,0,0
"ba55f7a0338841bab1f6e76a51dac826","103011480106",42,5,0,"10301148",1,0,1,5,2016,-11.520091,33.99345,4,15,11,10,0,1,0,0,27,0,1,0,0,0,0,0,1,0,1,0,0
"ba573a3b2763477fa2f8cfc0b518366c","205053630004",28.5,3,28,"20505363",0,1,1,5,2016,-14.038697,34.511056,0,22,29,41,0,0,0,0,56,0,1,1,1,0,0,0,0,0,0,0,0
"ba575478d22c4d16962bfb8c5695c688","203063240075",40.5,5,0,"20306324",0,1,1,7,2016,-13.305415,33.797999,8,4,49,51,1,0,0,0,30,0,1,1,1,0,0,0,0,0,0,0,0
"ba5c0845d39647bf806872c273b65004","206033850330",77,6,6,"20603385",0,1,1,6,2016,-14.260532,33.774799,19,3,32,16,1,0,0,0,25,1,1,0,0,0,0,0,0,0,0,0,0
"ba5fd401ec024419a0b7e40354366117","302015430048",31,4,19,"30201543",0,0,1,3,2017,-14.791922,35.433471,27,15,37,41,0,0,0,0,58,1,1,1,1,1,1,0,0,0,1,0,0
"ba66dc27e03b4f9287671088bb67fc0c","104011740097",37,3,0,"10401174",1,0,1,4,2017,-10.961302,33.649999,1,19,67,60,0,1,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0
"ba6b368d5a3e456886afcfa134dceb5d","102011270244",41.5,5,0,"10201127",1,0,1,5,2016,-9.81436,33.878212,1,6,13,51,0,0,0,0,44,0,1,0,0,0,0,0,1,0,1,0,0
"ba701b81f233452e813e142849f297a1","104031820097",49.5,5,11,"10403182",1,0,1,3,2017,-10.810424,34.032693,7,28,71,55,0,1,0,0,40,0,1,1,1,0,0,0,0,0,0,0,0
"ba73f366d93245bba56064f9e20968c5","307086760017",27,3,9,"30708676",0,0,1,3,2017,-16.153,35.198578,7,7,43,42,0,0,0,0,27,0,1,0,0,1,1,0,0,0,0,0,0
"ba797e3b44c348f8bc8ae5ab767b5714","302125640068",33,4,27,"30212564",0,0,1,6,2016,-14.60574,35.734273,29,18,52,6,0,0,0,0,28,0,1,0,0,0,0,0,1,0,0,0,0
"ba7e0a97768742beaca2a73645df3f47","307106820079",112,6,0,"30710682",0,0,1,2,2017,-15.959665,35.03493,2,5,16,35,0,0,0,0,43,0,0,0,0,1,1,0,1,0,0,0,0
"ba80b6b1da07429498d0a08db48fcfa6","106012290064",90,5,0,"10601229",1,0,0,10,2016,-12.05268,34.743996,66,71,104,18,0,0,0,0,39,0,0,1,2,1,1,1,0,1,1,0,0
"ba83c17ec3384343b4e0a56a1b4eaf3f","207024130177",31,4,18,"20702413",0,1,1,1,2017,-13.94947,33.081072,8,5,78,22,1,0,0,0,21,0,1,1,1,0,0,0,1,0,0,0,0
"ba8522ff9cbe480b933784ee0ceda7bf","301015190063",51,4,4,"30101519",0,0,1,3,2017,-14.453137,35.262859,1,4,4,10,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0
"ba858b0ae0f2474595ba7f2724e6cb0b","102011290024",71,6,0,"10201129",1,0,1,10,2016,-9.748276,33.877764,0,3,22,61,0,0,0,0,55,0,0,1,4,1,1,0,1,0,1,0,0
"ba8dd4f85023437f847a4c63ea25ed4a","204063480260",40,3,0,"20406348",0,1,1,7,2016,-13.637108,33.902552,1,1,40,28,0,0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0
"ba94fe1615ea42039b7feac483529f9d","314378420107",97,6,0,"31437842",0,0,0,3,2017,-15.385744,35.347682,0,1,2,10,0,0,0,0,38,0,0,1,4,1,1,1,1,1,1,0,1
"ba9c1fb6c3d7443284750fd3c641643b","305086350240",33.5,5,0,"30508635",0,0,1,11,2016,-15.834733,34.977652,0,3,10,49,0,0,0,0,20,0,0,0,0,1,1,0,1,0,0,0,0
"baa180cec6d246dea52c79db8df6aa8f","315358600009",52,5,42,"31535860",0,0,0,3,2017,-15.771462,35.034019,3,4,6,0,0,0,0,0,32,0,1,1,1,1,1,0,1,0,0,0,0
"baa58a0b155e44c68bda538280f80bf0","314328340071",62,6,0,"31432834",0,0,0,1,2017,-15.385096,35.299773,2,3,1,0,0,0,0,0,27,0,0,1,1,1,1,0,0,0,1,0,0
"baad8d552bd243258f3b06bd846aa783","101041180128",21,2,31,"10104118",1,0,1,12,2016,-10.363741,33.5863,2,3,57,10,0,1,0,0,59,1,1,0,0,0,0,0,0,0,0,0,0
"bab4b467797e40858dd2b180e35f4632","204023340071",57,5,0,"20402334",0,1,1,12,2016,-13.472007,33.602711,0,5,51,26,1,0,0,0,26,0,0,1,1,1,1,0,1,0,1,0,0
"bab52b06483d4d70b9ef856391be9df3","106202300027",46,4,0,"10620230",1,0,0,6,2016,-12.054302,34.742048,64,70,103,31,0,0,0,0,38,0,0,1,1,1,1,1,1,1,1,0,0
"babf0cb7b36d41ada893cac0ecbee51a","306026570037",21.5,5,21,"30602657",0,0,1,12,2016,-15.760952,34.421717,14,6,59,14,0,0,0,0,17,0,1,1,1,0,0,0,0,0,0,0,0
"bac814e36aaa428bb5f0f5448c4714b1","205053620102",31.5,3,6,"20505362",0,1,1,3,2017,-13.930634,34.533073,5,17,18,49,1,0,1,0,53,0,1,0,0,0,0,0,1,0,1,0,0
"bacc94ef544c45d2acc17eeadcadb56f","304066120069",35.5,5,28,"30406612",0,0,1,7,2016,-15.615004,35.226737,7,4,27,33,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0
"bacfa20ef645463b8dec29910f8c3e1d","306026580299",36,4,0,"30602658",0,0,1,4,2017,-15.743748,34.383647,6,2,66,51,0,1,0,0,33,0,1,1,1,0,0,0,1,0,1,0,0
"bad54d5d931440228ecd598d3e8ca463","210885180081",28.5,4,0,"21088518",0,1,0,3,2017,-14.036065,33.682929,6,4,12,2,0,0,0,0,72,0,0,1,1,1,1,0,1,0,1,0,0
"bad586cef7254772becb244868af8fc9","208014390140",30,5,0,"20801439",0,1,1,3,2017,-14.410488,34.132618,12,10,24,8,0,0,0,0,26,0,0,0,0,1,1,0,0,0,0,0,0
"bad6e24848e34726b37342fc30f6adfb","302055560293",39,4,9,"30205556",0,0,1,4,2016,-15.204413,35.502387,13,15,28,60,0,0,0,0,46,1,1,0,0,1,1,0,0,0,1,0,0
"bada95309eb649029bbdc3ce94be0856","310207580054",20,3,19,"31020758",0,0,0,9,2016,-16.006285,34.799761,2,3,33,43,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0
"badee2f01a884933a4f7ca183103c501","301025220298",43.5,5,0,"30102522",0,0,1,10,2016,-14.662478,35.026911,17,6,32,0,0,0,0,0,37,1,0,1,1,1,1,0,1,0,1,0,0
"bae858c7335f4659acfd95ee1d20e552","106012240159",60,5,0,"10601224",1,0,1,4,2017,-12.048123,34.726956,64,69,103,26,0,0,0,0,43,0,1,1,1,1,1,0,1,0,0,0,0
"bae8b2e16655489f8347d500ce361bd3","107332350090",56,5,5,"10733235",1,0,0,9,2016,-11.425324,34.017434,2,19,3,16,1,0,0,0,27,1,0,1,2,1,1,0,0,1,0,0,0
"baeab58e02a74982929e1c86e06b93b3","305066300075",43,5,0,"30506630",0,0,1,1,2017,-15.66464,34.955245,8,7,13,31,0,0,0,0,50,0,1,1,1,1,1,0,0,0,0,0,0
"baeb2e163f7042709ffc364f3f91f77f","310017420185",32,4,42,"31001742",0,0,1,10,2016,-16.541381,34.933292,8,3,52,45,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0
"baeda67ee8dd42479ee43647cae609c4","301045300059",43.5,4,0,"30104530",0,0,1,9,2016,-14.41125,35.595181,4,8,34,33,0,1,0,0,32,0,1,1,1,0,0,0,1,0,1,0,0
"baf7f51f35a44e6899a4868c33010d2a","204053430186",45,4,6,"20405343",0,1,1,4,2017,-13.700251,33.84987,2,10,32,14,0,0,0,0,53,1,1,0,0,0,0,0,0,0,0,0,0
"bafb55e2dfcf403e85cdc34baadc8ac0","208034420210",18,2,24,"20803442",0,1,1,12,2016,-14.147413,34.072092,1,10,36,10,0,0,0,0,49,0,1,0,0,0,0,0,0,0,1,0,0
"bafc689b84e44d458cff7788df561f64","305066280129",39,4,0,"30506628",0,0,1,3,2017,-15.559279,34.885134,11,11,29,55,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0
"bafd333f8e2e4f66a73e1fc49071bee7","301065350073",40.5,5,20,"30106535",0,0,1,4,2017,-14.616051,35.313813,14,15,15,47,0,0,0,0,50,1,1,0,0,1,1,0,0,0,0,0,0
"bb0a84601b8a481d9bf6717acab1aa8e","206124030025",68,5,5,"20612403",0,1,1,10,2016,-14.101096,33.807346,3,3,14,6,0,0,0,0,36,0,1,0,0,0,0,0,1,0,1,0,0
"bb120889891f4d86abd2f80873c038ba","205013530298",33,5,32,"20501353",0,1,1,10,2016,-13.846168,34.585541,12,13,14,41,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0
"bb1bb668c9c34b8391d1971825fd4ead","301215420458",45.5,4,0,"30121542",0,0,1,3,2017,-14.100373,34.916601,8,2,56,2,0,1,0,0,73,1,1,0,0,1,1,0,1,0,0,0,0
"bb1f3151ea6b425ba22c2a3259aef41d","208204580232",37,4,0,"20820458",0,1,0,9,2016,-14.386206,34.308217,1,3,3,45,0,0,0,0,70,1,1,0,0,0,0,0,1,0,0,0,0
