"FCS","HDDS","rCSI","rural","FS_month","FS_year","clusterid","region2","region3","region4","region5","region6","region7","region8","region9","region10","region11","region12","region13","region14","region15","region16","region17","region18","region19","region20","region21","region51","region52","region53","region54","region55","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","asset_index","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron","HHID"
52,6,5,1,12,2010,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08575010299683,35.8543891906738,1.20000004768372,23,0,0,0,0,0,70,0,-1.13031938133564,1,1,1,0,0,"0101014002017101"
63,7,0,1,12,2010,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08575010299683,35.8543891906738,0.100000001490116,23.5,8,0,0,0,0,38,0,-1.13031938133564,0,0,1,0,0,"0101014002028401"
54,7,0,1,12,2010,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08575010299683,35.8543891906738,0,23.3999996185303,8,0,0,0,0,52,0,-0.536601842960488,1,2,0,1,1,"0101014002029701"
49,7,0,0,1,2011,1114002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08575010299683,35.8543891906738,0.400000005960464,7.09999990463257,0,0,1,0,0,NA,0,-0.536601842960488,1,2,0,1,1,"0101014002029704"
38,5,1,1,12,2010,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08575010299683,35.8543891906738,0.400000005960464,23.3999996185303,8,0,0,0,0,32,0,-1.01228646085633,0,0,1,1,1,"0101014002040901"
38.5,6,0,1,12,2010,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08575010299683,35.8543891906738,0.300000011920929,23.2999992370605,8,0,0,0,0,52,1,-1.13031938133564,0,0,1,1,1,"0101014002047101"
29,4,0,1,12,2010,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08575010299683,35.8543891906738,1.20000004768372,21.8999996185303,39,0,0,0,0,32,0,-1.13031938133564,1,1,1,0,0,"0101014002055101"
24.5,3,0,1,12,2010,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08575010299683,35.8543891906738,0,22.7999992370605,10,0,0,0,0,69,0,-1.01228646085633,1,1,1,0,0,"0101014002076101"
40.5,5,0,1,12,2010,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08575010299683,35.8543891906738,0.200000002980232,22.6000003814697,6,0,0,0,0,57,0,-0.536601842960488,0,0,1,0,0,"0101014002076201"
35,5,0,1,7,2011,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45662021636963,36.7228584289551,35.5,54.2999992370605,35,0,0,0,0,42,0,1.75614694170741,0,0,1,1,1,"0102003003000401"
47.5,6,0,1,7,2011,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45662021636963,36.7228584289551,33.2000007629395,56.0999984741211,55,0,0,0,0,48,0,-0.536601842960488,0,0,1,0,0,"0102003003002201"
33,4,28,1,7,2011,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45662021636963,36.7228584289551,35.5,53.5,24,0,0,0,0,66,0,-0.536601842960488,0,0,1,0,0,"0102003003014001"
50,6,0,1,7,2011,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45662021636963,36.7228584289551,35.5999984741211,53.2999992370605,24,0,0,0,0,71,0,-0.418568922481174,0,0,1,1,1,"0102003003016101"
89,7,0,1,7,2011,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45662021636963,36.7228584289551,35.5,53.7000007629395,28,0,0,0,0,37,0,0.968207068124682,0,0,0,1,1,"0102003003017401"
56,5,0,1,11,2011,1203003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45662021636963,36.7228584289551,36.7000007629395,15.3000001907349,4,0,0,0,0,21,0,-1.01228646085633,0,0,1,1,1,"0102003003017407"
68,7,0,1,7,2011,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45662021636963,36.7228584289551,35.0999984741211,53.5999984741211,26,0,0,0,0,33,0,0.979364623730455,1,1,1,1,1,"0102003003020001"
72,6,0,1,7,2011,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45662021636963,36.7228584289551,34.9000015258789,51.7999992370605,2,0,1,0,0,33,0,-0.418568922481174,0,0,1,1,1,"0102003003043001"
41.5,5,0,1,7,2011,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45662021636963,36.7228584289551,36.2000007629395,51.5,2,0,0,0,0,31,0,-1.13031938133564,0,0,1,1,1,"0102003003047901"
24.5,3,5,1,12,2010,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.61400985717773,36.508659362793,52.4000015258789,58,33,0,0,0,0,51,0,-1.01228646085633,0,0,1,0,0,"0102017003000101"
