"ea_id","FCS","HDDS","rCSI","region_north","region_central","rural","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","FS_month","FS_year","head_age","female_head","hhsize","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car","HHID"
20507422,21,2,28,0,1,1,-13.4694004058838,34.2793006896973,1.47000002861023,12.2799997329712,38.7599983215332,47,0,0,0,0,9,2010,80,1,3,1,0,0,0,0,0,0,0,0,0,0,"205074220132"
20507422,58.5,7,1,0,1,1,-13.4694004058838,34.2793006896973,0.0299999993294477,11.5299997329712,39.1100006103516,43,0,0,0,0,9,2010,40,0,5,1,0,0,0,0,0,1,0,1,0,0,"205074220142"
20507422,34,5,0,0,1,1,-13.4694004058838,34.2793006896973,0.0799999982118607,11.9799995422363,38.6800003051758,51,0,0,0,0,9,2010,23,0,3,1,0,0,0,0,0,0,0,0,0,0,"205074220153"
20507422,67.5,7,0,0,1,1,-13.4694004058838,34.2793006896973,1.92999994754791,11.5799999237061,38.1300010681152,31,0,0,0,0,9,2010,28,0,4,1,0,0,0,0,0,1,0,1,0,0,"205074220162"
20507422,65,6,0,0,1,1,-13.4694004058838,34.2793006896973,2.40000009536743,11.0699996948242,37.7999992370605,22,0,0,0,0,9,2010,54,0,3,1,0,0,0,0,0,0,0,0,0,0,"205074220172"
20507422,21,2,0,0,1,1,-13.4694004058838,34.2793006896973,1.49000000953674,11.8400001525879,38.2000007629395,43,0,0,0,0,9,2010,53,1,4,1,0,0,0,0,0,0,0,0,0,0,"205074220212"
20507459,48.5,5,0,0,1,1,-13.5931997299194,34.2977981567383,1.75999999046326,2.35999989509583,27.0200004577637,31,0,0,0,0,6,2010,30,0,5,1,1,1,0,0,0,1,0,1,0,0,"205074590013"
20507459,39.5,5,0,0,1,1,-13.5931997299194,34.2977981567383,2.20000004768372,2.42000007629395,27.2900009155273,24,0,0,0,0,6,2010,47,0,7,1,0,0,1,0,0,0,0,1,0,0,"205074590019"
20507459,57.5,6,0,0,1,1,-13.5931997299194,34.2977981567383,2,2.30999994277954,27.1200008392334,33,0,0,0,0,6,2010,34,0,5,0,1,2,1,1,0,1,0,0,0,0,"205074590034"
20507459,61,5,0,0,1,1,-13.5931997299194,34.2977981567383,1.97000002861023,2.3199999332428,27.1200008392334,28,0,0,0,0,6,2010,46,0,8,0,1,3,1,1,0,1,1,1,0,0,"205074590035"
20507459,38,6,0,0,1,1,-13.5931997299194,34.2977981567383,1.91999995708466,2.30999994277954,27.0799999237061,28,0,0,0,0,6,2010,36,0,6,0,1,1,1,1,0,1,0,0,0,0,"205074590037"
20507459,48,6,0,0,1,1,-13.5931997299194,34.2977981567383,1.89999997615814,2.28999996185303,27.0599994659424,33,0,0,0,0,6,2010,48,1,2,0,1,1,1,1,0,1,1,0,0,0,"205074590038"
20507459,28,4,3,0,1,1,-13.5931997299194,34.2977981567383,1.99000000953674,1.83000004291534,26.7600002288818,28,0,0,0,0,6,2010,31,0,5,1,0,0,0,0,0,0,0,0,0,0,"205074590040"
20507459,55,7,0,0,1,1,-13.5931997299194,34.2977981567383,2.23000001907349,2.00999999046326,27,22,0,0,0,0,6,2010,34,1,4,0,1,1,1,1,0,0,0,0,0,0,"205074590043"
20507459,40,6,0,0,1,1,-13.5931997299194,34.2977981567383,1.96000003814697,1.9099999666214,26.7999992370605,28,0,0,0,0,6,2010,35,1,7,1,1,2,0,0,0,1,0,1,0,0,"205074590056"
20507459,50.5,5,0,0,1,1,-13.5931997299194,34.2977981567383,2.25,2.10999989509583,27.0799999237061,22,0,0,0,0,6,2010,78,0,2,1,0,0,0,0,0,1,0,1,0,0,"205074590101"
20507459,53,5,0,0,1,1,-13.5931997299194,34.2977981567383,2.22000002861023,2.10999989509583,27.0699996948242,26,0,0,0,0,6,2010,38,1,3,1,0,0,0,0,0,0,0,0,0,0,"205074590102"
20507459,38.5,5,2,0,1,1,-13.5931997299194,34.2977981567383,2.16000008583069,1.98000001907349,26.9400005340576,22,0,0,0,0,6,2010,30,0,5,1,0,0,0,0,0,0,0,0,0,0,"205074590174"
20507459,31,5,0,0,1,1,-13.5931997299194,34.2977981567383,2.14000010490417,2.00999999046326,26.9599990844727,22,0,0,0,0,6,2010,39,0,7,1,0,0,0,0,0,0,0,0,0,0,"205074590175"
20507459,69,6,0,0,1,1,-13.5931997299194,34.2977981567383,2.14000010490417,1.96000003814697,26.9200000762939,22,0,0,0,0,6,2010,54,1,4,1,1,2,0,0,0,1,0,1,0,0,"205074590179"
20507459,43,4,0,0,1,1,-13.5931997299194,34.2977981567383,2.03999996185303,1.79999995231628,26.75,28,0,0,0,0,6,2010,68,0,5,1,0,0,1,1,0,1,0,1,0,0,"205074590192"
20507459,50.5,6,0,0,1,1,-13.5931997299194,34.2977981567383,2.13000011444092,1.95000004768372,26.9099998474121,22,0,0,0,0,6,2010,25,0,5,1,1,1,0,0,0,1,0,1,0,0,"205074590199"
20507571,17,2,3,0,1,1,-13.6187000274658,34.309700012207,0.150000005960464,1.60000002384186,23.9699993133545,18,0,0,0,0,7,2010,85,1,2,1,0,0,0,0,0,0,0,0,0,0,"205075710001"
20507571,33.5,5,0,0,1,1,-13.6187000274658,34.309700012207,2.22000002861023,2.11999988555908,23.6599998474121,39,0,0,0,0,7,2010,23,0,4,1,1,1,0,0,0,1,0,1,0,0,"205075710017"
20507571,33,3,0,0,1,1,-13.6187000274658,34.309700012207,0.469999998807907,1.41999995708466,23.8299999237061,24,0,0,0,0,7,2010,33,0,3,1,0,0,0,0,0,0,0,1,0,0,"205075710020"
20507571,42,3,0,0,1,1,-13.6187000274658,34.309700012207,0.189999997615814,1.58000004291534,23.8999996185303,24,0,0,0,0,7,2010,42,0,6,1,0,0,0,0,0,1,0,0,0,0,"205075710035"
20507571,51.5,6,2,0,1,1,-13.6187000274658,34.309700012207,0.280000001192093,1.51999998092651,23.8700008392334,24,0,0,0,0,7,2010,51,0,8,1,1,1,0,0,0,0,0,1,0,0,"205075710043"
