"HHID","FCS","HDDS","rural","FS_month","FS_year","ea_id","region1","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","Radio","Television","Bicycle","Motorcycle","Car","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron"
"1013000201",20,3,1,12,2009,"1010002",1,0,0,0,-0.530628025531769,32.3274917602539,40.48,65.55,0,0,0,0,0,44,1,1,0,0,0,0,0,0,1,1,1
"1013000204",31,5,1,12,2009,"1010002",1,0,0,0,-0.530628025531769,32.3274917602539,40.48,65.55,0,0,0,0,0,34,0,1,0,0,0,0,1,1,1,1,1
"1013000206",47.5,3,0,6,2010,"",0,0,0,0,0.289081007242203,32.5606498718262,0.81,4.08,22,0,1,0,0,29,0,0,1,0,1,0,1,1,0,1,1
"1021000102",85,6,0,3,2010,"1020001",0,0,0,0,0.333187997341156,32.5706558227539,1.13,0.89,0,0,1,0,0,39,0,1,1,0,0,1,1,4,0,1,1
"1021000108",68,5,0,3,2010,"1020001",0,0,0,0,0.333187997341156,32.5706558227539,1.1,0.88,0,0,1,0,0,70,0,1,1,0,0,1,1,4,0,1,1
"1021000109",56,6,0,3,2010,"1020001",0,0,0,0,0.333187997341156,32.5706558227539,1.14,0.8,0,0,1,0,0,39,1,1,1,0,0,0,1,3,0,1,1
"1021000110",86,7,0,3,2010,"1020001",0,0,0,0,0.333187997341156,32.5706558227539,1.13,0.84,0,0,1,0,0,53,0,1,1,0,0,0,1,6,0,1,1
"1021000111",71,6,0,3,2010,"1020001",0,0,0,0,0.333187997341156,32.5706558227539,1.13,0.81,0,0,1,0,0,47,0,1,1,1,0,0,1,3,0,1,1
"1021000113",88,7,0,3,2010,"1020001",0,0,0,0,0.333187997341156,32.5706558227539,1.12,0.85,0,0,1,0,0,47,0,1,1,0,0,0,1,2,0,1,1
"1021000201",42,5,0,11,2009,"1020002",0,0,0,0,0.313044995069504,32.5691452026367,1.41,1.56,2,0,1,0,0,41,0,1,1,0,1,0,1,2,0,1,1
"1021000202",15,4,0,4,2010,"1020002",0,0,0,0,0.313044995069504,32.5691452026367,1.34,1.6,10,0,1,0,0,43,0,0,0,0,0,0,0,0,1,1,1
"1021000203",53,5,0,11,2009,"1020002",0,0,0,0,0.313044995069504,32.5691452026367,1.32,1.61,10,0,1,0,0,58,1,0,0,0,0,0,1,2,1,1,1
"1021000207",62,5,0,11,2009,"1020002",0,0,0,0,0.313044995069504,32.5691452026367,1.48,1.61,12,0,1,0,0,41,0,1,1,1,0,0,1,1,1,1,1
"1021000209",3.5,NA,0,11,2009,"1020002",0,0,0,0,0.313044995069504,32.5691452026367,1.35,1.6,10,0,1,0,0,59,0,1,1,0,0,0,1,1,0,1,1
