"y2_hhid","FCS","HDDS","rCSI","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","head_educated","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","asset_index"
"0040-001",51.5,5,0,-9.89498,33.381,2,10,59,39,0,1,0,0,34,0,0,1,0,0,0,0,-0.64619069204367
"0041-001",42,3,5,-9.80998,33.3873,5,10,62,4,0,1,0,0,39,0,0,1,0,0,0,0,-0.345495163361213
"0042-001",42,6,0,-9.89498,33.381,1,11,58,55,0,1,0,0,35,0,1,1,0,0,0,0,-0.937514550464697
"0043-001",34.5,5,22,-9.80998,33.3873,1,15,61,18,0,1,0,0,30,0,0,1,0,0,0,0,-0.937514550464697
"0044-001",29.5,5,0,-9.89498,33.381,0,11,58,53,0,1,0,0,37,0,1,1,1,1,1,1,-0.345495163361213
"0045-001",34,4,39,-9.80998,33.3873,2,12,63,26,0,1,0,0,76,0,0,1,0,0,0,0,-0.937514550464697
"0046-001",34,5,10,-9.89498,33.381,0,11,58,53,0,1,0,0,31,0,0,1,0,0,0,0,-0.937514550464697
"0047-001",38,7,16,-9.80998,33.3873,1,14,64,45,0,1,0,0,43,0,0,1,0,0,0,0,-0.937514550464697
"0048-001",70,5,0,-9.89498,33.381,1,11,60,55,0,1,0,0,40,0,1,1,0,0,0,0,-0.937514550464697
"0049-001",39,7,0,-9.80998,33.3873,1,15,61,18,0,1,0,0,38,0,1,1,0,0,0,0,-0.937514550464697
"0050-001",54.5,7,0,-9.89498,33.381,1,11,59,57,0,1,0,0,45,0,1,1,0,0,0,0,-0.937514550464697
"0051-001",64.5,8,0,-9.80998,33.3873,5,10,62,8,0,1,0,0,51,0,1,1,1,1,0,0,-0.0541713049401865
"0052-001",49.5,7,0,-9.89498,33.381,0,11,58,53,0,1,0,0,33,1,1,1,1,2,1,1,-0.0541713049401865
"0053-002",28,4,0,-9.80998,33.3873,2,14,62,16,0,1,0,0,29,1,1,1,0,0,0,0,-0.345495163361213
"0054-001",49,6,3,-9.89498,33.381,1,11,59,51,0,1,0,0,41,0,1,1,0,0,0,0,-0.937514550464697
"0054-003",83,8,0,-11.44154,34.036984,2,20,2,10,1,0,0,0,54,0,1,0,1,4,1,1,3.2891434261671
"0055-001",52,8,0,-9.80998,33.3873,4,11,63,18,0,1,0,0,53,0,1,0,1,1,1,1,-0.0541713049401865
"0056-001",55.5,7,0,-9.89498,33.381,0,11,59,45,0,1,0,0,46,0,0,1,1,1,0,0,-0.64619069204367
"0057-001",50.5,7,0,-9.80998,33.3873,4,11,62,16,0,1,0,0,49,0,1,1,1,1,0,0,-0.0541713049401865
"0058-001",41.5,6,0,-9.89498,33.381,0,11,58,55,0,1,0,0,25,0,1,1,0,0,0,0,-0.64619069204367
"0059-001",24,4,20,-9.80998,33.3873,0,14,64,51,0,1,0,0,66,1,0,1,0,0,0,0,-0.937514550464697
"0060-001",33,6,0,-9.89498,33.381,0,12,60,37,0,1,0,0,71,1,0,0,1,1,1,1,-0.937514550464697
"0061-001",44,4,23,-9.80998,33.3873,5,10,62,4,0,1,0,0,31,0,1,1,0,0,0,0,-0.937514550464697
"0062-002",39,4,28,-9.89498,33.381,1,10,59,39,0,1,0,0,77,1,0,1,0,0,0,0,-0.937514550464697
"0063-001",67.5,8,22,-9.80998,33.3873,1,13,64,28,0,1,0,0,35,0,1,1,0,0,0,0,-0.937514550464697
"0064-001",60.5,7,0,-9.89498,33.381,0,12,59,39,0,1,0,0,79,0,0,1,0,0,0,0,-0.345495163361213
"0065-001",29.5,5,0,-9.74823,33.5035,11,7,49,20,0,0,0,0,33,0,0,1,0,0,0,0,-0.937514550464697
