"y2_hhid","FCS","HDDS","rCSI","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","head_educated","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","asset_index"
"0954-001",44.5,4,8,-13.3314,33.8581,7,8,52,57,0,1,0,0,32,0,0,1,0,0,0,0,-0.937514550464697
"0955-001",56.5,7,0,-13.2305,34.0093,10,4,51,35,0,0,0,0,41,0,0,1,1,2,0,0,-0.345495163361213
"0956-001",47.5,7,0,-13.3314,33.8581,7,8,53,47,0,1,0,0,31,0,0,1,0,0,0,0,-0.0541713049401865
"0956-002",37.5,4,0,-13.3314,33.8581,10,8,52,45,1,0,0,0,31,1,0,1,0,0,0,0,-0.345495163361213
"0957-001",32,5,4,-13.2305,34.0093,10,3,50,14,0,0,0,0,37,0,1,1,0,0,0,0,-0.937514550464697
"0957-002",48.5,7,4,-13.591807,33.684829,4,3,48,37,0,0,0,0,29,0,0,1,0,0,0,0,-0.937514550464697
"0958-002",9.5,2,10,-14.208245,33.721982,13,5,28,20,0,0,0,0,41,0,0,1,0,0,0,0,-0.937514550464697
"0959-001",30,5,0,-13.2305,34.0093,9,2,49,8,0,0,0,0,81,0,0,1,0,0,0,0,-0.937514550464697
"0959-003",39.5,6,0,-13.2305,34.0093,9,2,49,8,0,0,0,0,33,0,1,1,0,0,0,0,-0.937514550464697
"0959-004",41,5,0,-12.920763,34.294566,0,1,2,47,0,0,0,0,29,0,0,1,0,0,0,0,-0.64619069204367
"0960-001",50,6,3,-13.4555,33.5665,7,7,49,4,0,1,0,0,30,1,1,1,0,0,0,0,-0.937514550464697
"0961-001",53.5,7,21,-13.891215,33.745239,5,6,11,20,0,0,0,0,41,0,0,0,1,1,1,1,-0.937514550464697
"0961-003",38.5,6,0,-13.7469,34.1632,0,14,32,37,0,0,0,0,57,1,0,1,0,0,0,0,-0.937514550464697
"0962-001",39.5,6,0,-13.4555,33.5665,6,6,48,0,0,1,0,0,65,1,0,1,0,0,0,0,-0.937514550464697
"0963-001",48.5,5,0,-13.7469,34.1632,0,14,33,37,0,0,0,0,50,1,0,1,0,0,0,0,-0.937514550464697
"0964-001",41.5,5,0,-13.361307,33.66899,10,4,45,18,1,0,0,0,27,0,0,1,1,1,0,0,-0.0541713049401865
"0965-001",42,3,0,-13.7469,34.1632,0,15,32,26,0,0,0,0,71,0,0,1,0,0,0,0,-0.937514550464697
"0966-001",46.5,6,0,-13.4555,33.5665,6,6,48,0,0,1,0,0,31,0,0,1,1,1,0,0,-0.0541713049401865
"0967-001",33,4,0,-13.7469,34.1632,0,13,33,24,0,0,0,0,71,0,0,1,0,0,0,0,-0.937514550464697
"0968-001",28,5,0,-13.4555,33.5665,6,6,48,0,0,1,0,0,28,0,0,1,0,0,0,0,-0.64619069204367
"0969-001",38.5,5,0,-13.7469,34.1632,0,14,32,26,0,0,0,0,60,0,0,1,1,1,0,0,-0.345495163361213
"0970-001",30,5,13,-13.4555,33.5665,6,6,48,0,0,1,0,0,29,0,1,0,1,1,1,1,1.02707359864008
"0971-001",39,5,0,-13.7469,34.1632,0,14,33,37,0,0,0,0,46,0,0,1,1,1,0,0,-0.937514550464697
"0972-001",36.5,5,0,-13.4555,33.5665,6,6,48,2,0,1,0,0,64,0,0,0,0,0,1,1,-0.345495163361213
"0972-003",40,5,0,-13.4555,33.5665,5,5,49,6,0,1,0,0,29,0,1,1,1,1,0,0,-0.937514550464697
"0973-002",32,6,0,-13.7469,34.1632,0,14,32,26,0,0,0,0,51,1,0,1,0,0,0,0,-0.937514550464697
"0974-001",55,7,0,-13.4555,33.5665,7,7,49,2,0,1,0,0,29,0,1,1,1,1,0,0,-0.0541713049401865
"0975-001",60.5,7,0,-13.186571,33.529035,2,15,19,18,0,1,0,0,52,0,0,1,0,0,0,0,-0.345495163361213
"0976-001",35.5,6,10,-13.4555,33.5665,6,6,48,0,0,1,0,0,40,0,0,1,1,1,0,0,-0.0541713049401865
"0977-001",27,5,0,-13.7469,34.1632,0,14,32,22,0,0,0,0,46,1,0,1,0,0,0,0,-0.937514550464697
"0978-001",52,6,0,-13.4555,33.5665,5,5,47,2,0,1,0,0,40,1,0,1,0,0,1,1,-0.937514550464697
"0979-002",38,4,0,-13.7469,34.1632,0,14,32,22,0,0,0,0,59,1,0,1,0,0,0,0,-0.937514550464697
"0980-001",45,5,0,-13.4555,33.5665,6,6,48,0,0,1,0,0,53,0,0,1,1,1,0,0,-0.0541713049401865
"0980-003",81,8,0,-13.769923,33.810036,0,15,24,22,0,0,0,0,21,0,1,0,1,2,1,1,-0.937514550464697
"0981-001",68,8,0,-13.698691,34.147963,0,9,37,31,0,0,0,0,32,0,1,0,1,2,1,1,1.45980992431051
"0982-001",36,6,0,-13.4555,33.5665,7,7,49,4,0,1,0,0,34,0,1,0,1,1,1,1,-0.0541713049401865
"0982-007",35.5,6,0,-13.4555,33.5665,7,7,49,4,0,1,0,0,22,0,0,1,0,0,0,0,-0.0541713049401865
"0982-008",88,8,0,-15.740085,35.004625,0,5,5,0,0,0,0,0,34,0,1,0,1,1,1,1,6.00917235416453
"0983-002",55.5,4,11,-13.7469,34.1632,0,14,32,26,0,0,0,0,31,1,0,1,0,0,0,0,-0.937514550464697
"0984-001",53.5,7,0,-13.4555,33.5665,7,7,49,2,0,1,0,0,26,0,0,1,0,0,0,0,-0.64619069204367
"0985-001",32,6,0,-13.7469,34.1632,0,15,32,26,0,0,0,0,47,0,0,1,0,0,0,0,-0.0541713049401865
"0986-001",36.5,5,2,-13.4555,33.5665,5,5,47,0,0,1,0,0,49,0,0,1,0,0,0,0,-0.937514550464697
"0987-001",56,5,0,-13.7469,34.1632,1,16,31,0,0,0,0,0,63,0,0,0,1,1,0,0,-0.0541713049401865
"0988-001",38.5,7,11,-13.4555,33.5665,6,6,48,2,0,1,0,0,31,0,0,1,0,0,0,0,-0.937514550464697
"0989-001",37.5,4,0,-13.7469,34.1632,0,14,33,28,0,0,0,0,65,0,1,1,1,2,0,0,-0.937514550464697
"0989-003",50,7,0,-13.7469,34.1632,0,14,33,28,0,0,0,0,21,0,1,1,0,0,0,0,-0.345495163361213
"0990-001",42,4,14,-13.7921,34.1602,5,15,33,6,0,0,0,0,72,0,0,1,0,0,0,0,-0.937514550464697
"0991-001",65,7,0,-13.7469,34.1632,0,14,32,22,0,0,0,0,34,0,1,1,1,2,0,0,-0.0541713049401865
"0992-001",52,6,0,-13.7921,34.1602,5,15,32,2,0,0,0,0,47,0,0,1,0,0,0,0,-0.0541713049401865
"0993-001",42,5,0,-13.7611,33.9695,3,7,36,8,0,0,0,0,29,0,0,1,0,0,0,0,-0.0541713049401865
"0994-001",40,6,0,-13.7921,34.1602,5,14,34,12,0,0,0,0,44,0,1,1,0,0,0,0,-0.937514550464697
"0994-003",35,7,0,-13.7921,34.1602,6,15,34,14,0,0,0,0,25,0,0,1,1,1,0,0,-0.937514550464697
"0994-004",46.5,7,0,-13.7921,34.1602,5,15,33,4,0,0,0,0,21,0,0,1,0,0,0,0,-0.0541713049401865
"0995-001",70,5,0,-13.7611,33.9695,1,8,37,10,0,0,0,0,42,0,1,1,0,0,0,0,-0.0541713049401865
"0996-001",43,6,0,-13.7921,34.1602,5,14,34,12,0,0,0,0,53,0,0,1,0,0,0,0,-0.345495163361213
"0997-001",51.5,6,0,-13.7611,33.9695,3,6,36,2,0,0,0,0,37,0,0,0,1,1,1,1,-0.0541713049401865
"0998-001",38,4,0,-13.7921,34.1602,5,15,33,8,0,0,0,0,34,0,0,1,1,1,0,0,-0.64619069204367
"0999-001",39.5,6,0,-13.7611,33.9695,3,8,35,8,0,0,0,0,37,0,0,1,1,1,1,1,-0.0541713049401865
"1000-001",53,7,0,-13.7921,34.1602,7,13,35,8,0,0,0,0,49,0,0,1,1,1,0,0,-0.64619069204367
"1001-001",30,4,0,-13.7611,33.9695,3,6,36,2,0,0,0,0,43,0,0,0,0,0,1,1,-0.937514550464697
"1002-001",26.5,4,0,-13.7921,34.1602,6,15,33,12,0,0,0,0,27,0,0,1,0,0,0,0,-0.937514550464697
"1003-001",60.5,7,0,-13.7611,33.9695,4,7,35,8,0,0,0,0,45,0,0,1,0,0,0,0,-0.345495163361213
"1004-001",44,6,4,-13.7921,34.1602,5,15,33,2,0,0,0,0,65,0,0,1,0,0,0,0,-0.937514550464697
"1004-003",54,6,0,-13.7921,34.1602,5,15,33,8,0,0,0,0,26,0,0,1,0,0,0,0,-0.937514550464697
"1005-001",46.5,7,0,-13.7611,33.9695,4,7,35,8,0,0,0,0,50,0,0,0,1,1,1,1,-0.0541713049401865
"1006-001",50.5,7,0,-13.7921,34.1602,6,15,34,16,0,0,0,0,28,0,0,1,1,1,0,0,-0.345495163361213
"1007-001",50,7,0,-13.7611,33.9695,3,7,36,8,0,0,0,0,39,0,0,1,1,1,0,0,-0.937514550464697
"1007-003",51.5,6,0,-13.7611,33.9695,5,7,34,10,0,0,0,0,25,0,1,0,1,1,1,1,-0.345495163361213
"1008-001",67.5,7,0,-13.7921,34.1602,8,13,36,28,0,0,0,0,48,0,0,1,0,0,0,0,-0.345495163361213
"1009-001",44,6,0,-13.7611,33.9695,3,8,35,8,0,0,0,0,43,0,0,1,1,1,1,1,-0.0541713049401865
"1010-001",54,6,0,-13.7921,34.1602,5,15,33,2,0,0,0,0,29,0,0,1,1,1,0,0,-0.345495163361213
"1011-001",46.5,7,0,-13.7611,33.9695,3,7,35,8,0,0,0,0,32,0,0,1,0,0,0,0,-0.937514550464697
"1012-001",53.5,5,0,-13.7921,34.1602,4,16,32,0,0,0,0,0,64,0,0,1,0,0,0,0,-0.0541713049401865
"1013-001",57,7,0,-13.7611,33.9695,4,7,35,8,0,0,0,0,25,0,0,1,0,0,0,0,-0.937514550464697
"1014-001",43,4,0,-13.7921,34.1602,4,15,32,2,0,0,0,0,67,1,0,1,0,0,0,0,-0.937514550464697
"1015-001",47,5,0,-13.7611,33.9695,3,7,35,10,0,0,0,0,57,0,0,1,1,1,0,0,-0.937514550464697
"1015-003",37.5,6,8,-13.92017,33.761072,2,7,8,0,0,0,0,0,28,0,1,1,1,2,1,1,-0.937514550464697
"1016-001",58,8,0,-13.7921,34.1602,5,15,33,6,0,0,0,0,34,0,0,1,0,0,0,0,-0.64619069204367
"1017-001",93,8,0,-13.7611,33.9695,4,7,35,8,0,0,0,0,42,0,1,1,1,2,1,1,1.45980992431051
"1018-001",81,7,0,-13.71862,34.387836,1,4,10,51,0,0,0,0,39,0,0,1,1,1,0,0,-0.345495163361213
"1018-002",45,4,0,-13.7921,34.1602,5,15,33,4,0,0,0,0,35,1,0,1,0,0,0,0,-0.937514550464697
"1019-001",39,4,0,-13.7611,33.9695,4,7,35,8,0,0,0,0,44,0,0,1,1,1,0,0,-0.64619069204367
"1020-001",45,4,0,-13.7921,34.1602,5,14,34,14,0,0,0,0,63,0,0,1,0,0,0,0,-0.64619069204367
"1020-003",33,4,22,-13.864017,34.256346,12,8,19,8,0,0,0,0,25,0,0,1,0,0,0,0,-0.64619069204367
"1021-001",51,5,7,-13.7611,33.9695,4,7,35,8,0,0,0,0,51,1,0,1,0,0,0,0,-0.937514550464697
"1022-001",33.5,5,0,-13.6362,33.7489,2,5,38,26,0,0,0,0,46,0,0,1,0,0,0,0,-0.937514550464697
"1022-003",33.5,7,0,-13.6362,33.7489,4,7,37,49,0,0,0,0,23,0,0,1,0,0,0,0,-0.345495163361213
"1023-001",32.5,6,0,-13.7611,33.9695,4,7,35,8,0,0,0,0,59,1,0,1,0,0,0,0,-0.937514550464697
"1024-001",38,5,0,-13.6362,33.7489,2,6,37,31,0,0,0,0,84,1,0,1,0,0,0,0,-0.937514550464697
"1025-001",31,5,0,-13.5077,33.7376,0,3,53,16,0,0,0,0,65,0,0,1,0,0,0,0,-0.937514550464697
"1025-003",30.5,4,17,-13.416983,33.623815,0,1,47,24,1,0,0,0,21,0,0,1,0,0,0,0,-0.937514550464697
"1026-001",86,8,0,-13.6362,33.7489,2,6,37,31,0,0,0,0,71,1,0,1,1,1,0,0,-0.0541713049401865
"1026-003",73,8,0,-13.387442,33.393402,16,10,36,18,0,1,0,0,28,0,0,1,1,1,0,0,-0.0541713049401865
"1027-001",71,8,0,-13.5077,33.7376,0,3,53,22,0,0,0,0,48,0,1,0,1,2,1,1,-0.0541713049401865
"1028-001",44,4,3,-13.6362,33.7489,2,5,37,31,0,0,0,0,39,0,0,1,0,0,0,0,-0.937514550464697
"1029-001",49.5,6,4,-13.5077,33.7376,0,3,53,24,0,0,0,0,61,0,1,0,1,4,1,1,-0.0541713049401865
"1030-001",33.5,6,11,-13.6362,33.7489,2,5,38,20,0,0,0,0,72,0,0,1,0,0,0,0,-0.937514550464697
"1030-003",32,6,0,-13.6362,33.7489,2,5,38,20,0,0,0,0,32,0,0,1,0,0,0,0,-0.345495163361213
"1031-001",40.5,7,0,-13.5077,33.7376,0,3,52,22,0,0,0,0,36,0,0,1,1,1,0,0,-0.0541713049401865
"1032-001",44.5,7,0,-13.6362,33.7489,2,6,37,31,0,0,0,0,34,0,0,1,1,1,0,0,-0.937514550464697
"1033-001",84,8,0,-13.5077,33.7376,0,3,53,26,0,0,0,0,40,0,0,1,1,1,0,0,-0.937514550464697
"1034-002",38,5,0,-13.6362,33.7489,2,4,40,35,0,0,0,0,27,1,0,1,0,0,0,0,-0.937514550464697
"1035-001",52,7,0,-13.5077,33.7376,0,3,53,20,0,0,0,0,63,0,0,1,0,0,0,0,-0.64619069204367
"1036-001",62,7,0,-13.6362,33.7489,1,4,38,37,0,0,0,0,35,0,1,1,1,1,0,0,-0.64619069204367
"1036-007",41,5,0,-13.6362,33.7489,2,5,37,31,0,0,0,0,33,0,0,1,0,0,0,0,-0.937514550464697
"1037-001",65.5,7,3,-13.5077,33.7376,0,3,53,20,0,0,0,0,50,0,1,1,0,0,0,0,-0.345495163361213
"1038-001",45.5,5,0,-13.6362,33.7489,2,5,37,28,0,0,0,0,34,0,0,1,0,0,0,0,-0.937514550464697
"1039-001",49,7,0,-13.5077,33.7376,0,3,53,22,0,0,0,0,55,0,1,0,1,2,1,1,-0.0541713049401865
"1039-005",45,7,0,-15.058385,35.215503,0,3,1,14,0,0,0,0,35,0,1,0,1,3,1,1,3.2891434261671
"1040-001",38,7,4,-13.6362,33.7489,2,4,38,28,0,0,0,0,30,1,0,1,0,0,0,0,-0.937514550464697
"1041-001",45,6,0,-13.5077,33.7376,0,3,53,20,0,0,0,0,51,0,0,1,0,0,0,0,-0.345495163361213
"1042-001",75.5,6,35,-13.6362,33.7489,2,6,37,28,0,0,0,0,48,0,0,1,0,0,0,0,-0.64619069204367
"1042-004",40,7,2,-13.6362,33.7489,0,3,38,22,0,0,0,0,21,0,0,1,0,0,0,0,-0.345495163361213
"1043-001",92,8,0,-13.5077,33.7376,0,3,53,24,0,0,0,0,44,0,1,0,1,2,1,1,3.2891434261671
"1044-001",38,6,0,-13.6362,33.7489,2,5,38,20,0,0,0,0,28,0,0,1,0,0,0,0,-0.345495163361213
"1045-001",63.5,6,0,-13.5077,33.7376,0,3,53,24,0,0,0,0,32,0,1,0,1,1,1,1,-0.64619069204367
"1046-001",49.5,7,0,-13.6362,33.7489,1,4,38,45,0,0,0,0,45,0,1,1,0,0,0,0,-0.937514550464697
"1046-002",46.5,6,0,-13.6362,33.7489,0,5,36,39,0,0,0,0,39,1,0,1,1,1,0,0,-0.345495163361213
"1047-001",40.5,4,0,-13.663023,33.985936,0,6,39,22,0,0,0,0,59,1,0,1,0,0,0,0,-0.937514550464697
"1048-001",40,7,0,-13.6362,33.7489,2,5,38,26,0,0,0,0,47,0,0,1,0,0,0,0,-0.345495163361213
"1049-001",46.5,5,0,-13.5077,33.7376,0,3,53,20,0,0,0,0,36,0,1,1,0,0,0,0,-0.937514550464697
"1050-001",42,6,2,-13.6362,33.7489,2,5,37,31,0,0,0,0,38,0,0,1,NA,NA,0,0,-0.0541713049401865
"1051-001",43.5,7,0,-13.5077,33.7376,0,3,52,22,0,0,0,0,48,0,0,1,0,0,0,0,-0.0541713049401865
"1052-001",54,7,0,-13.6362,33.7489,2,4,38,39,0,0,0,0,65,0,1,1,0,0,0,0,-0.937514550464697
"1053-002",63.5,6,5,-13.041655,33.510448,1,4,3,28,1,0,0,0,26,0,0,0,1,1,1,1,-0.345495163361213
"1054-001",41.5,5,7,-13.612,34.3389,5,5,24,14,0,1,0,0,42,0,0,1,0,0,0,0,-0.937514550464697
"1055-001",27.5,3,0,-13.5077,33.7376,0,3,52,24,0,0,0,0,89,1,0,1,0,0,0,0,-0.937514550464697
"1056-001",76.5,6,0,-13.612,34.3389,5,4,24,16,0,1,0,0,47,0,0,1,1,1,0,0,-0.64619069204367
"1057-001",64,8,0,-13.5932,34.2978,2,2,27,22,0,0,0,0,57,1,0,0,1,1,1,1,-0.345495163361213
"1058-001",46,6,0,-13.612,34.3389,5,5,24,14,0,1,0,0,76,1,0,1,0,0,0,0,-0.937514550464697
"1059-001",61,7,0,-13.316306,34.249378,0,13,47,55,0,0,0,0,43,0,1,0,1,3,1,1,1.45980992431051
"1060-001",29,3,9,-13.612,34.3389,5,5,24,8,0,1,0,0,42,1,0,1,0,0,0,0,-0.937514550464697
"1061-001",60,7,0,-13.5932,34.2978,2,2,27,28,0,0,0,0,39,0,1,0,1,2,1,1,-0.0541713049401865
"1062-001",42,7,0,-13.612,34.3389,5,5,24,14,0,1,0,0,24,0,0,1,0,0,0,0,-0.64619069204367
"1063-001",77,7,0,-13.962365,34.502879,1,18,21,47,1,0,1,0,51,1,1,0,1,1,1,1,-0.937514550464697
"1064-001",62,7,4,-13.612,34.3389,5,5,24,14,0,1,0,0,79,1,0,1,0,0,0,0,-0.937514550464697
"1064-003",46,7,0,-13.612,34.3389,6,4,25,20,0,0,0,0,40,1,0,1,0,0,0,0,-0.937514550464697
"1065-001",79,8,0,-13.5932,34.2978,2,2,27,22,0,0,0,0,28,0,1,1,1,2,1,1,-0.0541713049401865
"1066-001",72,7,0,-13.612,34.3389,5,5,24,8,0,1,0,0,31,0,0,1,1,1,1,1,-0.0541713049401865
"1066-007",44,5,0,-13.612,34.3389,5,5,24,8,0,1,0,0,28,0,0,1,1,1,0,0,-0.937514550464697
"1067-001",38,5,0,-13.5932,34.2978,2,2,27,22,0,0,0,0,71,0,0,1,0,0,1,1,-0.0541713049401865
"1068-001",47,5,29,-13.612,34.3389,5,5,24,22,0,1,0,0,33,0,0,1,0,0,0,0,-0.937514550464697
"1069-001",50,7,0,-13.5932,34.2978,2,2,27,24,0,0,0,0,50,0,1,1,0,0,0,0,-0.937514550464697
"1069-003",48.5,6,0,-13.42001,34.313922,4,13,46,39,0,0,0,0,26,0,0,1,0,0,0,0,-0.937514550464697
"1070-001",29,4,22,-13.612,34.3389,4,5,24,14,0,1,0,0,53,0,0,1,0,0,0,0,-0.937514550464697
"1070-003",59,5,0,-13.562328,34.242903,3,5,31,14,0,0,0,0,28,0,0,1,0,0,0,0,-0.937514550464697
"1071-001",50.5,7,0,-13.5932,34.2978,2,2,27,22,0,0,0,0,42,0,0,1,1,1,0,0,-0.937514550464697
"1072-001",41,6,8,-13.612,34.3389,5,5,24,14,0,1,0,0,60,0,0,1,0,0,0,0,-0.64619069204367
"1073-001",86,8,0,-13.716291,34.406273,2,7,10,22,0,0,0,0,49,0,1,0,1,1,1,1,1.45980992431051
"1073-004",39,5,0,-13.674754,34.374098,4,11,15,14,0,1,0,0,27,0,1,0,1,1,1,1,-0.64619069204367
"1074-001",60.5,6,5,-13.612,34.3389,5,5,24,14,0,1,0,0,53,0,0,1,0,0,0,0,-0.937514550464697
"1075-001",29,5,0,-13.5932,34.2978,3,2,27,4,0,0,0,0,33,0,1,1,0,0,0,0,-0.937514550464697
"1075-002",43,4,11,-14.051284,34.010761,7,2,23,37,0,0,0,0,31,1,0,1,0,0,0,0,-0.937514550464697
"1076-001",75,5,0,-13.612,34.3389,5,5,24,14,0,1,0,0,30,0,0,1,0,0,0,0,-0.937514550464697
"1077-001",99,8,0,-13.5932,34.2978,2,2,27,28,0,0,0,0,36,0,1,0,1,3,1,1,1.45980992431051
"1078-001",38,5,0,-13.612,34.3389,5,5,24,8,0,1,0,0,28,1,0,1,0,0,0,0,-0.937514550464697
"1079-001",66,8,0,-13.5932,34.2978,2,2,27,22,0,0,0,0,38,1,1,0,1,1,1,1,1.45980992431051
"1080-002",45,7,0,-13.022731,33.499173,1,5,3,28,1,0,0,0,27,0,1,0,1,2,1,1,-0.937514550464697
"1081-001",50,6,0,-13.5932,34.2978,2,2,27,26,0,0,0,0,81,0,0,1,0,0,0,0,-0.0541713049401865
"1082-002",61,5,13,-13.612,34.3389,5,5,24,14,0,1,0,0,38,0,0,1,0,0,0,0,-0.64619069204367
"1083-001",45.5,5,0,-13.5932,34.2978,2,2,27,22,0,0,0,0,33,0,1,1,0,0,0,0,-0.0541713049401865
"1083-006",44.5,6,0,-13.5932,34.2978,2,2,27,22,0,0,0,0,55,1,0,1,0,0,0,0,-0.937514550464697
"1084-001",65,6,0,-13.612,34.3389,5,4,24,16,0,1,0,0,39,0,0,1,1,1,0,0,-0.64619069204367
"1085-001",61,7,0,-13.5932,34.2978,2,2,27,22,0,0,0,0,41,1,0,1,0,0,0,0,-0.937514550464697
"1086-001",40,7,11,-14.268989,33.760958,21,1,35,33,1,0,0,0,35,0,1,1,1,2,1,1,-0.64619069204367
"1086-002",50,6,4,-13.918483,33.767331,2,8,8,6,0,0,0,0,40,0,1,1,1,2,1,1,-0.937514550464697
"1086-003",41,6,0,-14.256697,33.779334,18,1,30,39,1,0,0,0,20,0,1,0,0,0,1,1,-0.937514550464697
"1087-001",46,4,2,-13.5932,34.2978,2,2,27,28,0,0,0,0,34,0,0,1,1,1,0,0,-0.0541713049401865
"1088-001",29,6,0,-14.0755,33.9183,0,0,19,14,0,0,0,0,44,0,0,0,1,2,1,1,3.58046728458813
"1089-001",72,8,0,-14.283389,34.155916,0,7,21,41,0,0,0,0,41,0,1,1,1,4,1,1,1.45980992431051
"1090-002",72.5,8,3,-14.0755,33.9183,0,1,19,6,0,0,0,0,55,1,0,1,1,2,1,1,-0.345495163361213
"1090-003",51,8,0,-14.0755,33.9183,0,1,19,12,0,0,0,0,32,0,0,0,1,2,1,1,-0.345495163361213
"1091-001",24,3,0,-13.4883,34.2614,0,12,39,51,0,0,0,0,35,0,0,1,0,0,0,0,-0.937514550464697
"1092-001",49.5,7,0,-14.0755,33.9183,0,1,19,12,0,0,0,0,35,0,1,0,0,0,1,1,-0.345495163361213
"1093-001",20.5,3,0,-13.4883,34.2614,0,12,38,51,0,0,0,0,32,0,0,1,1,1,0,0,-0.937514550464697
"1094-001",57,8,0,-14.0755,33.9183,0,1,19,6,0,0,0,0,36,0,0,0,1,1,1,1,-0.937514550464697
"1094-004",37,7,0,-13.8362,33.076892,0,9,81,43,0,1,0,0,27,0,1,0,1,2,1,1,0.867790537207027
"1095-001",33.5,5,9,-13.4883,34.2614,0,12,38,51,0,0,0,0,63,0,0,0,0,0,0,0,-0.937514550464697
"1095-004",55,7,0,-13.892067,33.756351,3,7,10,8,0,0,0,0,22,0,0,0,1,1,0,0,-0.937514550464697
"1096-001",42,8,0,-14.0755,33.9183,0,0,19,14,0,0,0,0,35,0,1,0,1,6,1,1,3.2891434261671
"1096-003",76,8,0,-12.92425,33.786282,19,1,38,53,0,1,0,0,28,0,1,0,1,1,1,1,-0.937514550464697
"1096-004",65,8,2,-13.996208,33.788272,2,3,3,0,0,0,0,0,24,0,1,0,1,2,1,1,3.2891434261671
"1097-001",47,7,0,-13.4883,34.2614,0,12,38,51,0,0,0,0,52,0,0,0,1,2,1,1,-0.0541713049401865
"1098-001",76,8,12,-14.0755,33.9183,0,1,19,14,0,0,0,0,36,0,1,1,1,2,1,1,-0.345495163361213
"1099-001",36.5,5,11,-13.4883,34.2614,0,13,38,51,0,0,0,0,45,1,0,1,0,0,0,0,-0.937514550464697
"1100-001",68,8,8,-13.888279,33.751493,5,7,11,12,0,0,0,0,30,1,1,0,1,2,1,1,0.576466678786
"1100-003",50,6,12,-13.759986,33.814378,0,15,24,33,0,0,0,0,32,1,0,0,1,1,1,1,-0.937514550464697
"1101-001",36,5,0,-13.43178,34.292606,6,15,45,31,0,0,0,0,65,0,1,1,1,1,0,0,-0.937514550464697
"1101-002",28,7,0,-13.4883,34.2614,1,12,39,51,0,0,0,0,19,0,1,1,1,1,1,1,-0.937514550464697
"1101-003",23,3,0,-13.55488,34.231972,3,9,34,28,0,0,0,0,21,0,1,1,1,1,0,0,-0.0541713049401865
"1102-001",43,7,6,-14.0755,33.9183,0,1,19,6,0,0,0,0,33,0,1,0,1,2,1,1,-0.0541713049401865
"1102-005",39.5,6,0,-14.388318,34.328298,0,2,2,28,0,0,0,0,41,0,0,1,1,2,0,0,-0.345495163361213
"1103-001",37,6,0,-13.4883,34.2614,0,12,39,51,0,0,0,0,47,0,1,0,1,2,1,1,1.16848606588948
"1104-001",52,7,0,-14.198509,34.01966,10,16,36,0,0,0,0,0,37,0,1,1,0,0,0,0,-0.0541713049401865
"1105-001",31,7,5,-13.4883,34.2614,0,12,38,51,0,0,0,0,28,0,0,1,0,0,0,0,-0.64619069204367
"1106-001",59.5,8,10,-14.0755,33.9183,0,1,19,14,0,0,0,0,58,0,0,0,1,2,1,1,1.16848606588948
"1106-008",48,7,0,-15.782079,34.986765,1,8,2,6,0,0,0,0,31,0,0,0,1,1,1,1,-0.345495163361213
"1107-001",30,4,0,-13.4883,34.2614,0,12,38,51,0,0,0,0,52,0,0,0,1,1,1,1,-0.937514550464697
"1107-002",37,6,12,-16.133422,34.892603,6,4,38,49,0,0,0,0,61,1,0,1,1,1,0,0,-0.937514550464697
"1108-003",50.5,6,0,-14.0755,33.9183,0,1,19,6,0,0,0,0,26,0,1,0,1,3,1,1,0.867790537207027
"1109-001",29.5,7,0,-13.4883,34.2614,0,13,38,51,0,0,0,0,51,0,0,1,0,0,0,0,1.45980992431051
"1109-004",42,7,0,-13.4883,34.2614,0,12,39,51,0,0,0,0,24,0,1,1,0,0,0,0,-0.64619069204367
"1110-001",78,8,0,-14.0755,33.9183,0,1,19,14,0,0,0,0,40,0,1,0,1,5,1,1,2.69712403906362
"1111-001",38,7,0,-13.4883,34.2614,0,13,38,51,0,0,0,0,43,0,0,1,1,2,0,0,1.45980992431051
"1111-003",88,8,0,-13.997387,33.792879,1,3,3,0,0,0,0,0,30,0,0,0,1,3,1,1,3.58046728458813
"1112-001",36,6,0,-14.0755,33.9183,0,4,22,43,0,0,0,0,42,0,0,0,1,2,1,1,-0.0541713049401865
"1113-001",77,8,6,-13.4883,34.2614,1,12,38,49,0,0,0,0,25,0,0,1,1,1,0,0,-0.0541713049401865
"1113-002",21,3,3,-13.4883,34.2614,1,12,39,57,1,0,0,0,22,1,0,1,0,0,0,0,-0.937514550464697
"1114-001",55.5,7,0,-13.541477,33.716561,0,4,51,22,0,0,0,0,55,0,1,0,1,3,1,1,1.45980992431051
"1115-001",24.5,5,8,-13.4883,34.2614,0,12,39,53,0,0,0,0,48,1,0,1,0,0,0,0,-0.937514550464697
"1115-004",34.5,6,0,-13.4883,34.2614,1,12,39,49,0,0,0,0,27,0,0,1,0,0,0,0,-0.345495163361213
"1116-001",40,7,0,-14.0755,33.9183,0,1,18,6,0,0,0,0,36,0,1,0,1,2,1,1,3.58046728458813
"1117-001",71,8,0,-13.4883,34.2614,0,12,39,51,0,0,0,0,44,0,1,0,1,2,1,1,1.45980992431051
