"HHID","FCS","HDDS","rural","FS_month","FS_year","ea_id","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","Radio","Television","Bicycle","Motorcycle","Car","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","raincytot","day1rain","maxdaysnorain","FNID","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
1021000207,62,5,0,11,2010,"1020002",0,0,0,0.313044756650925,32.5691452026367,1.4802,1.6065,12,0,1,0,0,45,0,0,0,0,0,0,1,1,1,1,1,600,1,1,0,780.271172761366,1,1,0,444.927437671191,12,7,"UG2011L135",3,123,24.2373597945291,413.997727220818,5,0,0
1021000207,62,5,0,11,2010,"1020002",0,0,0,0.313044756650925,32.5691452026367,1.4802,1.6065,12,0,1,0,0,45,0,0,0,0,0,0,1,1,1,1,1,600,1,1,0,780.271172761366,1,1,0,444.927437671191,12,7,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000312,66,7,0,12,2010,"1020003",0,0,0,0.303095519542694,32.5733451843262,1.8695,0.0807,0,0,1,0,0,31,0,1,1,1,0,0,1,1,0,1,1,900,1,1,0,1001.56601018777,1,1,0.214879216470717,476.562611580329,3,18,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000401,17.5,1,0,1,2011,"1020004",0,0,0,0.345752984285355,32.5462989807129,0.036,4.0233,0,0,1,0,0,34,0,1,0,0,0,0,1,1,0,1,1,500,1,1,0,818.134165677136,1,1,0,1904.95517054467,3,47,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000402,16,5,0,1,2011,"1020004",0,0,0,0.345752984285355,32.5462989807129,0.0683,4.0583,0,0,1,0,0,45,0,1,0,0,1,1,1,3,0,1,1,500,1,1,0,818.134165677136,1,1,0,1904.95517054467,3,47,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000405,76,7,0,1,2011,"1020004",0,0,0,0.345752984285355,32.5462989807129,0.0558,3.9988,0,0,1,0,0,30,0,1,0,0,0,0,0,0,0,1,1,500,1,1,0,818.134165677136,1,1,0,1904.95517054467,3,47,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000503,56,6,0,2,2011,"1020005",0,0,0,0.378049045801163,32.5941276550293,0.2583,5.8982,6,0,1,0,0,76,0,1,1,0,0,0,1,1,0,1,1,500,1,1,0,747.284996510649,1,1,0,1717.49714172054,3,65,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000504,54,7,0,2,2011,"1020005",0,0,0,0.378049045801163,32.5941276550293,0.1458,5.7432,8,0,1,0,0,38,0,0,0,0,0,0,1,1,0,1,1,500,1,1,0,747.284996510649,1,1,0,1717.49714172054,3,65,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000506,77,7,0,2,2011,"1020005",0,0,0,0.378049045801163,32.5941276550293,0.1981,5.7134,8,0,1,0,0,46,0,1,1,0,0,0,1,3,0,1,1,500,1,1,0,747.284996510649,1,1,0,1717.49714172054,3,65,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000604,42,6,0,3,2011,"1020006",0,0,0,0.371428996324539,32.5650596618652,0.7341,4.4388,2,0,1,0,0,43,0,0,0,0,1,0,1,1,1,1,1,650,1,1,0,876.490495528599,1,1,0,1820.71381910796,3,43,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000607,80,7,0,3,2011,"1020006",0,0,0,0.371428996324539,32.5650596618652,0.8683,4.5855,2,0,1,0,0,48,0,1,1,0,0,1,1,5,0,1,1,650,1,1,0,876.490495528599,1,1,0,1820.71381910796,3,43,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000610,57,5,0,3,2011,"1020006",0,0,0,0.371428996324539,32.5650596618652,0.7552,4.445,2,0,1,0,0,49,0,1,1,0,0,0,1,2,0,1,1,650,1,1,0,876.490495528599,1,1,0,1820.71381910796,3,43,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000612,74,7,0,3,2011,"1020006",0,0,0,0.371428996324539,32.5650596618652,0.8855,4.6069,2,0,1,0,0,58,0,1,1,0,0,0,1,4,0,1,1,650,1,1,0,876.490495528599,1,1,0,1820.71381910796,3,43,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000701,76,7,0,5,2011,"1020007",0,0,0,0.36514076590538,32.5970153808594,2.1203,5.4432,33,0,1,0,0,32,0,1,1,1,0,0,1,4,0,1,1,1000,0,0,0,1188.23795302833,0.0205466463526634,0.0449391356896276,0,1701.10121394462,3,54,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000702,47,5,0,10,2010,"1020007",0,0,0,0.36514076590538,32.5970153808594,2.6355,5.1639,20,0,1,0,0,53,0,1,0,0,0,0,1,1,0,1,1,600,1,1,0,783.019826563489,1,1,0,468.584993073566,3,11,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000703,8,4,0,3,2011,"1020007",0,0,0,0.36514076590538,32.5970153808594,1.6804,5.55,63,0,1,0,0,47,0,1,0,0,0,0,1,1,0,1,1,650,1,1,0,876.490495528599,1,1,0,1701.10121394462,3,54,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000705,42,6,0,4,2011,"1020007",0,0,0,0.36514076590538,32.5970153808594,2.4845,5.1632,22,0,1,0,0,26,0,1,1,1,0,0,1,2,0,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1701.10121394462,3,54,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000709,46,5,0,10,2010,"1020007",0,0,0,0.36514076590538,32.5970153808594,2.4598,5.2024,22,0,1,0,0,42,0,0,1,0,0,0,1,2,0,1,1,600,1,1,0,783.019826563489,1,1,0,468.584993073566,3,11,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000710,92,7,0,5,2011,"1020007",0,0,0,0.36514076590538,32.5970153808594,2.3678,5.3096,22,0,1,0,0,53,0,1,1,0,0,1,1,4,0,1,1,1000,0,0,0,1188.23795302833,0.0205466463526634,0.0449391356896276,0,1701.10121394462,3,54,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000711,60,6,0,10,2010,"1020007",0,0,0,0.36514076590538,32.5970153808594,2.6564,5.1563,20,0,1,0,0,38,0,1,1,1,0,0,1,3,0,1,1,600,1,1,0,783.019826563489,1,1,0,468.584993073566,3,11,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000802,62,7,0,11,2010,"1020008",0,0,0,0.356909781694412,32.5883522033691,0.7641,3.713,0,0,1,0,0,25,0,1,0,0,0,0,1,1,0,1,0,500,1,1,0,587.574851757851,1,1,0,474.151376176992,3,8,"UG2011L132",15,123,26.0528393629121,482.608266342805,28,0,0
1021000802,62,7,0,11,2010,"1020008",0,0,0,0.356909781694412,32.5883522033691,0.7641,3.713,0,0,1,0,0,25,0,1,0,0,0,0,1,1,0,1,0,500,1,1,0,587.574851757851,1,1,0,474.151376176992,3,8,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000809,42,6,0,5,2011,"1020008",0,0,0,0.356909781694412,32.5883522033691,1.1041,3.8543,2,0,1,0,0,29,0,1,1,0,0,0,1,1,0,1,1,993.75,0,0,0,1088.22359311829,0.0102733231763317,0.0224695678448138,0,1788.09660523049,3,39,"UG2011L132",5,488,24.473701981508,1887.20527250635,92,0,0
1021000809,42,6,0,5,2011,"1020008",0,0,0,0.356909781694412,32.5883522033691,1.1041,3.8543,2,0,1,0,0,29,0,1,1,0,0,0,1,1,0,1,1,993.75,0,0,0,1088.22359311829,0.0102733231763317,0.0224695678448138,0,1788.09660523049,3,39,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000810,20.5,4,0,11,2010,"1020008",0,0,0,0.356909781694412,32.5883522033691,0.72,3.7299,0,0,1,0,0,53,0,1,0,0,0,0,1,1,1,1,1,500,1,1,0,587.574851757851,1,1,0,474.151376176992,3,8,"UG2011L132",15,123,26.0528393629121,482.608266342805,28,0,0
1021000810,20.5,4,0,11,2010,"1020008",0,0,0,0.356909781694412,32.5883522033691,0.72,3.7299,0,0,1,0,0,53,0,1,0,0,0,0,1,1,1,1,1,500,1,1,0,587.574851757851,1,1,0,474.151376176992,3,8,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000811,39,7,0,11,2010,"1020008",0,0,0,0.356909781694412,32.5883522033691,0.6742,3.8314,0,0,1,0,0,34,0,1,0,0,0,0,1,2,1,1,1,500,1,1,0,587.574851757851,1,1,0,474.151376176992,3,8,"UG2011L132",15,123,26.0528393629121,482.608266342805,28,0,0
1021000811,39,7,0,11,2010,"1020008",0,0,0,0.356909781694412,32.5883522033691,0.6742,3.8314,0,0,1,0,0,34,0,1,0,0,0,0,1,2,1,1,1,500,1,1,0,587.574851757851,1,1,0,474.151376176992,3,8,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000904,58,6,0,5,2011,"1020009",0,0,0,0.362534463405609,32.5747261047363,0.0447,2.9139,0,0,1,0,0,50,0,1,1,0,0,0,1,3,0,1,1,1000,0,0,0,1188.23795302833,0.0205466463526634,0.0449391356896276,0,1778.17163710017,3,45,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000906,66,6,0,5,2011,"1020009",0,0,0,0.362534463405609,32.5747261047363,0.4982,3.0201,0,0,1,0,0,49,0,0,1,0,0,0,1,2,0,1,1,1000,0,0,0,1188.23795302833,0.0205466463526634,0.0449391356896276,0,1778.17163710017,3,45,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000909,29,6,0,5,2011,"1020009",0,0,0,0.362534463405609,32.5747261047363,0.0283,3.0278,0,0,1,0,0,35,0,1,1,0,0,0,1,2,0,1,1,1000,0,0,0,1188.23795302833,0.0205466463526634,0.0449391356896276,0,1778.17163710017,3,45,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001003,41,5,0,8,2011,"1020010",0,0,0,0.345997929573059,32.5832252502441,0.1811,5.5335,2,0,1,0,0,65,0,1,1,0,0,0,1,2,1,1,1,933,0,0,0,1018.83961699049,0,0,0,1811.60225498113,3,40,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001004,35,6,0,1,2011,"1020010",0,0,0,0.345997929573059,32.5832252502441,0.2076,2.4013,0,0,1,0,0,32,0,0,0,0,0,0,1,2,0,1,1,500,1,1,0,818.134165677136,1,1,0,1811.60225498113,3,40,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001007,33,5,0,1,2011,"1020010",0,0,0,0.345997929573059,32.5832252502441,0.5067,2.2919,0,0,1,0,0,37,0,1,1,0,0,0,1,1,0,1,1,500,1,1,0,818.134165677136,1,1,0,1811.60225498113,3,40,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001011,25,5,0,8,2011,"1020010",0,0,0,0.345997929573059,32.5832252502441,0.2525,2.5782,0,0,1,0,0,38,0,0,0,0,0,0,1,1,0,1,1,933,0,0,0,1018.83961699049,0,0,0,1811.60225498113,3,40,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001107,54,7,0,4,2011,"1020011",0,0,0,0.289272874593735,32.6159744262695,2.3058,5.7086,42,1,0,0,0,50,0,1,1,0,0,0,1,3,0,1,1,750,0,0,0,967.378940374333,0.0356982395816919,0,0,1845.71777928919,3,40,"UG2011L137",3,488,23.8815233824683,1740.35664255716,35,0,0
1021001107,54,7,0,4,2011,"1020011",0,0,0,0.289272874593735,32.6159744262695,2.3058,5.7086,42,1,0,0,0,50,0,1,1,0,0,0,1,3,0,1,1,750,0,0,0,967.378940374333,0.0356982395816919,0,0,1845.71777928919,3,40,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001109,56,5,0,4,2011,"1020011",0,0,0,0.289272874593735,32.6159744262695,2.3165,5.7155,42,1,0,0,0,40,0,1,1,1,0,0,1,8,0,1,1,750,0,0,0,967.378940374333,0.0356982395816919,0,0,1845.71777928919,3,40,"UG2011L137",3,488,23.8815233824683,1740.35664255716,35,0,0
1021001109,56,5,0,4,2011,"1020011",0,0,0,0.289272874593735,32.6159744262695,2.3165,5.7155,42,1,0,0,0,40,0,1,1,1,0,0,1,8,0,1,1,750,0,0,0,967.378940374333,0.0356982395816919,0,0,1845.71777928919,3,40,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001110,39,5,0,4,2011,"1020011",0,0,0,0.289272874593735,32.6159744262695,2.2811,5.7306,42,1,0,0,0,38,0,1,1,0,1,0,1,1,0,1,1,750,0,0,0,967.378940374333,0.0356982395816919,0,0,1845.71777928919,3,40,"UG2011L137",3,488,23.8815233824683,1740.35664255716,35,0,0
1021001110,39,5,0,4,2011,"1020011",0,0,0,0.289272874593735,32.6159744262695,2.2811,5.7306,42,1,0,0,0,38,0,1,1,0,1,0,1,1,0,1,1,750,0,0,0,967.378940374333,0.0356982395816919,0,0,1845.71777928919,3,40,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001202,70,7,0,4,2011,"1020012",0,0,0,0.322076350450516,32.5258026123047,2.0132,4.3064,39,0,1,0,0,42,0,0,1,0,0,0,1,2,0,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1894.09737065835,3,65,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001205,49,4,0,4,2011,"1020012",0,0,0,0.312796533107758,32.6114730834961,3.4726,3.9207,10,1,0,0,0,40,0,0,0,0,0,0,0,0,1,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1894.09737065835,3,65,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001206,57,5,0,4,2011,"1020012",0,0,0,0.312796533107758,32.6114730834961,3.3947,3.8514,10,1,0,0,0,41,0,1,0,0,0,0,1,2,0,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1894.09737065835,3,65,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001208,73,7,0,4,2011,"1020012",0,0,0,0.312796533107758,32.6114730834961,3.4408,3.8884,10,1,0,0,0,45,0,1,0,0,0,0,1,2,1,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1894.09737065835,3,65,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001210,78,6,0,4,2011,"1020012",0,0,0,0.312796533107758,32.6114730834961,3.4048,3.8451,10,1,0,0,0,35,0,1,1,0,0,0,1,2,0,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1894.09737065835,3,65,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001211,46,5,0,4,2011,"1020012",0,0,0,0.312796533107758,32.6114730834961,3.4068,3.8885,10,1,0,0,0,27,0,0,1,0,0,0,1,2,0,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1894.09737065835,3,65,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001301,49,6,0,10,2010,"1020013",0,0,0,0.303221106529236,32.6197471618652,3.0732,3.35,6,1,0,0,0,55,0,1,1,0,0,1,1,3,0,1,1,600,1,1,0,783.019826563489,1,1,0,532.33063253609,3,16,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001302,48,4,0,10,2010,"1020013",0,0,0,0.303221106529236,32.6197471618652,3.2043,3.3286,4,1,0,0,0,44,0,1,1,0,0,0,1,3,1,1,1,600,1,1,0,783.019826563489,1,1,0,532.33063253609,3,16,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001305,12.5,1,0,10,2010,"1020013",0,0,0,0.303221106529236,32.6197471618652,2.9777,3.6133,8,1,0,0,0,27,0,1,0,0,0,0,1,3,1,1,1,600,1,1,0,783.019826563489,1,1,0,532.33063253609,3,16,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001306,36,6,0,10,2010,"1020013",0,0,0,0.303221106529236,32.6197471618652,3.157,3.2731,4,1,0,0,0,47,0,1,1,0,0,0,1,3,0,1,1,600,1,1,0,783.019826563489,1,1,0,532.33063253609,3,16,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001308,35,5,0,10,2010,"1020013",0,0,0,0.303221106529236,32.6197471618652,3.0756,3.4003,6,1,0,0,0,36,0,1,1,0,0,0,1,2,0,1,1,600,1,1,0,783.019826563489,1,1,0,532.33063253609,3,16,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001402,57,7,0,12,2010,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.2244,3.2246,4,0,1,0,0,80,0,1,1,0,0,0,1,2,0,1,1,900,1,1,0,821.359236314332,1,1,0.124718887335214,460.891090135809,3,10,"UG2011L137",3,123,25.4316389874715,413.830520613497,6,0,0
1021001402,57,7,0,12,2010,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.2244,3.2246,4,0,1,0,0,80,0,1,1,0,0,0,1,2,0,1,1,900,1,1,0,821.359236314332,1,1,0.124718887335214,460.891090135809,3,10,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001403,48,5,0,12,2010,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.3422,3.4121,18,0,1,0,0,43,0,1,1,0,0,0,1,2,0,1,1,900,1,1,0,821.359236314332,1,1,0.124718887335214,460.891090135809,3,10,"UG2011L137",3,123,25.4316389874715,413.830520613497,6,0,0
1021001403,48,5,0,12,2010,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.3422,3.4121,18,0,1,0,0,43,0,1,1,0,0,0,1,2,0,1,1,900,1,1,0,821.359236314332,1,1,0.124718887335214,460.891090135809,3,10,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001405,70,6,0,12,2010,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.1897,3.2302,4,0,1,0,0,33,0,0,1,0,0,0,1,2,0,1,1,900,1,1,0,821.359236314332,1,1,0.124718887335214,460.891090135809,3,10,"UG2011L137",3,123,25.4316389874715,413.830520613497,6,0,0
1021001405,70,6,0,12,2010,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.1897,3.2302,4,0,1,0,0,33,0,0,1,0,0,0,1,2,0,1,1,900,1,1,0,821.359236314332,1,1,0.124718887335214,460.891090135809,3,10,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001406,49,3,0,5,2011,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.2125,3.1462,4,0,1,0,0,45,0,1,1,0,0,0,1,2,0,1,1,1000,0,0,0,1122.51449331525,0.0356982395816919,0.0224695678448138,0,1823.80657216505,3,56,"UG2011L137",3,488,23.8815233824683,1740.35664255716,35,0,0
1021001406,49,3,0,5,2011,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.2125,3.1462,4,0,1,0,0,45,0,1,1,0,0,0,1,2,0,1,1,1000,0,0,0,1122.51449331525,0.0356982395816919,0.0224695678448138,0,1823.80657216505,3,56,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001407,53,6,0,12,2010,"1020014",0,0,0,0.231386110186577,32.590991973877,4.5625,10.1291,94,0,0,0,0,35,0,0,1,0,0,0,1,2,0,1,1,900,1,1,0,821.359236314332,1,1,0.124718887335214,460.891090135809,3,10,"UG2011L137",3,123,25.4316389874715,413.830520613497,6,0,0
1021001407,53,6,0,12,2010,"1020014",0,0,0,0.231386110186577,32.590991973877,4.5625,10.1291,94,0,0,0,0,35,0,0,1,0,0,0,1,2,0,1,1,900,1,1,0,821.359236314332,1,1,0.124718887335214,460.891090135809,3,10,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001408,32,5,0,5,2011,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.2678,3.1685,4,0,1,0,0,36,0,1,1,0,0,0,1,1,0,1,1,1000,0,0,0,1122.51449331525,0.0356982395816919,0.0224695678448138,0,1823.80657216505,3,56,"UG2011L137",3,488,23.8815233824683,1740.35664255716,35,0,0
1021001408,32,5,0,5,2011,"1020014",0,0,0,0.285813391208649,32.5787391662598,1.2678,3.1685,4,0,1,0,0,36,0,1,1,0,0,0,1,1,0,1,1,1000,0,0,0,1122.51449331525,0.0356982395816919,0.0224695678448138,0,1823.80657216505,3,56,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001501,14,5,0,12,2010,"1020015",0,0,0,0.301654934883118,32.6005477905273,3.0451,3.6844,8,1,0,0,0,29,0,1,0,0,0,0,1,3,1,1,1,900,1,1,0,1001.56601018777,1,1,0.214879216470717,472.27269648921,3,8,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001505,81,7,0,12,2010,"1020015",0,0,0,0.301654934883118,32.6005477905273,3.0778,3.7313,8,1,0,0,0,49,0,1,1,0,0,1,1,5,0,1,1,900,1,1,0,1001.56601018777,1,1,0.214879216470717,472.27269648921,3,8,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001507,34,4,0,12,2010,"1020015",0,0,0,0.301654934883118,32.6005477905273,3.037,3.6684,8,1,0,0,0,50,0,0,1,0,0,0,1,3,0,1,1,900,1,1,0,1001.56601018777,1,1,0.214879216470717,472.27269648921,3,8,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001512,57,6,0,12,2010,"1020015",0,0,0,0.301654934883118,32.6005477905273,3.0611,3.5828,6,1,0,0,0,36,0,0,0,0,0,0,1,3,0,1,1,900,1,1,0,1001.56601018777,1,1,0.214879216470717,472.27269648921,3,8,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021001607,88,7,0,4,2011,"1020016",0,0,0,0.310160279273987,32.6017799377441,2.7948,3.6678,10,1,0,0,0,60,0,1,1,0,0,1,1,3,0,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1913.08917053772,3,58,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021001704,59,6,0,2,2011,"1020017",0,0,0,0.273187041282654,32.6248092651367,5.1935,8.0787,53,1,0,0,0,34,0,1,0,0,0,0,1,1,0,1,1,500,1,1,0,585.947252956025,1,1,0,1874.35529805979,3,48,"UG2011L137",3,488,23.8815233824683,1740.35664255716,35,0,0
1021001706,32,4,0,2,2011,"1020017",0,0,0,0.273187041282654,32.6248092651367,5.2404,8.0066,53,1,0,0,0,31,0,0,0,0,0,0,1,1,1,1,1,500,1,1,0,585.947252956025,1,1,0,1874.35529805979,3,48,"UG2011L137",3,488,23.8815233824683,1740.35664255716,35,0,0
1021001710,104,7,0,2,2011,"1020017",0,0,0,0.273187041282654,32.6248092651367,5.0902,8.2961,51,1,0,0,0,87,0,1,1,0,0,0,0,0,0,1,1,500,1,1,0,585.947252956025,1,1,0,1874.35529805979,3,48,"UG2011L137",3,488,23.8815233824683,1740.35664255716,35,0,0
1021001711,32,5,0,2,2011,"1020017",0,0,0,0.273187041282654,32.6248092651367,5.1297,8.0653,53,1,0,0,0,34,0,1,1,1,0,0,1,4,0,1,1,500,1,1,0,585.947252956025,1,1,0,1874.35529805979,3,48,"UG2011L137",3,488,23.8815233824683,1740.35664255716,35,0,0
1021001802,65,5,0,4,2011,"1020018",0,0,0,0.295154541730881,32.5853996276855,2.7757,4.0623,22,1,0,0,0,38,0,1,0,0,0,0,1,1,1,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1872.18056080072,3,46,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
