"HHID","FCS","HDDS","rural","FS_month","FS_year","ea_id","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","Radio","Television","Bicycle","Motorcycle","Car","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","raincytot","day1rain","maxdaysnorain","FNID","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
1013000201,20,3,1,1,2011,"1010002",0,0,0,-0.530627489089966,32.3274917602539,40.4345,65.5281,0,0,0,0,0,45,0,0,0,0,0,0,1,1,1,1,1,500,1,1,0,648.602821796044,1,1,0,1823.75459526993,3,143,"UG2011L141",3,488,23.6911040495437,1866.82998025793,18,0,0
1013000206,47.5,3,0,12,2010,"1010002",0,0,0,0.289080739021301,32.5606498718262,0.8136,4.0912,22,0,1,0,0,31,0,0,1,0,1,0,1,3,0,1,1,900,1,1,0,702.971125796045,1,1,0.0283361728202892,474.492035784655,3,28,"UG2011L141",3,123,25.1292158118216,558.706113194177,2,0,0
1021000108,68,5,0,11,2010,"1020001",0,0,0,0.33318766951561,32.5706558227539,1.0973,0.8722,0,0,1,0,0,70,0,1,1,0,0,1,1,4,0,1,1,600,1,1,0,772.943200201168,1,1,0,473.592501981084,3,24,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000109,56,6,0,5,2011,"1020001",0,0,0,0.33318766951561,32.5706558227539,1.1476,0.7923,0,0,1,0,0,41,0,1,1,0,0,0,1,5,0,1,1,1000,0,0,0,1188.23795302833,0.0205466463526634,0.0449391356896276,0,1821.39181201197,3,112,"UG2011L140",3,488,22.9908989077709,1732.87144601946,26,0,0
1021000111,71,6,0,10,2010,"1020001",0,0,0,0.33318766951561,32.5706558227539,1.139,0.8115,0,0,1,0,0,48,0,1,1,1,0,0,1,4,0,1,1,600,1,1,0,783.019826563489,1,1,0,473.592501981084,3,24,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000113,88,7,0,10,2010,"1020001",0,0,0,0.33318766951561,32.5706558227539,1.1269,0.8459,0,0,1,0,0,48,0,1,1,0,0,0,1,2,0,1,1,600,1,1,0,783.019826563489,1,1,0,473.592501981084,3,24,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000201,42,5,0,11,2010,"1020002",0,0,0,0.313044756650925,32.5691452026367,1.4203,1.5445,2,0,1,0,0,42,0,1,1,0,0,0,1,2,0,1,1,600,1,1,0,780.271172761366,1,1,0,444.927437671191,12,7,"UG2011L135",3,123,24.2373597945291,413.997727220818,5,0,0
1021000201,42,5,0,11,2010,"1020002",0,0,0,0.313044756650925,32.5691452026367,1.4203,1.5445,2,0,1,0,0,42,0,1,1,0,0,0,1,2,0,1,1,600,1,1,0,780.271172761366,1,1,0,444.927437671191,12,7,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
1021000203,53,5,0,11,2010,"1020002",0,0,0,0.313044756650925,32.5691452026367,1.344,1.5936,4,0,1,0,0,59,0,0,0,0,0,0,1,2,1,1,1,600,1,1,0,780.271172761366,1,1,0,444.927437671191,12,7,"UG2011L135",3,123,24.2373597945291,413.997727220818,5,0,0
1021000203,53,5,0,11,2010,"1020002",0,0,0,0.313044756650925,32.5691452026367,1.344,1.5936,4,0,1,0,0,59,0,0,0,0,0,0,1,2,1,1,1,600,1,1,0,780.271172761366,1,1,0,444.927437671191,12,7,"UG2011L140",3,123,24.6040531313516,418.717351084538,6,0,0
