"ea_id","FS_year","FCS","HDDS","rCSI","region_north","region_central","rural","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","FS_month","head_age","female_head","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car","yearmon","lag1_clust_maize_price","lag1_clust_rice_price","lag1_clust_nuts_price","lag1_clust_beans_price","lag1_clust_maize_mktthin","lag1_clust_rice_mktthin","lag1_clust_nuts_mktthin","lag1_clust_beans_mktthin","lag3_clust_maize_price","lag3_clust_rice_price","lag3_clust_nuts_price","lag3_clust_beans_price","lag3_clust_maize_mktthin","lag3_clust_rice_mktthin","lag3_clust_nuts_mktthin","lag3_clust_beans_mktthin","lag6_clust_maize_price","lag6_clust_rice_price","lag6_clust_nuts_price","lag6_clust_beans_price","lag6_clust_maize_mktthin","lag6_clust_rice_mktthin","lag6_clust_nuts_mktthin","lag6_clust_beans_mktthin","lag12_clust_maize_price","lag12_clust_rice_price","lag12_clust_nuts_price","lag12_clust_beans_price","lag12_clust_maize_mktthin","lag12_clust_rice_mktthin","lag12_clust_nuts_mktthin","lag12_clust_beans_mktthin","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","heatdays"
"10101108",2016,45.8125,4.5625,3.9375,1,0,1,-9.834715,33.411655,4.375,15.6875,57.125,7.375,0,0.0625,0,0,6,40.875,0.25,0.75,0.375,0.5625,0.3125,0.3125,0,0.3125,0.0625,0.25,0,0,2016.41666666667,188.7075,561.995,477.4475,443.405,0.2,0.2,0.2,0.2,227.45,555.846666666667,470.006666666667,446.923333333333,0.25,0.25,0.25,0.25,136.86,388.4925,459.346666666667,437.273333333333,0.666666666666667,0.555555555555556,0.666666666666667,0.666666666666667,103.963333333333,519.870074783965,295.252470566578,217.695884115131,0.4,1,1,1,1222.29371252065,31,102,31,214,24.1913728553559,1240.27656810652,57,0
"10101204",2010,35.21875,4.9375,2.6875,1,0,1,-9.89498043060303,33.3810005187988,0.513750011450611,10.8218750357628,58.4668745994568,48.6875,0,1,0,0,8,43.1875,0.0625,0.875,0.25,0.25,0.1875,0.1875,0,0.4375,0,0.5,0,0,2010.58333333333,34.16,221.7775,181.6775,141.7225,0,0,0,0,36.3366666666667,204.08,218.1025,155.26,0.25,0,0,0,42.7375,238.005,228.615,187.78,0,0,0,0,30.835,223.545,224.0225,177.92,0,0,0,0,1190.63336650235,38,95,36,213,21.3952828743089,1127.99811366612,50,0
"10101204",2013,48.0882352941176,5.05882352941176,4.47058823529412,1,0,0.941176470588235,-9.97367682352941,33.4112780588235,0.529411764705882,11.4117647058824,56.5294117647059,45.7647058823529,0.0588235294117647,0.941176470588235,0,0,5.05882352941176,45.6470588235294,0.176470588235294,0.823529411764706,0.411764705882353,0.647058823529412,0.352941176470588,0.352941176470588,0.0588235294117647,0.352941176470588,0.117647058823529,0.352941176470588,0,0,2013.33823529412,115.693220588235,401.346738573515,379.605629586489,347.854289169533,0,1,1,1,102.931176470588,380.361142123279,367.335574849032,331.402247554693,0.0147058823529412,1,1,1,45.15,350.104901002521,348.555587049223,307.291859137728,0.0168067226890756,1,1,1,34.1063235294118,294.946105630319,309.901232002194,262.40445308459,0.672268907563025,1,1,1,1087.01465411723,37,109,37.6666666666667,213,21.9484143121329,1098.67603875549,73.3333333333333,0
"10101215",2010,41.84375,5.0625,2.4375,1,0,1,-9.50446033477783,33.2302017211914,9.27533340454101,4.24133339524269,91.7126669883728,34.9333333969116,0,0.25,0,0,5,43.25,0.1875,1,0.25,0.375,0.125,0.125,0,0.3125,0,0.4375,0,0,2010.33333333333,45.87,243.77,235.665,183.6,0.5,0.5,0.5,0.5,42.7375,238.005,228.615,187.78,0,0,0,0,33.4875,224.7075,223.6975,182.065,0,0,0,0,31.97,239.5675,199.2075,199.1825,0,0,0,0,1017.86193273503,37,99,36,213,21.3952828743089,1127.99811366612,50,0
"10101215",2013,40.9117647058824,4.94117647058824,3.88235294117647,1,0,0.882352941176471,-9.54248635294118,33.2731721764706,8,4.29411764705882,86.0588235294118,36.1176470588235,0,0.235294117647059,0,0,5.23529411764706,44.8235294117647,0.176470588235294,0.823529411764706,0.352941176470588,0.470588235294118,0.294117647058824,0.294117647058824,0,0.411764705882353,0.0588235294117647,0.294117647058824,0,0,2013.35294117647,92.2274272875817,328.584335405104,336.895810634061,564.820017747229,0.152941176470588,1,1,1,104.309243697479,308.392764096559,317.389066998597,553.906664239381,0.00735294117647059,1,1,1,46.1343837535014,279.897798707915,289.294359994867,533.600628264816,0.132352941176471,1,1,1,36.4436764705882,232.458654204026,241.200161501408,479.329227236718,0.403361344537815,1,1,1,1056.93956201578,30,105.666666666667,31,213,22.6121026315227,1128.73940143588,78.3333333333333,0
"10101219",2011,40.4375,5.375,0.0625,1,0,1,-9.5946102142334,33.4040985107422,12.3943750858307,12.875,70.0956254005432,44.6875,0,1,0,0,2,52.8125,0.1875,0.6875,0.0625,0.0625,0.4375,0.4375,0,0.625,0,0.5,0,0,2011.08333333333,25.6325,150.14,185.69,170.115544059054,0,0,0,1,20.92,151.752,142.01,142.788314725197,0,0,0,1,18.262,117.76,132.315,100.105,0,0.2,0.2,0.6,37.86,177.615,174.1675,152.2975,0.25,0,0,0,1348.50859798847,52,102,52,213,20.8802710018248,1090.40569960296,67,0
"10101355",2011,45.65625,4.8125,0.125,1,0,1,-9.73456954956055,33.4071998596191,0.781249989755451,5.93999999761581,63.1268744468689,47.3125,0,1,0,0,1,39.6875,0.25,0.9375,0.375,0.5625,0.25,0.25,0,0.25,0,0.5,0,0,2011,17.4433333333333,106.083333333333,175.57,156.567321664734,0.25,0.25,0.5,1,21.4275,113.49,129.8225,128.78240768041,0,0,0,1,15.6525,90.0325,111.9125,82.505,0,0,0,0,29.9325,174.9075,172.2025,146.2425,0,0,0,0,1185.15815807908,53,102,52,213,20.8802710018248,1090.40569960296,67,0
"10101374",2010,35.71875,4.75,1.5625,1,0,1,-9.58701992034912,33.2181015014648,1.18562500155531,5.98562499880791,88.6487493515015,36,0,1,0,0,10,50.5,0.25,1,0.1875,0.25,0.3125,0.3125,0,0.375,0,0.5,0,0,2010.75,36.9166666666667,218.726666666667,202.026666666667,140.601348408484,0.25,0.25,0.25,1,34.16,221.7775,181.6775,141.7225,0,0,0,0,45.87,243.77,235.665,183.6,0.5,0.5,0.5,0.5,32.73,225.415,223.7125,180.3675,0,0,0,0,1037.34392703191,37,93,36,213,21.3952828743089,1127.99811366612,50,0
"10101470",2010,39.78125,5.125,0.625,1,0,1,-9.66271018981934,33.2523994445801,0.776874986942857,13.5849999189377,82.3324999809265,54.3125,0,1,0,0,6,48,0.3125,0.9375,0.25,0.3125,0.125,0.125,0,0.5,0,0.1875,0.0625,0,2010.41666666667,36.3366666666667,204.08,218.1025,155.26,0.25,0,0,0,44.2825,247.276,235.426,187.412,0.2,0,0,0,34.35,225.16,223.835,182.575,0.6,0.6,0.6,0.6,28.312,225.488,231.624,176.932,0,0,0,0,981.0301304889,38,97,36,213,21.3952828743089,1127.99811366612,50,0
"10101562",2010,43.75,5.5625,0.5625,1,0,1,-9.66792011260986,33.3936996459961,4.72437499463558,5.20812503993511,69.4156246185303,34.0625,0,1,0,0,10,42.25,0.25,0.75,0.5,0.8125,0.375,0.375,0,0.5,0,0.5,0,0,2010.75,36.9166666666667,218.726666666667,202.026666666667,140.601348408484,0.25,0.25,0.25,1,34.16,221.7775,181.6775,141.7225,0,0,0,0,45.87,243.77,235.665,183.6,0.5,0.5,0.5,0.5,32.73,225.415,223.7125,180.3675,0,0,0,0,1182.3449131658,37,91,38,213,22.5009785540228,1353.25732717093,78,0
"10101562",2013,52.1136363636364,5.72727272727273,5.36363636363636,0.909090909090909,0.0909090909090909,0.909090909090909,-10.0453671818182,33.4270569545455,4.04545454545455,4.54545454545455,66.5454545454545,36.1363636363636,0,0.909090909090909,0,0,7.22727272727273,40.8181818181818,0.227272727272727,0.545454545454545,0.5,0.636363636363636,0.5,0.5,0.0909090909090909,0.454545454545455,0.136363636363636,0.227272727272727,0,0,2013.51893939394,73.4172160868304,187.352792971441,182.969502674366,133.173511203779,0.310870947234584,1,1,1,86.3973816685633,187.568106851733,189.701792521205,134.197022293603,0.413286713286713,1,1,1,71.7918939393939,187.893324582856,199.356191837894,135.75474873401,0.187878787878788,1,1,1,42.1355113636364,188.54355817083,216.077009678147,138.981842061933,0.318181818181818,1,1,1,1088.91989257818,39.6666666666667,109.666666666667,40,213,22.4781720451471,1119.40694544799,85.8333333333333,0
"10101568",2010,37.71875,5.0625,0.6875,1,0,1,-9.73770999908447,33.260799407959,3.2281249910593,11.2818750143051,78.1762499809265,46.8125,0,1,0,0,11,52.625,0.1875,1,0.375,0.375,0.1875,0.1875,0,0.4375,0,0.3125,0,0,2010.83333333333,38.0125,219.095,203.03,140.296428669052,0,0,0,1,31.04,220.55,203.615,141.105,0.2,0.2,0.2,0.6,36.3366666666667,204.08,218.1025,155.26,0.25,0,0,0,33.4875,224.7075,223.6975,182.065,0,0,0,0,875.698697061852,38,98,36,213,21.3952828743089,1127.99811366612,50,0
"10101706",2010,40.78125,5.1875,0,1,0,1,-9.53645992279053,33.3866004943848,13.3443749547005,14.135625064373,78.8324995040894,13.5,0,1,0,0,11,36.5625,0.1875,0.9375,0.1875,0.25,0.0625,0.0625,0,0.4375,0,0.75,0,0,2010.83333333333,21.4275,113.49,129.8225,128.78240768041,0,0,0,1,18.262,117.76,132.315,100.105,0,0.2,0.2,0.6,21.2833333333333,125.726666666667,165.48,104.376666666667,0.25,0.25,0,0.25,27.6225,148.705,154.4575,97.9675,0,0,0,0,1205.29436639214,37,99,36,213,21.3952828743089,1127.99811366612,50,0
"10102004",2010,40.4375,5.1875,1.5625,1,0,1,-9.74822998046875,33.5035018920898,10.9943750500679,7.03374999761581,48.955625295639,10.375,0,0,0,0,5,35.375,0.125,0.875,0.0625,0.0625,0.0625,0.0625,0,0.3125,0,0.3125,0,0,2010.33333333333,32.63,144.366666666667,172.63,146.33,0.5,0.25,0.25,0.25,37.86,177.615,174.1675,152.2975,0.25,0,0,0,27.6225,148.705,154.4575,97.9675,0,0,0,0,21.5925,137.3125,149.035,96.8925,0,0,0,0,1281.46070207422,37,85,38,213,22.5009785540228,1353.25732717093,78,0
"10102004",2013,39.6875,4.5625,6.125,1,0,0.9375,-9.7728295160375,33.52585810405,9.0625,8.125,46.5,16.4375,0,0.0625,0,0,5,38.375,0.125,0.6875,0.25,0.25,0.375,0.375,0,0.25,0,0.1875,0,0,2013.33333333333,94.2438461538461,283.252103453416,298.457116833397,520.597926531189,0.133333333333333,1,1,1,94.433,262.012790871516,280.32023444593,510.167450656872,0.0909090909090909,1,1,1,50.6518181818182,232.172776920885,254.60478302355,490.838598624286,0.0833333333333333,1,1,1,34.315,184.457946895205,212.187087786381,439.279609011871,0.333333333333333,1,1,1,1149.61582044727,30.75,104,30.75,213,23.0120683804365,1198.01063624192,85.25,0
"10102109",2017,39.46875,4.25,6.0625,1,0,1,-9.678125,33.40707,6.4375,8.125,64.875,4.75,0,1,0,0,3,31.875,0.125,0.6875,0.3125,0.375,0.6875,0.6875,0,0.5,0,0.125,0,0,2017.16666666667,231.58,598.573333333333,509.666666666667,515.2,0.25,0.25,0.25,0.25,12,12,13.6666666666667,15,0,0,0.25,0.5,163.045,569.14,250.175,248.87,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,59.7375,144.1625,181.73,109.0275,0,0,0.25,0,191.630622399463,48,67,48,213,25.0365976539577,204.050397213768,61,0
"10102110",2016,47.96875,4.8125,3.8125,1,0,1,-9.70643,33.572901,19.375,7.6875,48.25,9.875,0,0,0,0,9,33.4375,0.125,0.75,0.375,0.375,0.3125,0.3125,0,0.375,0,0,0,0,2016.66666666667,176.463333333333,571.11,478.053333333333,470.82,0,0,0,0,91.59,309.7225,336.28,258.1125,0.25,0,0.25,0,59.7375,144.1625,181.73,109.0275,0,0,0.25,0,90.228,397.865927448535,393.9651260954,381.318510528276,0,1,1,1,1638.95360918137,30,91,30,214,24.9762157119324,1620.79319269517,88,0
"10102111",2017,41.0625,4.25,7.875,1,0,1,-9.686698,33.490198,10.1875,4.8125,53.125,4.25,0,0.125,0,0,4,40.1875,0.25,0.8125,0.5,0.5,0.5,0.5,0,0.375,0,0.125,0,0,2017.25,15.5,15.5,15.5,19,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,88.5733333333333,218.06,182.09,187.156666666667,0.4,0.4,0.4,0.4,13,12,10,16,0.333333333333333,0,0,0.666666666666667,118.5725,453.46,503.92,349.14,0,0,0.25,0,210.316466594777,48,68,48,213,25.0365976539577,204.050397213768,61,0
"10102112",2016,38.71875,4.3125,3.5,1,0,1,-9.776848,33.461158,3.625,12.125,52.8125,4.25,0,0,0,0,4,42.5,0.125,0.8125,0.375,0.4375,0.25,0.25,0,0.6875,0,0.25,0,0,2016.25,59.7375,144.1625,181.73,109.0275,0,0,0.25,0,105.5725,352.3,375.2425,321.34,0.2,0.2,0.2,0.2,82.925,388.229191554197,386.265970276208,370.517395139646,0,1,1,1,78.72,420.827818290948,400.264751157774,424.505825387305,0.25,1,1,1,1395.30133640407,31,100,31,214,24.1913728553559,1240.27656810652,57,0
"10102379",2010,37.1875,4.4375,0.375,1,0,1,-9.5815896987915,33.5918998718262,18.8093749284744,10.323125064373,53.2606248855591,6.9375,0,0,0,0,11,48.6875,0.125,1,0,0,0.0625,0.0625,0,0.1875,0,0,0,0,2010.83333333333,21.4275,113.49,129.8225,128.782407680418,0,0,0,1,18.262,117.76,132.315,100.105,0,0.2,0.2,0.6,21.2833333333333,125.726666666667,165.48,104.376666666667,0.25,0.25,0,0.25,27.6225,148.705,154.4575,97.9675,0,0,0,0,1438.93628891086,36,98,38,213,22.5009785540228,1353.25732717093,78,0
"10102621",2011,43.625,4.9375,1.125,1,0,1,-9.71323013305664,33.4519996643066,4.18812502920628,9.453125,59.5137498378754,0.125,0,1,0,0,2,45.4375,0.375,0.75,0.25,0.4375,0.5,0.5,0,0.4375,0.0625,0.125,0,0,2011.08333333333,25.6325,150.14,185.69,170.115544059054,0,0,0,1,20.92,151.752,142.01,142.788314725196,0,0,0,1,18.262,117.76,132.315,100.105,0,0.2,0.2,0.6,37.86,177.615,174.1675,152.2975,0.25,0,0,0,1405.27693382636,53,97,53,213,22.0166284838753,1496.28398112339,92,0
"10103113",2017,34.4375,3.8125,11.9375,1,0,1,-10.002974,33.478651,1.625,7.875,52.375,0.5,0,0.3125,0,0,2,37,0.25,0.9375,0.3125,0.4375,0.3125,0.3125,0,0.3125,0,0.25,0,0,2017.08333333333,88.5733333333333,218.06,182.09,187.156666666667,0.4,0.4,0.4,0.4,12.5,12,11.8333333333333,15.5,0.166666666666667,0,0.125,0.583333333333333,176.463333333333,571.11,478.053333333333,470.82,0,0,0,0,76.58,262.92,262.06,139.443333333333,0.25,0.5,0.5,0.25,192.383997988866,62,67,48,213,24.2533237690098,178.596906297878,51,0
"10103114",2016,34.625,4,10.125,1,0,1,-10.076443,33.560035,0.5625,2.25,44.0625,8.125,0,0,0,0,10,44.4375,0.3125,0.9375,0.5625,0.625,0.3125,0.3125,0,0.1875,0,0.1875,0,0,2016.75,17,14.5,14.5,14.5,1,0.333333333333333,0.333333333333333,0.333333333333333,13.5,17,17,17,0.6,0.4,0.6,0.4,13.5,17,17,17,0.5,0.5,0.75,0.25,12.5,170.41046206676,177.60337566103,149.178326323476,0,1,1,1,1292.05102453258,31,97,31,214,24.1913728553559,1240.27656810652,57,0
"10103115",2017,42.65625,4.25,9.4375,1,0,1,-10.20714,33.537028,0.875,11.5,51.5,30.125,0,1,0,0,4,29.625,0.375,0.8125,0.4375,0.5,0.3125,0.3125,0,0.1875,0,0.1875,0,0,2017.25,12,12,15.5,19,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,15,15,18.5,22,0.8,0.8,0.6,0.6,13,10,16,16,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,13.5,17,17,17,0.5,0.5,0.75,0.25,160.552475075931,61,66,48,213,24.2533237690098,178.596906297878,51,0
"10103414",2010,41.15625,5.1875,4.625,1,0,1,-9.97159957885742,33.3739013671875,1.09749998990446,3.38437500596046,59.8418748378754,0,0,1,0,0,9,44.75,0.1875,0.8125,0.25,0.375,0.1875,0.1875,0,0.5,0.0625,0.625,0,0,2010.66666666667,31.04,220.55,203.615,141.105,0.2,0.2,0.2,0.6,32.4,223.596,209.53,144.48,0.8,0,0,0,44.2825,247.276,235.426,187.412,0.2,0,0,0,31.692,223.976,224.346,179.39,0,0,0,0,1269.60356283673,38,96,36,213,21.3952828743089,1127.99811366612,50,0
"10103414",2013,48.125,5.625,3.3125,1,0,1,-9.9716,33.3739,1.0625,3.4375,60.125,0,0,1,0,0,6,47.5625,0.1875,0.6875,0.5,0.6875,0.3125,0.3125,0,0.5,0.0625,0.5,0,0,2013.41666666667,98.685,352.441713524854,262.323806065787,172.946795354727,0,1,1,1,117.495,338.092650340166,260.724485860805,169.7067756627,0.5,1,1,1,56.68,317.730851127761,258.377130451276,164.995010770727,0.25,1,1,1,35.5575,282.003577881803,253.222088205939,156.231213476571,0,1,1,1,1288.84879651563,31,105,31,213,21.9841908056412,1160.83778911635,74,0
"10103452",2010,37.375,4.6875,1.5625,1,0,1,-10.0370998382568,33.4541015625,0.546250002575106,10.3406251072884,50.7674994468689,0.625,0,0.9375,0,0,11.5625,47,0.1875,0.9375,0.125,0.125,0.0625,0.0625,0,0.625,0,0.3125,0,0,2010.88020833333,13.4470833333333,44.585,41.35125,16.7170218036821,0.334375,0.334375,0.55625,1,18.921875,20.34375,18.375,18.2695979411499,0.36875,0.54375,0.771875,1,20.8734183421504,94.2040625,38.1875,50.2858333333333,0.890625,0.1125,0.446875,0.334375,31.77625,205.8471875,137.40734375,119.794375,0.3375,0.3375,0.3375,0.3375,1236.94461223639,37,99,36,213,21.3952828743089,1127.99811366612,50,0
"10103681",2011,35.96875,4.5625,0.625,1,0,1,-10.2009000778198,33.5987014770508,0.456874997355044,11.3087499141693,50.0918748378754,25.3125,0,1,0,0,3,43.375,0.25,0.9375,0.125,0.125,0.125,0.125,0,0.4375,0,0.3125,0,0,2011.16666666667,18.5,22,18.5,16.2837065707926,0.5,0.75,0.5,1,21.4833333333333,12,13,16.2039261539602,0.25,0.25,0.5,1,17.5,17.5,14,17.7994255687434,0.5,0.5,0.75,1,32.9866666666667,169.646666666667,69.22,48.5,0.4,0.4,0.4,0.4,1029.86919354577,53,101,52,213,20.8802710018248,1090.40569960296,67,0
