ea_id,lat_modified,lon_modified,FS_year,dist_road,dist_admarc,dist_popcenter,percent_ag,FS_month,rural,lag1_clust_maize_price,lag1_lhz_maize_price,lag1_lhz_nuts_price,lag3_lhz_maize_price,lag6_clust_maize_price,lag6_clust_nuts_price,lag6_clust_beans_price,lag6_lhz_nuts_price,lag12_clust_maize_price,lag12_clust_rice_price,lag12_clust_nuts_price,lag12_clust_beans_price,lag12_lhz_maize_price,lag12_lhz_rice_price,lag12_lhz_nuts_price,maxdaysnorain,lhz_day1rain,gdd,tmean,lhz_maxdaysnorain
10101016,-9.809980392,33.38729858,2010,2.656875004,12.01624984,62.40687466,20.875,4,1,44.2825,51.14409439,233.9302457,45.46983842,32.73,223.7125,180.3675,146.1103757,40.06,170.89,184.5866667,211.66,37.45452993,181.9363487,202.0272037,97,36,213,21.39528287,50
10101016,-9.80998,33.3873,2013,2.25,12.6875,62.5625,23.25,4,1,117.495,145.3470048,237.3060579,107.4753481,46.795,256.7822495,161.965309,192.4416008,36.3675,271.7680589,251.1017352,153.5527114,39.45985509,286.4951478,149.5456558,110,31,213,21.98419081,74
10101204,-9.894980431,33.38100052,2010,0.513750011,10.82187504,58.4668746,48.6875,8,1,31.591,30.08267579,92.39933256,26.01723899,42.10625,186.475,164.1775,203.5143548,30.19,175.43875,181.71875,154.91875,30.45387462,154.7136198,153.8203573,99,36.5,213,21.89767722,52
10101204,-9.973676824,33.41127806,2013,0.529411765,11.41176471,56.52941176,45.76470588,5.058823529,0.941176471,119.627402,96.70653508,244.450007,90.32447206,45.15,348.3816893,308.5740113,193.1365668,34.09,293.4635163,309.8087661,264.9830534,36.63726865,240.9497676,140.7567861,115,41,213,21.93052607,73
10101215,-9.504460335,33.23020172,2010,9.275333405,4.241333395,91.71266699,34.9333334,5,1,43.05714286,41.40848857,174.7543299,54.5041017,44.375,181.8175,177.8958333,173.675088,29.725,191.2309091,203.0508333,182.653,27.92686573,159.4937119,196.5584366,99,38.25,213,23.35632954,64
10101215,-9.542486353,33.27317218,2013,8,4.294117647,86.05882353,36.11764706,5.235294118,0.882352941,89.58819966,96.93114608,302.54309,84.29517177,51.10623305,242.7637881,287.3466092,253.9494479,35.622,197.7328458,213.5261805,267.2158941,35.87007804,212.3022161,204.1190983,106,36,213,22.85302349,79.5
10101215,-9.656097111,33.34935528,2016,7.166666667,4.388888889,78,40.33333333,5.222222222,0.888888889,180.078557,136.8318676,531.5584086,134.3482854,93.8234992,383.4017353,318.1888479,475.0398434,98.59511333,425.1466092,387.5725802,315.1124776,83.7476356,423.3573891,495.7403668,97,31.75,214,25.53321038,66.5
10101219,-9.594610214,33.40409851,2011,12.39437509,12.875,70.0956254,44.6875,2,1,25.6325,35.68729359,149.0834472,30.57153184,18.262,132.315,100.105,174.7652867,37.86,177.615,174.1675,152.2975,53.16462057,180.011976,203.5143548,101,52,213,20.880271,67
10101355,-9.73456955,33.40719986,2011,0.78124999,5.939999998,63.12687445,47.3125,1,1,17.44333333,32.64680703,189.1999694,30.27872349,15.6525,111.9125,82.505,92.39933256,29.9325,174.9075,172.2025,146.2425,45.46983842,167.3044879,177.3696881,102,52,213,20.880271,67
10101374,-9.58701992,33.2181015,2010,1.185625002,5.985624999,88.64874935,36,10,1,36.91666667,33.79253355,171.0853507,28.77387092,45.87,235.665,183.6,168.4430515,32.73,225.415,223.7125,180.3675,34.92916524,142.0735446,146.1103757,100,36,213,21.39528287,50
10101470,-9.66271019,33.25239944,2010,0.776874987,13.58499992,82.33249998,54.3125,6,1,36.33666667,26.01723899,158.7128439,51.14409439,34.35,223.835,182.575,161.8907427,28.312,225.488,231.624,176.932,29.11809752,110.0623833,148.2348201,97,36,213,21.39528287,50
10101562,-9.667920113,33.39369965,2010,4.724374995,5.20812504,69.41562462,34.0625,10,1,33.47727273,30.85333,135.9131658,25.15434099,33.4125,152.125,183.3,190.9006392,32.422,142.8781818,107.035,145.647,31.42924361,143.9363396,160.2475277,90,38.5,213,23.16650292,81.75
10101562,-10.04536718,33.42705695,2013,4.045454545,4.545454545,66.54545455,36.13636364,7.227272727,0.909090909,72.04020276,74.44980682,301.7256722,92.4667986,71.27035676,193.7922207,126.0576602,283.7192332,41.91976224,182.5985718,212.9185223,130.1401347,37.68859686,183.3523222,258.5603728,101,44.5,213,22.72516266,91.75
10101568,-9.737709999,33.26079941,2010,3.228124991,11.28187501,78.17624998,46.8125,11,1,38.0125,30.27872349,171.7224282,30.73037878,36.33666667,218.1025,155.26,158.7128439,33.4875,224.7075,223.6975,182.065,38.71639333,158.0011265,181.9610197,98,36,213,21.39528287,50
10101706,-9.536459923,33.38660049,2010,13.34437495,14.13562506,78.8324995,13.5,11,1,21.4275,30.27872349,171.7224282,30.73037878,21.28333333,165.48,104.3766667,158.7128439,27.6225,148.705,154.4575,97.9675,38.71639333,158.0011265,181.9610197,103,36,213,21.39528287,50
10102004,-9.74822998,33.50350189,2010,10.99437505,7.033749998,48.9556253,10.375,5,1,41.13,41.09119078,180.6851991,48.00498106,37.10666667,185.8258333,152.7558333,181.414157,27.79666667,172.9972727,192.965,148.732,27.94030913,179.7070859,185.8999727,84,38,213,22.78038324,68.33333333
