"ea_id","FS_year","FNID","FCS","HDDS","rCSI","region_north","region_central","rural","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","FS_month","head_age","female_head","hhsize","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","asset_index","yearmon","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","heatdays","floodmax","lhz_floodmax"
"20110620",2013,"MW2012C3020803",55.8,5.55,3.15,0.05,0.95,0.95,-12.92455145,33.4399289,6.5,9.85,21.35,32.6,0.9,0.05,0,0,6.55,43.55,0.25,4.95,0.75,0.5,0.5,0.25,0.25,-0.47584584537906,Jun 2013,735.011215869794,31,127,51,213,23.4936749668748,968.722753791177,81,0,800.39100524272,0
"20111107",2011,"MW2012C3020103",33.53125,4.5,2.8125,0,1,1,-13.5244998931885,33.3306007385254,32.3368752002716,12.3699999451637,56.5318748950958,3.5,0,1,0,0,2.5,46.6875,0.25,5.3125,0.9375,0.0625,0.0625,0.0625,0.0625,-0.39146228593403,Feb 2011,936.189315746071,49,116,51,213,23.4171775799962,910.38127794203,78,0,1114.68390303927,0
"20111530",2011,"MW2012C3020103",59,5.1875,2.0625,0,1,1,-13.4696998596191,33.2495002746582,38.1843752861023,17.447499871254,55.2456252574921,29.5625,0,1,0,0,1,38.25,0.125,5.4375,1,0.4375,0.5625,0,0,-0.404077483141508,Jan 2011,950.558347892499,51,123,51,213,23.4171775799962,910.38127794203,78,0,1116.63224321837,0
"20111718",2010,"MW2012C3010503",49.59375,5.75,0.25,0,1,1,-13.3487997055054,33.4403991699219,13.6200000047684,9.22625005245209,36.6237502098083,14.6875,0,1,0,0,8,41.1875,0.125,5.75,0.9375,0.625,1,0.0625,0.0625,-0.0565434984111719,Aug 2010,1110.40680214182,53,121,36,213,23.1349593901298,1266.38566350395,85,0,916.015760106704,0
"20111718",2010,"MW2012C3010508",49.59375,5.75,0.25,0,1,1,-13.3487997055054,33.4403991699219,13.6200000047684,9.22625005245209,36.6237502098083,14.6875,0,1,0,0,8,41.1875,0.125,5.75,0.9375,0.625,1,0.0625,0.0625,-0.0565434984111719,Aug 2010,1110.40680214182,53,121,37,213,22.4000715730336,1134.10969596811,54,0,916.015760106704,0
"20111718",2010,"MW2012C3020103",49.59375,5.75,0.25,0,1,1,-13.3487997055054,33.4403991699219,13.6200000047684,9.22625005245209,36.6237502098083,14.6875,0,1,0,0,8,41.1875,0.125,5.75,0.9375,0.625,1,0.0625,0.0625,-0.0565434984111719,Aug 2010,1110.40680214182,53,121,40,213,24.2140398732933,1121.61390383934,64,0,916.015760106704,0
"20111718",2010,"MW2012C3020403",49.59375,5.75,0.25,0,1,1,-13.3487997055054,33.4403991699219,13.6200000047684,9.22625005245209,36.6237502098083,14.6875,0,1,0,0,8,41.1875,0.125,5.75,0.9375,0.625,1,0.0625,0.0625,-0.0565434984111719,Aug 2010,1110.40680214182,53,121,40,213,24.312189413199,1053.04186703822,84,0,916.015760106704,0
"20111718",2010,"MW2012C3020603",49.59375,5.75,0.25,0,1,1,-13.3487997055054,33.4403991699219,13.6200000047684,9.22625005245209,36.6237502098083,14.6875,0,1,0,0,8,41.1875,0.125,5.75,0.9375,0.625,1,0.0625,0.0625,-0.0565434984111719,Aug 2010,1110.40680214182,53,121,40,213,24.1733687112776,1123.61993635997,60,0,916.015760106704,0
"20111718",2010,"MW2012C3020703",49.59375,5.75,0.25,0,1,1,-13.3487997055054,33.4403991699219,13.6200000047684,9.22625005245209,36.6237502098083,14.6875,0,1,0,0,8,41.1875,0.125,5.75,0.9375,0.625,1,0.0625,0.0625,-0.0565434984111719,Aug 2010,1110.40680214182,53,121,39,213,24.4941634272186,1303.67586684568,71,0,916.015760106704,0
"20111718",2010,"MW2012C3031206",49.59375,5.75,0.25,0,1,1,-13.3487997055054,33.4403991699219,13.6200000047684,9.22625005245209,36.6237502098083,14.6875,0,1,0,0,8,41.1875,0.125,5.75,0.9375,0.625,1,0.0625,0.0625,-0.0565434984111719,Aug 2010,1110.40680214182,53,121,58,211,26.7212637816237,795.989724716119,108,2,916.015760106704,745.627582877023
