FS_year,ea_id,FCS,HDDS,rCSI,region_north,region_central,rural,dist_road,dist_admarc,dist_popcenter,percent_ag,nutri_severe_constraint,nutri_moderate_constraint,nutri_reten_severe_constraint,dummy_terrain_rough,FS_month,head_age,female_head,floor_dirt_sand_dung,cell_phone,number_celphones,roof_not_natural,roof_iron,Refrigerator,Radio,Television,Bicycle,Motorcycle,Car,yearmon,lag1_clust_maize_price,lag1_clust_rice_price,lag1_clust_nuts_price,lag1_clust_beans_price,lag1_clust_maize_mktthin,lag1_clust_rice_mktthin,lag1_clust_nuts_mktthin,lag1_clust_beans_mktthin,lag3_clust_maize_price,lag3_clust_rice_price,lag3_clust_nuts_price,lag3_clust_beans_price,lag3_clust_maize_mktthin,lag3_clust_rice_mktthin,lag3_clust_nuts_mktthin,lag3_clust_beans_mktthin,lag6_clust_maize_price,lag6_clust_rice_price,lag6_clust_nuts_price,lag6_clust_beans_price,lag6_clust_maize_mktthin,lag6_clust_rice_mktthin,lag6_clust_nuts_mktthin,lag6_clust_beans_mktthin,lag12_clust_maize_price,lag12_clust_rice_price,lag12_clust_nuts_price,lag12_clust_beans_price,lag12_clust_maize_mktthin,lag12_clust_rice_mktthin,lag12_clust_nuts_mktthin,lag12_clust_beans_mktthin,cropyear,raincytot,day1rain,maxdaysnorain,lhz_day1rain,gdd,tmean,lhz_raincytot,lhz_maxdaysnorain,heatdays,FCS_3_category,FCS_binary_safe,FCS_binary_bad,FCS_20_bad,FCS_mid+low,FCS_low_percent,rCSI_3_category,rCSI_binary_safe,rCSI_binary_bad,rCSI_20_bad,rCSI_mid+low,rCSI_low_percent
2010,10103414,41.15625,5.1875,4.625,1.0,0.0,1.0,1.097499989904464,3.384375005960466,59.841874837875366,0.0,0.0,1.0,0.0,0.0,9.0,44.75,0.1875,0.8125,0.25,0.375,0.1875,0.1875,0.0,0.5,0.0625,0.625,0.0,0.0,2010.6666666666706,31.040000000000006,220.55000000000007,203.61499999999995,141.105,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.5999999999999999,32.39999999999999,223.59599999999998,209.5300000000001,144.48,0.8000000000000002,0.0,0.0,0.0,44.28250000000001,247.27599999999993,235.42599999999996,187.41199999999995,0.20000000000000004,0.0,0.0,0.0,31.692000000000004,223.97600000000008,224.34599999999998,179.38999999999993,0.0,0.0,0.0,0.0,2009.0,1269.6035628367304,38.0,96.0,36.0,213.0,21.3952828743089,1127.9981136661195,50.0,0.0,1,1,0,0,0.625,0.1875,1,1,0,0,0.25,0.1875
2010,10103452,37.375,4.6875,1.5625,1.0,0.0,1.0,0.5462500025751063,10.340625107288359,50.76749944686891,0.625,0.0,0.9375,0.0,0.0,11.5625,47.0,0.1875,0.9375,0.125,0.125,0.0625,0.0625,0.0,0.625,0.0,0.3125,0.0,0.0,2010.8802083333335,13.447083333333321,44.58499999999999,41.35124999999999,16.71702180368209,0.33437500000000003,0.33437500000000003,0.5562499999999999,1.0,18.921875,20.34375,18.375,18.269597941149872,0.36875,0.5437499999999998,0.7718750000000001,1.0,20.873418342150394,94.20406250000002,38.1875,50.28583333333332,0.890625,0.11249999999999999,0.4468749999999999,0.33437500000000003,31.776250000000005,205.84718750000002,137.40734374999997,119.79437500000002,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997,2009.0,1236.9446122363902,37.0,99.0,36.0,213.0,21.3952828743089,1127.9981136661195,50.0,0.0,1,1,0,1,0.625,0.4375,0,0,0,0,0.125,0.0
2010,10104150,32.46875,4.3125,4.125,1.0,0.0,1.0,11.714999973773956,2.7293750047683716,39.66000032424927,22.25,0.0,0.0,0.0,0.0,7.0,39.875,0.125,0.875,0.0,0.0,0.1875,0.1875,0.0,0.375,0.0,0.125,0.0,0.0,2010.5,17.414965941600705,72.5675,25.5,22.0,1.0,0.20000000000000004,0.5999999999999999,0.4000000000000001,42.96,113.14000000000004,16.5,58.98000000000001,0.75,0.5,0.5,0.5,25.180000000000003,116.34750000000003,120.625,106.64000000000004,0.0,0.0,0.0,0.0,28.61000000000001,153.5425,119.81500000000004,75.42,0.25,0.0,0.0,0.0,2009.0,1089.14613312797,35.0,96.0,36.0,213.0,21.3952828743089,1127.9981136661195,50.0,0.0,1,1,0,1,0.875,0.5,1,1,0,0,0.25,0.0625
2010,10104351,34.34375,4.8125,1.5,1.0,0.0,1.0,1.8068749934900552,8.046250015497208,51.29625058174133,43.6875,0.0,1.0,0.0,0.0,12.0,42.125,0.125,0.875,0.0625,0.0625,0.25,0.25,0.0,0.3125,0.0,0.375,0.0,0.0,2010.9166666666706,11.0,21.333333333333307,17.0,16.4875287592827,0.4000000000000001,0.4000000000000001,0.5999999999999999,1.0,17.5,17.5,14.0,17.7994255687434,0.5,0.5,0.75,1.0,17.414965941600705,72.5675,25.5,22.0,1.0,0.20000000000000004,0.5999999999999999,0.4000000000000001,32.834999999999994,205.04,135.55999999999997,121.96000000000002,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999,2009.0,1010.8303964890097,35.0,99.0,36.0,213.0,21.3952828743089,1127.9981136661195,50.0,0.0,1,1,0,1,0.8125,0.4375,0,0,0,0,0.125,0.0
2010,10104440,39.59375,5.25,1.9375,1.0,0.0,1.0,1.7168749822303655,2.7275000140070924,56.93125009536743,19.6875,0.0,1.0,0.0,0.0,7.0,38.875,0.125,0.875,0.0,0.0,0.1875,0.1875,0.0,0.6875,0.0625,0.375,0.0,0.0,2010.5,17.414965941600705,72.5675,25.5,22.0,1.0,0.20000000000000004,0.5999999999999999,0.4000000000000001,42.96,113.14000000000004,16.5,58.98000000000001,0.75,0.5,0.5,0.5,25.180000000000003,116.34750000000003,120.625,106.64000000000004,0.0,0.0,0.0,0.0,28.61000000000001,153.5425,119.81500000000004,75.42,0.25,0.0,0.0,0.0,2009.0,1119.8245810644498,36.0,103.0,36.0,213.0,21.3952828743089,1127.9981136661195,50.0,0.0,1,1,0,0,0.75,0.0625,0,0,0,0,0.1875,0.0
2010,10105352,39.84375,5.0625,0.3125,1.0,0.0,1.0,4.290625020861627,5.127499997615815,101.23812437057497,20.0625,0.0,0.0,0.0,0.0,11.0,46.75,0.375,0.9375,0.125,0.125,0.25,0.25,0.0,0.375,0.0,0.625,0.0,0.0,2010.8333333333294,38.0125,219.0949999999999,203.03000000000006,140.29642866905195,0.0,0.0,0.0,1.0,31.040000000000006,220.55000000000007,203.61499999999995,141.105,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.5999999999999999,36.3366666666667,204.07999999999996,218.1025,155.26,0.25,0.0,0.0,0.0,33.487500000000004,224.7075,223.69750000000005,182.06500000000003,0.0,0.0,0.0,0.0,2009.0,1060.3636029982995,37.0,107.0,36.0,213.0,21.3952828743089,1127.9981136661195,50.0,0.0,1,1,0,0,0.6875,0.0625,0,0,0,0,0.0,0.0
2010,10105513,32.625,4.1875,6.0,1.0,0.0,1.0,1.3956249998882415,5.176875025033951,101.5399994850159,52.625,0.0,0.375,0.0,0.0,3.4375,41.625,0.25,1.0,0.0625,0.125,0.125,0.125,0.0,0.3125,0.0,0.375,0.0,0.0,2010.2031250000025,43.41343749999999,242.06106250000005,231.59481249999988,187.61900000000006,0.0875,0.0,0.0,0.0,37.30312500000001,225.46770833333315,224.16421875000003,183.36031249999996,0.4468749999999999,0.4468749999999999,0.33749999999999997,0.33749999999999997,32.146125,224.60556250000005,224.06884375,179.81765624999994,0.0,0.0,0.0,0.0,42.39099999999999,210.99203124999994,229.77697916666688,222.63437500000003,0.109375,0.22187500000000007,0.22187500000000007,0.3312500000000001,2009.0,1072.4355046787698,37.0,98.0,36.0,213.0,21.3952828743089,1127.9981136661195,50.0,0.0,1,1,0,1,0.875,0.375,1,1,0,0,0.4375,0.0
2010,10120288,46.75,5.75,2.5,1.0,0.0,0.0,0.8550000023096799,9.226875066757202,78.01749992370605,28.1875,0.0,1.0,0.0,0.0,9.0,43.875,0.25,0.1875,0.875,1.3125,0.9375,0.9375,0.125,0.8125,0.25,0.5,0.0,0.0,2010.6666666666706,31.040000000000006,220.55000000000007,203.61499999999995,141.105,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.5999999999999999,32.39999999999999,223.59599999999998,209.5300000000001,144.48,0.8000000000000002,0.0,0.0,0.0,44.28250000000001,247.27599999999993,235.42599999999996,187.41199999999995,0.20000000000000004,0.0,0.0,0.0,31.692000000000004,223.97600000000008,224.34599999999998,179.38999999999993,0.0,0.0,0.0,0.0,2009.0,971.6066193653113,38.0,94.0,36.0,213.0,21.3952828743089,1127.9981136661195,50.0,0.0,0,0,0,0,0.375,0.125,0,0,0,0,0.125,0.0625
2010,10201137,35.21875,5.1875,2.0625,1.0,0.0,1.0,0.7056250032037498,3.6293749958276744,19.061875104904175,56.625,0.0,0.0,0.0,0.0,5.8125,43.625,0.4375,0.9375,0.25,0.375,0.125,0.125,0.0,0.3125,0.0,0.4375,0.0,0.0,2010.4010416666688,30.09052083333331,117.62468749999992,160.6424999999999,154.6629687499999,0.296875,0.046875,0.046875,0.046875,66.20109375,218.00615624999998,267.46893750000004,194.5475,0.1625,0.0,0.0,0.1625,44.8759375,147.89640624999998,157.51296875,185.44593750000007,0.4874999999999999,0.4874999999999999,0.4874999999999999,0.4874999999999999,33.56865625,110.93975000000012,204.90071875000007,133.76174999999998,0.0,0.046875,0.0,0.09375,2009.0,1267.7350004101304,40.0,84.0,40.0,213.0,25.185075414236795,1185.7499876475301,75.0,0.0,1,1,0,0,0.875,0.0625,0,0,0,0,0.125,0.0
2010,10201247,35.375,5.1875,2.375,1.0,0.0,1.0,5.293125048279763,2.611874975264072,20.703124880790703,63.9375,0.0,0.0,0.0,0.0,10.0,42.0,0.3125,0.9375,0.0625,0.125,0.375,0.25,0.0,0.3125,0.0,0.3125,0.0,0.0,2010.75,41.266666666666694,140.333333333333,189.283333333333,203.21610757025505,0.25,0.25,0.25,1.0,33.27499999999999,20.0,27.0,27.0,1.0,0.75,0.75,0.75,44.205000000000005,191.07333333333295,191.333333333333,165.95333333333298,0.5,0.25,0.25,0.25,40.8975,147.6475,154.445,149.825,0.0,0.0,0.0,0.0,2009.0,1115.4383231118902,40.0,89.0,40.0,213.0,25.185075414236795,1185.7499876475301,75.0,0.0,1,1,0,1,0.8125,0.25,0,0,0,0,0.125,0.0625
