ea_id,lat_modified,lon_modified,FS_year,FCS,HDDS,rCSI,FCS_mid_percent,FCS_low_percent,FCS_mid+low,FCS_3_category,FCS_binary_category,rCSI_mid_count,rCSI_mid_percent,rCSI_low_percent,rCSI_mid+low,rCSI_3_category,rCSI_binary_category
10101016,-9.80998,33.3873,2013,41.5,4.6875,11.625,0.375,0.25,0.625,1,1,3,0.188,0.375,0.563,1,1
10101204,-9.894980431,33.38100052,2010,35.21875,4.9375,2.6875,0.625,0.125,0.75,1,1,2,0.125,0.062,0.187,0,0
10101215,-9.504460335,33.23020172,2010,41.84375,5.0625,2.4375,0.188,0.312,0.5,1,1,1,0.062,0.062,0.124,0,0
10101215,-9.542486353,33.27317218,2013,40.91176471,4.941176471,3.705882353,0.529,0.118,0.647,1,1,1,0.059,0.118,0.177,0,0
10101215,-9.656097111,33.34935528,2016,39.88888889,4.166666667,5.5,0.667,0.056,0.723,1,1,7,0.389,0.056,0.445,1,1
10101562,-10.04536718,33.42705695,2013,52.11363636,5.727272727,5.318181818,0.227,0.091,0.318,0,0,2,0.091,0.136,0.227,1,1
10102004,-9.772829516,33.5258581,2013,39.6875,4.5625,5,0.5,0.062,0.562,1,1,6,0.375,0.062,0.437,1,1
10103414,-9.971599579,33.37390137,2010,41.15625,5.1875,4.625,0.438,0.188,0.626,1,1,1,0.062,0.188,0.25,1,1
10103414,-9.9716,33.3739,2013,48.125,5.625,2.8125,0.188,0.188,0.376,0,0,3,0.188,0.062,0.25,0,0
10103414,-9.964725091,33.37890541,2016,40.97727273,4,7.590909091,0.5,0.182,0.682,1,1,5,0.227,0.182,0.409,1,1
10104150,-10.19880009,33.66350174,2010,32.46875,4.3125,3.5,0.375,0.5,0.875,1,1,2,0.125,0.062,0.187,0,0
10120288,-9.690130234,33.28990173,2010,46.75,5.75,2.5,0.25,0.125,0.375,0,0,1,0.062,0.062,0.124,0,0
10201247,-9.795639992,33.84550095,2010,35.375,5.1875,2.375,0.562,0.25,0.812,1,1,1,0.062,0.062,0.124,0,0
10201442,-9.712300301,33.92710114,2010,39.40625,4.9375,3.625,0.25,0.312,0.562,1,1,3,0.188,0.062,0.25,0,0
10202514,-9.681460381,33.84980011,2010,39.21875,5.25,4.3125,0.312,0.375,0.687,1,1,5,0.312,0.062,0.374,1,1
10202514,-9.693222706,33.85039871,2013,44.58823529,5.235294118,5.352941176,0.471,0.176,0.647,0,0,1,0.059,0.176,0.235,1,1
10203085,-9.913599968,33.91740036,2010,46.75,5.5625,4.25,0.25,0.188,0.438,0,0,4,0.25,0.062,0.312,1,1
10203176,-9.873049736,33.62060165,2010,36.5,5.0625,2.375,0.5,0.312,0.812,1,1,1,0.062,0.062,0.124,0,0
10203221,-9.939240456,33.8608017,2011,37.59375,4.75,3.75,0.188,0.438,0.626,1,1,1,0.062,0.125,0.187,0,0
10203623,-10.17000008,33.80339813,2010,34.96875,4.5,2.6875,0.188,0.562,0.75,1,1,1,0.062,0.062,0.124,0,0
10204322,-10.44620037,34.11930084,2010,37.09375,4.875,3.8125,0.625,0.188,0.813,1,1,1,0.062,0.125,0.187,0,0
10205202,-10.25629997,34.11909866,2010,33.65625,4.8125,14.625,0.688,0.125,0.813,1,1,4,0.25,0.438,0.688,1,1
10220103,-9.987059955,33.93145577,2013,42.90909091,5.681818182,3,0.409,0.045,0.454,0,0,4,0.182,0.045,0.227,0,0
10220103,-9.993090966,33.93427772,2016,48.13793103,4.344827586,4.24137931,0.276,0.069,0.345,0,0,9,0.31,0.034,0.344,1,1
10302010,-11.96806781,34.0722725,2013,38.59375,5.5625,4.875,0.625,0.125,0.75,1,1,4,0.25,0.062,0.312,1,1
10302010,-11.96682978,34.07365043,2016,38.02173913,4.043478261,7.391304348,0.261,0.261,0.522,1,1,13,0.565,0.043,0.608,1,1
10304012,-12.16193588,34.09685556,2013,47.72,5.72,4.04,0.24,0.16,0.4,0,0,4,0.16,0.08,0.24,1,1
10305446,-12.25981244,34.06937078,2013,44.22222222,5.277777778,4.555555556,0.444,0.111,0.555,0,0,6,0.333,0.056,0.389,1,1
10307413,-11.76430035,34.19540024,2010,59.4375,5.625,4.6875,0.125,0.062,0.187,0,0,3,0.188,0.125,0.313,1,1
10307413,-11.86880721,34.17999816,2013,42.65789474,5.526315789,6.789473684,0.368,0.158,0.526,0,0,5,0.263,0.158,0.421,1,1
10310469,-11.38230038,34.05509949,2010,62.5,6,4,0.188,0.062,0.25,0,0,2,0.125,0.125,0.25,0,0
10312048,-11.53349972,34.12810135,2010,61.375,5.9375,3.5625,0.188,0.062,0.25,0,0,1,0.062,0.125,0.187,0,0
10312600,-11.6218996,34.17699814,2010,43.09375,4.6875,9.9375,0.438,0.25,0.688,0,0,7,0.438,0.188,0.626,1,1
10401424,-11.01640034,33.73540115,2010,51.65625,5.5,3.5625,0.188,0.125,0.313,0,0,3,0.188,0.062,0.25,0,0
10401502,-10.9368,33.91239929,2010,35.25,4.4375,5.375,0.562,0.25,0.812,1,1,3,0.188,0.125,0.313,1,1
10401522,-11.70708632,33.97582984,2013,43.13157895,5.210526316,4.210526316,0.421,0.105,0.526,0,0,6,0.316,0.053,0.369,1,1
10408441,-10.80360031,33.54249954,2010,51.5,5.8125,6.6875,0.25,0.062,0.312,0,0,3,0.188,0.188,0.376,1,1
10501055,-11.94149971,33.45809937,2011,28.46875,4.25,6.4375,0.312,0.625,0.937,1,1,2,0.125,0.188,0.313,1,1
10501505,-12.21119976,33.32709885,2010,41.0625,5.125,3,0.5,0.125,0.625,1,1,2,0.125,0.062,0.187,0,0
10502439,-11.53450012,33.67110062,2010,44,5.0625,3.3125,0.562,0.062,0.624,0,0,2,0.125,0.062,0.187,0,0
10502593,-11.3927002,33.6487999,2010,40.65625,4.875,5.625,0.688,0.062,0.75,1,1,4,0.25,0.125,0.375,1,1
10503367,-11.87040043,33.67910004,2010,37.125,5.1875,6.625,0.688,0.062,0.75,1,1,3,0.188,0.188,0.376,1,1
10505231,-11.44419956,33.41049957,2010,46.84375,5.625,4.8125,0.312,0.125,0.437,0,0,1,0.062,0.125,0.187,1,1
