"ea_id","FS_year","FNID","FCS","HDDS","rural","FS_month","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","asset_index","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
"1020006",2010,"UG2011L140",63.25,6.25,0,3,0,0,0,0.371428996324539,32.5650634765625,0.8375,4.53,2,0,1,0,0,49.5,0.25,-1.26399077554146,1,4.25,0.25,1,1,663,1,1,0,965.366114122156,1,1,0,468.580578155683,3,7,3,123,24.6040531313516,418.717351084538,6,0,0
"1020006",2011,"UG2011L140",63.25,6.25,0,3,0,0,0,0.371428996324539,32.5650596618652,0.810775,4.51905,2,0,1,0,0,49.5,0,1.93244548184707,1,3,0.25,1,1,500,1,1,0,747.284996510649,1,1,0,1820.71381910796,3,43,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020007",2010,"UG2011L140",55.1666666666667,5.83333333333333,0,6.5,0,0,0,0.36514088511467,32.5970153808594,2.49861666666667,5.2121,22.8333333333333,0,1,0,0,37.5,0,-1.19493884837141,1,2.16666666666667,0,1,1,648.16665,1,1,0,885.705181184467,1,1,0,468.584993073566,3,11,3,123,24.6040531313516,418.717351084538,6,0,0
"1020007",2011,"UG2011L140",54.5,6,0,4.25,0,0,0,0.36514076590538,32.5970153808594,2.16325,5.3665,35,0,1,0,0,39.5,0,2.07144408668099,1,2.75,0,1,1,662.5,0.5,0.5,0,922.927176025752,0.510273323176332,0.5,0,1701.10121394462,3,54,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020008",2010,"UG2011L132",40.5,6,0,11,0,0,0,0.356909781694412,32.5883522033691,0.719433333333333,3.7581,0,0,1,0,0,37.3333333333333,0,-0.235847849579377,1,1.33333333333333,0.666666666666667,1,0.666666666666667,500,1,1,0,592.875843799956,1,1,0,474.151376176992,3,8,15,123,26.0528393629121,482.608266342805,28,0,0
"1020008",2010,"UG2011L140",40.5,6,0,11,0,0,0,0.356909781694412,32.5883522033691,0.719433333333333,3.7581,0,0,1,0,0,37.3333333333333,0,-0.235847849579377,1,1.33333333333333,0.666666666666667,1,0.666666666666667,500,1,1,0,592.875843799956,1,1,0,474.151376176992,3,8,3,123,24.6040531313516,418.717351084538,6,0,0
"1020008",2011,"UG2011L132",56,6,0,5.5,0.5,0,0,0.570968315005302,32.9566287994384,10.30505,14.1148,31,0,1,0,0,43.5,0,0.880539545463753,1,1,0.5,1,1,896.875,0,0,0,1015.18225175692,0.0102733231763317,0.0112347839224069,0,1788.09660523049,3,39,5,488,24.473701981508,1887.20527250635,92,0,0
"1020008",2011,"UG2011L140",56,6,0,5.5,0.5,0,0,0.570968315005302,32.9566287994384,10.30505,14.1148,31,0,1,0,0,43.5,0,0.880539545463753,1,1,0.5,1,1,896.875,0,0,0,1015.18225175692,0.0102733231763317,0.0112347839224069,0,1788.09660523049,3,39,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020009",2010,"UG2011L140",29,6,0,4,0,0,0,0.362533986568451,32.5747261047363,0.01,2.99,0,0,1,0,0,35,0,-0.461890537259339,1,2,0,1,1,662.5,1,1,0,922.565909941346,1,1,0,463.322731905022,3,7,3,123,24.6040531313516,418.717351084538,6,0,0
"1020009",2011,"UG2011L140",51,6,0,5,0,0,0,0.362534463405609,32.5747261047363,0.1904,2.98726666666667,0,0,1,0,0,44.6666666666667,0,1.15958820685298,1,2.33333333333333,0,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1778.17163710017,3,45,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020010",2010,"UG2011L140",33,5,0,6,0,0,0,0.345997989177704,32.5832252502441,0.31,2.46,0,0,1,0,0,51,0.5,-0.139908358082195,1,1.5,0,1,1,550,1,1,0,854.825100055863,1,1,0,447.059608432636,12,6,3,123,24.6040531313516,418.717351084538,6,0,0
"1020010",2011,"UG2011L140",33.5,5.25,0,4.5,0,0,0,0.345997929573059,32.5832252502441,0.286975,3.201225,0.5,0,1,0,0,43,0,0.116938455738065,1,1.5,0.25,1,1,950,0.5,0.5,0,1066.34633014414,0.5,0.5,0.107439608235359,1811.60225498113,3,40,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020011",2011,"UG2011L137",59.2,6.2,0,5.8,0,0,0,0.279154181480408,32.6169441223144,3.10938,6.81658,45.6,0.8,0,0,0,38.4,0,2.25078220946931,1,3.2,0,1,1,776.6,0.6,0.6,0,888.058396852394,0.6,0.6,0,1845.71777928919,3,40,3,488,23.8815233824683,1740.35664255716,35,0,0
"1020011",2011,"UG2011L140",59.2,6.2,0,5.8,0,0,0,0.279154181480408,32.6169441223144,3.10938,6.81658,45.6,0.8,0,0,0,38.4,0,2.25078220946931,1,3.2,0,1,1,776.6,0.6,0.6,0,888.058396852394,0.6,0.6,0,1845.71777928919,3,40,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020012",2010,"UG2011L140",60.6,5.4,0,2,0,0,0,0.312797009944916,32.6114730834961,3.43,3.886,10,1,0,0,0,37,0.4,0.476720696852083,0.6,1.6,0.4,1,1,975,1,1,0,1199.45486802827,1,1,0,474.013387017592,3,16,3,123,24.6040531313516,418.717351084538,6,0,0
"1020012",2011,"UG2011L140",62.1666666666667,5.66666666666667,0,4,0,0,0,0.314343169331551,32.5971946716309,3.18881666666667,3.95008333333333,14.8333333333333,0.833333333333333,0.166666666666667,0,0,38.3333333333333,0,0.116938455738064,0.833333333333333,1.66666666666667,0.333333333333333,1,1,650,1,1,0,876.490495528599,1,1,0,1894.09737065835,3,65,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020013",2010,"UG2011L140",38.5,4.5,0,5.64285714285714,0,0,0,0.303221029894692,32.6197471618652,2.92484285714286,3.75180714285714,11.1428571428571,0.928571428571429,0.0714285714285714,0,0,38.9285714285714,0.285714285714286,0.0997403636409007,0.928571428571429,1.78571428571429,0.357142857142857,0.857142857142857,0.857142857142857,652.333321428571,1,1,0,902.35113285512,1,1,0,532.33063253609,3,16,3,123,24.6040531313516,418.717351084538,6,0,0
"1020014",2010,"UG2011L137",55.4,5.4,0,10.4,0,0,0,0.274927857518196,32.5811897277832,1.90576,4.6292,24.8,0,0.8,0,0,47.2,0,0.485599895157022,1,1.8,0,1,1,612.5,1,1,0,718.540859181529,1,1,0,460.891090135809,3,10,3,123,25.4316389874715,413.830520613497,6,0,0
"1020014",2010,"UG2011L140",55.4,5.4,0,10.4,0,0,0,0.274927857518196,32.5811897277832,1.90576,4.6292,24.8,0,0.8,0,0,47.2,0,0.485599895157022,1,1.8,0,1,1,612.5,1,1,0,718.540859181529,1,1,0,460.891090135809,3,10,3,123,24.6040531313516,418.717351084538,6,0,0
