adm0_id,adm0_name,adm1_id,adm1_name,mkt_id,mkt_name,cm_id,cm_name,cur_id,cur_name,pt_id,pt_name,um_id,um_name,mp_month,mp_year,mp_price,mp_commoditysource
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,5,2011,4.86,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,6,2011,4.62,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,7,2011,5.46,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,9,2011,4.8,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,10,2011,5.88,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,11,2011,5.04,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,1,2012,5.46,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,2,2012,5.88,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,3,2012,6.3,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,4,2012,6.3,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,5,2012,6.72,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,6,2012,6.9,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,7,2012,8.19,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,9,2012,6.35,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,10,2012,7.05,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,11,2012,5.19,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,12,2012,6.89,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,2,2013,7.14,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,3,2013,7.14,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,5,2013,7.89,WFP
79,Ethiopia,1237,Tigray,458,Alamata,65,Sorghum,47,ETB,15,Retail,5,KG,6,2013,9.66,WFP
