"FNID","X.x","weights","X.y","X2008.01.01","X2008.01.08","X2008.01.15","X2008.01.22","X2008.01.29","X2008.02.05","X2008.02.12","X2008.02.19","X2008.02.26","X2008.03.04","X2008.03.11","X2008.03.18","X2008.03.25","X2008.04.01","X2008.04.08","X2008.04.15","X2008.04.22","X2008.04.29","X2008.05.06","X2008.05.13","X2008.05.20","X2008.05.27","X2008.06.03","X2008.06.10","X2008.06.17","X2008.06.24","X2008.07.01","X2008.07.08","X2008.07.15","X2008.07.22","X2008.07.29","X2008.08.05","X2008.08.12","X2008.08.19","X2008.08.26","X2008.09.02","X2008.09.09","X2008.09.16","X2008.09.23","X2008.09.30","X2008.10.07","X2008.10.14","X2008.10.21","X2008.10.28","X2008.11.04","X2008.11.11","X2008.11.18","X2008.11.25","X2008.12.02","X2008.12.09","X2008.12.16","X2008.12.23","X2008.12.30","X2009.01.06","X2009.01.13","X2009.01.20","X2009.01.27","X2009.02.03","X2009.02.10","X2009.02.17","X2009.02.24","X2009.03.03","X2009.03.10","X2009.03.17","X2009.03.24","X2009.03.31","X2009.04.07","X2009.04.14","X2009.04.21","X2009.04.28","X2009.05.05","X2009.05.12","X2009.05.19","X2009.05.26","X2009.06.03","X2009.06.10","X2009.06.17","X2009.06.24","X2009.06.30","X2009.07.07","X2009.07.14","X2009.07.21","X2009.07.28","X2009.08.04","X2009.08.11","X2009.08.18","X2009.08.25","X2009.09.01","X2009.09.08","X2009.09.15","X2009.09.22","X2009.09.29","X2009.10.06","X2009.10.13","X2009.10.20","X2009.10.27","X2009.11.03","X2009.11.10","X2009.11.17","X2009.11.24","X2009.12.01","X2009.12.08","X2009.12.15","X2009.12.22","X2009.12.29","X2010.01.05","X2010.01.12","X2010.01.19","X2010.01.26","X2010.02.02","X2010.02.09","X2010.02.16","X2010.02.23","X2010.03.02","X2010.03.09","X2010.03.16","X2010.03.23","X2010.03.30","X2010.04.06","X2010.04.13","X2010.04.20","X2010.04.27","X2010.05.04","X2010.05.11","X2010.05.18","X2010.05.25","X2010.06.01","X2010.06.08","X2010.06.15","X2010.06.22","X2010.06.29","X2010.07.06","X2010.07.13","X2010.07.20","X2010.07.27","X2010.08.03","X2010.08.11","X2010.08.17","X2010.08.24","X2010.08.31","X2010.09.07","X2010.09.14","X2010.09.21","X2010.09.26","X2010.10.05","X2010.10.12","X2010.10.19","X2010.10.26","X2010.11.02","X2010.11.09","X2010.11.16","X2010.11.23","X2010.11.30","X2010.12.07","X2010.12.14","X2010.12.19","X2010.12.28","X2011.01.04","X2011.01.11","X2011.01.18","X2011.01.25","X2011.02.01","X2011.02.08","X2011.02.15","X2011.02.22","X2011.03.01","X2011.03.08","X2011.03.15","X2011.03.22","X2011.03.29","X2011.04.05","X2011.04.12","X2011.04.19","X2011.04.26","X2011.05.03","X2011.05.10","X2011.05.17","X2011.05.24","X2011.05.31","X2011.06.07","X2011.06.14","X2011.06.21","X2011.06.28","X2011.07.05","X2011.07.12","X2011.07.19","X2011.07.26","X2011.08.02","X2011.08.09","X2011.08.16","X2011.08.23","X2011.08.30","X2011.09.06","X2011.09.13","X2011.09.20","X2011.09.27","X2011.10.04","X2011.10.11","X2011.10.18","X2011.10.25","X2011.11.01","X2011.11.08","X2011.11.15","X2011.11.22","X2011.11.29","X2011.12.06","X2011.12.13","X2011.12.20","X2011.12.27","X2012.01.10","X2012.01.17","X2012.01.24","X2012.01.31","X2012.02.07","X2012.02.14","X2012.02.21","X2012.02.28","X2012.03.06","X2012.03.13","X2012.03.20","X2012.03.27","X2012.04.03","X2012.04.10","X2012.04.17","X2012.04.24","X2012.05.01","X2012.05.08","X2012.05.15","X2012.05.22","X2012.05.29","X2012.06.05","X2012.06.12","X2012.06.19","X2012.06.26","X2012.07.03","X2012.07.10","X2012.07.17","X2012.07.24","X2012.07.31","X2012.08.07","X2012.08.14","X2012.08.21","X2012.08.28","X2012.09.04","X2012.09.11","X2012.09.18","X2012.09.25","X2012.10.02","X2012.10.09","X2012.10.16","X2012.10.23","X2012.10.30","X2012.11.05","X2012.11.12","X2012.11.19","X2012.11.26","X2012.12.04","X2012.12.11","X2012.12.18","X2012.12.25","X2014.01.01","X2013.01.08","X2013.01.15","X2013.01.22","X2013.01.29","X2013.02.05","X2013.02.12","X2013.02.19","X2013.02.26","X2013.03.05","X2013.03.12","X2013.03.19","X2013.03.26","X2013.04.02","X2013.04.09","X2013.04.16","X2013.04.23","X2013.04.30","X2013.05.07","X2013.05.14","X2013.05.21","X2013.05.28","X2013.06.04","X2013.06.11","X2013.06.18","X2013.06.25","X2013.07.02","X2013.07.09","X2013.07.16","X2013.07.23","X2013.07.30","X2013.07.31","X2013.08.01","X2013.08.02","X2013.08.03","X2013.09.03","X2013.09.10","X2013.09.17","X2013.09.24","X2013.10.01","X2013.10.08","X2013.10.15","X2013.10.22","X2013.10.29","X2013.11.05","X2013.11.12","X2013.11.19","X2013.11.26","X2013.12.03","X2013.12.10","X2013.12.17","X2013.12.24","X2013.12.31","X2014.01.07","X2014.01.14","X2014.01.21","X2014.01.28","X2014.02.04","X2014.02.11","X2014.02.18","X2014.02.25","X2014.03.04","X2014.03.11","X2014.03.18","X2014.03.25","X2014.04.01","X2014.04.08","X2014.04.15","X2014.04.22","X2014.04.30","X2014.05.07","X2014.05.14","X2014.05.21","X2014.05.28","X2014.06.03","X2014.06.10","X2014.06.17","X2014.06.24","X2014.07.01","X2014.07.08","X2014.07.15","X2014.07.22","X2014.07.29","X2014.08.05","X2014.08.12","X2014.08.19","X2014.08.26","X2014.09.02","X2014.09.09","X2014.09.16","X2014.09.23","X2014.10.01","X2014.10.08","X2014.10.15","X2014.10.22","X2014.10.29","X2014.11.04","X2014.11.11","X2014.11.18","X2014.11.25","X2014.12.02","X2014.12.09","X2014.12.16","X2014.12.23","X2014.12.30","X2015.01.06","X2015.01.13","X2015.01.20","X2015.01.27","X2015.02.03","X2015.02.10","X2015.02.17","X2015.02.24","X2015.03.03","X2015.03.10","X2015.03.17","X2015.03.24","X2015.03.31","X2015.04.07","X2015.04.14","X2015.04.21","X2015.04.28","X2015.05.05","X2015.05.12","X2015.05.19","X2015.05.26","X2015.06.02","X2015.06.09","X2015.06.16","X2015.06.23","X2015.06.30","X2015.07.07","X2015.07.14","X2015.07.21","X2015.07.28","X2015.08.04","X2015.08.11","X2015.08.18","X2015.08.25","X2015.09.01","X2015.09.08","X2015.09.15","X2015.09.22","X2015.09.29","X2015.10.06","X2015.10.13","X2015.10.20","X2015.10.27","X2015.11.03","X2015.11.10","X2015.11.17","X2015.11.24","X2015.12.01","X2015.12.08","X2015.12.15","X2015.12.22","X2015.12.29","X2015.11.29","X2015.12.06","X2015.12.13","X2015.12.20","X2015.12.27","X2015.11.01","X2015.11.08","X2015.11.15","X2015.11.22","X2016.04.03","X2016.04.10","X2016.04.17","X2016.04.24","X2016.01.31","X2016.02.07","X2016.02.14","X2016.02.21","X2016.01.03","X2016.01.10","X2016.01.17","X2016.01.24","X2016.07.03","X2016.07.10","X2016.07.17","X2016.07.24","X2016.05.29","X2016.06.05","X2016.06.12","X2016.06.19","X2016.06.26","X2016.02.28","X2016.03.06","X2016.03.13","X2016.03.20","X2016.03.27","X2016.05.01","X2016.05.08","X2016.05.15","X2016.05.22","X2016.07.31","X2016.08.07","X2016.08.14","X2016.08.21","X2016.10.02","X2016.10.09","X2016.10.16","X2016.09.04","X2016.09.11","X2016.09.18","X2016.12.04","X2016.12.11","X2016.12.18","X2016.12.25","X2017.04.02","X2017.04.09","X2017.04.16","X2017.01.29","X2017.02.05","X2017.02.12","X2017.02.19","X2017.01.01","X2017.01.08","X2017.01.15","X2017.01.22","X2017.02.26","X2017.03.05","X2017.03.12","X2017.03.19","X2017.04.30","X2017.05.07","X2017.05.14","X2017.05.21"
"MW2012C3010102",655,0.229608713827162,NA,0.501247635918512,0.229799796402255,0.229799796402255,0.229799796402255,0.408313228242999,0,0.728552160483744,0.312898705275015,0.312898705275015,0,0,0,0,0.0830989088727595,0,0.0830989088727595,0,0,0.229799796402255,0.312898705275015,0.312898705275015,1,0.501247635918512,0.811651069356504,0.312898705275015,0.312898705275015,0.229799796402255,0.229799796402255,0,0.178513431840744,0.0830989088727595,0.0830989088727595,0.229799796402255,0,0.229799796402255,0.418148727045752,0.320238932240745,0.0830989088727595,0,0.178513431840744,0,0,0.178513431840744,0.229799796402255,0.229799796402255,0.0830989088727595,0.229799796402255,0.63313763751576,0,0,0.229799796402255,0.491412137115758,0.916901091127241,0.261612340713503,0.312898705275015,0.312898705275015,0.178513431840744,0,0,0.0830989088727595,0.178513431840744,0.312898705275015,0.501247635918512,0.408313228242999,0.320238932240745,0.229799796402255,0,0.312898705275015,0.188348930643497,1,0,0,0.178513431840744,0,0.229799796402255,0.312898705275015,0.312898705275015,0.312898705275015,0.229799796402255,0,0,0.0830989088727595,0,0,0,0.0830989088727595,0,0.0830989088727595,0.403337841113505,0.320238932240745,0,0.403337841113505,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0,0,0,0,0,0,1,1,1,0,0.271447839516257,0.0830989088727595,0.178513431840744,0,0.408313228242999,0,0.0830989088727595,0,0.0830989088727595,0.0830989088727595,1,0,0.0830989088727595,0,1,1,0.0830989088727595,0.0830989088727595,0,1,1,1,1,1,0.0830989088727595,0.403337841113505,0.581851272954249,0.403337841113505,0.403337841113505,0.403337841113505,0.591686771757002,0.271447839516257,0.0830989088727595,0.0830989088727595,0.261612340713503,0.0830989088727595,0.0830989088727595,1,0.178513431840744,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.261612340713503,0.0830989088727595,0.0830989088727595,0.491412137115758,0.178513431840744,0.0830989088727595,1,0.811651069356504,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.403337841113505,0.0830989088727595,1,0.0830989088727595,0.312898705275015,1,1,1,1,1,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0,0,0,0.320238932240745,0.320238932240745,0.63313763751576,0.728552160483744,0.178513431840744,0.0830989088727595,0,0.403337841113505,0.320238932240745,1,0.811651069356504,0.0830989088727595,0.821486568159256,0.403337841113505,0.320238932240745,0.0830989088727595,0.0830989088727595,0.501247635918512,1,0,1,1,1,0.403337841113505,0,0,0,0,0,1,1,1,0,0,0,0.550038728643,0,0.178513431840744,0,0,0,0,0.0830989088727595,0,0.0830989088727595,0.0830989088727595,0.403337841113505,0.0830989088727595,0.0830989088727595,0.0830989088727595,1,1,1,0.0830989088727595,0.261612340713503,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.271447839516257,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.312898705275015,0.261612340713503,0.403337841113505,0.403337841113505,0.0830989088727595,0.0830989088727595,0.261612340713503,1,0.403337841113505,0.403337841113505,0.63313763751576,0.403337841113505,0,0,0.0830989088727595,0.821486568159256,0.821486568159256,0,0,0,0,0,0.178513431840744,0.498752364081489,0.261612340713503,0.188348930643497,0,0,0.271447839516257,0,0.178513431840744,0,0.229799796402255,0.591686771757002,0,0.178513431840744,0.229799796402255,0.229799796402255,0,0.581851272954249,0,0,0,0,0,0,0.261612340713503,1,1,1,1,0,0,0,0,1,1,1,1,1,0.312898705275015,0.403337841113505,0.0830989088727595,0.0830989088727595,0.320238932240745,0.550038728643,0.320238932240745,0.403337841113505,0.403337841113505,0,0,0,0,0.0830989088727595,0.0830989088727595,0.491412137115758,1,0.916901091127241,0.916901091127241,0.916901091127241,0.916901091127241,0.188348930643497,0,0.320238932240745,0,0.261612340713503,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0,0,0,0,0,0,0.0830989088727595,0.821486568159256,0.821486568159256,0,0.418148727045752,0.738387659286497,0.821486568159256,0.581851272954249,0.581851272954249,1,1,0.178513431840744,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.770200203597746,0.770200203597746,0.449961271357,0.770200203597746,0.591686771757002,0.271447839516257,0.679761067759255,1,0.581851272954249,0.491412137115758,1,0.581851272954249,0.581851272954249,0.581851272954249,0.581851272954249,0.811651069356504,1,0.491412137115758,0.63313763751576,0.271447839516257,0.261612340713503,0.501247635918512,0.312898705275015,0.501247635918512,0.501247635918512,0.679761067759255,0,0,0,0.261612340713503,0,0,0.178513431840744,0.188348930643497,0.188348930643497,0,0.178513431840744,0.261612340713503,0.449961271357,0,0,0.178513431840744,0.449961271357,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.591686771757002,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.581851272954249,1,1,1,1,1,1,1,1,1,0.188348930643497,0.229799796402255,0.728552160483744,0.738387659286497,0.63313763751576,0.188348930643497,0.0830989088727595,0.271447839516257,0.0830989088727595,0.312898705275015,0.312898705275015,0.312898705275015,0.491412137115758,0.0830989088727595,0.581851272954249,0.770200203597746,1,0.178513431840744,0.188348930643497,0.178513431840744,0.418148727045752,0.491412137115758,0.261612340713503,0.261612340713503,0.261612340713503,0.261612340713503,0.0830989088727595,0.0830989088727595,0.261612340713503,0.261612340713503,0.271447839516257,0.501247635918512,0.811651069356504,0.811651069356504,0.811651069356504,0.0830989088727595,0.271447839516257,0.261612340713503,0.261612340713503,0.491412137115758,0.0830989088727595,0.271447839516257,0.271447839516257,0.449961271357,0.449961271357,0.449961271357,0.449961271357,0.0830989088727595,0.0830989088727595,0.366862362484241,0.366862362484241,0.687101294724986,0.687101294724986,0.770200203597746,0.449961271357,0.449961271357,0.403337841113505,0.0830989088727595,0.0830989088727595,0.0830989088727595,0.679761067759255,0.679761067759255,0.679761067759255,0.679761067759255,0.449961271357,0.449961271357,0.449961271357,0.449961271357,0.449961271357,0.449961271357,0.449961271357,0.449961271357
"MW2012C3010107",299,0.500359382120713,NA,0.513404889419769,0,0,0,0.486595110580231,0,0.486595110580231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.513404889419769,0.486595110580231,0,0,0,0,0,0.486595110580231,0,0,0,0,0,0.513404889419769,0,0,0,0.486595110580231,0,0,0.486595110580231,0,0,0,0,0,0,0,0,0.486595110580231,1,0.486595110580231,0,0,0.486595110580231,0,0,0,0.486595110580231,0,0.513404889419769,0.486595110580231,0,0,0,0,0.513404889419769,1,0,0,0.486595110580231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.513404889419769,0,0.486595110580231,0,0.486595110580231,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0.486595110580231,0,0,0,0.513404889419769,0.513404889419769,0,0,0.486595110580231,0,0,1,0.486595110580231,0,0,0,0,0.486595110580231,0,0,0.486595110580231,0.486595110580231,0,1,0.486595110580231,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.486595110580231,0.486595110580231,0,0,0,0,1,0.486595110580231,0,0.513404889419769,0,0,0,0,0.513404889419769,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.486595110580231,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.486595110580231,0,0,0,0.513404889419769,0,0,0,0,0,0,0,0,0,0.486595110580231,0,0,0,0,0.486595110580231,1,0,0,0,0,0,0,0,0.513404889419769,0.513404889419769,0,0,0,0,0,0.486595110580231,0.486595110580231,0.486595110580231,0.513404889419769,0,0,0.513404889419769,0,0.486595110580231,0,0,0.513404889419769,0,0.486595110580231,0,0,0,0.486595110580231,0,0,0,0,0,0,0.486595110580231,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486595110580231,1,1,1,1,1,0.513404889419769,0,0,0,0.486595110580231,0,0,0,0,0,0,0,0,0,0,0,0.513404889419769,0.513404889419769,0,0.513404889419769,0.513404889419769,0.513404889419769,0.486595110580231,0.486595110580231,1,1,0.486595110580231,0,0,0,0,1,1,1,1,0.513404889419769,0.513404889419769,1,1,0.486595110580231,0.486595110580231,1,0.486595110580231,0.486595110580231,0.486595110580231,0.486595110580231,0.486595110580231,1,0.486595110580231,0,0.513404889419769,0.486595110580231,0.513404889419769,0,0.513404889419769,0.513404889419769,1,0,0,0,0.486595110580231,0,0,0.486595110580231,0.513404889419769,0.513404889419769,0,0.486595110580231,0.486595110580231,1,0,0,0.486595110580231,1,0,0,0,0,0.513404889419769,0,0,0,0.486595110580231,1,1,1,1,1,1,1,1,1,0.513404889419769,0,0.486595110580231,0.513404889419769,0,0.513404889419769,0,0.513404889419769,0,0,0,0,0.486595110580231,0,0.486595110580231,1,1,0.486595110580231,0.513404889419769,0.486595110580231,0.513404889419769,0.486595110580231,0.486595110580231,0.486595110580231,0.486595110580231,0.486595110580231,0,0,0.486595110580231,0.486595110580231,0.513404889419769,0.513404889419769,0.486595110580231,0.486595110580231,0.486595110580231,0,0.513404889419769,0.486595110580231,0.486595110580231,0.486595110580231,0,0.513404889419769,0.513404889419769,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"MW2012C3010201",650,0.294687366243193,NA,0.385508893030952,0.283126339726806,0.283126339726806,0.283126339726806,0.503064979100834,0,0.897617446695854,0.385508893030952,0.385508893030952,0,0,0,0,0.102382553304146,0,0.102382553304146,0,0,0.283126339726806,0.385508893030952,0.385508893030952,1,0.385508893030952,1,0.385508893030952,0.385508893030952,0.283126339726806,0.283126339726806,0,0.219938639374028,0.102382553304146,0.102382553304146,0.283126339726806,0,0.283126339726806,0.283126339726806,0.39455246759502,0.102382553304146,0,0.219938639374028,0,0,0.219938639374028,0.283126339726806,0.283126339726806,0.102382553304146,0.283126339726806,0.780061360625972,0,0,0.283126339726806,0.60544753240498,0.897617446695854,0.322321192678174,0.385508893030952,0.385508893030952,0.219938639374028,0,0,0.102382553304146,0.219938639374028,0.385508893030952,0.385508893030952,0.503064979100834,0.39455246759502,0.283126339726806,0,0.385508893030952,0,1,0,0,0.219938639374028,0,0.283126339726806,0.385508893030952,0.385508893030952,0.385508893030952,0.283126339726806,0,0,0.102382553304146,0,0,0,0.102382553304146,0,0.102382553304146,0.496935020899166,0.39455246759502,0,0.496935020899166,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0,0,0,0,0,0,1,1,1,0,0.102382553304146,0.102382553304146,0.219938639374028,0,0.503064979100834,0,0.102382553304146,0,0.102382553304146,0.102382553304146,1,0,0.102382553304146,0,1,1,0.102382553304146,0.102382553304146,0,1,1,1,1,1,0.102382553304146,0.496935020899166,0.716873660273194,0.496935020899166,0.496935020899166,0.496935020899166,0.496935020899166,0.102382553304146,0.102382553304146,0.102382553304146,0.322321192678174,0.102382553304146,0.102382553304146,1,0.219938639374028,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.322321192678174,0.102382553304146,0.102382553304146,0.60544753240498,0.219938639374028,0.102382553304146,1,1,0.102382553304146,0.102382553304146,0.102382553304146,0.496935020899166,0.102382553304146,1,0.102382553304146,0.385508893030952,1,1,1,1,1,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0,0,0,0.39455246759502,0.39455246759502,0.780061360625972,0.897617446695854,0.219938639374028,0.102382553304146,0,0.496935020899166,0.39455246759502,1,1,0.102382553304146,0.780061360625972,0.496935020899166,0.39455246759502,0.102382553304146,0.102382553304146,0.385508893030952,1,0,1,1,1,0.496935020899166,0,0,0,0,0,1,1,1,0,0,0,0.677678807321826,0,0.219938639374028,0,0,0,0,0.102382553304146,0,0.102382553304146,0.102382553304146,0.496935020899166,0.102382553304146,0.102382553304146,0.102382553304146,1,1,1,0.102382553304146,0.322321192678174,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.385508893030952,0.322321192678174,0.496935020899166,0.496935020899166,0.102382553304146,0.102382553304146,0.322321192678174,1,0.496935020899166,0.496935020899166,0.780061360625972,0.496935020899166,0,0,0.102382553304146,0.780061360625972,0.780061360625972,0,0,0,0,0,0.219938639374028,0.614491106969048,0.322321192678174,0,0,0,0.102382553304146,0,0.219938639374028,0,0.283126339726806,0.496935020899166,0,0.219938639374028,0.283126339726806,0.283126339726806,0,0.716873660273194,0,0,0,0,0,0,0.322321192678174,1,1,1,1,0,0,0,0,1,1,1,1,1,0.385508893030952,0.496935020899166,0.102382553304146,0.102382553304146,0.39455246759502,0.677678807321826,0.39455246759502,0.496935020899166,0.496935020899166,0,0,0,0,0.102382553304146,0.102382553304146,0.60544753240498,1,0.897617446695854,0.897617446695854,0.897617446695854,0.897617446695854,0,0,0.39455246759502,0,0.322321192678174,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0,0,0,0,0,0,0.102382553304146,0.780061360625972,0.780061360625972,0,0.283126339726806,0.677678807321826,0.780061360625972,0.716873660273194,0.716873660273194,1,1,0.219938639374028,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.716873660273194,0.716873660273194,0.322321192678174,0.716873660273194,0.496935020899166,0.102382553304146,0.60544753240498,1,0.716873660273194,0.60544753240498,1,0.716873660273194,0.716873660273194,0.716873660273194,0.716873660273194,1,1,0.60544753240498,0.780061360625972,0.102382553304146,0.322321192678174,0.385508893030952,0.385508893030952,0.385508893030952,0.385508893030952,0.60544753240498,0,0,0,0.322321192678174,0,0,0.219938639374028,0,0,0,0.219938639374028,0.322321192678174,0.322321192678174,0,0,0.219938639374028,0.322321192678174,0.102382553304146,0.102382553304146,0.102382553304146,0.102382553304146,0.496935020899166,0.102382553304146,0.102382553304146,0.102382553304146,0.716873660273194,1,1,1,1,1,1,1,1,1,0,0.283126339726806,0.897617446695854,0.677678807321826,0.780061360625972,0,0.102382553304146,0.102382553304146,0.102382553304146,0.385508893030952,0.385508893030952,0.385508893030952,0.60544753240498,0.102382553304146,0.716873660273194,0.716873660273194,1,0.219938639374028,0,0.219938639374028,0.283126339726806,0.60544753240498,0.322321192678174,0.322321192678174,0.322321192678174,0.322321192678174,0.102382553304146,0.102382553304146,0.322321192678174,0.322321192678174,0.102382553304146,0.385508893030952,1,1,1,0.102382553304146,0.102382553304146,0.322321192678174,0.322321192678174,0.60544753240498,0.102382553304146,0.102382553304146,0.102382553304146,0.322321192678174,0.322321192678174,0.322321192678174,0.322321192678174,0.102382553304146,0.102382553304146,0.219938639374028,0.219938639374028,0.614491106969048,0.614491106969048,0.716873660273194,0.322321192678174,0.322321192678174,0.496935020899166,0.102382553304146,0.102382553304146,0.102382553304146,0.60544753240498,0.60544753240498,0.60544753240498,0.60544753240498,0.322321192678174,0.322321192678174,0.322321192678174,0.322321192678174,0.322321192678174,0.322321192678174,0.322321192678174,0.322321192678174
