,FNID,weights,X2011.04.01,X2011.05.01,X2011.06.01,X2011.07.01,X2011.08.01,X2011.09.01,X2011.10.01,X2011.11.01,X2011.12.01,X2012.01.01,X2012.02.01,X2012.03.01,X2012.04.01,X2012.05.01,X2012.06.01,X2012.07.01,X2012.08.01,X2012.09.01,X2012.10.01,X2012.11.01,X2012.12.01,X2013.01.01,X2013.02.01,X2013.03.01,X2013.04.01,X2013.05.01,X2013.06.01,X2013.07.01,X2013.08.01,X2013.09.01,X2013.10.01,X2013.11.01,X2013.12.01,X2014.01.01,X2014.02.01,X2014.03.01,X2014.04.01,X2014.05.01,X2014.06.01,X2014.07.01,X2014.08.01,X2014.09.01,X2014.10.01,X2014.11.01,X2014.12.01,X2015.01.01,X2015.02.01,X2015.03.01,X2015.04.01,X2015.05.01,X2015.06.01,X2015.07.01,X2015.08.01,X2015.09.01,X2015.10.01,X2015.11.01,X2015.12.01,X2016.01.01,X2016.02.01,X2016.03.01,X2016.04.01,X2016.05.01,X2016.06.01,X2016.07.01,X2016.08.01,X2016.09.01,X2016.10.01,X2016.11.01,X2016.12.01
11,UG2011L111,1,1964.3555,2172.185773,2025.239579,1519.575682,1680.441968,1513.050455,1892.013122,1635.288715,1480.911785,1446.220039,1476.100909,1630.167837,1719.262471,2017.957425,2017.409306,1531.086183,1523.490818,1521.768158,1658.626279,1434.231414,1429.154715,1430.016045,1672.185773,1820.358709,2016.521875,1940.911203,1820.358709,2058.554263,2213.485557,2311.745409,2097.572473,1541.795864,1330.903476,1543.962239,2015.008023,2299.490961,2457.047245,2532.517062,1861.711,1733.229809,1936.745409,2011.092886,1861.355643,1812.5,1800,2007.047245,2402.610091,2503.915136,3960.848636,4285.157034,2020.880727,2108.482795,2325.208807,2497.389909,2516.521875,2513.050455,2393.884079,2571.332751,2751.305045,2992.169727,2956.174541,2978.301694,2529.606739,2602.610091,2739.968943,2917.378535,2513.050455,2526.645962,2905.492708
12,UG2011L112,1,2217.021346,2562.669353,2469.472075,1864.120017,1917.029078,1742.746678,1751.439033,1693.172163,1725.767959,1819.706099,1935.493356,2002.735112,2058.294097,2334.019429,2323.824069,2078.222587,1936.944021,1904.901459,1951.259268,1895.920823,1942.296079,1958.31736,2062.669353,2178.684818,2307.317295,2367.043637,2178.684818,2499.525073,2450.839852,2518.47201,2336.456545,1978.218688,1874.824134,2018.514637,2279.15868,2431.336593,2581.083206,2664.822087,2367.042692,2142.089087,2143.47201,2206.334676,1832.413919,1812.5,1800,2131.083206,2448.549336,2572.824003,3271.759966,3443.090678,2388.394685,2257.785341,2328.883947,2451.450664,2807.317295,2742.746678,2585.45073,2647.591897,2774.274668,2854.351993,2976.847201,3177.218623,2751.493291,2648.549336,2862.626726,2783.23594,2742.746678,2608.417817,2808.560902
13,UG2011L113,1,2002.473882,2232.043438,2112.109008,1586.951144,1736.242403,1563.178331,1835.863972,1628.890725,1523.582377,1518.838168,1568.540309,1697.343287,1781.02644,2082.368633,2090.355806,1636.775691,1600.433196,1591.47877,1703.240122,1524.09766,1529.499237,1543.746891,1761.571885,1900.850994,2073.386765,2037.013096,1900.850994,2142.341957,2264.238139,2361.732692,2130.164582,1626.252262,1447.688676,1653.800358,2066.662543,2310.05747,2457.853352,2531.032003,1956.203295,1811.618753,1964.794794,2034.290971,1840.063398,1798.821382,1785.670019,2026.09151,2395.960779,2491.335718,3763.566887,4043.213727,2106.660995,2132.467927,2311.597498,2475.379259,2573.386765,2557.967429,2439.161189,2587.964784,2746.677664,2918.321424,2936.507464,2986.351253,2572.110683,2594.658054,2744.882705,2869.000687,2538.843418,2528.462751,2858.60731
14,UG2011L114,1,1992.700362,2227.696097,2320.306267,1748.427818,1955.39407,1729.993938,1444.576792,1454.859539,1579.173977,1689.145724,1813.424787,1807.464103,1888.446382,2260.078815,2381.873621,1878.409527,1749.831838,1711.876342,1697.209577,1735.743245,1769.991831,1909.67344,2092.490008,2187.115716,2209.673079,2381.739612,2187.115716,2321.262425,2424.732782,2567.185536,2081.785974,1820.73142,1820.935501,2069.675448,2190.461327,2199.088899,2249.744749,2282.425472,2143.929224,1985.488393,1921.165134,1955.696511,1649.005886,1643.514595,1622.967671,2025.058622,2239.997532,2227.808602,2730.639655,2771.155343,2436.871971,2143.276662,2150.617568,2305.93781,2709.673079,2665.618546,2617.688956,2643.229237,2653.904918,2321.250341,2676.997634,2729.323337,2666.043698,2423.903684,2585.826367,2554.683352,2429.360855,2405.859135,2496.05687
15,UG2011L115,1,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
16,UG2011L116,1,2499.756626,2999.629648,2966.693031,2249.761916,2181.894608,1999.873022,1593.922543,1757.852071,1999.799057,2237.739378,2449.698428,2419.707951,2437.738108,2687.79747,2666.867626,2690.613987,2399.690491,2333.703507,2278.720966,2412.678428,2516.645414,2549.698428,2499.809533,2579.815882,2632.799057,2844.083344,2579.815882,2993.080397,2716.532413,2749.915401,2603.748901,2466.693031,2483.687634,2549.775884,2574.817469,2578.8162,2719.77144,2812.741917,2932.624463,2599.707951,2374.781757,2424.773821,1799.924766,1812.416671,1799.912703,2269.882545,2499.873022,2649.793661,2500.095233,2500.111106,2799.830802,2424.865086,2332.910163,2399.952383,3132.799057,2999.841278,2799.915242,2732.95778,2799.928575,2699.809533,2999.841278,3399.674619,2999.841278,2699.865086,2999.799057,2632.95778,2999.724775,2699.85715,2699.89683
17,UG2011L117,1,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
18,UG2011L118,1,1733.972616,1834.306128,2000.805436,1500.624692,1850.275903,1600.332826,1350.205118,1292.389307,1367.527583,1417.683857,1500.791105,1500.766662,1613.687459,2050.531233,2250.346472,1476.012919,1425.812356,1400.778292,1400.732968,1400.843778,1400.930374,1600.790591,1900.498897,2000.48241,2000.52724,2162.36763,2000.48241,1987.438747,2283.61072,2483.721345,1813.65977,1500.805494,1500.81891,1844.586923,2000.47893,2000.483263,2000.601246,2000.678965,1750.985632,1680.766392,1688.073448,1713.094442,1563.198431,1550.219542,1525.229996,1900.308524,2100.334197,2000.543113,2799.754235,2849.713559,2267.443033,2000.354335,2050.236659,2250.125795,2500.52724,2500.416461,2533.221876,2600.110666,2575.188007,2100.502838,2500.41802,2375.855774,2500.41652,2275.355106,2367.528494,2500.112235,2133.723401,2250.375747,2375.272537
19,UG2011L119,1,2464.571328,2946.086804,2922.313664,2215.341518,2166.657845,1981.515476,1582.724441,1736.46553,1970.748241,2200.060515,2406.099256,2377.485595,2399.87567,2658.517185,2647.729884,2634.807048,2354.943973,2290.838637,2238.380259,2366.187944,2465.381967,2506.099256,2472.273214,2553.197441,2603.748241,2812.760781,2553.197441,2946.874454,2696.641094,2737.684686,2567.446854,2422.313664,2438.528072,2517.374816,2548.428497,2552.243652,2686.727857,2775.430206,2878.332021,2557.485595,2343.229725,2392.074442,1789.04792,1800.369531,1787.29189,2252.901816,2481.515476,2619.962649,2513.863393,2516.173958,2775.369372,2405.360194,2319.922199,2393.068304,3103.748241,2976.894345,2787.66158,2726.853896,2789.602455,2672.273214,2976.894345,3352.633408,2976.894345,2680.360194,2970.748241,2626.853896,2959.934795,2679.204911,2684.981324
20,UG2011L120,1,2500,3000,2967,2250,2182,2000,1594,1758,2000,2238,2450,2420,2438,2688,2667,2691,2400,2334,2279,2413,2517,2550,2500,2580,2633,2844.3,2580,2993.4,2716.67,2750,2604,2467,2484,2550,2575,2579,2720,2813,2933,2600,2375,2425,1800,1812.5,1800,2270,2500,2650,2500,2500,2800,2425,2333,2400,3133,3000,2800,2733,2800,2700,3000,3400,3000,2700,3000,2633,3000,2700,2700
