,FNID,weights,X2011.04.01,X2011.05.01,X2011.06.01,X2011.07.01,X2011.08.01,X2011.09.01,X2011.10.01,X2011.11.01,X2011.12.01,X2012.01.01,X2012.02.01,X2012.03.01,X2012.04.01,X2012.05.01,X2012.06.01,X2012.07.01,X2012.08.01,X2012.09.01,X2012.10.01,X2012.11.01,X2012.12.01,X2013.01.01,X2013.02.01,X2013.03.01,X2013.04.01,X2013.05.01,X2013.06.01,X2013.07.01,X2013.08.01,X2013.09.01,X2013.10.01,X2013.11.01,X2013.12.01,X2014.01.01,X2014.02.01,X2014.03.01,X2014.04.01,X2014.05.01,X2014.06.01,X2014.07.01,X2014.08.01,X2014.09.01,X2014.10.01,X2014.11.01,X2014.12.01,X2015.01.01,X2015.02.01,X2015.03.01,X2015.04.01,X2015.05.01,X2015.06.01,X2015.07.01,X2015.08.01,X2015.09.01,X2015.10.01,X2015.11.01,X2015.12.01,X2016.01.01,X2016.02.01,X2016.03.01,X2016.04.01,X2016.05.01,X2016.06.01,X2016.07.01,X2016.08.01,X2016.09.01,X2016.10.01,X2016.11.01,X2016.12.01
31,UG2011L131,1,1950,2431.25,2250,1775,1833,1850,1569,1618,1700,1813,1834,1950,1992,2150,2217,1842,1700,1800,1780,1708,1750,1900,2100,2233.3,2300,2236.8,2233.3,1626.6,1991.75,2266.5,2293,1767,1767,1778,2050,2138,2240,2000,1817,1560,1612.5,1937.5,1788,1662.5,1600,2000,2400,2500,4000,3000,2650,2350,2450,2450,2225,2150,1867,2400,2625,2700,2550,2375,2275,2000,2200,2375,2375,2522,2225
32,UG2011L132,1,1948.634069,2427.480557,2248.423926,1773.266319,1833.107173,1848.423926,1567.619359,1615.9448,1697.90067,1810.503499,1831.894365,1947.163067,1989.610672,2149.36957,2217.208042,1839.686324,1698.266319,1797.478282,1777.604368,1706.058277,1747.793497,1898.108711,2098.739141,2231.829208,2298.108711,2236.327178,2231.829208,1628.869546,1993.587702,2267.868032,2289.973938,1765.316753,1765.316753,1778.416083,2049.684785,2137.130007,2238.486969,2000,1816.577612,1560.756515,1612.972822,1936.081534,1786.581534,1661.790767,1599.527178,1999.36957,2398.108711,2496.847852,3992.434846,2999.054356,2647.585455,2347.793497,2447.478282,2448.739141,2226.733681,2152.206503,1871.198661,2401.260859,2624.684785,2696.217423,2549.684785,2375,2276.418466,2001.733681,2201.052817,2375.788037,2373.474361,2520.285232,2225.945644
33,UG2011L133,1,1950,2324.120136,2154.773454,1784.522655,1804.812942,1716.682836,1691.270885,1639.330746,1573.158241,1671.683806,1706.777335,1807.160181,2023.615213,2314.932378,2286.705832,1965.79451,1658.862132,1790.477345,1762.097409,1721.712623,1762.95081,1938.090618,2125.139808,2228.233948,2296.876569,2247.351101,2228.233948,1657.072495,1856.813984,2317.350976,2380.608422,1912.887068,1805.090618,1862.561173,2088.090618,2142.570874,2160.009701,2142.839819,2051.638209,1678.080917,1626.783982,1808.944163,1706.866983,1638.693364,1571.432036,1809.546908,2114.320362,2233.365671,3352.459487,2847.637526,2592.864072,2054.797707,2183.365671,2278.592217,2139.296109,2092.864072,1870.047249,2247.637526,2425.024253,2471.45629,2530.954691,2375,2360.703891,2104.749201,2104.773454,2270.250799,2282.820703,2323.166972,2177.386727
34,UG2011L134,1,1836.555492,2390.729859,1979.890256,1674.953126,1707.28076,1607.979767,1660.34388,1603.566382,1502.147752,1546.410611,1651.662624,1746.118353,2235.766489,2511.646018,2343.542007,1899.159329,1656.759806,1877.357973,1774.078568,1651.213464,1719.3813,1896.220026,2005.291039,2266.239763,2332.155452,2303.276739,2266.239763,1742.465865,1961.525197,2375.01979,2274.420181,1826.666788,1755.116847,1931.509976,2070.529563,2192.323894,2179.060923,2307.926467,2048.479311,1722.500431,1727.565709,1833.774213,1734.062025,1688.159124,1637.273492,1816.320393,2124.480589,2242.84855,3375.489336,3285.117825,2384.213461,1984.264818,2152.332654,2300.894712,2231.479147,2208.340625,2037.188491,2307.185551,2472.652308,2576.822621,2662.903541,2566.883281,2436.094597,2295.500083,2280.919975,2452.246157,2326.614966,2330.23849,2401.431333
35,UG2011L135,1,1779.601547,2384.276799,1846.69197,1557.950584,1666.270716,1584.609151,1644.838089,1551.744234,1485.010699,1468.190795,1617.909885,1732.478201,2332.123376,2567.612074,2256.23571,1717.983547,1702.250749,1886.723502,1773.926251,1543.701777,1629.685879,1703.216203,1766.376645,2133.788792,2237.397603,2245.615306,2133.788792,1943.80861,2234.319633,2420.661824,2151.086552,1666.784998,1594.599224,1837.149982,2006.743004,2227.743964,2279.975803,2423.15631,1874.186351,1739.190916,1899.946454,2053.936436,1839.39268,1834.675843,1741.102794,1960.601491,2256.293086,2447.380363,3712.056415,4021.06692,2149.390405,2114.473606,2252.616787,2519.827897,2646.741624,2621.358879,2430.727727,2490.745956,2610.788421,2862.241455,2857.551895,2912.128156,2551.4332,2530.394211,2658.373657,2832.917532,2483.502118,2511.733375,2838.837766
36,UG2011L136,1,1796.736405,2471.290235,1969.333108,1631.411463,1688.091687,1640.982665,1584.226674,1579.627832,1544.924534,1577.866849,1700.222141,1800.933069,2293.35716,2492.660332,2326.286207,1809.695301,1677.979133,1912.935818,1787.839429,1619.149138,1697.175912,1861.192642,1949.805736,2282.283819,2346.205484,2317.275043,2282.283819,1756.174361,2070.300688,2368.119983,2190.387249,1718.536525,1717.245242,1910.57671,2044.034841,2207.347539,2228.442555,2289.631543,1922.132919,1675.066282,1755.316111,1911.105964,1786.912066,1718.228373,1675.631967,1920.3518,2280.5277,2388.49252,3729.196119,3519.996789,2341.473149,2117.071293,2283.755521,2400.211419,2309.579706,2279.369135,2094.2287,2409.410069,2596.106388,2735.790955,2719.383054,2634.234423,2416.812519,2306.544102,2393.57446,2572.036282,2391.187269,2438.847279,2505.484596
37,UG2011L137,1,1857.97385,2411.642794,2088.528765,1668.876676,1761.32083,1709.702619,1552.937319,1563.437817,1590.62841,1651.290713,1743.278796,1835.531944,2127.44803,2333.772122,2285.279486,1789.179459,1680.448149,1831.717719,1758.417948,1637.028792,1695.873094,1847.240984,1987.783807,2234.36274,2296.039376,2285.229569,2234.36274,1801.991867,2117.540127,2362.445969,2175.881995,1711.112321,1715.142069,1872.079021,2054.558929,2183.994719,2240.591899,2199.934856,1886.668238,1670.330447,1740.542633,1931.596505,1774.512547,1695.63971,1652.827958,1973.555109,2332.661213,2415.12645,3726.803012,3328.040135,2419.047316,2203.118665,2330.318623,2417.732373,2356.194983,2312.65515,2123.102099,2461.851269,2635.201261,2689.976209,2674.979768,2582.935348,2407.36913,2242.393249,2388.279866,2542.337652,2395.11862,2472.198552,2449.794605
38,UG2011L138,1,1957.892166,2151.271489,1993.697187,1752.984584,1879.944546,1785.298031,1722.174457,1558.175834,1545.510645,1596.826246,1677.585561,1802.617451,2174.704658,2514.413543,2140.421009,1880.467887,1842.531434,1810.184186,1779.65976,1673.858237,1751.158576,1712.559928,1837.87776,1954.282677,2081.100882,2152.019753,1954.282677,2000.22309,2223.463377,2436.105944,2416.895145,1919.303583,1681.044249,1721.443595,2002.411408,2096.369269,2204.483692,2194.533818,1880.437408,1776.47137,1869.73296,2224.399709,1821.275583,1905.75675,1638.911611,1941.74044,2038.204626,2422.510176,3295.801366,3509.209978,2435.95536,2227.050454,2173.007488,2629.277848,3033.803408,2949.538768,2592.6188,2395.365076,2386.052975,2661.664486,2686.045472,2846.723486,2622.23385,2397.713772,2580.253039,2720.630639,2489.825612,2558.743867,2763.156863
39,UG2011L139,1,2088.197442,2263.904006,2197.251459,1781.025579,1967.496915,1834.048415,1664.391107,1569.448129,1623.873372,1719.68125,1825.344604,1906.607286,2180.734116,2525.952192,2251.399911,2031.536713,1941.141042,1880.730575,1849.126003,1815.32849,1893.448378,1877.36136,1982.995362,2069.087946,2149.403987,2254.822993,2048.756173,2182.851956,2287.436935,2445.349591,2429.270805,2026.352043,1843.171331,1897.795089,2117.290164,2167.837119,2275.324114,2278.667556,2111.078855,1978.404949,1958.122716,2243.994016,1790.088941,1913.095661,1648.775728,1959.421191,2054.746834,2401.312118,2961.175204,3162.439964,2547.505437,2211.965167,2144.909932,2538.043288,3020.957548,2927.427952,2601.847071,2410.60504,2405.411297,2587.75572,2713.971799,2917.912947,2705.775135,2441.678695,2602.680481,2635.329791,2562.634134,2538.252719,2689.119956
40,UG2011L140,1,1817.057389,2484.751646,1958.895475,1584.152948,1717.78036,1633.108497,1543.523275,1535.47277,1540.93772,1557.971034,1735.694618,1814.407773,2393.547095,2611.247468,2358.29579,1810.96354,1769.586838,1965.819498,1817.759781,1634.901652,1730.577089,1842.553828,1879.371239,2259.888066,2317.327004,2359.165397,2250.900239,2018.54633,2283.118297,2443.796397,2135.707663,1719.357649,1725.246671,1984.24438,2071.421847,2252.708867,2290.66726,2423.067339,1981.810561,1831.726481,1924.868621,2050.764589,1810.952412,1813.627375,1730.960192,1983.269676,2283.64255,2433.28668,3533.359374,3731.389808,2243.742008,2132.08968,2253.591821,2464.631128,2623.029489,2589.45548,2419.775332,2513.027982,2634.649526,2789.133496,2842.19186,2901.106016,2578.322274,2511.548272,2643.860398,2756.268629,2507.900263,2501.681248,2750.936961
41,UG2011L141,1,1879.271082,2447.601615,2104.656573,1697.32859,1770.864407,1712.185709,1566.054002,1577.834199,1599.065142,1664.623887,1768.58654,1856.447065,2185.201169,2398.185243,2315.375608,1851.842237,1720.692414,1877.983731,1792.684482,1678.355861,1744.702539,1892.149183,2010.83242,2262.182861,2323.421976,2321.634313,2262.182861,1846.92061,2127.69529,2384.821306,2214.709031,1766.027162,1762.491357,1916.985563,2078.816715,2203.381059,2253.34608,2244.597367,1954.665943,1720.562665,1771.616014,1951.495051,1774.974752,1707.426563,1659.446928,1967.32859,2310.380681,2410.152508,3632.052778,3301.380835,2432.152669,2188.413517,2308.165576,2410.057984,2389.897584,2343.576663,2149.127279,2451.456284,2617.470752,2684.986476,2691.729369,2627.93021,2441.558182,2274.149628,2408.316655,2541.625412,2419.600418,2469.826502,2465.400095
