"FS_year","FCS","HDDS","rCSI","rural","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","FS_month","head_age","female_head","floor_dirt_sand_dung","roof_not_natural","roof_iron","asset_index","clust_maize_mktthin","lhz_maize_mktthin","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax","Cellphone","num_cell"
2010,40.78125,5.1875,0,1,13.3443749547005,78.8324995040894,13.5,0,1,0,0,11,36.5625,0.1875,0.9375,0.0625,0.0625,-0.302957947074441,0,0.25,1150.20693769791,38,103,36,213,21.3952828743089,1127.99811366612,50,1417.59670467222,0,0.1875,0.25
2010,40.4375,5.1875,1.5625,1,10.9943750500679,48.955625295639,10.375,0,0,0,0,5,35.375,0.125,0.875,0.0625,0.0625,-0.487496151436658,0.4,0.52,1269.23137266376,37,84,36,213,21.3952828743089,1127.99811366612,50,1332.90199960028,0,0.0625,0.0625
2010,40.4375,5.1875,1.5625,1,10.9943750500679,48.955625295639,10.375,0,0,0,0,5,35.375,0.125,0.875,0.0625,0.0625,-0.487496151436658,0.4,0.52,1269.23137266376,37,84,38,213,22.5009785540228,1353.25732717093,78,1332.90199960028,0,0.0625,0.0625
2010,40.4375,5.1875,1.5625,1,10.9943750500679,48.955625295639,10.375,0,0,0,0,5,35.375,0.125,0.875,0.0625,0.0625,-0.487496151436658,0.4,0.52,1269.23137266376,37,84,40,213,24.4448882841728,965.461065256596,77,1332.90199960028,0,0.0625,0.0625
2010,37.1875,4.4375,0.375,1,18.8093749284744,53.2606248855591,6.9375,0,0,0,0,11,48.6875,0.125,1,0.0625,0.0625,-0.636632620255039,0,0,1411.55536941649,36,101,38,213,22.5009785540228,1353.25732717093,78,1681.66766332973,0,0,0
2011,43.625,4.9375,1,1,4.18812502920628,59.5137498378754,0.125,0,1,0,0,2,45.4375,0.375,0.75,0.5,0.5,-0.362345962690973,0,0,1405.27693382636,53,97,53,213,22.0166284838753,1496.28398112339,92,1171.70921663053,0,0.25,0.4375
2010,41.15625,5.1875,4.625,1,1.09749998990446,59.8418748378754,0,0,1,0,0,9,44.75,0.1875,0.8125,0.1875,0.1875,-0.190422955536234,0.0434782608695652,0.478260869565217,1251.86858087412,38,93,36,213,21.3952828743089,1127.99811366612,50,1136.03889386563,0,0.25,0.375
2010,41.15625,5.1875,4.625,1,1.09749998990446,59.8418748378754,0,0,1,0,0,9,44.75,0.1875,0.8125,0.1875,0.1875,-0.190422955536234,0.0434782608695652,0.478260869565217,1251.86858087412,38,93,37,213,22.4000715730336,1134.10969596811,54,1136.03889386563,0,0.25,0.375
2013,48.125,5.625,2.8125,1,1.0625,60.125,0,0,1,0,0,6,47.5625,0.1875,0.6875,0.3125,0.3125,-0.401219100874273,0,0.666666666666667,1274.307010193,30,99,31,213,21.9841908056412,1160.83778911635,74,1349.53528639936,0,0.5,0.6875
2013,48.125,5.625,2.8125,1,1.0625,60.125,0,0,1,0,0,6,47.5625,0.1875,0.6875,0.3125,0.3125,-0.401219100874273,0,0.666666666666667,1274.307010193,30,99,51,213,21.8768613251163,974.352538033768,72,1349.53528639936,0,0.5,0.6875
