"ea_id","FS_year","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","hh_a02","FS_month","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","rural","date","clust_bean_price","clust_maize_price","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_bean_price","lhz_maize_price","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","cropyear","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
"1020004",2009,0.8,0.2,0,1,0,0.8,0.2,0.2,0.2,0.2,0.8,0.8,0.05,4.022,4.022,4.022,0,3.876571,1172.4,NA,12,5,44.8,NA,0,0,1,Dec 2009,0.983890529978691,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.331585542214,5,13,4,123,23.5007118039015,449.890911946173,11,0,0
"1020004",2011,1,0,1,0,0,1,0.25,0,0.25,0.25,0.75,1.5,0.3481,3.654025,4.499,5.1105,3,5.6175,1188.25,NA,2.5,6.66666666666667,42.875,NA,0,0,1,Feb 2011,2.94918109176642,0,2011-02-15,1438,1075,625,0.75,0.75,0,1584.15294804712,1182.00770457739,896.382286782982,0.75,0.75,0,NA,1904.95517054467,3,47,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020005",2010,1,0,0,1,0,0.666666666666667,0.666666666666667,0,0,0,0.666666666666667,1,0.19,5.78,5.78,5.78,7.33333333333333,9.664136,1200.33333333333,NA,1,6.66666666666667,64.5,NA,0,0,1,Jan 2010,1.37744088430242,0,2010-01-01,NA,NA,975,1,1,0,NA,NA,1199.45486802827,1,1,0,NA,452.851280350042,3,11,3,123,24.6040531313516,418.717351084538,6,0,0
"1020005",2011,1,0,1,0,0,0.666666666666667,0.666666666666667,0,0,0,1,1.66666666666667,0.200733333333333,5.78493333333333,5.78493333333333,5.78493333333333,7.33333333333333,9.66,1203,NA,2,6.33333333333333,55.5,NA,0,0,1,Feb 2011,2.96301627099302,0,2011-02-01,NA,NA,500,1,1,0,NA,NA,747.284996510649,1,1,0,NA,1717.49714172054,3,65,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020006",2010,0.75,0.25,0,1,0,0.5,0.5,0,0.25,0.25,1,4.25,0.8375,4.53,6.0025,6.0025,2,7.98435175,1234.25,NA,3,6.5,63.25,NA,0,0,1,Mar 2010,1.28479548465642,0,2010-03-01,NA,NA,662.5,1,1,0,NA,NA,922.565909941346,1,1,0,NA,468.580578155683,3,7,3,123,24.6040531313516,418.717351084538,6,0,0
"1020006",2011,0.75,0.25,1,0,0,0.75,0.75,0,0,0.25,1,3,0.810775,4.51905,5.96175,5.96175,2,8.08,1235.5,NA,3,6.5,52.5,NA,0,0,1,Mar 2011,2.87564313516192,0,2011-03-01,NA,NA,650,1,1,0,NA,NA,876.490495528599,1,1,0,NA,1820.71381910796,3,43,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020007",2009,0.333333333333333,0,0,1,0,0.666666666666667,0.333333333333333,0,0,0.333333333333333,1,2.66666666666667,2.49,5.22333333333333,5.38333333333333,5.38333333333333,21.3333333333333,5.52084,1209,NA,9,5.33333333333333,61.8333333333333,NA,0,0,1,Sep 2009,0.965800094310629,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.43104498805,5,18,4,123,23.5007118039015,449.890911946173,11,0,0
"1020007",2010,1,0,0.5,0.5,0,0.833333333333333,0.833333333333333,0.333333333333333,0.166666666666667,0.166666666666667,1,2.16666666666667,2.49861666666667,5.2121,5.43576666666667,5.43576666666667,22.8333333333333,5.52042,1206.16666666667,NA,6.5,5.83333333333333,51.9166666666667,NA,0,0,1,Jun 2010,2.82889949952093,0,2010-06-16,NA,NA,631.25,1,1,0,NA,NA,852.792868252418,1,1,0,NA,468.584993073566,3,11,3,123,24.6040531313516,418.717351084538,6,0,0
"1020007",2011,0.75,0,1,0,0,1,0.75,0.5,0,0.25,1,2.75,2.16325,5.3665,5.88885,5.88885,35,6.05,1209.5,NA,4.25,6.5,62.25,NA,0,0,1,Apr 2011,3.24349742336865,0,2011-04-08,2283.33333333333,1033.33333333333,850,0.25,0.25,0,2262.18687805862,1012.63049667678,1071.73325190428,0.265409984764498,0.272469567844814,0,NA,1701.10121394462,3,54,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020008",2009,0.5,0.25,0,1,0,1,0.5,0,0,0,0.75,1.25,0.7375,3.7375,3.7375,3.7375,0,7.53659,1196.5,NA,10.25,6,42.75,NA,0,0,1,Oct 2009,0.653680654189007,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.016365563871,5,13,8.5,123,24.3008556479684,473.635675965896,17,0,0
