"ea_id","FS_year","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","slope","ag_percent","dist_road","dist_popcenter","dist_agmkt","dist_headquater","elevation","FS_month","rCSI","HDDS","FCS","Motorcyclet","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","rural","date","clust_bean_price","clust_maize_price","clust_rice_price","clust_bean_mktthin","clust_maize_mktthin","clust_rice_mktthin","lhz_bean_price","lhz_maize_price","lhz_rice_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_rice_mktthin","cropyear","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","heatdays","floodmax","lhz_floodmax"
"51222012",2013,0.666666666666667,0.333333333333333,0.555555555555556,0.444444444444444,0,0.111111111111111,0.777777777777778,0.111111111111111,0.777777777777778,NA,0,0.666666666666667,1,2.40518666666667,57.5555555555556,0.133333333333333,18.8888888888889,93.9333333333333,154.533333333333,72.6666666666667,2.22222222222222,0.444444444444444,4.88888888888889,75.0555555555556,0,NA,0,0,1,Feb 2013,-0.173969383522906,1,2013-02-07,166649.816666667,88751.7055555556,188009.288888889,0,0,0,130107.81197585,80031.4038575885,176353.209228103,0.163011780230127,0.163576963313128,0.163011780230127,NA,786.840657537161,26,47,31,213,23.4251012235039,435.494007693716,153,213,0,0
"5134002",2011,0.2,0.8,0.4,0.6,0,0,0.6,0,0.5,0,0,0.2,0.3,21.9999998450279,11.8,20.660000038147,49.6800004959106,58.329999923706,49.6800004959106,955.1,1.8,4.9,5.8,58.1,NA,NA,0,0,0.9,Jan 2011,-1.86011758960769,0.9,2011-01-25,110666.4,43300,104000,0,0,0,107144.55151613,38322.8527536319,104773.763319597,0,0,0,NA,675.702863604141,26,100,67,213,24.324371094737,564.857868142867,156,213,0,0
"5134002",2013,0.0625,0.9375,0.625,0.375,0,0,0.5,0,0.3125,NA,0,0.4375,0.625,23.62391193125,8.8125,21.06875,50.55625,57.93125,305.725,1006.8125,1.3125,1.9375,4.4375,42.9375,0,NA,0,0,0.9375,Jan 2013,-1.53382908519566,0.9375,2013-01-10,159201.39375,77673.8125,177734.375,0,0,0,150878.318270564,79856.5567912768,190820.190681264,0,0,0,NA,765.104145775052,32,108,71.5,213,24.0596718257801,533.478355589637,165,213,0,0
"520113101001",2015,0.75,0.25,0.875,0.125,0,0,0.5,0,0.75,0,0,1,1.375,NA,NA,NA,NA,NA,NA,NA,3,0,4.75,65.25,NA,NA,0,0,0,Mar 2015,0.481375443972972,1,2015-03-01,181250,41850,179500,0,0,0,152138.486880068,40523.4943923802,163584.290538935,0,0,0,NA,941.704323089171,60,120,51,213,25.1562169558328,326.686407585128,164,213,0,0
"520128102001",2015,0,1,0.25,0.75,0,0,0.5,0,0.75,0,0,0.5,0.75,NA,NA,NA,NA,NA,NA,NA,5,3.625,5.5,75.1875,NA,NA,0,0,0,May 2015,-2.13125879662576,1,2015-05-01,188333,51333,178333,0,0,0,163586.389250099,48879.5746625878,164089.485793072,0,0,0,NA,949.138409540057,5,148,51,213,25.1562169558328,326.686407585128,164,213,0,0
"520209101002",2014,0.875,0.125,1,0,0,0.375,0.625,0.375,0.625,0,0,0.875,1.875,NA,NA,NA,NA,NA,NA,NA,12,0,5.125,66.75,NA,NA,0,0,0,Dec 2014,1.56031925648683,1,2014-12-01,165865.5,39452,151538,0,0,0,146825.877904236,38399.0081474863,139917.613667888,0,0,0,NA,568.145484239794,58,105,98,213,23.434617054256,484.476297393604,141,213,0,0
"52104013",2010,0.666666666666667,0.333333333333333,0.777777777777778,0.222222222222222,0,0.222222222222222,0.777777777777778,0.444444444444444,0.222222222222222,0.111111111111111,0,0.888888888888889,1.11111111111111,4.3888887166977,54.6666666666667,6.29999994734923,6.4333332379659,78.8222223917643,3.93333337042067,79.5555555555556,12,1.44444444444444,6.55555555555556,67.6666666666667,NA,NA,0,0,1,Dec 2010,0.76602922785344,1,2010-12-01,NA,33964,95357,1,0,0,NA,35449.3940293074,93831.7653655079,1,0.0653454364208723,0.0251265830145133,NA,832.100661181318,36,18,37,213,23.5278224451607,560.368256754839,141.5,213,0,0
"52104013",2011,0,1,0,1,0,0,1,0,1,0,0,1,1,1,53,14.5,26.3999996185303,78.6999969482422,682.900024414062,1210,3,0,5,72.5,NA,NA,0,0,1,Mar 2011,-1.96416041533307,1,2011-03-01,91500,41500,166958.3,0,0,0,111839.972525797,43593.0866116645,125608.841554944,0,0,0,NA,700.858638534636,49,21,58,213,23.1807611123558,487.536002783579,145.5,213,0,0
"52104013",2012,1,0,1,0,0,0.222222222222222,0.555555555555556,0.444444444444444,0.444444444444444,NA,0,1,1.33333333333333,4.18193066666667,52.8888888888889,6.46666666666667,6.56666666666667,78.7444444444444,169.355555555556,64.1111111111111,11,2.22222222222222,5.88888888888889,66.0555555555556,0.111111111111111,NA,0,0,1,Nov 2012,1.62019356997142,1,2012-11-01,141375,71167,179166.5,0,0,0,134540.97583102,67985.3752173712,173321.210019182,0.14028014510571,0.14028014510571,0.14028014510571,NA,878.946132029563,36,16,36,214,23.7629376253896,580.46593004919,131,214,0,0
"52104013",2013,0,1,0,1,0,0,1,0,1,NA,0,0,0,1.012326,53,14.5,26.4,78.7,361.5,1209,5,0,6,73.5,0,NA,0,0,1,May 2013,-2.87000293347601,1,2013-05-01,142875,62408.4,128874.9,0,0,0,134558.488579064,56999.9048176836,128322.308590817,0,0,0,NA,848.733148143625,11,17,21,213,23.0270898817704,559.506080142848,140.5,213,0,0
"52121013",2010,0.9,0.1,0.9,0.1,0,0.3,0.8,0.4,0.5,0.1,0,0.8,0.9,1.28000000715256,32.3,10.1299999237061,21.2400002479553,73.8,16.089999961853,10.1,11.9,2,6.2,71.6,NA,NA,0,0,0.2,Nov 2010,1.23381944229703,1,2010-11-28,NA,32287.6,97988.9,1,0,0,NA,33310.2088473697,97374.261361096,1,0.0109922054334894,0.0251265830145133,NA,745.009082850966,24,67,31.5,213,25.8175544681519,514.105486369858,155.5,213,0,0
"52121013",2012,0.888888888888889,0.111111111111111,1,0,0,0.333333333333333,0.777777777777778,0.222222222222222,0.555555555555556,NA,0,0.777777777777778,1.44444444444444,1.14809033333333,29.8888888888889,11.1666666666667,22.7555555555556,74.3222222222222,178.244444444444,5.44444444444444,11,0,6.22222222222222,74.5555555555556,0,NA,0,0,0.111111111111111,Nov 2012,1.30514629773034,1,2012-11-01,155833,75667,183333,0,0,0,146990.159490881,72122.4390145096,178826.514856296,0.117280487529703,0.117280487529703,0.117280487529703,NA,870.846011790216,9,70,56,213,26.1349702136771,592.714362137749,152.5,214,0,0
"52121013",2013,1,0,1,0,0,0,1,1,0,NA,0,1,2,3.614404,0,5.4,15.2,15.9,262,70,2,19,6,38,1,NA,0,0,1,Feb 2013,2.18739491921332,0,2013-02-01,167954.55,90454.55,190000,0,0,0,148588.686303237,85661.4505227976,184247.01748725,0.104793287290796,0.104793287290796,0.104793287290796,NA,676.416159032887,32,71,62,212,25.2731406972587,487.732532773921,159,213,0,0
