"ea_id","FS_year","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car","number_celphones","cellphone_cost","floor_cement","floor_tile","floor_dirt_sand_dung","roof_natural","roof_iron","roof_other","cell_phone","hhsize","FS_month","head_age","dist_road","dist_popcenter","dist_admarc","ag_percent","slope","elevation","hh_wgt","MAHFP","rCSI","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","rural","date","clust_maize_price","clust_rice_price","clust_nuts_price","clust_beans_price","clust_maize_mktthin","clust_rice_mktthin","clust_nuts_mktthin","clust_beans_mktthin","lhz_maize_price","lhz_rice_price","lhz_nuts_price","lhz_beans_price","lhz_maize_mktthin","lhz_rice_mktthin","lhz_nuts_mktthin","lhz_beans_mktthin","cropyear","raincytot","day1rain","maxdaysnorain","lhz_day1rain","VID","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","heatdays","floodmax","lhz_floodmax"
"10101470",2010,0,0.5,0,0.1875,0.0625,0,0.3125,332.5,0.0625,0,0,0.875,0.125,0,0.25,3.8125,6,48,0.776874983125,82.332500125,13.585,54.3125,3.875000025,1341.3125,130.0916,11.1875,0.625,5.125,39.09375,NA,0,0,0,Jun 2010,-1.10397848876575,1,2010-06-15,32.4,223.596,209.53,144.48,0.8,0,0,0,NA,122.114976730214,166.607232447901,142.285468050264,1,0.4,0.6,0.4,NA,981.030130488899,38,97,36,NA,213,21.3952828743089,1127.99811366612,50,0,970.428031835749,0
"10101562",2010,0,0.5,0,0.5,0,0,0.8125,1025,0.25,0,0,0.625,0.375,0,0.5,5.6875,10,42.25,4.724375,69.4156246875,5.20812501875,34.0625,7.118749825,1214.625,101.4499,11.625,0.5625,5.5625,47.5625,NA,0,0,0,Oct 2010,-0.211637459322634,1,2010-10-16,32.2353333333333,145.388684210526,104.874838709677,NA,0.333333333333333,0.155555555555556,0.311111111111111,1,29.5756813547175,130.446477230362,146.405634427743,NA,0.466666666666667,0.333333333333333,0.533333333333333,1,NA,1196.24102170804,37,90,38.5,NA,213,23.1665029233237,1145.47184942576,81.75,0,1344.96222324662,0
"10101562",2013,0.0909090909090909,0.454545454545455,0.136363636363636,0.227272727272727,0,0,0.636363636363636,NA,0.454545454545455,0,0,0.5,0.5,0,0.5,4.86363636363636,7.22727272727273,NA,4.04545454545455,66.5454545454545,4.54545454545455,36.1363636363636,NA,1223.18181818182,NA,11.0909090909091,5.36363636363636,5.72727272727273,70.3409090909091,NA,0,0,0,Jul 2013,0.282145695893928,0.909090909090909,2013-07-21,84.3238164251208,NA,NA,NA,0.350061703002879,1,1,1,75.0140219505388,NA,NA,NA,0.403537638831756,1,1,1,NA,1352.8379873171,30,101,44.5,NA,213,22.7251626649,1098.69152361381,91.75,0,1415.36549776052,0
"10101568",2010,0,0.4375,0,0.3125,0,0,0.375,886.666666666667,0,0,0,0.8125,0.1875,0,0.375,4.875,11,52.625,3.22812498125,78.17625,11.2818750125,46.8125,1.90625,1260,51.710201,11.6875,0.6875,5.0625,39.53125,NA,0,0,0,Nov 2010,-0.998428448821499,1,2010-11-16,38.058,213.97,202.02,NA,0,0,0,1,30.5715318440456,155.341177202781,187.998128600331,NA,0.4,0.4,0.6,1,NA,875.698697061852,38,98,36,NA,213,21.3952828743089,1127.99811366612,50,0,806.409621264467,0
"10101706",2010,0,0.4375,0,0.75,0,0,0.25,833.333333333333,0.0625,0,0,0.9375,0.0625,0,0.1875,3.8125,11,36.5625,13.344375,78.8324995,14.135625,13.5,11.3999999375,1342.1875,130.9677,11.6875,0,5.1875,39.71875,NA,0,0,0,Nov 2010,-1.23836507142244,1,2010-11-16,20.92,151.752,142.01,NA,0,0,0,1,30.5715318440456,155.341177202781,187.998128600331,NA,0.4,0.4,0.6,1,NA,1150.20693769791,38,103,36,NA,213,21.3952828743089,1127.99811366612,50,0,1417.59670467222,0
"10102004",2010,0,0.3125,0,0.3125,0,0,0.0625,200,0.125,0,0,0.9375,0.0625,0,0.0625,4.4375,5,35.375,10.9943749875,48.955625125,7.03375000625,10.375,18.031249875,1229.8125,172.2728,10.75,1.5625,5.1875,35.375,NA,0,0,0,May 2010,-1.45536770767927,1,2010-05-15,27.6283333333333,142.28935483871,178.167878787879,138.072903225806,0.272727272727273,0.0606060606060606,0,0.0606060606060606,27.4973153069482,123.137357350336,168.484188214403,130.203324492692,0.545454545454545,0.181818181818182,0.0909090909090909,0.181818181818182,NA,1269.23137266376,37,84,38,NA,213,22.7803832375015,1148.90550203122,68.3333333333333,0,1332.90199960028,0
"10102004",2013,0,0.25,0,0.1875,0,0,0.25,NA,0.3125,0,0,0.625,0.375,0,0.25,4.9375,5,NA,9.0625,46.5,8.125,16.4375,NA,1174.375,NA,9.875,6.125,4.5625,57.125,NA,0,0,0,May 2013,-0.667401338006682,0.9375,2013-05-16,74.902,NA,NA,NA,0,1,1,1,70.7024373563528,NA,NA,NA,0.2,1,1,1,NA,1375.84773416098,31,101,30.6666666666667,NA,213,22.7267824128201,1242.49997296425,84.6666666666667,0,1432.23214970327,0
"10102379",2010,0,0.1875,0,0,0,0,0,NA,0,0,0,0.9375,0.0625,0,0,3.5,11,48.6875,18.8093749375,53.2606249375,10.32312504375,6.9375,17.7812500625,969.1875,70.380096,11.5,0.375,4.4375,34.3125,NA,0,0,0,Nov 2010,-1.7163935948622,1,2010-11-16,20.92,151.752,142.01,NA,0,0,0,1,29.718732994876,183.695025409919,172.81942741408,NA,0,0,0,1,NA,1411.55536941649,36,101,38,NA,213,22.5009785540228,1353.25732717093,78,0,1681.66766332973,0
"10102621",2011,0,0.4375,0.0625,0.125,0,0,0.4375,1035,0.25,0,0,0.5,0.5,0,0.25,4.3125,2,45.4375,4.1881250375,59.5137498125,9.45312498125,0.125,20.0000006875,1617.125,61.9524,11.6875,1.125,4.9375,39,NA,0,0,0,Feb 2011,-0.338719320293101,1,2011-02-11,24.78,172.64,156.67,NA,0.25,0.5,0.5,1,31.3413144867846,200.582061106671,183.726437672422,NA,0.25,0.5,0.5,1,NA,1405.27693382636,53,97,53,NA,213,22.0166284838753,1496.28398112339,92,0,1171.70921663053,0
"10103414",2010,0,0.5,0.0625,0.625,0,0,0.375,1212.5,0.1875,0,0,0.8125,0.1875,0,0.25,6,9,44.75,1.097499992375,59.8418748125,3.384375,0,10.12500011875,1559.6875,140.8622,10.875,4.625,5.1875,41.34375,NA,0,0,0,Sep 2010,-0.789942149876419,1,2010-09-16,33.76,181.013636363636,194.192727272727,NA,0.133333333333333,0.266666666666667,0.266666666666667,1,33.7925335542359,139.161143672703,171.085350729008,NA,0.6,0.6,0.8,1,NA,1251.86858087412,38,93,36.5,NA,213,21.8976772236712,1131.05390481712,52,0,1136.03889386563,0
"10103414",2013,0,0.5,0.0625,0.5,0,0,0.6875,NA,0.3125,0,0,0.6875,0.3125,0,0.5,6.625,6,NA,1.0625,60.125,3.4375,0,NA,1551.25,NA,10.5625,3.3125,5.625,67.6875,NA,0,0,0,Jun 2013,-0.24021022206208,1,2013-06-15,68.9057142857143,NA,NA,NA,0.3,1,1,1,79.2853000924031,NA,NA,NA,0.55,1,1,1,NA,1274.307010193,30,99,41,NA,213,21.9305260653787,1067.59516357506,73,0,1349.53528639936,0
"10103414",2016,0,0.727272727272727,0.181818181818182,0.454545454545455,0.0454545454545455,0,1.22727272727273,NA,0.272727272727273,0,0,0.636363636363636,0.363636363636364,0,0.636363636363636,5.45454545454545,10,NA,1.13636363636364,59.6818181818182,3.90909090909091,1.5,NA,1535.90909090909,NA,NA,8.09090909090909,4,40.9772727272727,NA,0,0,0,Oct 2016,0.317568501687593,1,2016-10-09,120.738333333333,300.087142857143,301.215714285714,321.78,0.25,0.125,0.125,0.5,153.375043904428,386.126178064187,361.583086463716,436.330381638026,0.625,0.5,0.8125,0.625,NA,1346.22701358092,31,98,31.5,NA,214,24.8462122150672,1057.35573930875,58.5,0,0,NA
"10103414",2017,0,1,1,1,0,0,2,NA,1,0,0,0,0,1,1,3,1,NA,0,2,2,60,NA,1380,NA,NA,0,6,93,NA,0,0,0,Jan 2017,2.96800271541414,1,2017-01-17,146.437142857143,462.530714285714,439.721666666667,373.631333333333,0.263157894736842,0.263157894736842,0.368421052631579,0.210526315789474,204.215737850023,594.771983986941,592.233522984783,NA,0.842105263157895,0.684210526315789,0.842105263157895,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10103452",2010,0,0.625,0,0.3125,0,0,0.125,2000,0.0625,0,0,0.9375,0.0625,0,0.125,5.625,11.5625,47,0.5462500072375,50.7674996875,10.34062503125,0.625,9.28750004375,1496.5,53.385101,11.5,1.5625,4.6875,32.75,NA,0,0,0,Nov 2010,-1.33656609625444,1,2010-12-03,16.896875,16.0833333333333,14.75,NA,0.315625,0.315625,0.54375,1,31.738874135,150.583700684339,188.674164044938,NA,0.45625,0.45625,0.54375,1,NA,1246.44274893596,38,106,36,NA,213,21.3952828743089,1127.99811366612,50,0,1135.15703106755,0
"10103681",2011,0,0.4375,0,0.3125,0,0,0.125,2000,0.0625,0,0,0.875,0.125,0,0.125,4.875,3,43.375,0.456874999375,50.09187475,11.30875,25.3125,10.1749999125,1500.125,85.375298,11.375,0.625,4.5625,30.28125,NA,0,0,0,Mar 2011,-1.30155067253512,1,2011-03-15,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1062.83514983343,53,104,52,NA,213,20.8802710018248,1090.40569960296,67,0,962.375627914088,0
"10104150",2010,0,0.375,0,0.125,0,0,0,NA,0.125,0,0,0.8125,0.1875,0,0,4.9375,7,39.875,11.715,39.6600003125,2.729375,22.25,11.7875,1343.3125,88.403198,10,4.125,4.3125,26.09375,NA,0,0,0,Jul 2010,-1.33683207855182,1,2010-07-19,26.2783333333333,98.9971428571429,118.813333333333,145.557142857143,0.571428571428571,0.5,0.357142857142857,0.5,NA,NA,92.3993325574299,NA,1,1,0.785714285714286,1,NA,1047.34542252279,35,96,38.3333333333333,NA,213,23.1567893623746,1043.10689849696,73.6666666666667,0,965.721881110508,0
"10104150",2013,0,0.368421052631579,0,0.105263157894737,0,0,0.526315789473684,NA,0.157894736842105,0,0,0.789473684210526,0.210526315789474,0,0.210526315789474,6.10526315789474,7.10526315789474,NA,10.7368421052632,36.3684210526316,3.84210526315789,24.4210526315789,NA,1324.21052631579,NA,9.36842105263158,5.84210526315789,4.94736842105263,58.4473684210526,NA,0,0.0526315789473684,0,Jul 2013,-0.953676703852492,0.894736842105263,2013-07-15,100.539642857143,NA,NA,NA,0.304093567251462,1,1,1,94.3875321310574,NA,NA,NA,0.478070175438597,1,1,1,NA,1046.44344815239,31,110,49.6666666666667,NA,213,22.7987507839532,966.258318891652,89.6666666666667,0,1086.78361143759,0
