,index,FS_year,ea_id,FCS,HDDS,rCSI,region_north,region_central,rural,dist_road,dist_admarc,dist_popcenter,percent_ag,nutri_severe_constraint,nutri_moderate_constraint,nutri_reten_severe_constraint,dummy_terrain_rough,FS_month,head_age,female_head,floor_dirt_sand_dung,cell_phone,number_celphones,roof_not_natural,roof_iron,Refrigerator,Radio,Television,Bicycle,Motorcycle,Car,yearmon,lag1_clust_maize_price,lag1_clust_rice_price,lag1_clust_nuts_price,lag1_clust_beans_price,lag1_clust_maize_mktthin,lag1_clust_rice_mktthin,lag1_clust_nuts_mktthin,lag1_clust_beans_mktthin,lag3_clust_maize_price,lag3_clust_rice_price,lag3_clust_nuts_price,lag3_clust_beans_price,lag3_clust_maize_mktthin,lag3_clust_rice_mktthin,lag3_clust_nuts_mktthin,lag3_clust_beans_mktthin,lag6_clust_maize_price,lag6_clust_rice_price,lag6_clust_nuts_price,lag6_clust_beans_price,lag6_clust_maize_mktthin,lag6_clust_rice_mktthin,lag6_clust_nuts_mktthin,lag6_clust_beans_mktthin,lag12_clust_maize_price,lag12_clust_rice_price,lag12_clust_nuts_price,lag12_clust_beans_price,lag12_clust_maize_mktthin,lag12_clust_rice_mktthin,lag12_clust_nuts_mktthin,lag12_clust_beans_mktthin,cropyear,raincytot,day1rain,maxdaysnorain,lhz_day1rain,gdd,tmean,lhz_raincytot,lhz_maxdaysnorain,heatdays,FCS_3_category,FCS_binary_safe,FCS_binary_bad,FCS_20_bad,FCS_mid+low,FCS_low_percent,rCSI_3_category,rCSI_binary_safe,rCSI_binary_bad,rCSI_20_bad,rCSI_mid+low,rCSI_low_percent
count,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
mean,869.5,2013.0,22442030.833333332,50.6580307067792,5.5558196946395935,4.230319202376962,0.22673109229542157,0.3620532447135153,0.7431272894366768,7.67494177550728,7.811801215758814,29.864159790618327,28.339049786778837,0.13824804945374128,0.17447454572074178,0.011309470110536873,0.0,6.000347950401691,42.57224192835951,0.23146155837430624,0.6479881650642645,0.5361804463055851,0.9382643539248832,0.4591041712259056,0.4550771495733772,0.07879067688827199,0.48482276603143537,0.16946207464410498,0.4089997756088514,0.011201082751416102,0.027711285533286428,2013.4166956625324,89.85650026442474,215.87037229022815,289.9877285173451,294.0887797639249,0.30709925570849905,1.0,1.0,1.0,99.5747158398531,208.4018641733682,279.96213640688603,287.59438528530416,0.31857234861806555,1.0,1.0,1.0,65.84754175441121,197.29443537516025,264.76151660704375,277.3453641265302,0.235394883649002,1.0,1.0,1.0,45.852998819917616,176.0038121766437,234.75020084278785,255.2726111331134,0.312020145382791,1.0,1.0,1.0,2012.0,920.6491566508755,54.17736107846405,122.38553102670751,51.72444860422802,211.4049032258591,23.723803029898736,934.0356393539427,94.36120620936798,1.595096774140892,0.18627450980392157,0.18627450980392157,0.0,0.10784313725490197,0.38543154113510697,0.07729587183919731,0.45098039215686275,0.45098039215686275,0.0,0.04411764705882353,0.30328232046463505,0.05663279328911688
std,59.033888572581766,0.0,8034792.131003535,9.754558195192644,0.5701098988010163,2.6620179468228846,0.3994895912844603,0.44819519832118376,0.3597273272143437,8.396154483451353,5.0487135631651725,18.40133264744326,15.235133394719806,0.2949152946173252,0.3327304506601131,0.08127449427250727,0.0,0.9858370729869821,4.060723587826856,0.10363004718780831,0.2722258544046492,0.23962675594030072,0.7104374645817368,0.2742653654296573,0.2714783775085976,0.14978457731158246,0.14753796269327213,0.20774974178387118,0.15703812662853778,0.025022080373207876,0.08405421767153301,0.08215308941683698,21.943083904319153,89.11740369522194,116.8129822781072,145.4288576056793,0.17870203089211745,0.0,0.0,0.0,25.299785449008258,85.07922531330763,113.36931718539014,141.9532530876898,0.18028752599208203,0.0,0.0,0.0,19.26696356898316,79.72804138871624,108.97609842161292,136.60240776094304,0.15874775824683604,0.0,0.0,0.0,9.706468659785934,70.90610930983861,101.51828950355072,125.311863445951,0.22134361141422584,0.0,0.0,0.0,0.0,106.9946516278492,9.53907732320285,8.250721933252128,10.410937259303738,4.075176295437872,0.9107776010863348,108.58429077393552,16.066831370683847,4.075176295437872,0.39028579037006,0.39028579037006,0.0,0.3109452534487796,0.20421220404034718,0.0927005048301209,0.4988153647258124,0.4988153647258124,0.0,0.2058616539663149,0.17013697775556608,0.07109685918825756
min,768.0,2013.0,10101016.0,32.63157894736842,4.095238095238095,0.0,0.0,0.0,0.0,0.05555555555555555,1.2,2.9444444444444446,0.0,0.0,0.0,0.0,0.0,4.0,33.625,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.05263157894736842,0.0,0.08,0.0,0.0,2013.25,11.0,13.66663371496457,15.901094650181797,-18.45142609645707,0.0,1.0,1.0,1.0,12.588235294117647,4.168330915013025,16.158650359394805,-26.95570699419136,0.0,1.0,1.0,1.0,12.382352941176471,-7.349043217867617,16.545324578733194,-37.63415153338174,0.0,1.0,1.0,1.0,16.25,-19.93664759769441,-6.270531477075255,-51.08051050662665,0.0,1.0,1.0,1.0,2012.0,659.7249517288388,30.0,98.0,30.0,186.0,21.825139354055107,711.3933395911298,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,818.75,2013.0,20112425.25,43.85138888888889,5.2105263157894735,2.473684210526316,0.0,0.0,0.29166666666666663,2.0519736842105267,4.3017902813299225,12.297619047619047,15.21576086956522,0.0,0.0,0.0,0.0,5.222222222222222,39.91477272727273,0.15592105263157893,0.4675245098039215,0.35294117647058826,0.45,0.23809523809523808,0.23809523809523808,0.0,0.3869047619047619,0.027777777777777776,0.3068561872909699,0.0,0.0,2013.3518518518615,78.61775418060225,158.0785884179233,209.35742823899363,195.26172885321768,0.20000000000000004,1.0,1.0,1.0,86.017730301241,157.1643053439447,202.6128207283921,190.3036053661622,0.1948357801618693,1.0,1.0,1.0,54.029484832297065,149.51669887574815,195.65110514047254,187.63584943125218,0.12855882896420984,1.0,1.0,1.0,39.46998611895363,133.78862505257626,181.9884112177956,180.48999958440356,0.13812564499483992,1.0,1.0,1.0,2012.0,866.4132954235423,49.2,117.3125,46.95,212.29166666666666,23.107806871792015,868.2019150038246,81.9375,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1804812834224599,0.0
50%,869.5,2013.0,20973071.5,49.17828947368421,5.55625,3.557275541795666,0.0,0.054093567251461985,0.9428104575163399,4.182539682539683,6.2356979405034325,28.398529411764706,28.766304347826086,0.0,0.0,0.0,0.0,6.0513157894736835,42.36842105263158,0.2222222222222222,0.7368421052631579,0.5,0.7029411764705882,0.40454545454545454,0.4,0.0,0.4791304347826087,0.09307359307359307,0.4,0.0,0.0,2013.4209429824568,89.7961828703707,210.20324872395233,289.69453092019967,260.3153824126741,0.29979980404853623,1.0,1.0,1.0,97.35810714285645,205.10020141482983,275.35715262201177,255.4455464442877,0.28465909090908925,1.0,1.0,1.0,65.53501786618332,190.9530156654506,254.37981809793092,250.28612614628213,0.21807435161730956,1.0,1.0,1.0,45.8177307279728,178.50365763448607,232.02618348391752,227.17215456713024,0.28139811577311646,1.0,1.0,1.0,2012.0,909.5839087374693,55.64583333333333,122.60606060606061,52.2,213.0,23.72000813372252,914.9700156897948,91.0,0.0,0.0,0.0,0.0,0.0,0.375,0.05,0.0,0.0,0.0,0.0,0.2928921568627451,0.047619047619047616
75%,920.25,2013.0,30703614.0,55.77352941176471,5.97,5.419786096256685,0.06585677749360613,0.95,1.0,10.713622291021672,10.191576086956522,42.875,41.09304511278196,0.05555555555555555,0.07555555555555556,0.0,0.0,6.878151260504201,44.94736842105263,0.29411764705882354,0.8595238095238095,0.7258771929824561,1.2105263157894737,0.6842105263157895,0.6842105263157895,0.09090909090909091,0.5893246187363834,0.25271739130434784,0.5046296296296297,0.0,0.0,2013.4898459383767,99.33295884773669,275.5925479264316,370.4059120825029,375.2010318885867,0.39186342833367954,1.0,1.0,1.0,114.98337030075187,260.9989989320713,357.84223088254726,362.3198225879358,0.43548881673882095,1.0,1.0,1.0,79.05443281250001,247.59889091187694,339.7505841473274,342.0096321233038,0.32854989035087623,1.0,1.0,1.0,53.05261458333355,223.9312443016701,308.14343106379044,314.7040612448576,0.4329365079365114,1.0,1.0,1.0,2012.0,968.1765961474333,61.67857142857143,127.525,59.275000000000006,213.0,24.38820293361354,974.3525380337676,107.35714285714286,0.7083333333333334,0.0,0.0,0.0,0.0,0.5294117647058824,0.11948529411764705,1.0,1.0,0.0,0.0,0.40975935828876997,0.08695652173913043
max,971.0,2013.0,31555614.0,86.775,6.857142857142857,16.27777777777778,1.0,1.0,1.0,44.76190476190476,32.888888888888886,86.05882352941177,59.421052631578945,1.0,1.0,0.8636363636363636,0.0,8.045454545454545,56.1875,0.5,1.0,1.0,4.4,1.0,1.0,0.8947368421052632,0.8571428571428571,0.9473684210526315,0.8235294117647058,0.125,0.8,2013.5871212121262,158.36525094696995,414.87000907622195,656.8010179937515,748.1642796214066,1.0,1.0,1.0,1.0,165.9141666666682,396.1858630338329,642.7953911852334,739.0130753871118,1.0,1.0,1.0,1.0,123.65735294117549,375.4131841686966,616.2581278159984,722.6620402919505,1.0,1.0,1.0,1.0,72.73630555555602,331.45632924808615,542.2841667772924,679.1101423036222,1.0,1.0,1.0,1.0,2012.0,1358.3853602268402,71.0,147.0,68.0,213.0,25.777233772098867,1313.7864657927855,127.4,27.0,1.0,1.0,0.0,1.0,0.894736842105263,0.42857142857142855,1.0,1.0,0.0,1.0,0.8125,0.375
