"","date","year","month","day","MISUKU","NTHALIRE","CHITIPA","KARONGA","CHILUMBA","RUMPHI","HEWE","MZUZU","MZIMBA","EMBANGWENI","JENDA","MPAMBA","NKHATABAY","CHINTHECHE","DWANGWA","NKHOTAKOTA","MWANSAMBO","SALIMA","DOWA","NTCHISI","MALOMO","MPONELA","MADISI","BOWE","SANTHE","KASUNGU","CHAMAMA","NKHAMENYA","CHATOLOMA","MKANDA","MCHINJI","NSUNDWE","NAMBUMA","KASIYA","LILONGWE","MITUNDU","NANJIRI","NKHOMA","THETE","MTAKATAKA","CHIMBIYA","BEMBEKE TURN OFF","LIZULU","SHARPEVALEY","TSANGANO TURN OFF","NTCHEU","NTONDA","BALAKA","NTAJA","NAMWERA","MONKEY BAY","MANGOCHI","LIWONDE","JALI","MAYAKA","ZOMBA","THONDWE","CHIRADZULU","LUNZU","LIMBE","BVUMBWE","MWANZA","NENO","LUCHENZA","MIGOWI","PHALOMBE","MULOZA","CHIKWAWA","NGABU","NCHALO","BANGULA","NSANJE","CHILINGA"
"1","2008-01-01","2008","01","01","28.74",NA,NA,"32",NA,"34.86","26.8","38.09","24",NA,"27.2",NA,"30","38","33","30","37.94","27.78","30",NA,"30.58",NA,NA,NA,"35.55","36.03","33.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-01-08","2008","01","08","20","38.71","35.68","44.44",NA,"35.56",NA,"37.96","33.5",NA,NA,"39.82","44.11","20.25","32.43",NA,"38.75","33","35","42.86","41","33.55","28",NA,"33","31.45",NA,NA,NA,NA,"26.05","24.99","31",NA,"30","31","30","27.12",NA,"36","30","33","33.11",NA,"28.74","28.79",NA,"32.56","36",NA,"32.18","25","38.09","30",NA,"30.2",NA,"30","38.5","33","30.07","37.94","27.78","30",NA,"30.58",NA,NA,NA,NA,"37.78","33.77",NA
"3","2008-01-15","2008","01","15","18.34","39.45","37.38","42.72",NA,"35.56","33.33","39","33.51",NA,NA,"46.45","48.8","21.65",NA,NA,"41.67","22.5","35","43.55","45.9","33.55","28",NA,"33","33.15",NA,NA,NA,NA,"26.1","25.18","31.5","36.78","30","31","32.32","25.79",NA,"32","30",NA,"33.11",NA,"32.5","33.11",NA,"32.56","37",NA,"33.06","26.8","40","30",NA,"30",NA,"30","38","38.58","25","37.94","27.78","30",NA,"30.26","32.33","42.04",NA,"37.78","36.03","33.77",NA
"4","2008-01-22","2008","01","22","23.33","41.35","37.38","34.24",NA,"35.56","33.33","39","33.51",NA,NA,"46.45","49.37","21.95","32.57",NA,"51.25","31","35","42.86","50","37.77","28",NA,"33","33.15",NA,NA,NA,NA,"26.17","25.18","31.5","36.78","30","29.33","32.32","25.64",NA,"40","30",NA,"33.11",NA,"32.5","31.2",NA,"32.56","37",NA,"37.02","26.8","40","30",NA,"30",NA,"30","38","38.58","35.15","37.94","27","30",NA,"30","33.33","42.04",NA,"37.78","36.03","33.77",NA
"5","2008-01-29","2008","01","29",NA,"39.45","38.21","42.16",NA,NA,"34.26",NA,NA,NA,NA,NA,"44.33",NA,"32.89",NA,"55.88",NA,NA,"43.55","54.67",NA,NA,NA,NA,"33.15",NA,NA,NA,NA,NA,"41.12",NA,"39.45","55.88","30",NA,"24.4",NA,"40",NA,NA,NA,NA,NA,"31.2",NA,"33.33",NA,NA,"47.48","27.52",NA,NA,NA,"30",NA,NA,NA,NA,NA,"37.94","27","35",NA,NA,"33.33","43.11","35",NA,NA,"35.11",NA
"6","2008-02-05","2008","02","05","23.33","41.39","41.08","68.72","30","50.62","35.8","37.5",NA,NA,NA,NA,NA,"32.58","38.42",NA,"59.9",NA,NA,"44.44","53.13","37.77",NA,NA,"30","34.25",NA,NA,NA,NA,"28","42","33.5",NA,"40","30.34","32.32",NA,"30",NA,"40",NA,NA,"38.2","36.5","37.28",NA,"38.22","44",NA,"54.46","28.75","40","29.66",NA,NA,NA,"40","50","37.64","35.19","37.94","37.78",NA,NA,NA,"41.11","50.14",NA,"44.44","44.12","40",NA
"7","2008-02-12","2008","02","12",NA,"43.31","54.39",NA,NA,"50",NA,"47",NA,NA,NA,NA,NA,"33.16","41","35","51.67",NA,"40","42.86",NA,"40",NA,"30","33","38.5",NA,"42.5","47.05",NA,"29","43","34",NA,"40","39","32.32","31.07","30","39",NA,"41.57","33.11","33.71","38.11","40.28",NA,NA,"45","30","42.17","36.14","40","27.8",NA,"37.8",NA,"45","50",NA,"42.15","37.94","36.67","30",NA,"42.68","41.11",NA,"40","40","44.12",NA,NA
"8","2008-02-19","2008","02","19","30.22",NA,"43.12","46.86",NA,"50.31","48.06","52.06",NA,NA,NA,NA,NA,"33.16","41","38","46.08","40","45","43.55",NA,NA,NA,NA,NA,"42.25",NA,"40","47.05",NA,"30","43.5","34.5","42.58","40",NA,"32.32","34.28","30","47.67",NA,"45.67",NA,"60",NA,"49.15",NA,"38.22","44","30","35.44","35.51","40","30",NA,"38.5","36","45","50",NA,"44","37.94",NA,NA,NA,"40.36","37.57","37.6","40","37.5","41.62",NA,NA
"9","2008-02-26","2008","02","26","30.22",NA,"50.69","37.31",NA,"50.31","56.79",NA,NA,NA,NA,"28.4","49.8","34.08","35.52","40","54.12","39.44","50","58.82",NA,NA,"40",NA,"34",NA,NA,NA,"47.5",NA,"30","45","35",NA,"45","37.5","36.94",NA,NA,"47.5","40","50","40.66",NA,"41.09","49.15",NA,NA,"45",NA,NA,NA,NA,"29.66",NA,"35.4","40.8","40","40",NA,NA,"34.63",NA,"29",NA,"36.37","32.33","33.85","40","35.56",NA,"32.44",NA
"10","2008-03-04","2008","03","04","30.22","55.69","51.52","53.31","33.71","72.47","60.11","42.9",NA,NA,NA,NA,"46.33","35.1","43.03","45","68","32.06","50","65.77","55.15","45.66","40",NA,"36","45",NA,"42.5",NA,NA,"30","46","35.67",NA,"45","37","38.94","35","50","50.5","40","50","40.26",NA,"41.09","48.61",NA,"40.15","48","30","43.99","38.9","40","30.42",NA,"40","40.8","40","40","43.27",NA,"34.63",NA,NA,NA,"34.58","31.33","32.22","37","33.33","29.46","32.44",NA
"11","2008-03-11","2008","03","11","31","61.69","73.43","63.72","35","101.23","59.26","38.16","62.35",NA,"73.5","24.03","55.88","35.1","60","45","67.33","31","50","67.02","58.17","66.66","40","35","34","45.25",NA,"42.5","55",NA,"30","46","36",NA,"65","36","39.94","36.2","55",NA,"45",NA,"42","49.59","48.11","40.07",NA,"40.15","40","35","57.96","38.2","40","30.66","32","38.4","43.2","40","35","43.27",NA,"34.53",NA,"32.5",NA,"36.87","37","35.22","33","31","29.46","32.44",NA
"12","2008-03-18","2008","03","18","31.5","54.81","73.43","55.74","35","96.95","54.43","48.21","56.66",NA,"55","32.5","46.12",NA,"60","62.5","52.94","32","50","67.42","61.25","56.66","30","32.5","35","45.25",NA,"42.5","55",NA,"32.8","56.25","36.5",NA,"65","33.33","39.94","35","55","45.5","40",NA,"40.56","50",NA,"45.31",NA,"36.86","20","30","48.35","37.21","40","33.82","32","38","36","42","30","44.96","45","34.63",NA,"27",NA,NA,"36",NA,"26","31","29.46","26.22",NA
"13","2008-03-25","2008","03","25","26.28","54.81","68.53","50.31","45","86.67","54.43","48.21","67.97",NA,"55","27.51","46.12","36.95","61.03","60","60.74","32","50","71.43","46.5","55.67","30","30","32","45.25",NA,"37.5","55",NA,"35","56.25","39",NA,"65","35","39.94","35","55","47.5","38",NA,"38.2",NA,"36.13","45.31",NA,"36.86",NA,"30","38.62","38.2","40","33.82","32","38","36","42","35","44.96","45","34.53",NA,"27",NA,NA,"36",NA,"26","15.56","29.46","20.74",NA
"14","2008-04-01","2008","04","01","25",NA,"54.32","41.63","35","63.89","50.86","52.21",NA,NA,NA,"21.67","49.18","35.2","50","34","58.82","29","50","62","39.25","55.55",NA,"30","36","45",NA,"40",NA,NA,"33.8","56","42",NA,NA,"34","36.42","35","30","38","35","41","36.4",NA,"38.43","40.31",NA,"32.38","20",NA,"35.82","34.18","40","30",NA,"32.4","31.2","40","35","49.14","35","30",NA,"25",NA,"26.49","29.17",NA,"23","14.44","26.96","20.74",NA
"15","2008-04-08","2008","04","08","21.67","55.69","47.53","31.01","35","56.67","39.37","64.8","44.5",NA,NA,"18.74","49.18","36.5","38.15","28.64","44.47","29","45","62.22","37.4","55.65","30","25","36","38.5",NA,"40",NA,NA,"35.8","37.44","42",NA,NA,"32","40.24","35","30",NA,"34",NA,"44",NA,"28.5","35.61",NA,"32.38","21","29.41","35.82","32.2","40","31.56","32","38.4","31.2","30","30","49.14",NA,"33.33",NA,"25",NA,"26.5","28",NA,"22","14","26.96","20.74",NA
"16","2008-04-15","2008","04","15","20",NA,"47.53","31.02","31","44.91","32.48","37.9","54.96",NA,"40","27.29","41.33","36.25","38.15","29","33.33",NA,"40","62.22","40","50","30","25","33","39.5",NA,"37.5","27.05",NA,"30.95","37","38","45.7","44.74","30","40.11","30","25","35.5","36.33","38.89","35.61",NA,"29.3","35.61",NA,"32.38","27",NA,"28.76","31.8","40","29.77","32","32.4","28.8","25","35","41.31",NA,"33.33",NA,"30",NA,"26.38","28.44","28.04","25","15.56","32.5","20.74",NA
