"","date","year","month","day","MISUKU","NTHALIRE","CHITIPA","KARONGA","CHILUMBA","RUMPHI","HEWE","MZUZU","MZIMBA","EMBANGWENI","JENDA","MPAMBA","NKHATABAY","CHINTHECHE","DWANGWA","NKHOTAKOTA","MWANSAMBO","SALIMA","DOWA","NTCHISI","MALOMO","MPONELA","MADISI","BOWE","SANTHE","KASUNGU","CHAMAMA","NKHAMENYA","CHATOLOMA","MKANDA","MCHINJI","NSUNDWE","NAMBUMA","KASIYA","LILONGWE","MITUNDU","NANJIRI","NKHOMA","THETE","MTAKATAKA","CHIMBIYA","BEMBEKE TURN OFF","LIZULU","SHARPEVALEY","TSANGANO TURN OFF","NTCHEU","NTONDA","BALAKA","NTAJA","NAMWERA","MONKEY BAY","MANGOCHI","LIWONDE","JALI","MAYAKA","ZOMBA","THONDWE","CHIRADZULU","LUNZU","LIMBE","BVUMBWE","MWANZA","NENO","LUCHENZA","MIGOWI","PHALOMBE","MULOZA","CHIKWAWA","NGABU","NCHALO","BANGULA","NSANJE","CHILINGA"
"1","2008-01-01","2008","01","01","133.33",NA,"145.19","230",NA,"151.21",NA,"139.81","156.5",NA,NA,"149.2","93.13",NA,NA,NA,"162.35",NA,"150","180","131.24",NA,NA,NA,"90","148.2",NA,NA,NA,NA,"130.85","240","85",NA,"160","110","98","150.9",NA,"165","123","140","172.4",NA,"178","175",NA,NA,"95.77",NA,"142.46","198","213.24","140",NA,"130",NA,"200","150","88.13","151","202","193.75","160",NA,"149.46",NA,NA,NA,NA,"180","170",NA
"2","2008-01-08","2008","01","08","133.33","104.01","145.19","230",NA,"151.21",NA,"125","156.5",NA,NA,"149.2","88.87","134.05",NA,NA,"162.35","90","150","180","147.06","90",NA,NA,"90","150.12",NA,NA,NA,NA,"130.9","240","85",NA,"150","110","98","206.01",NA,"165","120","140","160","200","178","175",NA,"149.36","96.88",NA,"144.24","198","213.24","156.29",NA,"145",NA,"200","150","88.13","150.7","202","193.75","160",NA,"152.04",NA,NA,NA,"160","180","160",NA
"3","2008-01-15","2008","01","15","133.33","104.01","145.19","150",NA,"156.44","126.5","130.5","156.53",NA,NA,"184.62","87.24","134.46",NA,NA,"152.35","180","150","180","156.25","90",NA,NA,"90","155.28",NA,NA,NA,NA,"132.28","240","85",NA,"160","116","122.5","206.01",NA,"166.67","120",NA,"160","200","143.55","175",NA,"149.36","96.62",NA,"141.71","190.16","213.24","156.29",NA,"130",NA,NA,"150","101.11","150.93","202","193.75","160",NA,"156.48","140","236.29",NA,"160","180","160",NA
"4","2008-01-22","2008","01","22","133.33","116.67","145.19","230",NA,"156.44","126.5","126.5","156.53",NA,NA,"184.62","109.51","134.25","340",NA,"130","180","150","180","138.89","120",NA,NA,"90","155.28",NA,NA,NA,NA,"133.12","240","85",NA,"160","150","122.5","180",NA,"183.33","120",NA,"160","200","143.55","184.17",NA,"149.36","96.62",NA,"141","190.16","213.24","156.29",NA,"130",NA,NA,"150","101.11","150.63","202","193.75","160",NA,"153.86","146.67","236.29","170","160","180","160",NA
"5","2008-01-29","2008","01","29",NA,"107.51","180.74","200",NA,NA,"123.96",NA,NA,NA,NA,NA,"112.41",NA,"250",NA,"138.68",NA,NA,"200","138.89",NA,NA,NA,NA,"157.2",NA,NA,NA,NA,NA,"240",NA,NA,"138","155",NA,"187.49",NA,"183.33",NA,NA,NA,NA,NA,"184.17",NA,"134.22",NA,NA,"152.27","199.5",NA,NA,NA,"130",NA,NA,NA,NA,NA,"202","193.75","170",NA,NA,NA,"253.11","170",NA,NA,"180",NA
"6","2008-02-05","2008","02","05","141.67","102.97","167.41","167.03","147.07","161.48","124.7","139.81",NA,NA,NA,NA,NA,"135.83","340",NA,"150",NA,NA,"200","136.45","120",NA,NA,"92.5","162.18",NA,NA,NA,NA,"140","240","90",NA,"200","160","222",NA,"140","183.33","150",NA,NA,"221.43","141.2","184.17",NA,"175.4","104",NA,"220","238.75","213.24","160.66",NA,NA,NA,"220","200","139.56","151.09","202","230.33",NA,NA,NA,"158.89","241.43",NA,"175","200","200",NA
"7","2008-02-12","2008","02","12",NA,"102.97","167.41",NA,NA,"158.95",NA,"126.8",NA,NA,NA,NA,NA,"135.83","340","270","150",NA,"150","200",NA,"130",NA,"155","92.6","161.14",NA,"309.33",NA,NA,"140.05","240","85",NA,"200","165","222","115","140",NA,NA,"140","160.4","250","140",NA,NA,NA,"108","173.91","231.41","178.49","213.38","190.23",NA,"200",NA,"190","200","160.62","150.62","202",NA,"170",NA,"234.79","158.89",NA,"150","175","200",NA,NA
"8","2008-02-19","2008","02","19","155",NA,"167.41","177.78",NA,"158.95","123.94","142",NA,NA,NA,NA,NA,"135.83","340","270","155.29","200","150","200",NA,NA,NA,NA,"90","162.43",NA,"294.73",NA,NA,NA,"240","80","180","200",NA,"222","170","140","216.67",NA,"150",NA,"250",NA,"191.25",NA,"175.4","107","173.91","226.46","233.13","315","190.89",NA,"130","190","220","200","160.62","150","202",NA,NA,NA,"176.26","155.56","243.05","140","175","200",NA,NA
"9","2008-02-26","2008","02","26","146.67",NA,"169.26","184.04",NA,NA,"142.01",NA,NA,NA,NA,"147.58","111.27",NA,"340","270","155.82","160","150","200",NA,NA,"80",NA,"90",NA,NA,NA,NA,NA,"140","240","80",NA,"157.89","94.44","210",NA,NA,"216.67","90","150","150",NA,"148.81","191.25",NA,NA,"150",NA,NA,NA,NA,"190.56",NA,"135","190","220","160",NA,NA,"171.12","230.33","170",NA,"147.92",NA,"250.17","130","175",NA,"200",NA
"10","2008-03-04","2008","03","04","136","126.47","169.26","187.05","199",NA,"142.01","144.22",NA,NA,NA,NA,"89.42","137.45","340",NA,"131.17","200","160","200","142.86","130","80",NA,"90","162.43",NA,NA,NA,NA,"140","200","85",NA,"160","95","200","120","100","216.67","90","150","148.2",NA,"122.2","148.75",NA,"187.04","155","173.91","217.87","230.4",NA,"200",NA,"130","170","220","160","180.63",NA,"171.12","164.71","180",NA,"151.56","166.67","246.71","160","175","200","200",NA
"11","2008-03-11","2008","03","11","102.22","120.59","123.92",NA,"200","173.58","118.39","144","217.71",NA,"160","281.95","121.33","137.45","340",NA,"135.47","200","160","200",NA,"130","85","150","90","165",NA,NA,NA,NA,"137.45","200","80",NA,"220","95.34","200","100","100",NA,"100",NA,"160","222.86","144","148.75",NA,"187.04","155","183.33",NA,"230.15",NA,"110","91","130","150","200","160","180.53",NA,"170",NA,"180",NA,"169.74","150","247.18","140","187","200","200",NA
"12","2008-03-18","2008","03","18","103.33","126.47","123.92","200","200","171.11","94.76","135","217.7",NA,"160","281.85","88.41",NA,"340","325","135.47","200","160","200","69.72","130","80","120","90","165",NA,"140",NA,NA,"130.5","192.3","80",NA,"200","95","200","120","100","183.34","100",NA,"150","192.86",NA,"106.25",NA,"187.04","213.33","183.33","186.41","227.5","315","118.49","91","130","150","150","150","178.45","130","152.94",NA,"175",NA,"169.74","150",NA,"120","187.5","200","200",NA
"13","2008-03-25","2008","03","25","97.78","126.47","117.65","166.66","188","144.74","94.76","135","219.38",NA,"160","243.14","88.41","136.28","340","325","162.35","200","160","130","71.06","130","80","110","90","165",NA,"163.85",NA,NA,"125.8","185","80",NA,"200","95","200","120","100","183.34","100",NA,"158",NA,"118.63","106.25",NA,"187.04",NA,"183.33","161.49","227.6","315","118.49","91","130","150","150","150","178.45","130","152.94",NA,"175",NA,"169.74","150",NA,"120","187.5","200","200",NA
"14","2008-04-01","2008","04","01","91.67",NA,"82.35","170","180.71","144.74","90.07","160","241.57",NA,NA,"111.03","198.46","136.79","340","330","162.35","200","84.9","150","61.09","130",NA,"100","90","164.5",NA,"167.91",NA,NA,"120.8","180","80",NA,NA,"93.44","165","120",NA,"116.67","110","110","148","124.05","92.55","106.25",NA,"140.11","212.23",NA,"155.93","223.04","310","100",NA,"130","145","130","149.5","155.6","150.69","152.94","120.65","180",NA,"187.84","140",NA,"110","175","200","200",NA
"15","2008-04-08","2008","04","08","106.34","126.47","82.35",NA,"180.71","141.23","90.05","129.71","160",NA,NA,"211.03","198.46","136.58","230",NA,"162.35","200","90","130","103.25","140","90","95","90","160",NA,NA,NA,NA,"120.5","180","80",NA,NA,"94","200","120",NA,NA,"110",NA,"142","149","98.77","120",NA,"140.11","212.24","133.33",NA,"223",NA,"110.05","91.1","130","145","150","149.5","155.6",NA,"164.7",NA,"180",NA,"178.84","140",NA,NA,"187.5","240","200",NA
"16","2008-04-15","2008","04","15","108.44",NA,"82.35","166.78","150","145.8","94.19","132","241.05",NA,"107","182.43","195.43","136.98","340","353","149.42",NA,"95","150","125.66","140","90","100","90.2","160",NA,NA,"120.5",NA,"125","180","130","180","200","80","164","120","110","130","115","120","132","156","98.7","120",NA,"140.11","220",NA,"149.88","222.92","305","120","91.5","130","145","130","149.5","136.52",NA,"164.7","120.65","170",NA,NA,"142.22","211.23","110","187.5","214.29","200",NA
"17","2008-04-22","2008","04","22","118.62","120.59","84.31","142.66","150","145.8","94.19","113.16","243.13",NA,"107","182.43","93.3","139.58","340","266.47","149.42",NA,"100","150","125.66","140","90","100","90.2","160",NA,NA,"120.5",NA,"130","180","130","180","200","80","198","156.78","110","133.33","120","120","160","138.95","98.7","160",NA,"140.11","240",NA,"144.62","222.92","305","120","91.5","130","145","140",NA,"136.52",NA,"142.1","140","170",NA,"159.64","138","211.23","120","187.5","214.29","180",NA
"18","2008-04-29","2008","04","29","116.67","123.1","84.31","166.75","150","148.69","94.19","134","240.15",NA,NA,"182.43","93.3","139.58","340","350","150","200","100","150","132.1","140","90","95","90","158.12",NA,NA,"138.4","200","125","180","130",NA,NA,"80","199",NA,"110","133.33",NA,"120","130","138.95","120","160",NA,"140.11","240",NA,"140.63",NA,"150","105",NA,"130","145","140","140",NA,"150","142","140","170",NA,"186.27","150","208.66","120","187.5","214.29","180",NA
